"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.35178319972344e-12,"Baca","Mocis latipes"
70,2.22044604925031e-16,1.34040290388088e-12,"Baca","Mocis latipes"
71,2.22044604925031e-16,1.32904115496244e-12,"Baca","Mocis latipes"
72,2.22044604925031e-16,1.31769906477159e-12,"Baca","Mocis latipes"
73,2.22044604925031e-16,1.3063777306585e-12,"Baca","Mocis latipes"
74,2.22044604925031e-16,1.29507823479532e-12,"Baca","Mocis latipes"
75,2.22044604925031e-16,1.2838016434394e-12,"Baca","Mocis latipes"
76,2.22044604925031e-16,1.27254900618469e-12,"Baca","Mocis latipes"
77,2.22044604925031e-16,1.26132135520103e-12,"Baca","Mocis latipes"
78,2.22044604925031e-16,1.25011970446162e-12,"Baca","Mocis latipes"
79,2.22044604925031e-16,1.2389450489586e-12,"Baca","Mocis latipes"
80,2.22044604925031e-16,1.22779836390693e-12,"Baca","Mocis latipes"
81,2.22044604925031e-16,1.21668060393676e-12,"Baca","Mocis latipes"
82,2.22044604925031e-16,1.20559270227435e-12,"Baca","Mocis latipes"
83,2.22044604925031e-16,1.19453556991201e-12,"Baca","Mocis latipes"
84,2.22044604925031e-16,1.18351009476724e-12,"Baca","Mocis latipes"
85,2.22044604925031e-16,1.17251714083135e-12,"Baca","Mocis latipes"
86,2.22044604925031e-16,1.16155754730822e-12,"Baca","Mocis latipes"
87,2.22044604925031e-16,1.15063212774337e-12,"Baca","Mocis latipes"
88,2.22044604925031e-16,1.13974166914416e-12,"Baca","Mocis latipes"
89,2.22044604925031e-16,1.1288869310915e-12,"Baca","Mocis latipes"
90,2.22044604925031e-16,1.11806864484387e-12,"Baca","Mocis latipes"
91,2.22044604925031e-16,1.10728751243429e-12,"Baca","Mocis latipes"
92,2.22044604925031e-16,1.09654420576111e-12,"Baca","Mocis latipes"
93,2.22044604925031e-16,1.08583936567359e-12,"Baca","Mocis latipes"
94,2.22044604925031e-16,1.07517360105296e-12,"Baca","Mocis latipes"
95,2.22044604925031e-16,1.06454748789037e-12,"Baca","Mocis latipes"
96,2.22044604925031e-16,1.05396156836252e-12,"Baca","Mocis latipes"
97,2.22044604925031e-16,1.04341634990652e-12,"Baca","Mocis latipes"
98,2.22044604925031e-16,1.03291230429497e-12,"Baca","Mocis latipes"
99,2.22044604925031e-16,1.02244986671289e-12,"Baca","Mocis latipes"
100,2.22044604925031e-16,1.012029434838e-12,"Baca","Mocis latipes"
101,2.22044604925031e-16,1.00165136792571e-12,"Baca","Mocis latipes"
102,2.22044604925031e-16,9.91315985900906e-13,"Baca","Mocis latipes"
103,2.22044604925031e-16,9.81023568457965e-13,"Baca","Mocis latipes"
104,2.22044604925031e-16,9.70774354171172e-13,"Baca","Mocis latipes"
105,2.22044604925031e-16,9.60568539617437e-13,"Baca","Mocis latipes"
106,2.22044604925031e-16,9.50406278513486e-13,"Baca","Mocis latipes"
107,2.22044604925031e-16,9.40287680869761e-13,"Baca","Mocis latipes"
108,2.22044604925031e-16,9.30212812163406e-13,"Baca","Mocis latipes"
109,2.22044604925031e-16,9.20181692532799e-13,"Baca","Mocis latipes"
110,2.22044604925031e-16,9.1019429599626e-13,"Baca","Mocis latipes"
111,2.22044604925031e-16,9.00250549697629e-13,"Baca","Mocis latipes"
112,2.22044604925031e-16,8.90350333181586e-13,"Baca","Mocis latipes"
113,2.22044604925031e-16,8.80493477701688e-13,"Baca","Mocis latipes"
114,2.22044604925031e-16,8.70679765564217e-13,"Baca","Mocis latipes"
115,2.22044604925031e-16,8.60908929511109e-13,"Baca","Mocis latipes"
116,2.22044604925031e-16,8.51180652145319e-13,"Baca","Mocis latipes"
117,2.22044604925031e-16,8.4149456540218e-13,"Baca","Mocis latipes"
118,2.22044604925031e-16,8.31850250070399e-13,"Baca","Mocis latipes"
119,2.22044604925031e-16,8.22247235366556e-13,"Baca","Mocis latipes"
120,2.22044604925031e-16,8.12684998567081e-13,"Baca","Mocis latipes"
121,2.22044604925031e-16,8.03162964701875e-13,"Baca","Mocis latipes"
122,2.22044604925031e-16,7.93680506313957e-13,"Baca","Mocis latipes"
123,2.22044604925031e-16,7.84236943289653e-13,"Baca","Mocis latipes"
124,2.22044604925031e-16,7.7483154276411e-13,"Baca","Mocis latipes"
125,2.22044604925031e-16,7.65463519107131e-13,"Baca","Mocis latipes"
126,2.22044604925031e-16,7.56132033994572e-13,"Baca","Mocis latipes"
127,2.22044604925031e-16,7.46836196570827e-13,"Baca","Mocis latipes"
128,2.22044604925031e-16,7.37575063708248e-13,"Baca","Mocis latipes"
129,2.22044604925031e-16,7.28347640369673e-13,"Baca","Mocis latipes"
130,2.22044604925031e-16,7.19152880080626e-13,"Baca","Mocis latipes"
131,2.22044604925031e-16,7.09989685518215e-13,"Baca","Mocis latipes"
132,2.22044604925031e-16,7.008569092242e-13,"Baca","Mocis latipes"
133,2.22044604925031e-16,6.91753354450314e-13,"Baca","Mocis latipes"
134,2.22044604925031e-16,6.82677776144523e-13,"Baca","Mocis latipes"
135,2.22044604925031e-16,6.73628882087661e-13,"Baca","Mocis latipes"
136,2.22044604925031e-16,6.64605334190703e-13,"Baca","Mocis latipes"
137,2.22044604925031e-16,6.5560574996392e-13,"Baca","Mocis latipes"
138,2.22044604925031e-16,6.46628704170216e-13,"Baca","Mocis latipes"
139,2.22044604925031e-16,6.37672730676297e-13,"Baca","Mocis latipes"
140,2.22044604925031e-16,6.28736343446395e-13,"Baca","Mocis latipes"
141,2.22044604925031e-16,6.19818766268738e-13,"Baca","Mocis latipes"
142,2.22044604925031e-16,6.10920207654268e-13,"Baca","Mocis latipes"
143,2.22044604925031e-16,6.02040995638843e-13,"Baca","Mocis latipes"
144,2.22044604925031e-16,5.9318151381735e-13,"Baca","Mocis latipes"
145,2.22044604925031e-16,5.84342200446983e-13,"Baca","Mocis latipes"
146,2.22044604925031e-16,5.75523547570431e-13,"Baca","Mocis latipes"
147,2.22044604925031e-16,5.66726100160322e-13,"Baca","Mocis latipes"
148,2.22044604925031e-16,5.57950455286312e-13,"Baca","Mocis latipes"
149,2.22044604925031e-16,5.49197261306202e-13,"Baca","Mocis latipes"
150,2.22044604925031e-16,5.40467217082494e-13,"Baca","Mocis latipes"
151,2.22044604925031e-16,5.31761071225848e-13,"Baca","Mocis latipes"
152,2.22044604925031e-16,5.23079621366938e-13,"Baca","Mocis latipes"
153,2.22044604925031e-16,5.14423713458257e-13,"Baca","Mocis latipes"
154,2.22044604925031e-16,5.0579424110752e-13,"Baca","Mocis latipes"
155,2.22044604925031e-16,4.97192144944352e-13,"Baca","Mocis latipes"
156,2.22044604925031e-16,4.88618412022087e-13,"Baca","Mocis latipes"
157,2.22044604925031e-16,4.80074075256586e-13,"Baca","Mocis latipes"
158,2.22044604925031e-16,4.71560212904119e-13,"Baca","Mocis latipes"
159,2.22044604925031e-16,4.63077948080502e-13,"Baca","Mocis latipes"
160,2.22044604925031e-16,4.54628448323829e-13,"Baca","Mocis latipes"
161,2.22044604925031e-16,4.46212925203343e-13,"Baca","Mocis latipes"
162,2.22044604925031e-16,4.37832633977154e-13,"Baca","Mocis latipes"
163,2.22044604925031e-16,4.29488873301785e-13,"Baca","Mocis latipes"
164,2.22044604925031e-16,4.21182984996734e-13,"Baca","Mocis latipes"
165,2.22044604925031e-16,4.12916353867538e-13,"Baca","Mocis latipes"
166,2.22044604925031e-16,4.04690407591121e-13,"Baca","Mocis latipes"
167,2.22044604925031e-16,3.96506616667549e-13,"Baca","Mocis latipes"
168,2.22044604925031e-16,3.88366494442663e-13,"Baca","Mocis latipes"
169,2.22044604925031e-16,3.80271597206487e-13,"Baca","Mocis latipes"
170,2.22044604925031e-16,3.722235243727e-13,"Baca","Mocis latipes"
171,2.22044604925031e-16,3.64223918744985e-13,"Baca","Mocis latipes"
172,2.22044604925031e-16,3.56274466876522e-13,"Baca","Mocis latipes"
173,2.22044604925031e-16,3.48376899529463e-13,"Baca","Mocis latipes"
174,2.22044604925031e-16,3.40532992241806e-13,"Baca","Mocis latipes"
175,2.22044604925031e-16,3.32744566009692e-13,"Baca","Mocis latipes"
176,2.22044604925031e-16,3.25013488093792e-13,"Baca","Mocis latipes"
177,2.22044604925031e-16,3.17341672959108e-13,"Baca","Mocis latipes"
178,2.22044604925031e-16,3.09731083358225e-13,"Baca","Mocis latipes"
179,2.22044604925031e-16,3.02183731568684e-13,"Baca","Mocis latipes"
180,2.22044604925031e-16,2.94701680795851e-13,"Baca","Mocis latipes"
181,2.22044604925031e-16,2.87287046753233e-13,"Baca","Mocis latipes"
182,2.22044604925031e-16,2.79941999432758e-13,"Baca","Mocis latipes"
183,2.22044604925031e-16,2.7266876507793e-13,"Baca","Mocis latipes"
184,2.22044604925031e-16,2.65469628372965e-13,"Baca","Mocis latipes"
185,2.22044604925031e-16,2.58346934861006e-13,"Baca","Mocis latipes"
186,2.22044604925031e-16,2.51303093604034e-13,"Baca","Mocis latipes"
187,2.22044604925031e-16,2.44340580096181e-13,"Baca","Mocis latipes"
188,2.22044604925031e-16,2.37461939440516e-13,"Baca","Mocis latipes"
189,2.22044604925031e-16,2.30669789796848e-13,"Baca","Mocis latipes"
190,2.22044604925031e-16,2.23966826104354e-13,"Baca","Mocis latipes"
191,2.22044604925031e-16,2.17355824077642e-13,"Baca","Mocis latipes"
192,2.22044604925031e-16,2.1083964446759e-13,"Baca","Mocis latipes"
193,2.22044604925031e-16,2.04421237568595e-13,"Baca","Mocis latipes"
194,2.22044604925031e-16,1.98103647940958e-13,"Baca","Mocis latipes"
195,2.22044604925031e-16,1.91890019300199e-13,"Baca","Mocis latipes"
196,2.22044604925031e-16,1.85783599503223e-13,"Baca","Mocis latipes"
197,2.22044604925031e-16,1.79787745533211e-13,"Baca","Mocis latipes"
198,2.22044604925031e-16,1.73905928349576e-13,"Baca","Mocis latipes"
199,2.22044604925031e-16,1.68141737424724e-13,"Baca","Mocis latipes"
200,2.22044604925031e-16,1.62498884733975e-13,"Baca","Mocis latipes"
201,2.22044604925031e-16,1.56981207897057e-13,"Baca","Mocis latipes"
202,2.22044604925031e-16,1.51592672087216e-13,"Baca","Mocis latipes"
