"doy","fit","se","Site","validName"
69,4.32572013147317e-06,3.33244854655834e-05,"Baca","Pilocrocis ramentalis"
70,4.44787963688748e-06,3.41260891547845e-05,"Baca","Pilocrocis ramentalis"
71,4.5734912658738e-06,3.49473675442526e-05,"Baca","Pilocrocis ramentalis"
72,4.70265500884793e-06,3.57888603043917e-05,"Baca","Pilocrocis ramentalis"
73,4.83547388642059e-06,3.66511240202803e-05,"Baca","Pilocrocis ramentalis"
74,4.97205404655989e-06,3.75347327442443e-05,"Baca","Pilocrocis ramentalis"
75,5.11250486505674e-06,3.84402785651945e-05,"Baca","Pilocrocis ramentalis"
76,5.25693904941195e-06,3.93683721951796e-05,"Baca","Pilocrocis ramentalis"
77,5.40547274626832e-06,4.03196435736209e-05,"Baca","Pilocrocis ramentalis"
78,5.55822565251549e-06,4.12947424897073e-05,"Baca","Pilocrocis ramentalis"
79,5.71532113020054e-06,4.2294339223448e-05,"Baca","Pilocrocis ramentalis"
80,5.87688632538196e-06,4.33191252058936e-05,"Baca","Pilocrocis ramentalis"
81,6.04305229107031e-06,4.4369813699057e-05,"Baca","Pilocrocis ramentalis"
82,6.21395411440405e-06,4.54471404960824e-05,"Baca","Pilocrocis ramentalis"
83,6.38973104821479e-06,4.65518646422317e-05,"Baca","Pilocrocis ramentalis"
84,6.57052664714227e-06,4.76847691772795e-05,"Baca","Pilocrocis ramentalis"
85,6.75648890846526e-06,4.88466618999291e-05,"Baca","Pilocrocis ramentalis"
86,6.94777041782154e-06,5.003837615489e-05,"Baca","Pilocrocis ramentalis"
87,7.14452849999574e-06,5.12607716432772e-05,"Baca","Pilocrocis ramentalis"
88,7.3469253749622e-06,5.2514735257029e-05,"Baca","Pilocrocis ramentalis"
89,7.55512831937594e-06,5.38011819380619e-05,"Baca","Pilocrocis ramentalis"
90,7.76930983371311e-06,5.51210555629184e-05,"Baca","Pilocrocis ramentalis"
91,7.98964781526968e-06,5.64753298536933e-05,"Baca","Pilocrocis ramentalis"
92,8.2163257372359e-06,5.7865009316066e-05,"Baca","Pilocrocis ramentalis"
93,8.44953283407149e-06,5.92911302052977e-05,"Baca","Pilocrocis ramentalis"
94,8.6894642934166e-06,6.07547615211014e-05,"Baca","Pilocrocis ramentalis"
95,8.93632145478177e-06,6.22570060323313e-05,"Baca","Pilocrocis ramentalis"
96,9.19031201527008e-06,6.37990013324868e-05,"Baca","Pilocrocis ramentalis"
97,9.45165024259492e-06,6.53819209270805e-05,"Baca","Pilocrocis ramentalis"
98,9.72055719566652e-06,6.7006975353967e-05,"Baca","Pilocrocis ramentalis"
99,9.99726095303171e-06,6.86754133377912e-05,"Baca","Pilocrocis ramentalis"
100,1.02819968494627e-05,7.03885229797766e-05,"Baca","Pilocrocis ramentalis"
101,1.05750077210018e-05,7.21476329841369e-05,"Baca","Pilocrocis ramentalis"
102,1.08765441587817e-05,7.39541139224653e-05,"Baca","Pilocrocis ramentalis"
103,1.11868647719539e-05,7.58093795375313e-05,"Baca","Pilocrocis ramentalis"
104,1.15062364600702e-05,7.7714888087996e-05,"Baca","Pilocrocis ramentalis"
105,1.18349346952766e-05,7.96721437356366e-05,"Baca","Pilocrocis ramentalis"
106,1.21732438146943e-05,8.16826979767676e-05,"Baca","Pilocrocis ramentalis"
107,1.25214573233744e-05,8.37481511196417e-05,"Baca","Pilocrocis ramentalis"
108,1.28798782082329e-05,8.58701538097134e-05,"Baca","Pilocrocis ramentalis"
109,1.32488192633846e-05,8.80504086047671e-05,"Baca","Pilocrocis ramentalis"
110,1.36286034273152e-05,9.02906716020166e-05,"Baca","Pilocrocis ramentalis"
111,1.4019564132345e-05,9.25927541194268e-05,"Baca","Pilocrocis ramentalis"
112,1.44220456668592e-05,9.49585244336257e-05,"Baca","Pilocrocis ramentalis"
