"doy","fit","se","Site","validName"
69,0.0109737411173521,329.828194845448,"Biva","Apantesis phalerata"
70,0.00163276790748857,60.1081211562401,"Biva","Apantesis phalerata"
71,0.000242937300161793,10.8750118769116,"Biva","Apantesis phalerata"
72,3.61463080816513e-05,1.92943803650574,"Biva","Apantesis phalerata"
73,5.37815966120993e-06,0.335496560821823,"Biva","Apantesis phalerata"
74,8.00209008237614e-07,0.0573160911698253,"Biva","Apantesis phalerata"
75,1.19062002097658e-07,0.0096477089934333,"Biva","Apantesis phalerata"
76,1.77150721843629e-08,0.00160401679852071,"Biva","Apantesis phalerata"
77,2.63580132173242e-09,0.000263944300946164,"Biva","Apantesis phalerata"
78,3.92177267771983e-10,4.30567235615026e-05,"Biva","Apantesis phalerata"
79,5.83515184126276e-11,6.97204894947723e-06,"Biva","Apantesis phalerata"
80,8.68204248656096e-12,1.12182632435438e-06,"Biva","Apantesis phalerata"
81,1.29178920770142e-12,1.79517097891744e-07,"Biva","Apantesis phalerata"
82,1.92203546540715e-13,2.85892996353003e-08,"Biva","Apantesis phalerata"
83,2.85977023825447e-14,4.53386880080368e-09,"Biva","Apantesis phalerata"
84,4.25501296037455e-15,7.16326503468186e-10,"Biva","Apantesis phalerata"
85,6.33097549263424e-16,1.12799108406292e-10,"Biva","Apantesis phalerata"
86,2.22044604925031e-16,4.17447748059675e-11,"Biva","Apantesis phalerata"
87,2.22044604925031e-16,4.39297521337657e-11,"Biva","Apantesis phalerata"
88,2.22044604925031e-16,4.61163861518279e-11,"Biva","Apantesis phalerata"
89,2.22044604925031e-16,4.83044518767384e-11,"Biva","Apantesis phalerata"
90,2.22044604925031e-16,5.04937631867235e-11,"Biva","Apantesis phalerata"
91,2.22044604925031e-16,5.26841647996716e-11,"Biva","Apantesis phalerata"
92,2.22044604925031e-16,5.4875526154727e-11,"Biva","Apantesis phalerata"
93,2.22044604925031e-16,5.70677366917113e-11,"Biva","Apantesis phalerata"
94,2.22044604925031e-16,5.9260702170225e-11,"Biva","Apantesis phalerata"
95,2.22044604925031e-16,6.14543417712605e-11,"Biva","Apantesis phalerata"
96,2.22044604925031e-16,6.36485857942412e-11,"Biva","Apantesis phalerata"
97,2.22044604925031e-16,6.58433738117365e-11,"Biva","Apantesis phalerata"
98,2.22044604925031e-16,6.80386531793101e-11,"Biva","Apantesis phalerata"
99,2.22044604925031e-16,7.02343778233568e-11,"Biva","Apantesis phalerata"
100,2.22044604925031e-16,7.24305072483328e-11,"Biva","Apantesis phalerata"
101,2.22044604925031e-16,7.46270057184715e-11,"Biva","Apantesis phalerata"
102,2.22044604925031e-16,7.68238415792646e-11,"Biva","Apantesis phalerata"
103,2.22044604925031e-16,7.90209866916655e-11,"Biva","Apantesis phalerata"
104,2.22044604925031e-16,8.12184159577734e-11,"Biva","Apantesis phalerata"
105,2.22044604925031e-16,8.34161069212218e-11,"Biva","Apantesis phalerata"
106,2.22044604925031e-16,8.56140394288966e-11,"Biva","Apantesis phalerata"
107,2.22044604925031e-16,8.78121953432999e-11,"Biva","Apantesis phalerata"
108,2.22044604925031e-16,9.00105582969254e-11,"Biva","Apantesis phalerata"
