"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.31683892108172e-14,"Biva","Apantesis vittata"
70,2.22044604925031e-16,1.30212611969367e-14,"Biva","Apantesis vittata"
71,2.22044604925031e-16,1.2875547104269e-14,"Biva","Apantesis vittata"
72,2.22044604925031e-16,1.27313812888795e-14,"Biva","Apantesis vittata"
73,2.22044604925031e-16,1.25888960360316e-14,"Biva","Apantesis vittata"
74,2.22044604925031e-16,1.24482212994603e-14,"Biva","Apantesis vittata"
75,2.22044604925031e-16,1.23094844256529e-14,"Biva","Apantesis vittata"
76,2.22044604925031e-16,1.21728098636608e-14,"Biva","Apantesis vittata"
77,2.22044604925031e-16,1.20383188612257e-14,"Biva","Apantesis vittata"
78,2.22044604925031e-16,1.19061291482938e-14,"Biva","Apantesis vittata"
79,2.22044604925031e-16,1.17763546092987e-14,"Biva","Apantesis vittata"
80,2.22044604925031e-16,1.16491049459338e-14,"Biva","Apantesis vittata"
81,2.22044604925031e-16,1.15244853324833e-14,"Biva","Apantesis vittata"
82,2.22044604925031e-16,1.1402596066153e-14,"Biva","Apantesis vittata"
83,2.22044604925031e-16,1.12835322152129e-14,"Biva","Apantesis vittata"
84,2.22044604925031e-16,1.11673832681385e-14,"Biva","Apantesis vittata"
85,2.22044604925031e-16,1.10542327873014e-14,"Biva","Apantesis vittata"
86,2.22044604925031e-16,1.09441580711037e-14,"Biva","Apantesis vittata"
87,2.22044604925031e-16,1.08372298287634e-14,"Biva","Apantesis vittata"
88,2.22044604925031e-16,1.07335118722312e-14,"Biva","Apantesis vittata"
89,2.22044604925031e-16,1.06330608299351e-14,"Biva","Apantesis vittata"
90,2.22044604925031e-16,1.05359258872009e-14,"Biva","Apantesis vittata"
91,2.22044604925031e-16,1.04421485582765e-14,"Biva","Apantesis vittata"
92,2.22044604925031e-16,1.03517624948796e-14,"Biva","Apantesis vittata"
93,2.22044604925031e-16,1.0264793336085e-14,"Biva","Apantesis vittata"
94,2.22044604925031e-16,1.01812586041793e-14,"Biva","Apantesis vittata"
95,2.22044604925031e-16,1.01011676508082e-14,"Biva","Apantesis vittata"
96,2.22044604925031e-16,1.00245216573545e-14,"Biva","Apantesis vittata"
97,2.22044604925031e-16,9.95131369299894e-15,"Biva","Apantesis vittata"
98,2.22044604925031e-16,9.88152883334519e-15,"Biva","Apantesis vittata"
99,2.22044604925031e-16,9.81514434185263e-15,"Biva","Apantesis vittata"
100,2.22044604925031e-16,9.75212991561757e-15,"Biva","Apantesis vittata"
101,2.22044604925031e-16,9.69244799630635e-15,"Biva","Apantesis vittata"
102,2.22044604925031e-16,9.63605414628153e-15,"Biva","Apantesis vittata"
103,2.22044604925031e-16,9.58289748920201e-15,"Biva","Apantesis vittata"
104,2.22044604925031e-16,9.53292121363625e-15,"Biva","Apantesis vittata"
105,2.22044604925031e-16,9.4860631375251e-15,"Biva","Apantesis vittata"
106,2.22044604925031e-16,9.44225633068907e-15,"Biva","Apantesis vittata"
107,2.22044604925031e-16,9.40142979200347e-15,"Biva","Apantesis vittata"
108,2.22044604925031e-16,9.36350917738324e-15,"Biva","Apantesis vittata"
109,2.22044604925031e-16,9.32841757433133e-15,"Biva","Apantesis vittata"
110,2.22044604925031e-16,9.29607631851711e-15,"Biva","Apantesis vittata"
111,2.22044604925031e-16,9.26640584766512e-15,"Biva","Apantesis vittata"
112,2.22044604925031e-16,9.23932658794487e-15,"Biva","Apantesis vittata"
113,2.22044604925031e-16,9.21475986805265e-15,"Biva","Apantesis vittata"
114,2.22044604925031e-16,9.1926288562536e-15,"Biva","Apantesis vittata"
115,2.22044604925031e-16,9.17285951579562e-15,"Biva","Apantesis vittata"
116,2.22044604925031e-16,9.15538157429253e-15,"Biva","Apantesis vittata"
117,2.22044604925031e-16,9.14012950289422e-15,"Biva","Apantesis vittata"
118,2.3632725572439e-16,9.71412543107663e-15,"Biva","Apantesis vittata"
119,2.68935605660097e-16,1.10411866925876e-14,"Biva","Apantesis vittata"
120,3.0199208530093e-16,1.23862129933223e-14,"Biva","Apantesis vittata"
121,3.34533671648674e-16,1.37105497944365e-14,"Biva","Apantesis vittata"
122,3.65481491060897e-16,1.49709002178203e-14,"Biva","Apantesis vittata"
123,3.93691890489754e-16,1.61213461806773e-14,"Biva","Apantesis vittata"
124,4.18020264128739e-16,1.71158766321934e-14,"Biva","Apantesis vittata"
125,4.37393416879484e-16,1.79112581731391e-14,"Biva","Apantesis vittata"
126,4.50884644567182e-16,1.8470020055338e-14,"Biva","Apantesis vittata"
127,4.57784621474679e-16,1.87632820658073e-14,"Biva","Apantesis vittata"
128,4.57660846664889e-16,1.87731394770832e-14,"Biva","Apantesis vittata"
129,4.50398963064431e-16,1.84943401295648e-14,"Biva","Apantesis vittata"
130,4.3622075122076e-16,1.79350459020248e-14,"Biva","Apantesis vittata"
131,4.15675887765701e-16,1.71165596156808e-14,"Biva","Apantesis vittata"
132,3.89607377771884e-16,1.60720084654293e-14,"Biva","Apantesis vittata"
133,3.59093541737348e-16,1.4844091715727e-14,"Biva","Apantesis vittata"
134,3.25372133334657e-16,1.34821069469935e-14,"Biva","Apantesis vittata"
135,2.89754179217729e-16,1.20385497527288e-14,"Biva","Apantesis vittata"
136,2.53536161702246e-16,1.05656243734161e-14,"Biva","Apantesis vittata"
137,2.22044604925031e-16,9.2845055003281e-15,"Biva","Apantesis vittata"
138,2.22044604925031e-16,9.31931504836486e-15,"Biva","Apantesis vittata"
139,2.22044604925031e-16,9.35795905218381e-15,"Biva","Apantesis vittata"
140,2.22044604925031e-16,9.4007112842333e-15,"Biva","Apantesis vittata"
141,2.22044604925031e-16,9.44782426627701e-15,"Biva","Apantesis vittata"
142,2.22044604925031e-16,9.49951010620173e-15,"Biva","Apantesis vittata"
143,2.22044604925031e-16,9.55598263926123e-15,"Biva","Apantesis vittata"
144,2.22044604925031e-16,9.61745841943475e-15,"Biva","Apantesis vittata"
145,2.22044604925031e-16,9.68415445931522e-15,"Biva","Apantesis vittata"
146,2.22044604925031e-16,9.75628604442524e-15,"Biva","Apantesis vittata"
147,2.22044604925031e-16,9.83406464302491e-15,"Biva","Apantesis vittata"
148,2.22044604925031e-16,9.91769593255838e-15,"Biva","Apantesis vittata"
149,2.22044604925031e-16,1.00073779632945e-14,"Biva","Apantesis vittata"
150,2.22044604925031e-16,1.01032994784223e-14,"Biva","Apantesis vittata"
151,2.22044604925031e-16,1.020563840787e-14,"Biva","Apantesis vittata"
152,2.22044604925031e-16,1.03145605504759e-14,"Biva","Apantesis vittata"
153,2.22044604925031e-16,1.04302184559406e-14,"Biva","Apantesis vittata"
154,2.22044604925031e-16,1.05527505143594e-14,"Biva","Apantesis vittata"
155,2.22044604925031e-16,1.06822802572126e-14,"Biva","Apantesis vittata"
156,2.22044604925031e-16,1.08189158696557e-14,"Biva","Apantesis vittata"
157,2.22044604925031e-16,1.09627499099599e-14,"Biva","Apantesis vittata"
158,2.22044604925031e-16,1.111385922818e-14,"Biva","Apantesis vittata"
159,2.22044604925031e-16,1.12723050727052e-14,"Biva","Apantesis vittata"
160,2.22044604925031e-16,1.14381333704051e-14,"Biva","Apantesis vittata"
161,2.22044604925031e-16,1.161137516371e-14,"Biva","Apantesis vittata"
162,2.22044604925031e-16,1.17920471861992e-14,"Biva","Apantesis vittata"
163,2.22044604925031e-16,1.19801525571536e-14,"Biva","Apantesis vittata"
164,2.22044604925031e-16,1.21756815750223e-14,"Biva","Apantesis vittata"
165,2.22044604925031e-16,1.2378612589835e-14,"Biva","Apantesis vittata"
166,2.22044604925031e-16,1.25889129351823e-14,"Biva","Apantesis vittata"
167,2.22044604925031e-16,1.28065399014133e-14,"Biva","Apantesis vittata"
168,2.22044604925031e-16,1.30314417330762e-14,"Biva","Apantesis vittata"
169,2.22044604925031e-16,1.32635586352511e-14,"Biva","Apantesis vittata"
170,2.22044604925031e-16,1.35028237752182e-14,"Biva","Apantesis vittata"
171,2.22044604925031e-16,1.3749164267779e-14,"Biva","Apantesis vittata"
172,2.22044604925031e-16,1.40025021344333e-14,"Biva","Apantesis vittata"
173,2.22044604925031e-16,1.42627552284505e-14,"Biva","Apantesis vittata"
174,2.22044604925031e-16,1.45298381196099e-14,"Biva","Apantesis vittata"
