"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.46041793452847e-13,"Biva","Automeris io"
70,2.22044604925031e-16,1.45840820183443e-13,"Biva","Automeris io"
71,2.22044604925031e-16,1.45640713295989e-13,"Biva","Automeris io"
72,2.22044604925031e-16,1.4544151139625e-13,"Biva","Automeris io"
73,2.22044604925031e-16,1.45243252330164e-13,"Biva","Automeris io"
74,2.22044604925031e-16,1.45045973177576e-13,"Biva","Automeris io"
75,2.22044604925031e-16,1.44849710246433e-13,"Biva","Automeris io"
76,2.22044604925031e-16,1.44654499067476e-13,"Biva","Automeris io"
77,2.22044604925031e-16,1.44460374389416e-13,"Biva","Automeris io"
78,2.22044604925031e-16,1.44267370174619e-13,"Biva","Automeris io"
79,2.22044604925031e-16,1.44075519595319e-13,"Biva","Automeris io"
80,2.22044604925031e-16,1.43884855030347e-13,"Biva","Automeris io"
81,2.22044604925031e-16,1.43695408062417e-13,"Biva","Automeris io"
82,2.22044604925031e-16,1.43507209475959e-13,"Biva","Automeris io"
83,2.22044604925031e-16,1.43320289255522e-13,"Biva","Automeris io"
84,2.22044604925031e-16,1.43134676584754e-13,"Biva","Automeris io"
85,2.22044604925031e-16,1.42950399845971e-13,"Biva","Automeris io"
86,2.22044604925031e-16,1.4276748662033e-13,"Biva","Automeris io"
87,2.22044604925031e-16,1.42585963688611e-13,"Biva","Automeris io"
88,2.22044604925031e-16,1.42405857032621e-13,"Biva","Automeris io"
89,2.22044604925031e-16,1.42227191837234e-13,"Biva","Automeris io"
90,2.22044604925031e-16,1.42049992493071e-13,"Biva","Automeris io"
91,2.22044604925031e-16,1.41874282599841e-13,"Biva","Automeris io"
92,2.22044604925031e-16,1.41700084970334e-13,"Biva","Automeris io"
93,2.22044604925031e-16,1.415274216351e-13,"Biva","Automeris io"
94,2.22044604925031e-16,1.41356313847798e-13,"Biva","Automeris io"
95,2.22044604925031e-16,1.41186782091246e-13,"Biva","Automeris io"
96,2.22044604925031e-16,1.41018846084167e-13,"Biva","Automeris io"
97,2.22044604925031e-16,1.40852524788641e-13,"Biva","Automeris io"
98,2.22044604925031e-16,1.40687836418277e-13,"Biva","Automeris io"
99,2.22044604925031e-16,1.40524798447106e-13,"Biva","Automeris io"
100,2.22044604925031e-16,1.40363427619208e-13,"Biva","Automeris io"
101,2.22044604925031e-16,1.40203739959071e-13,"Biva","Automeris io"
102,2.22044604925031e-16,1.40045750782701e-13,"Biva","Automeris io"
103,2.22044604925031e-16,1.39889474709479e-13,"Biva","Automeris io"
104,2.22044604925031e-16,1.39734925674771e-13,"Biva","Automeris io"
105,2.22044604925031e-16,1.39582116943308e-13,"Biva","Automeris io"
106,2.22044604925031e-16,1.3943106112332e-13,"Biva","Automeris io"
107,2.22044604925031e-16,1.39281770181453e-13,"Biva","Automeris io"
108,2.22044604925031e-16,1.39134255458451e-13,"Biva","Automeris io"
109,2.22044604925031e-16,1.38988527685621e-13,"Biva","Automeris io"
110,2.22044604925031e-16,1.38844597002082e-13,"Biva","Automeris io"
111,2.22044604925031e-16,1.38702472972788e-13,"Biva","Automeris io"
112,2.22044604925031e-16,1.38562164607353e-13,"Biva","Automeris io"
113,2.22044604925031e-16,1.38423680379649e-13,"Biva","Automeris io"
114,2.22044604925031e-16,1.38287028248207e-13,"Biva","Automeris io"
115,2.22044604925031e-16,1.381522156774e-13,"Biva","Automeris io"
116,2.22044604925031e-16,1.38019249659423e-13,"Biva","Automeris io"
117,2.22044604925031e-16,1.37888136737065e-13,"Biva","Automeris io"
118,2.22044604925031e-16,1.3775888302727e-13,"Biva","Automeris io"
119,2.22044604925031e-16,1.37631494245493e-13,"Biva","Automeris io"
120,2.22044604925031e-16,1.37505975730845e-13,"Biva","Automeris io"
121,2.22044604925031e-16,1.37382332472025e-13,"Biva","Automeris io"
122,2.22044604925031e-16,1.37260569134045e-13,"Biva","Automeris io"
123,2.22044604925031e-16,1.37140690085733e-13,"Biva","Automeris io"
124,2.22044604925031e-16,1.37022699428026e-13,"Biva","Automeris io"
125,2.22044604925031e-16,1.36906601023035e-13,"Biva","Automeris io"
126,2.22044604925031e-16,1.36792398523893e-13,"Biva","Automeris io"
127,2.22044604925031e-16,1.36680095405372e-13,"Biva","Automeris io"
128,2.22044604925031e-16,1.36569694995268e-13,"Biva","Automeris io"
129,2.22044604925031e-16,1.36461200506551e-13,"Biva","Automeris io"
130,2.22044604925031e-16,1.36354615070276e-13,"Biva","Automeris io"
131,2.22044604925031e-16,1.3624994176924e-13,"Biva","Automeris io"
132,2.22044604925031e-16,1.36147183672397e-13,"Biva","Automeris io"
133,2.22044604925031e-16,1.36046343870012e-13,"Biva","Automeris io"
134,2.22044604925031e-16,1.35947425509541e-13,"Biva","Automeris io"
135,2.22044604925031e-16,1.35850431832256e-13,"Biva","Automeris io"
136,2.22044604925031e-16,1.35755366210579e-13,"Biva","Automeris io"
137,2.22044604925031e-16,1.35662232186136e-13,"Biva","Automeris io"
138,2.22044604925031e-16,1.35571033508515e-13,"Biva","Automeris io"
139,2.22044604925031e-16,1.35481774174725e-13,"Biva","Automeris io"
140,2.22044604925031e-16,1.35394458001376e-13,"Biva","Automeris io"
141,2.22044604925031e-16,1.35309071023092e-13,"Biva","Automeris io"
142,2.22044604925031e-16,1.35225576490303e-13,"Biva","Automeris io"
143,2.22044604925031e-16,1.35143937112917e-13,"Biva","Automeris io"
144,2.22044604925031e-16,1.35064116612034e-13,"Biva","Automeris io"
145,2.22044604925031e-16,1.34986079685901e-13,"Biva","Automeris io"
146,2.22044604925031e-16,1.34909791976196e-13,"Biva","Automeris io"
147,2.22044604925031e-16,1.34835220034663e-13,"Biva","Automeris io"
148,2.22044604925031e-16,1.34762331290106e-13,"Biva","Automeris io"
149,2.22044604925031e-16,1.34691094015775e-13,"Biva","Automeris io"
150,2.22044604925031e-16,1.34621477297145e-13,"Biva","Automeris io"
151,2.22044604925031e-16,1.3455345100012e-13,"Biva","Automeris io"
152,2.22044604925031e-16,1.34486985739667e-13,"Biva","Automeris io"
153,2.22044604925031e-16,1.34422052848907e-13,"Biva","Automeris io"
154,2.22044604925031e-16,1.34358624348659e-13,"Biva","Automeris io"
155,2.22044604925031e-16,1.34296672917473e-13,"Biva","Automeris io"
156,2.22044604925031e-16,1.34236171862149e-13,"Biva","Automeris io"
157,2.22044604925031e-16,1.34177095088768e-13,"Biva","Automeris io"
158,2.22044604925031e-16,1.34119417074237e-13,"Biva","Automeris io"
159,2.22044604925031e-16,1.34063112838362e-13,"Biva","Automeris io"
160,2.22044604925031e-16,1.34008157916466e-13,"Biva","Automeris io"
161,2.22044604925031e-16,1.33954528332564e-13,"Biva","Automeris io"
162,2.22044604925031e-16,1.33902200573091e-13,"Biva","Automeris io"
163,2.22044604925031e-16,1.33851151561211e-13,"Biva","Automeris io"
164,2.22044604925031e-16,1.33801358631709e-13,"Biva","Automeris io"
165,2.22044604925031e-16,1.33752799506473e-13,"Biva","Automeris io"
166,2.22044604925031e-16,1.33705452270575e-13,"Biva","Automeris io"
167,2.22044604925031e-16,1.3365929534897e-13,"Biva","Automeris io"
168,2.22044604925031e-16,1.33614307483801e-13,"Biva","Automeris io"
169,2.22044604925031e-16,1.33570467712341e-13,"Biva","Automeris io"
170,2.22044604925031e-16,1.3352775534556e-13,"Biva","Automeris io"
171,2.22044604925031e-16,1.33486149947334e-13,"Biva","Automeris io"
172,2.22044604925031e-16,1.33445631314301e-13,"Biva","Automeris io"
173,2.22044604925031e-16,1.33406179456369e-13,"Biva","Automeris io"
174,2.22044604925031e-16,1.33367774577881e-13,"Biva","Automeris io"
175,2.22044604925031e-16,1.3333039705945e-13,"Biva","Automeris io"
176,2.22044604925031e-16,1.33294027440452e-13,"Biva","Automeris io"
177,2.22044604925031e-16,1.3325864640221e-13,"Biva","Automeris io"
178,2.22044604925031e-16,1.33224234751841e-13,"Biva","Automeris io"
179,2.22044604925031e-16,1.33190773406799e-13,"Biva","Automeris io"
180,2.22044604925031e-16,1.33158243380099e-13,"Biva","Automeris io"
181,2.22044604925031e-16,1.3312662576624e-13,"Biva","Automeris io"
182,2.22044604925031e-16,1.33095901727816e-13,"Biva","Automeris io"
183,2.22044604925031e-16,1.3306605248283e-13,"Biva","Automeris io"
184,2.22044604925031e-16,1.33037059292717e-13,"Biva","Automeris io"
185,2.22044604925031e-16,1.33008903451061e-13,"Biva","Automeris io"
186,2.22044604925031e-16,1.32981566273031e-13,"Biva","Automeris io"
187,2.22044604925031e-16,1.32955029085522e-13,"Biva","Automeris io"
188,2.22044604925031e-16,1.32929273218013e-13,"Biva","Automeris io"
189,2.22044604925031e-16,1.3290427999414e-13,"Biva","Automeris io"
190,2.22044604925031e-16,1.32880030723986e-13,"Biva","Automeris io"
191,2.22044604925031e-16,1.32856506697094e-13,"Biva","Automeris io"
192,2.22044604925031e-16,1.32833689176195e-13,"Biva","Automeris io"
193,2.22044604925031e-16,1.3281155939167e-13,"Biva","Automeris io"
194,2.22044604925031e-16,1.32790098536724e-13,"Biva","Automeris io"
195,2.22044604925031e-16,1.32769287763298e-13,"Biva","Automeris io"
196,2.22044604925031e-16,1.32749108178694e-13,"Biva","Automeris io"
197,2.22044604925031e-16,1.32729540842944e-13,"Biva","Automeris io"
198,2.22044604925031e-16,1.32710566766891e-13,"Biva","Automeris io"
199,2.22044604925031e-16,1.32692166911014e-13,"Biva","Automeris io"
200,2.22044604925031e-16,1.32674322184973e-13,"Biva","Automeris io"
201,2.22044604925031e-16,1.3265701344789e-13,"Biva","Automeris io"
202,2.22044604925031e-16,1.32640221509354e-13,"Biva","Automeris io"
203,2.22044604925031e-16,1.3262392713117e-13,"Biva","Automeris io"
204,2.22044604925031e-16,1.32608111029826e-13,"Biva","Automeris io"
205,2.22044604925031e-16,1.32592753879697e-13,"Biva","Automeris io"
206,2.22044604925031e-16,1.32577836316987e-13,"Biva","Automeris io"
207,2.22044604925031e-16,1.32563338944392e-13,"Biva","Automeris io"
