"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.09884323169878e-13,"Biva","Condica vecors"
70,2.22044604925031e-16,1.09703996957142e-13,"Biva","Condica vecors"
71,2.22044604925031e-16,1.0952559664486e-13,"Biva","Condica vecors"
72,2.22044604925031e-16,1.0934916202147e-13,"Biva","Condica vecors"
73,2.22044604925031e-16,1.09174731463359e-13,"Biva","Condica vecors"
74,2.22044604925031e-16,1.09002341918535e-13,"Biva","Condica vecors"
75,2.22044604925031e-16,1.08832028891255e-13,"Biva","Condica vecors"
76,2.22044604925031e-16,1.08663826427625e-13,"Biva","Condica vecors"
77,2.22044604925031e-16,1.08497767102218e-13,"Biva","Condica vecors"
78,2.22044604925031e-16,1.08333882005728e-13,"Biva","Condica vecors"
79,2.22044604925031e-16,1.08172200733712e-13,"Biva","Condica vecors"
80,2.22044604925031e-16,1.08012751376426e-13,"Biva","Condica vecors"
81,2.22044604925031e-16,1.07855560509812e-13,"Biva","Condica vecors"
82,2.22044604925031e-16,1.07700653187646e-13,"Biva","Condica vecors"
83,2.22044604925031e-16,1.0754805293488e-13,"Biva","Condica vecors"
84,2.22044604925031e-16,1.07397781742217e-13,"Biva","Condica vecors"
85,2.22044604925031e-16,1.07249860061929e-13,"Biva","Condica vecors"
86,2.22044604925031e-16,1.07104306804958e-13,"Biva","Condica vecors"
87,2.22044604925031e-16,1.06961139339309e-13,"Biva","Condica vecors"
88,2.22044604925031e-16,1.0682037348977e-13,"Biva","Condica vecors"
89,2.22044604925031e-16,1.06682023538987e-13,"Biva","Condica vecors"
90,2.22044604925031e-16,1.06546102229882e-13,"Biva","Condica vecors"
91,2.22044604925031e-16,1.06412620769477e-13,"Biva","Condica vecors"
92,2.22044604925031e-16,1.06281588834107e-13,"Biva","Condica vecors"
93,2.22044604925031e-16,1.06153014576051e-13,"Biva","Condica vecors"
94,2.22044604925031e-16,1.06026904631596e-13,"Biva","Condica vecors"
95,2.22044604925031e-16,1.05903264130542e-13,"Biva","Condica vecors"
96,2.22044604925031e-16,1.05782096707168e-13,"Biva","Condica vecors"
97,2.22044604925031e-16,1.05663404512649e-13,"Biva","Condica vecors"
98,2.22044604925031e-16,1.0554718822896e-13,"Biva","Condica vecors"
99,2.22044604925031e-16,1.05433447084243e-13,"Biva","Condica vecors"
100,2.22044604925031e-16,1.05322178869666e-13,"Biva","Condica vecors"
101,2.22044604925031e-16,1.05213379957761e-13,"Biva","Condica vecors"
102,2.22044604925031e-16,1.05107045322254e-13,"Biva","Condica vecors"
103,2.22044604925031e-16,1.05003168559369e-13,"Biva","Condica vecors"
104,2.22044604925031e-16,1.04901741910629e-13,"Biva","Condica vecors"
105,2.22044604925031e-16,1.04802756287126e-13,"Biva","Condica vecors"
106,2.22044604925031e-16,1.04706201295269e-13,"Biva","Condica vecors"
107,2.22044604925031e-16,1.04612065264004e-13,"Biva","Condica vecors"
108,2.22044604925031e-16,1.04520335273487e-13,"Biva","Condica vecors"
109,2.22044604925031e-16,1.0443099718521e-13,"Biva","Condica vecors"
110,2.22044604925031e-16,1.04344035673567e-13,"Biva","Condica vecors"
111,2.22044604925031e-16,1.04259434258851e-13,"Biva","Condica vecors"
112,2.22044604925031e-16,1.04177175341653e-13,"Biva","Condica vecors"
113,2.22044604925031e-16,1.04097240238679e-13,"Biva","Condica vecors"
114,2.22044604925031e-16,1.04019609219934e-13,"Biva","Condica vecors"
115,2.22044604925031e-16,1.03944261547281e-13,"Biva","Condica vecors"
116,2.22044604925031e-16,1.03871175514355e-13,"Biva","Condica vecors"
117,2.22044604925031e-16,1.03800328487797e-13,"Biva","Condica vecors"
118,2.22044604925031e-16,1.03731696949811e-13,"Biva","Condica vecors"
119,2.22044604925031e-16,1.0366525654201e-13,"Biva","Condica vecors"
120,2.22044604925031e-16,1.03600982110531e-13,"Biva","Condica vecors"
121,2.22044604925031e-16,1.03538847752409e-13,"Biva","Condica vecors"
122,2.22044604925031e-16,1.03478826863172e-13,"Biva","Condica vecors"
123,2.22044604925031e-16,1.03420892185652e-13,"Biva","Condica vecors"
124,2.22044604925031e-16,1.03365015859975e-13,"Biva","Condica vecors"
125,2.22044604925031e-16,1.03311169474724e-13,"Biva","Condica vecors"
126,2.22044604925031e-16,1.03259324119232e-13,"Biva","Condica vecors"
127,2.22044604925031e-16,1.03209450437002e-13,"Biva","Condica vecors"
128,2.22044604925031e-16,1.03161518680221e-13,"Biva","Condica vecors"
129,2.22044604925031e-16,1.03115498765346e-13,"Biva","Condica vecors"
130,2.22044604925031e-16,1.03071360329748e-13,"Biva","Condica vecors"
131,2.22044604925031e-16,1.03029072789376e-13,"Biva","Condica vecors"
132,2.22044604925031e-16,1.02988605397437e-13,"Biva","Condica vecors"
133,2.22044604925031e-16,1.02949927304065e-13,"Biva","Condica vecors"
134,2.22044604925031e-16,1.02913007616943e-13,"Biva","Condica vecors"
135,2.22044604925031e-16,1.02877815462888e-13,"Biva","Condica vecors"
136,2.22044604925031e-16,1.02844320050347e-13,"Biva","Condica vecors"
137,2.22044604925031e-16,1.02812490732809e-13,"Biva","Condica vecors"
