"doy","fit","se","Site","validName"
69,2.22044604925031e-16,2.44923199458775e-12,"Biva","Heterocampa obliqua"
70,2.22044604925031e-16,2.41429313667678e-12,"Biva","Heterocampa obliqua"
71,2.22044604925031e-16,2.37938470863151e-12,"Biva","Heterocampa obliqua"
72,2.22044604925031e-16,2.34451476248386e-12,"Biva","Heterocampa obliqua"
73,2.22044604925031e-16,2.30969136020702e-12,"Biva","Heterocampa obliqua"
74,2.22044604925031e-16,2.27492257366735e-12,"Biva","Heterocampa obliqua"
75,2.22044604925031e-16,2.24021648456112e-12,"Biva","Heterocampa obliqua"
76,2.22044604925031e-16,2.20558118433338e-12,"Biva","Heterocampa obliqua"
77,2.22044604925031e-16,2.1710247740756e-12,"Biva","Heterocampa obliqua"
78,2.22044604925031e-16,2.13655536439849e-12,"Biva","Heterocampa obliqua"
79,2.22044604925031e-16,2.10218107527595e-12,"Biva","Heterocampa obliqua"
80,2.22044604925031e-16,2.0679100358556e-12,"Biva","Heterocampa obliqua"
81,2.22044604925031e-16,2.03375038423075e-12,"Biva","Heterocampa obliqua"
82,2.22044604925031e-16,1.99971026716832e-12,"Biva","Heterocampa obliqua"
83,2.22044604925031e-16,1.96579783978607e-12,"Biva","Heterocampa obliqua"
84,2.22044604925031e-16,1.93202126517227e-12,"Biva","Heterocampa obliqua"
85,2.22044604925031e-16,1.89838871393982e-12,"Biva","Heterocampa obliqua"
86,2.22044604925031e-16,1.86490836370583e-12,"Biva","Heterocampa obliqua"
87,2.22044604925031e-16,1.83158839848689e-12,"Biva","Heterocampa obliqua"
88,2.22044604925031e-16,1.79843700799901e-12,"Biva","Heterocampa obliqua"
89,2.22044604925031e-16,1.76546238684964e-12,"Biva","Heterocampa obliqua"
90,2.22044604925031e-16,1.73267273360835e-12,"Biva","Heterocampa obliqua"
91,2.22044604925031e-16,1.70007624974051e-12,"Biva","Heterocampa obliqua"
92,2.22044604925031e-16,1.66768113838714e-12,"Biva","Heterocampa obliqua"
93,2.22044604925031e-16,1.6354956029717e-12,"Biva","Heterocampa obliqua"
94,2.22044604925031e-16,1.60352784561274e-12,"Biva","Heterocampa obliqua"
95,2.22044604925031e-16,1.57178606531882e-12,"Biva","Heterocampa obliqua"
96,2.22044604925031e-16,1.54027845593965e-12,"Biva","Heterocampa obliqua"
97,2.22044604925031e-16,1.50901320384418e-12,"Biva","Heterocampa obliqua"
98,2.22044604925031e-16,1.47799848529375e-12,"Biva","Heterocampa obliqua"
99,2.22044604925031e-16,1.44724246347438e-12,"Biva","Heterocampa obliqua"
100,2.22044604925031e-16,1.41675328514903e-12,"Biva","Heterocampa obliqua"
101,2.22044604925031e-16,1.38653907688599e-12,"Biva","Heterocampa obliqua"
102,2.22044604925031e-16,1.35660794081571e-12,"Biva","Heterocampa obliqua"
103,2.22044604925031e-16,1.32696794986289e-12,"Biva","Heterocampa obliqua"
104,2.22044604925031e-16,1.29762714239604e-12,"Biva","Heterocampa obliqua"
105,2.22044604925031e-16,1.26859351623067e-12,"Biva","Heterocampa obliqua"
106,2.22044604925031e-16,1.23987502191657e-12,"Biva","Heterocampa obliqua"
107,2.22044604925031e-16,1.21147955523338e-12,"Biva","Heterocampa obliqua"
108,2.22044604925031e-16,1.18341494881177e-12,"Biva","Heterocampa obliqua"
109,2.22044604925031e-16,1.15568896279114e-12,"Biva","Heterocampa obliqua"
110,2.22044604925031e-16,1.12830927441732e-12,"Biva","Heterocampa obliqua"
111,2.22044604925031e-16,1.10128346647688e-12,"Biva","Heterocampa obliqua"
