"doy","fit","se","Site","validName"
69,0.0109737411173521,329.828194845448,"Biva","Metalectra discalis"
70,0.00163276790748857,60.1081211562401,"Biva","Metalectra discalis"
71,0.000242937300161793,10.8750118769116,"Biva","Metalectra discalis"
72,3.61463080816513e-05,1.92943803650574,"Biva","Metalectra discalis"
73,5.37815966120993e-06,0.335496560821823,"Biva","Metalectra discalis"
74,8.00209008237614e-07,0.0573160911698253,"Biva","Metalectra discalis"
75,1.19062002097658e-07,0.0096477089934333,"Biva","Metalectra discalis"
76,1.77150721843629e-08,0.00160401679852071,"Biva","Metalectra discalis"
77,2.63580132173242e-09,0.000263944300946164,"Biva","Metalectra discalis"
78,3.92177267771983e-10,4.30567235615026e-05,"Biva","Metalectra discalis"
79,5.83515184126276e-11,6.97204894947723e-06,"Biva","Metalectra discalis"
80,8.68204248656096e-12,1.12182632435438e-06,"Biva","Metalectra discalis"
81,1.29178920770142e-12,1.79517097891744e-07,"Biva","Metalectra discalis"
82,1.92203546540715e-13,2.85892996353003e-08,"Biva","Metalectra discalis"
83,2.85977023825447e-14,4.53386880080368e-09,"Biva","Metalectra discalis"
84,4.25501296037455e-15,7.16326503468186e-10,"Biva","Metalectra discalis"
85,6.33097549263424e-16,1.12799108406292e-10,"Biva","Metalectra discalis"
86,2.22044604925031e-16,4.17447748059675e-11,"Biva","Metalectra discalis"
87,2.22044604925031e-16,4.39297521337657e-11,"Biva","Metalectra discalis"
88,2.22044604925031e-16,4.61163861518279e-11,"Biva","Metalectra discalis"
89,2.22044604925031e-16,4.83044518767384e-11,"Biva","Metalectra discalis"
90,2.22044604925031e-16,5.04937631867235e-11,"Biva","Metalectra discalis"
91,2.22044604925031e-16,5.26841647996716e-11,"Biva","Metalectra discalis"
92,2.22044604925031e-16,5.4875526154727e-11,"Biva","Metalectra discalis"
93,2.22044604925031e-16,5.70677366917113e-11,"Biva","Metalectra discalis"
94,2.22044604925031e-16,5.9260702170225e-11,"Biva","Metalectra discalis"
95,2.22044604925031e-16,6.14543417712605e-11,"Biva","Metalectra discalis"
96,2.22044604925031e-16,6.36485857942412e-11,"Biva","Metalectra discalis"
97,2.22044604925031e-16,6.58433738117365e-11,"Biva","Metalectra discalis"
98,2.22044604925031e-16,6.80386531793101e-11,"Biva","Metalectra discalis"
99,2.22044604925031e-16,7.02343778233568e-11,"Biva","Metalectra discalis"
100,2.22044604925031e-16,7.24305072483328e-11,"Biva","Metalectra discalis"
101,2.22044604925031e-16,7.46270057184715e-11,"Biva","Metalectra discalis"
102,2.22044604925031e-16,7.68238415792646e-11,"Biva","Metalectra discalis"
103,2.22044604925031e-16,7.90209866916655e-11,"Biva","Metalectra discalis"
104,2.22044604925031e-16,8.12184159577734e-11,"Biva","Metalectra discalis"
105,2.22044604925031e-16,8.34161069212218e-11,"Biva","Metalectra discalis"
106,2.22044604925031e-16,8.56140394288966e-11,"Biva","Metalectra discalis"
107,2.22044604925031e-16,8.78121953432999e-11,"Biva","Metalectra discalis"
108,2.22044604925031e-16,9.00105582969254e-11,"Biva","Metalectra discalis"
109,2.22044604925031e-16,9.22091134816716e-11,"Biva","Metalectra discalis"
110,2.22044604925031e-16,9.44078474675943e-11,"Biva","Metalectra discalis"
111,2.22044604925031e-16,9.6606748046348e-11,"Biva","Metalectra discalis"
112,2.22044604925031e-16,9.88058040954767e-11,"Biva","Metalectra discalis"
113,2.22044604925031e-16,1.01005005460393e-10,"Biva","Metalectra discalis"
114,2.22044604925031e-16,1.03204342851411e-10,"Biva","Metalectra discalis"
115,2.22044604925031e-16,1.05403807753641e-10,"Biva","Metalectra discalis"
116,2.22044604925031e-16,1.07603392347911e-10,"Biva","Metalectra discalis"
117,2.22044604925031e-16,1.09803089441179e-10,"Biva","Metalectra discalis"
118,2.22044604925031e-16,1.12002892405125e-10,"Biva","Metalectra discalis"
119,2.22044604925031e-16,1.14202795121825e-10,"Biva","Metalectra discalis"
120,2.22044604925031e-16,1.16402791935582e-10,"Biva","Metalectra discalis"
121,2.22044604925031e-16,1.186028776101e-10,"Biva","Metalectra discalis"
122,2.22044604925031e-16,1.20803047290337e-10,"Biva","Metalectra discalis"
123,2.22044604925031e-16,1.23003296468444e-10,"Biva","Metalectra discalis"
124,2.22044604925031e-16,1.25203620953283e-10,"Biva","Metalectra discalis"
125,2.22044604925031e-16,1.27404016843113e-10,"Biva","Metalectra discalis"
126,2.22044604925031e-16,1.29604480501039e-10,"Biva","Metalectra discalis"
127,2.22044604925031e-16,1.31805008532929e-10,"Biva","Metalectra discalis"
128,2.22044604925031e-16,1.34005597767496e-10,"Biva","Metalectra discalis"
129,2.22044604925031e-16,1.36206245238313e-10,"Biva","Metalectra discalis"
130,2.22044604925031e-16,1.38406948167541e-10,"Biva","Metalectra discalis"
131,2.22044604925031e-16,1.40607703951179e-10,"Biva","Metalectra discalis"
132,2.22044604925031e-16,1.42808510145683e-10,"Biva","Metalectra discalis"
133,2.22044604925031e-16,1.45009364455797e-10,"Biva","Metalectra discalis"
134,2.22044604925031e-16,1.47210264723476e-10,"Biva","Metalectra discalis"
135,2.22044604925031e-16,1.49411208917788e-10,"Biva","Metalectra discalis"
136,2.22044604925031e-16,1.51612195125692e-10,"Biva","Metalectra discalis"
137,2.22044604925031e-16,1.53813221543612e-10,"Biva","Metalectra discalis"
138,2.22044604925031e-16,1.56014286469717e-10,"Biva","Metalectra discalis"
139,2.22044604925031e-16,1.58215388296849e-10,"Biva","Metalectra discalis"
140,2.22044604925031e-16,1.60416525506033e-10,"Biva","Metalectra discalis"
141,2.22044604925031e-16,1.62617696660511e-10,"Biva","Metalectra discalis"
142,2.22044604925031e-16,1.64818900400255e-10,"Biva","Metalectra discalis"
143,2.22044604925031e-16,1.67020135436917e-10,"Biva","Metalectra discalis"
144,2.22044604925031e-16,1.69221400549162e-10,"Biva","Metalectra discalis"
145,2.22044604925031e-16,1.71422694578375e-10,"Biva","Metalectra discalis"
146,2.22044604925031e-16,1.73624016424685e-10,"Biva","Metalectra discalis"
147,2.22044604925031e-16,1.75825365043286e-10,"Biva","Metalectra discalis"
148,2.22044604925031e-16,1.7802673944104e-10,"Biva","Metalectra discalis"
149,2.22044604925031e-16,1.80228138673316e-10,"Biva","Metalectra discalis"
150,2.22044604925031e-16,1.82429561841071e-10,"Biva","Metalectra discalis"
151,2.22044604925031e-16,1.84631008088132e-10,"Biva","Metalectra discalis"
152,2.22044604925031e-16,1.86832476598667e-10,"Biva","Metalectra discalis"
153,2.22044604925031e-16,1.89033966594844e-10,"Biva","Metalectra discalis"
154,2.22044604925031e-16,1.91235477334638e-10,"Biva","Metalectra discalis"
155,2.22044604925031e-16,1.93437008109798e-10,"Biva","Metalectra discalis"
156,2.22044604925031e-16,1.95638558243949e-10,"Biva","Metalectra discalis"
157,2.22044604925031e-16,1.97840127090813e-10,"Biva","Metalectra discalis"
158,2.22044604925031e-16,2.00041714032559e-10,"Biva","Metalectra discalis"
159,2.22044604925031e-16,2.02243318478255e-10,"Biva","Metalectra discalis"
160,2.22044604925031e-16,2.04444939862415e-10,"Biva","Metalectra discalis"
161,2.22044604925031e-16,2.06646577643651e-10,"Biva","Metalectra discalis"
162,2.22044604925031e-16,2.08848231303398e-10,"Biva","Metalectra discalis"
163,2.22044604925031e-16,2.11049900344727e-10,"Biva","Metalectra discalis"
164,2.22044604925031e-16,2.13251584291226e-10,"Biva","Metalectra discalis"
165,2.22044604925031e-16,2.15453282685955e-10,"Biva","Metalectra discalis"
166,2.22044604925031e-16,2.17654995090458e-10,"Biva","Metalectra discalis"
167,2.22044604925031e-16,2.19856721083841e-10,"Biva","Metalectra discalis"
168,2.22044604925031e-16,2.22058460261899e-10,"Biva","Metalectra discalis"
169,2.22044604925031e-16,2.24260212236301e-10,"Biva","Metalectra discalis"
170,2.22044604925031e-16,2.26461976633811e-10,"Biva","Metalectra discalis"
171,2.22044604925031e-16,2.28663753095571e-10,"Biva","Metalectra discalis"
172,2.22044604925031e-16,2.30865541276409e-10,"Biva","Metalectra discalis"
173,2.22044604925031e-16,2.33067340844193e-10,"Biva","Metalectra discalis"
174,2.22044604925031e-16,2.35269151479225e-10,"Biva","Metalectra discalis"
175,2.22044604925031e-16,2.37470972873662e-10,"Biva","Metalectra discalis"
176,2.22044604925031e-16,2.39672804730969e-10,"Biva","Metalectra discalis"
177,2.22044604925031e-16,2.41874646765411e-10,"Biva","Metalectra discalis"
178,2.22044604925031e-16,2.4407649870156e-10,"Biva","Metalectra discalis"
179,2.22044604925031e-16,2.46278360273838e-10,"Biva","Metalectra discalis"
180,2.22044604925031e-16,2.48480231226079e-10,"Biva","Metalectra discalis"
181,2.22044604925031e-16,2.50682111311114e-10,"Biva","Metalectra discalis"
182,2.22044604925031e-16,2.52884000290385e-10,"Biva","Metalectra discalis"
183,2.22044604925031e-16,2.55085897933567e-10,"Biva","Metalectra discalis"
184,2.22044604925031e-16,2.5728780401822e-10,"Biva","Metalectra discalis"
185,2.22044604925031e-16,2.59489718329454e-10,"Biva","Metalectra discalis"
186,2.22044604925031e-16,2.61691640659609e-10,"Biva","Metalectra discalis"
187,2.22044604925031e-16,2.63893570807957e-10,"Biva","Metalectra discalis"
188,2.22044604925031e-16,2.6609550858041e-10,"Biva","Metalectra discalis"
189,2.22044604925031e-16,2.68297453789255e-10,"Biva","Metalectra discalis"
190,2.22044604925031e-16,2.70499406252889e-10,"Biva","Metalectra discalis"
191,2.22044604925031e-16,2.72701365795572e-10,"Biva","Metalectra discalis"
192,2.22044604925031e-16,2.74903332247197e-10,"Biva","Metalectra discalis"
193,2.22044604925031e-16,2.77105305443061e-10,"Biva","Metalectra discalis"
194,2.22044604925031e-16,2.79307285223656e-10,"Biva","Metalectra discalis"
195,2.22044604925031e-16,2.81509271434464e-10,"Biva","Metalectra discalis"
196,2.22044604925031e-16,2.83711263925764e-10,"Biva","Metalectra discalis"
197,2.22044604925031e-16,2.85913262552444e-10,"Biva","Metalectra discalis"
198,2.22044604925031e-16,2.88115267173833e-10,"Biva","Metalectra discalis"
199,2.22044604925031e-16,2.90317277653522e-10,"Biva","Metalectra discalis"
200,2.22044604925031e-16,2.92519293859213e-10,"Biva","Metalectra discalis"
201,2.22044604925031e-16,2.9472131566256e-10,"Biva","Metalectra discalis"
202,2.22044604925031e-16,2.96923342939024e-10,"Biva","Metalectra discalis"
203,2.22044604925031e-16,2.99125375567734e-10,"Biva","Metalectra discalis"
204,2.22044604925031e-16,3.01327413431349e-10,"Biva","Metalectra discalis"
205,2.22044604925031e-16,3.03529456415937e-10,"Biva","Metalectra discalis"
206,2.22044604925031e-16,3.05731504410845e-10,"Biva","Metalectra discalis"
