"doy","fit","se","Site","validName"
69,1.61230171040457e-05,0.000118011456291977,"Biva","Nadata gibbosa"
70,1.94927187327559e-05,0.000140044280540922,"Biva","Nadata gibbosa"
71,2.35656400240465e-05,0.000166127004282592,"Biva","Nadata gibbosa"
72,2.84870518179023e-05,0.000196982019196406,"Biva","Nadata gibbosa"
73,3.44316580386332e-05,0.000233454458570509,"Biva","Nadata gibbosa"
74,4.16093808514625e-05,0.000276531514610888,"Biva","Nadata gibbosa"
75,5.02722332526473e-05,0.000327364430778191,"Biva","Nadata gibbosa"
76,6.07224705054069e-05,0.000387293455565412,"Biva","Nadata gibbosa"
77,7.33222422735134e-05,0.000457876055257452,"Biva","Nadata gibbosa"
78,8.85050017933498e-05,0.000540918689528964,"Biva","Nadata gibbosa"
79,0.000106788967310237,0.000638512453604447,"Biva","Nadata gibbosa"
80,0.000128792974612448,0.000753072882212066,"Biva","Nadata gibbosa"
81,0.000155255108115295,0.000887384191507451,"Biva","Nadata gibbosa"
82,0.000187054551807075,0.00104464820303202,"Biva","Nadata gibbosa"
83,0.000225237160611002,0.00122853814582753,"Biva","Nadata gibbosa"
84,0.000271045317365216,0.00144325746602758,"Biva","Nadata gibbosa"
85,0.000325952710540823,0.00169360368435931,"Biva","Nadata gibbosa"
86,0.000391704742665051,0.00198503722766612,"Biva","Nadata gibbosa"
87,0.000470365358594177,0.00232375501744496,"Biva","Nadata gibbosa"
88,0.000564371165371293,0.00271676842326913,"Biva","Nadata gibbosa"
89,0.000676593800102194,0.0031719849789752,"Biva","Nadata gibbosa"
90,0.00081041158732121,0.0036982930123691,"Biva","Nadata gibbosa"
91,0.000969791610386049,0.00430564805360969,"Biva","Nadata gibbosa"
92,0.00115938339959537,0.00500515956331387,"Biva","Nadata gibbosa"
93,0.0013846255093055,0.00580917616049532,"Biva","Nadata gibbosa"
94,0.00165186631286694,0.00673136713664837,"Biva","Nadata gibbosa"
95,0.00196850038235415,0.00778679762240905,"Biva","Nadata gibbosa"
96,0.00234312183350614,0.00899199433748902,"Biva","Nadata gibbosa"
97,0.00278569599769815,0.0103649984173394,"Biva","Nadata gibbosa"
98,0.00330775072374059,0.0119254013903751,"Biva","Nadata gibbosa"
99,0.00392258850341689,0.0136943600021181,"Biva","Nadata gibbosa"
100,0.00464552044548815,0.0156945852778479,"Biva","Nadata gibbosa"
101,0.0054941228820638,0.0179503010202204,"Biva","Nadata gibbosa"
102,0.00648851706668046,0.0204871668964748,"Biva","Nadata gibbosa"
103,0.0076516720025688,0.0233321614314745,"Biva","Nadata gibbosa"
104,0.00900972990969435,0.0265134206441967,"Biva","Nadata gibbosa"
105,0.0105923531878018,0.0300600288077375,"Biva","Nadata gibbosa"
106,0.0124330909483001,0.0340017589409636,"Biva","Nadata gibbosa"
107,0.0145697622603702,0.0383687622188498,"Biva","Nadata gibbosa"
108,0.0170448521785041,0.0431912075801514,"Biva","Nadata gibbosa"
109,0.019905915385434,0.048498875469043,"Biva","Nadata gibbosa"
110,0.0232059808961138,0.0543207129097698,"Biva","Nadata gibbosa"
111,0.0270039497306439,0.0606843609943848,"Biva","Nadata gibbosa"
112,0.0313649757891468,0.0676156703415072,"Biva","Nadata gibbosa"
113,0.036360818370039,0.0751382250872518,"Biva","Nadata gibbosa"
114,0.0420701528947152,0.0832729013590775,"Biva","Nadata gibbosa"
115,0.0485788244766702,0.0920374917313257,"Biva","Nadata gibbosa"
116,0.0559800270534672,0.10144643252589,"Biva","Nadata gibbosa"
117,0.064374388949986,0.111510675518256,"Biva","Nadata gibbosa"
118,0.073869944038115,0.122237748980056,"Biva","Nadata gibbosa"
119,0.0845819661912867,0.133632054173391,"Biva","Nadata gibbosa"
120,0.0966326436039397,0.145695441323471,"Biva","Nadata gibbosa"
121,0.110150568868758,0.158428102421107,"Biva","Nadata gibbosa"
122,0.12527002059968,0.171829805437909,"Biva","Nadata gibbosa"
123,0.142130012982903,0.18590147407389,"Biva","Nadata gibbosa"
124,0.160873091059577,0.200647087504919,"Biva","Nadata gibbosa"
125,0.181643851917066,0.216075834714146,"Biva","Nadata gibbosa"
126,0.204587175405029,0.232204407812144,"Biva","Nadata gibbosa"
127,0.229846152595973,0.249059259902058,"Biva","Nadata gibbosa"
128,0.257559706050187,0.266678589684075,"Biva","Nadata gibbosa"
129,0.287859903061893,0.285113754575785,"Biva","Nadata gibbosa"
130,0.320868971455004,0.304429767782886,"Biva","Nadata gibbosa"
131,0.356696037110525,0.32470451674309,"Biva","Nadata gibbosa"
132,0.395433613132715,0.346026366110081,"Biva","Nadata gibbosa"
133,0.437153882221687,0.368489890884623,"Biva","Nadata gibbosa"
134,0.481904826170345,0.392189629998642,"Biva","Nadata gibbosa"
135,0.529706269124742,0.417211950999069,"Biva","Nadata gibbosa"
136,0.580545913948485,0.443625351184605,"Biva","Nadata gibbosa"
137,0.634375463254338,0.471469755678332,"Biva","Nadata gibbosa"
138,0.691106927891088,0.500745569111101,"Biva","Nadata gibbosa"
139,0.750609235334195,0.531403360838641,"Biva","Nadata gibbosa"
140,0.8127055258174,0.563335582746294,"Biva","Nadata gibbosa"
141,0.877181782543171,0.596391833603751,"Biva","Nadata gibbosa"
142,0.943792964514717,0.630397883615211,"Biva","Nadata gibbosa"
143,1.0122522503257,0.665142219899706,"Biva","Nadata gibbosa"
144,1.08223055641723,0.700378049772807,"Biva","Nadata gibbosa"
145,1.15335765099861,0.735828059397009,"Biva","Nadata gibbosa"
146,1.22522407045041,0.771190314777022,"Biva","Nadata gibbosa"
147,1.29738386417491,0.806145067886733,"Biva","Nadata gibbosa"
148,1.36935817586932,0.840362211822948,"Biva","Nadata gibbosa"
149,1.44063964949613,0.873509117341931,"Biva","Nadata gibbosa"
150,1.51069762728793,0.90525857738567,"Biva","Nadata gibbosa"
151,1.5789840855103,0.93529658595753,"Biva","Nadata gibbosa"
152,1.64494023204093,0.96332968354813,"Biva","Nadata gibbosa"
153,1.70800366878286,0.989091614325956,"Biva","Nadata gibbosa"
154,1.76761600221892,1.01234906167151,"Biva","Nadata gibbosa"
155,1.82323076773699,1.03290625928963,"Biva","Nadata gibbosa"
156,1.87432151839612,1.0506083155544,"Biva","Nadata gibbosa"
157,1.92038991718763,1.0653431386964,"Biva","Nadata gibbosa"
158,1.96097366412484,1.07704190895653,"Biva","Nadata gibbosa"
159,1.99565408611108,1.08567810898599,"Biva","Nadata gibbosa"
160,2.02406321880417,1.09126519276084,"Biva","Nadata gibbosa"
161,2.04589021578236,1.09385304238105,"Biva","Nadata gibbosa"
162,2.06088693122769,1.09352342680847,"Biva","Nadata gibbosa"
163,2.06887253791572,1.09038473184828,"Biva","Nadata gibbosa"
164,2.0697370622012,1.08456627123284,"Biva","Nadata gibbosa"
165,2.0634437414253,1.07621250978924,"Biva","Nadata gibbosa"
166,2.05003013609404,1.06547752757729,"Biva","Nadata gibbosa"
167,2.02960795851752,1.05252002671068,"Biva","Nadata gibbosa"
168,2.00236161047939,1.03749913083269,"Biva","Nadata gibbosa"
169,1.96854545397665,1.02057115426028,"Biva","Nadata gibbosa"
170,1.92847987014883,1.00188742985154,"Biva","Nadata gibbosa"
171,1.88254619121978,0.98159319011678,"Biva","Nadata gibbosa"
172,1.8311806176614,0.959827404791893,"Biva","Nadata gibbosa"
173,1.77486725698907,0.93672339976664,"Biva","Nadata gibbosa"
174,1.71413044085595,0.912410025165279,"Biva","Nadata gibbosa"
175,1.64952649281004,0.88701311018778,"Biva","Nadata gibbosa"
176,1.5816351297575,0.86065694114009,"Biva","Nadata gibbosa"
177,1.51105068556517,0.833465525510047,"Biva","Nadata gibbosa"
178,1.43837334524584,0.805563454306722,"Biva","Nadata gibbosa"
179,1.3642005729072,0.777076240171479,"Biva","Nadata gibbosa"
180,1.28911890639569,0.748130081774466,"Biva","Nadata gibbosa"
181,1.21369627678342,0.718851077335832,"Biva","Nadata gibbosa"
182,1.13847499213499,0.689363974249326,"Biva","Nadata gibbosa"
183,1.06396550306943,0.659790591681072,"Biva","Nadata gibbosa"
184,0.990641043314464,0.630248084603545,"Biva","Nadata gibbosa"
185,0.918933212597408,0.600847229027689,"Biva","Nadata gibbosa"
186,0.849228542713805,0.57169089936076,"Biva","Nadata gibbosa"
187,0.78186606132742,0.542872881968544,"Biva","Nadata gibbosa"
188,0.717135842801496,0.514477127989351,"Biva","Nadata gibbosa"
189,0.65527851188067,0.486577498372542,"Biva","Nadata gibbosa"
190,0.59648564497251,0.459238000942827,"Biva","Nadata gibbosa"
191,0.540900995632129,0.432513469094712,"Biva","Nadata gibbosa"
192,0.488622456013655,0.406450590023357,"Biva","Nadata gibbosa"
193,0.439704654757548,0.381089161452217,"Biva","Nadata gibbosa"
194,0.39416208413228,0.356463442098451,"Biva","Nadata gibbosa"
195,0.351972645206066,0.332603463035185,"Biva","Nadata gibbosa"
196,0.313081499229365,0.309536183075087,"Biva","Nadata gibbosa"
197,0.277405115993882,0.287286398088261,"Biva","Nadata gibbosa"
198,0.244835415341249,0.265877347551834,"Biva","Nadata gibbosa"
199,0.215243905799657,0.245330997073078,"Biva","Nadata gibbosa"
200,0.188485734058394,0.225668008979513,"Biva","Nadata gibbosa"
201,0.164403570154836,0.20690744104702,"Biva","Nadata gibbosa"
202,0.142831265349359,0.189066233934695,"Biva","Nadata gibbosa"
203,0.123597232222548,0.172158560012653,"Biva","Nadata gibbosa"
204,0.106527509100804,0.156195110193557,"Biva","Nadata gibbosa"
205,0.0914484831039904,0.141182392119327,"Biva","Nadata gibbosa"
206,0.0781892575725815,0.127122104145305,"Biva","Nadata gibbosa"
207,0.0665836600969402,0.114010636772771,"Biva","Nadata gibbosa"
