"doy","fit","se","Site","validName"
69,0.163128738614688,0.160996271423097,"Biva","Schizura ipomoeae"
70,0.163106888018695,0.159744136062296,"Biva","Schizura ipomoeae"
71,0.163084985385727,0.158509846634608,"Biva","Schizura ipomoeae"
72,0.163062975781156,0.157293886221671,"Biva","Schizura ipomoeae"
73,0.163040804300181,0.156096727325759,"Biva","Schizura ipomoeae"
74,0.163018416068283,0.154918830769114,"Biva","Schizura ipomoeae"
75,0.16299575624186,0.153760644566064,"Biva","Schizura ipomoeae"
76,0.162972770009054,0.152622602771166,"Biva","Schizura ipomoeae"
77,0.16294940259075,0.151505124307021,"Biva","Schizura ipomoeae"
78,0.162925599241772,0.150408611775865,"Biva","Schizura ipomoeae"
79,0.162901305252256,0.149333450259501,"Biva","Schizura ipomoeae"
80,0.162876465949211,0.148280006112549,"Biva","Schizura ipomoeae"
81,0.162851026698257,0.147248625754436,"Biva","Schizura ipomoeae"
82,0.162824932905551,0.146239634465952,"Biva","Schizura ipomoeae"
83,0.162798130019899,0.145253335196581,"Biva","Schizura ipomoeae"
84,0.162770563535042,0.144290007389172,"Biva","Schizura ipomoeae"
85,0.162742178992133,0.143349905828812,"Biva","Schizura ipomoeae"
86,0.16271292198239,0.142433259523042,"Biva","Schizura ipomoeae"
87,0.162682738149935,0.141540270620748,"Biva","Schizura ipomoeae"
88,0.162651573194812,0.14067111337722,"Biva","Schizura ipomoeae"
89,0.162619372876183,0.139825933172919,"Biva","Schizura ipomoeae"
90,0.162586083015715,0.139004845593537,"Biva","Schizura ipomoeae"
91,0.162551649501133,0.138207935578802,"Biva","Schizura ipomoeae"
92,0.162516018289964,0.137435256647369,"Biva","Schizura ipomoeae"
93,0.162479135413452,0.13668683020486,"Biva","Schizura ipomoeae"
94,0.162440946980657,0.135962644941782,"Biva","Schizura ipomoeae"
95,0.162401399182729,0.135262656327669,"Biva","Schizura ipomoeae"
96,0.162360438297361,0.134586786207227,"Biva","Schizura ipomoeae"
97,0.162318010693414,0.133934922503756,"Biva","Schizura ipomoeae"
98,0.162274062835724,0.133306919034402,"Biva","Schizura ipomoeae"
99,0.16222854129008,0.132702595441113,"Biva","Schizura ipomoeae"
100,0.162181392728378,0.132121737240365,"Biva","Schizura ipomoeae"
101,0.162132563933943,0.131564095993923,"Biva","Schizura ipomoeae"
102,0.162082001807035,0.131029389602016,"Biva","Schizura ipomoeae"
103,0.162029653370513,0.130517302719429,"Biva","Schizura ipomoeae"
104,0.161975465775678,0.130027487294117,"Biva","Schizura ipomoeae"
105,0.161919386308282,0.129559563227037,"Biva","Schizura ipomoeae"
106,0.161861362394706,0.129113119151041,"Biva","Schizura ipomoeae"
107,0.161801341608307,0.128687713325785,"Biva","Schizura ipomoeae"
108,0.161739271675926,0.128282874644824,"Biva","Schizura ipomoeae"
109,0.161675100484561,0.127898103750311,"Biva","Schizura ipomoeae"
110,0.161608776088214,0.127532874249983,"Biva","Schizura ipomoeae"
111,0.16154024671488,0.12718663403056,"Biva","Schizura ipomoeae"
112,0.161469460773714,0.126858806661093,"Biva","Schizura ipomoeae"
113,0.161396366862348,0.126548792879353,"Biva","Schizura ipomoeae"
114,0.161320913774368,0.126255972154034,"Biva","Schizura ipomoeae"
115,0.161243050506941,0.12597970431521,"Biva","Schizura ipomoeae"
116,0.161162726268603,0.125719331245379,"Biva","Schizura ipomoeae"
117,0.161079890487196,0.125474178623298,"Biva","Schizura ipomoeae"
118,0.160994492817951,0.125243557712874,"Biva","Schizura ipomoeae"
119,0.160906483151726,0.125026767189435,"Biva","Schizura ipomoeae"
120,0.160815811623383,0.124823094995917,"Biva","Schizura ipomoeae"
121,0.160722428620314,0.124631820221748,"Biva","Schizura ipomoeae"
122,0.160626284791104,0.124452214997546,"Biva","Schizura ipomoeae"
123,0.160527331054338,0.124283546399114,"Biva","Schizura ipomoeae"
124,0.160425518607542,0.124125078354686,"Biva","Schizura ipomoeae"
125,0.160320798936259,0.123976073549807,"Biva","Schizura ipomoeae"
126,0.160213123823257,0.1238357953248,"Biva","Schizura ipomoeae"
127,0.160102445357866,0.123703509560244,"Biva","Schizura ipomoeae"
128,0.159988715945446,0.123578486546496,"Biva","Schizura ipomoeae"
129,0.159871888316971,0.123460002833796,"Biva","Schizura ipomoeae"
130,0.159751915538742,0.12334734306009,"Biva","Schizura ipomoeae"
131,0.159628751022216,0.12323980175422,"Biva","Schizura ipomoeae"
132,0.159502348533946,0.123136685112685,"Biva","Schizura ipomoeae"
133,0.159372662205639,0.123037312748679,"Biva","Schizura ipomoeae"
134,0.159239646544323,0.122941019412597,"Biva","Schizura ipomoeae"
135,0.159103256442615,0.122847156683666,"Biva","Schizura ipomoeae"
136,0.158963447189095,0.122755094632768,"Biva","Schizura ipomoeae"
137,0.158820174478781,0.122664223456913,"Biva","Schizura ipomoeae"
138,0.158673394423694,0.122573955086178,"Biva","Schizura ipomoeae"
139,0.15852306356352,0.122483724764212,"Biva","Schizura ipomoeae"
140,0.158369137450087,0.122392994444258,"Biva","Schizura ipomoeae"
141,0.158211516698896,0.122301324153723,"Biva","Schizura ipomoeae"
142,0.158050030735804,0.122208394743787,"Biva","Schizura ipomoeae"
143,0.157884505205408,0.122113920252422,"Biva","Schizura ipomoeae"
144,0.157714766834497,0.122017639910217,"Biva","Schizura ipomoeae"
145,0.157540643478995,0.121919316381816,"Biva","Schizura ipomoeae"
146,0.157361964172749,0.12181873405365,"Biva","Schizura ipomoeae"
147,0.157178559178112,0.121715697368672,"Biva","Schizura ipomoeae"
148,0.156990260038298,0.121610029208673,"Biva","Schizura ipomoeae"
149,0.156796899631469,0.121501569324643,"Biva","Schizura ipomoeae"
150,0.156598312226525,0.121390172815566,"Biva","Schizura ipomoeae"
151,0.156394333540558,0.121275708655996,"Biva","Schizura ipomoeae"
152,0.156184800797923,0.121158058272702,"Biva","Schizura ipomoeae"
153,0.155969552790898,0.121037114170683,"Biva","Schizura ipomoeae"
154,0.155748429941883,0.12091277860882,"Biva","Schizura ipomoeae"
155,0.15552127436709,0.120784962325466,"Biva","Schizura ipomoeae"
156,0.155287929941692,0.120653583314274,"Biva","Schizura ipomoeae"
157,0.155048242366358,0.120518565650578,"Biva","Schizura ipomoeae"
158,0.154802059235155,0.120379838368678,"Biva","Schizura ipomoeae"
159,0.154549230104736,0.120237334390395,"Biva","Schizura ipomoeae"
160,0.154289606564779,0.120090989505274,"Biva","Schizura ipomoeae"
161,0.154023042309608,0.119940741402857,"Biva","Schizura ipomoeae"
162,0.153749393210949,0.119786528757423,"Biva","Schizura ipomoeae"
163,0.153468517391751,0.119628290365652,"Biva","Schizura ipomoeae"
164,0.153180275301017,0.119465964337607,"Biva","Schizura ipomoeae"
165,0.152884529789569,0.119299487341493,"Biva","Schizura ipomoeae"
166,0.152581146186698,0.119128793902579,"Biva","Schizura ipomoeae"
167,0.152269992377614,0.118953815756671,"Biva","Schizura ipomoeae"
168,0.151950938881635,0.118774481258511,"Biva","Schizura ipomoeae"
169,0.151623858931032,0.118590714845387,"Biva","Schizura ipomoeae"
170,0.151288628550472,0.118402436556239,"Biva","Schizura ipomoeae"
171,0.150945126636962,0.11820956160646,"Biva","Schizura ipomoeae"
172,0.150593235040234,0.118012000018512,"Biva","Schizura ipomoeae"
173,0.150232838643468,0.117809656308439,"Biva","Schizura ipomoeae"
174,0.149863825444299,0.117602429228227,"Biva","Schizura ipomoeae"
175,0.149486086635991,0.117390211563907,"Biva","Schizura ipomoeae"
176,0.149099516688717,0.117172889989164,"Biva","Schizura ipomoeae"
177,0.148704013430849,0.116950344974141,"Biva","Schizura ipomoeae"
178,0.148299478130151,0.116722450748993,"Biva","Schizura ipomoeae"
179,0.147885815574812,0.11648907532163,"Biva","Schizura ipomoeae"
180,0.147462934154205,0.116250080549,"Biva","Schizura ipomoeae"
181,0.147030745939278,0.116005322261086,"Biva","Schizura ipomoeae"
182,0.146589166762489,0.115754650436734,"Biva","Schizura ipomoeae"
183,0.146138116297175,0.115497909430245,"Biva","Schizura ipomoeae"
184,0.145677518136274,0.115234938247586,"Biva","Schizura ipomoeae"
185,0.145207299870266,0.114965570870929,"Biva","Schizura ipomoeae"
186,0.144727393164274,0.114689636630108,"Biva","Schizura ipomoeae"
187,0.144237733834176,0.114406960619494,"Biva","Schizura ipomoeae"
188,0.143738261921661,0.114117364158626,"Biva","Schizura ipomoeae"
189,0.143228921768103,0.113820665294895,"Biva","Schizura ipomoeae"
190,0.142709662087145,0.113516679346407,"Biva","Schizura ipomoeae"
191,0.142180436035905,0.113205219483107,"Biva","Schizura ipomoeae"
192,0.141641201284669,0.112886097344131,"Biva","Schizura ipomoeae"
