"doy","fit","se","Site","validName"
69,0.000203043685813712,0.00107219612471122,"Biva","Tetanolita mynesalis"
70,0.000255212060818508,0.00131347727785696,"Biva","Tetanolita mynesalis"
71,0.000320740944711023,0.00160781299347907,"Biva","Tetanolita mynesalis"
72,0.000402986614501955,0.00196628879694483,"Biva","Tetanolita mynesalis"
73,0.000506117493857711,0.00240210341657094,"Biva","Tetanolita mynesalis"
74,0.000635298882529702,0.00293090807353264,"Biva","Tetanolita mynesalis"
75,0.00079691564375995,0.00357118136594316,"Biva","Tetanolita mynesalis"
76,0.000998839330970648,0.00434463773795407,"Biva","Tetanolita mynesalis"
77,0.00125074692411172,0.00527666526958071,"Biva","Tetanolita mynesalis"
78,0.00156449896883453,0.00639678565313834,"Biva","Tetanolita mynesalis"
79,0.0019545854065788,0.00773912567895516,"Biva","Tetanolita mynesalis"
80,0.00243864767079374,0.00934288530376938,"Biva","Tetanolita mynesalis"
81,0.00303808560319238,0.0112527824278227,"Biva","Tetanolita mynesalis"
82,0.00377875729083496,0.01351944892733,"Biva","Tetanolita mynesalis"
83,0.00469177889297823,0.0161997464223684,"Biva","Tetanolita mynesalis"
84,0.00581442974588421,0.0193569639517651,"Biva","Tetanolita mynesalis"
85,0.0071911653134312,0.0230608535454017,"Biva","Tetanolita mynesalis"
86,0.0088747366854655,0.0273874541444911,"Biva","Tetanolita mynesalis"
87,0.0109274101021382,0.0324186500975565,"Biva","Tetanolita mynesalis"
88,0.0134222731957987,0.0382414084002562,"Biva","Tetanolita mynesalis"
89,0.0164446061125848,0.04494663996195,"Biva","Tetanolita mynesalis"
90,0.0200932852732514,0.0526276356247863,"Biva","Tetanolita mynesalis"
91,0.0244821752057904,0.0613780386785885,"Biva","Tetanolita mynesalis"
92,0.0297414496940796,0.0712893334672285,"Biva","Tetanolita mynesalis"
93,0.0360187676542686,0.0824478555252936,"Biva","Tetanolita mynesalis"
94,0.0434802120870577,0.0949313634092321,"Biva","Tetanolita mynesalis"
95,0.0523108828105218,0.108805256415804,"Biva","Tetanolita mynesalis"
96,0.0627150163804661,0.124118575410458,"Biva","Tetanolita mynesalis"
97,0.0749154908808993,0.140899984693903,"Biva","Tetanolita mynesalis"
98,0.0891525606552464,0.159153998536611,"Biva","Tetanolita mynesalis"
99,0.105681658385771,0.178857782300491,"Biva","Tetanolita mynesalis"
