"doy","fit","se","Site","validName"
69,0.000147020229522071,0.000700715321542225,"Bowa","Acrolophus arcanella"
70,0.000172091580093524,0.000805250366975771,"Bowa","Acrolophus arcanella"
71,0.000201431625196108,0.00092504375892365,"Bowa","Acrolophus arcanella"
72,0.000235758146740936,0.00106222952371517,"Bowa","Acrolophus arcanella"
73,0.000275906725889033,0.00121921928230864,"Bowa","Acrolophus arcanella"
74,0.000322849338940674,0.00139873408952559,"Bowa","Acrolophus arcanella"
75,0.000377715719609057,0.00160383908973378,"Bowa","Acrolophus arcanella"
76,0.000441817862651467,0.00183798107403997,"Bowa","Acrolophus arcanella"
77,0.000516678087048627,0.00210502898948065,"Bowa","Acrolophus arcanella"
78,0.000604061123558023,0.00240931740659168,"Bowa","Acrolophus arcanella"
79,0.000706010741449778,0.00275569289680926,"Bowa","Acrolophus arcanella"
80,0.000824891482396229,0.00314956320407861,"Bowa","Acrolophus arcanella"
81,0.000963436125549492,0.00359694901458551,"Bowa","Acrolophus arcanella"
82,0.0011247995663671,0.00410453803339268,"Bowa","Acrolophus arcanella"
83,0.0013126198521404,0.00467974096601852,"Bowa","Acrolophus arcanella"
84,0.00153108717862889,0.00533074887568349,"Bowa","Acrolophus arcanella"
85,0.00178502171366618,0.00606659124270841,"Bowa","Acrolophus arcanella"
86,0.0020799611737592,0.00689719389126872,"Bowa","Acrolophus arcanella"
87,0.00242225913690911,0.00783343577099781,"Bowa","Acrolophus arcanella"
88,0.0028191951271715,0.00888720338816644,"Bowa","Acrolophus arcanella"
89,0.0032790975514421,0.0100714414756413,"Bowa","Acrolophus arcanella"
90,0.00381148060381348,0.0114001982759791,"Bowa","Acrolophus arcanella"
91,0.00442719627430004,0.0128886635929225,"Bowa","Acrolophus arcanella"
92,0.00513860260300359,0.0145531975494292,"Bowa","Acrolophus arcanella"
93,0.00595974930359037,0.016411347784148,"Bowa","Acrolophus arcanella"
94,0.00690658183640911,0.0184818526330021,"Bowa","Acrolophus arcanella"
95,0.0079971649363454,0.0207846276918545,"Bowa","Acrolophus arcanella"
96,0.00925192648763289,0.0233407330555177,"Bowa","Acrolophus arcanella"
97,0.0106939224809557,0.0261723184963788,"Bowa","Acrolophus arcanella"
98,0.0123491235804186,0.0293025439042968,"Bowa","Acrolophus arcanella"
99,0.0142467235621772,0.0327554724829773,"Bowa","Acrolophus arcanella"
100,0.0164194695552735,0.036555934514504,"Bowa","Acrolophus arcanella"
101,0.0189040136111355,0.0407293599935894,"Bowa","Acrolophus arcanella"
102,0.0217412846438864,0.0453015791302273,"Bowa","Acrolophus arcanella"
103,0.0249768792122477,0.050298590657083,"Bowa","Acrolophus arcanella"
104,0.0286614689491843,0.0557462990937184,"Bowa","Acrolophus arcanella"
105,0.0328512216824769,0.0616702236464827,"Bowa","Acrolophus arcanella"
106,0.0376082324244144,0.0680951832936237,"Bowa","Acrolophus arcanella"
107,0.043000959440181,0.0750449648457768,"Bowa","Acrolophus arcanella"
108,0.0491046595329959,0.0825419833989401,"Bowa","Acrolophus arcanella"
