"doy","fit","se","Site","validName"
69,8.07007482261346e-13,1.94181318904039e-07,"Bowa","Amolita obliqua"
70,1.38257241154067e-14,3.40208390347694e-09,"Bowa","Amolita obliqua"
71,2.36863537844337e-16,5.97081437901621e-11,"Bowa","Amolita obliqua"
72,2.22044604925031e-16,5.74223670918055e-11,"Bowa","Amolita obliqua"
73,2.22044604925031e-16,5.89790703031231e-11,"Bowa","Amolita obliqua"
74,2.22044604925031e-16,6.06344861371706e-11,"Bowa","Amolita obliqua"
75,2.22044604925031e-16,6.23807563942607e-11,"Bowa","Amolita obliqua"
76,2.22044604925031e-16,6.4210468861587e-11,"Bowa","Amolita obliqua"
77,2.22044604925031e-16,6.61166963665983e-11,"Bowa","Amolita obliqua"
78,2.22044604925031e-16,6.80930132197446e-11,"Bowa","Amolita obliqua"
79,2.22044604925031e-16,7.01334944527873e-11,"Bowa","Amolita obliqua"
80,2.22044604925031e-16,7.22327025859983e-11,"Bowa","Amolita obliqua"
81,2.22044604925031e-16,7.43856658604247e-11,"Bowa","Amolita obliqua"
82,2.22044604925031e-16,7.6587851073285e-11,"Bowa","Amolita obliqua"
83,2.22044604925031e-16,7.88351334269937e-11,"Bowa","Amolita obliqua"
84,2.22044604925031e-16,8.11237651787902e-11,"Bowa","Amolita obliqua"
85,2.22044604925031e-16,8.3450344367285e-11,"Bowa","Amolita obliqua"
86,2.22044604925031e-16,8.58117844888263e-11,"Bowa","Amolita obliqua"
87,2.22044604925031e-16,8.82052856874144e-11,"Bowa","Amolita obliqua"
88,2.22044604925031e-16,9.06283077914593e-11,"Bowa","Amolita obliqua"
89,2.22044604925031e-16,9.30785453635359e-11,"Bowa","Amolita obliqua"
90,2.22044604925031e-16,9.55539048115963e-11,"Bowa","Amolita obliqua"
91,2.22044604925031e-16,9.80524835299885e-11,"Bowa","Amolita obliqua"
92,2.22044604925031e-16,1.00572550986624e-10,"Bowa","Amolita obliqua"
93,2.22044604925031e-16,1.03112531641013e-10,"Bowa","Amolita obliqua"
94,2.22044604925031e-16,1.0567098956092e-10,"Bowa","Amolita obliqua"
95,2.22044604925031e-16,1.08246614598576e-10,"Bowa","Amolita obliqua"
96,2.22044604925031e-16,1.10838209987461e-10,"Bowa","Amolita obliqua"
97,2.22044604925031e-16,1.13444681225255e-10,"Bowa","Amolita obliqua"
98,2.22044604925031e-16,1.16065026115873e-10,"Bowa","Amolita obliqua"
99,2.22044604925031e-16,1.18698325852391e-10,"Bowa","Amolita obliqua"
100,2.22044604925031e-16,1.21343737032224e-10,"Bowa","Amolita obliqua"
101,2.22044604925031e-16,1.24000484505643e-10,"Bowa","Amolita obliqua"
102,2.22044604925031e-16,1.26667854968126e-10,"Bowa","Amolita obliqua"
103,2.22044604925031e-16,1.2934519121607e-10,"Bowa","Amolita obliqua"
104,2.22044604925031e-16,1.32031886993712e-10,"Bowa","Amolita obliqua"
105,2.22044604925031e-16,1.34727382366847e-10,"Bowa","Amolita obliqua"
106,2.22044604925031e-16,1.374311595659e-10,"Bowa","Amolita obliqua"
107,2.22044604925031e-16,1.401427392473e-10,"Bowa","Amolita obliqua"
108,2.22044604925031e-16,1.42861677127734e-10,"Bowa","Amolita obliqua"
109,2.22044604925031e-16,1.45587560951012e-10,"Bowa","Amolita obliqua"
110,2.22044604925031e-16,1.48320007751764e-10,"Bowa","Amolita obliqua"
111,2.22044604925031e-16,1.51058661384263e-10,"Bowa","Amolita obliqua"
112,2.22044604925031e-16,1.5380319028821e-10,"Bowa","Amolita obliqua"
113,2.22044604925031e-16,1.56553285466515e-10,"Bowa","Amolita obliqua"
114,2.22044604925031e-16,1.5930865865292e-10,"Bowa","Amolita obliqua"
115,2.22044604925031e-16,1.62069040649744e-10,"Bowa","Amolita obliqua"
116,2.22044604925031e-16,1.64834179818287e-10,"Bowa","Amolita obliqua"
117,2.22044604925031e-16,1.6760384070632e-10,"Bowa","Amolita obliqua"
118,2.22044604925031e-16,1.70377802798825e-10,"Bowa","Amolita obliqua"
119,2.22044604925031e-16,1.73155859379648e-10,"Bowa","Amolita obliqua"
120,2.22044604925031e-16,1.75937816493092e-10,"Bowa","Amolita obliqua"
121,2.22044604925031e-16,1.78723491995632e-10,"Bowa","Amolita obliqua"
122,2.22044604925031e-16,1.81512714689005e-10,"Bowa","Amolita obliqua"
123,2.22044604925031e-16,1.84305323526844e-10,"Bowa","Amolita obliqua"
124,2.22044604925031e-16,1.87101166887864e-10,"Bowa","Amolita obliqua"
125,2.22044604925031e-16,1.89900101909319e-10,"Bowa","Amolita obliqua"
126,2.22044604925031e-16,1.92701993875109e-10,"Bowa","Amolita obliqua"
127,2.22044604925031e-16,1.955067156535e-10,"Bowa","Amolita obliqua"
128,2.22044604925031e-16,1.98314147179917e-10,"Bowa","Amolita obliqua"
129,2.22044604925031e-16,2.01124174980733e-10,"Bowa","Amolita obliqua"
130,2.22044604925031e-16,2.03936691734388e-10,"Bowa","Amolita obliqua"
131,2.22044604925031e-16,2.06751595866528e-10,"Bowa","Amolita obliqua"
132,2.22044604925031e-16,2.09568791176189e-10,"Bowa","Amolita obliqua"
133,2.22044604925031e-16,2.12388186490316e-10,"Bowa","Amolita obliqua"
134,2.22044604925031e-16,2.15209695344204e-10,"Bowa","Amolita obliqua"
135,2.22044604925031e-16,2.18033235685635e-10,"Bowa","Amolita obliqua"
136,2.22044604925031e-16,2.20858729600743e-10,"Bowa","Amolita obliqua"
137,2.22044604925031e-16,2.23686103059765e-10,"Bowa","Amolita obliqua"
138,2.22044604925031e-16,2.26515285681071e-10,"Bowa","Amolita obliqua"
139,2.22044604925031e-16,2.29346210511954e-10,"Bowa","Amolita obliqua"
140,2.22044604925031e-16,2.32178813824848e-10,"Bowa","Amolita obliqua"
141,2.22044604925031e-16,2.35013034927718e-10,"Bowa","Amolita obliqua"
142,2.22044604925031e-16,2.37848815987516e-10,"Bowa","Amolita obliqua"
143,2.22044604925031e-16,2.40686101865673e-10,"Bowa","Amolita obliqua"
144,2.22044604925031e-16,2.43524839964687e-10,"Bowa","Amolita obliqua"
145,2.22044604925031e-16,2.46364980084961e-10,"Bowa","Amolita obliqua"
146,2.22044604925031e-16,2.49206474291106e-10,"Bowa","Amolita obliqua"
147,2.22044604925031e-16,2.52049276786995e-10,"Bowa","Amolita obliqua"
