"doy","fit","se","Site","validName"
69,0.0889780336736676,0.117592479055158,"Bowa","Apantesis phalerata"
70,0.0878983389651918,0.115864360918993,"Bowa","Apantesis phalerata"
71,0.0868317457001178,0.114164406720945,"Bowa","Apantesis phalerata"
72,0.0857780949004357,0.112492171545535,"Bowa","Apantesis phalerata"
73,0.0847372295172337,0.11084721693903,"Bowa","Apantesis phalerata"
74,0.0837089944072905,0.109229110816694,"Bowa","Apantesis phalerata"
75,0.082693236309951,0.107637427371437,"Bowa","Apantesis phalerata"
76,0.0816898038242824,0.106071746983855,"Bowa","Apantesis phalerata"
77,0.0806985473865072,0.104531656133635,"Bowa","Apantesis phalerata"
78,0.0797193192477116,0.103016747312317,"Bowa","Apantesis phalerata"
79,0.0787519734518222,0.101526618937388,"Bowa","Apantesis phalerata"
80,0.0777963658138516,0.1000608752677,"Bowa","Apantesis phalerata"
81,0.0768523538984075,0.0986191263201922,"Bowa","Apantesis phalerata"
82,0.075919796998462,0.0972009877878985,"Bowa","Apantesis phalerata"
83,0.0749985561143797,0.0958060809592325,"Bowa","Apantesis phalerata"
84,0.074088493933199,0.094434032638526,"Bowa","Apantesis phalerata"
85,0.0731894748081655,0.0930844750678103,"Bowa","Apantesis phalerata"
86,0.0723013647385139,0.0917570458498243,"Bowa","Apantesis phalerata"
87,0.071424031349495,0.0904513878722327,"Bowa","Apantesis phalerata"
88,0.0705573438726445,0.0891671492330391,"Bowa","Apantesis phalerata"
89,0.0697011731262926,0.0879039831671807,"Bowa","Apantesis phalerata"
90,0.0688553914963083,0.0866615479742867,"Bowa","Apantesis phalerata"
91,0.0680198729170793,0.0854395069475879,"Bowa","Apantesis phalerata"
92,0.0671944928527209,0.0842375283039599,"Bowa","Apantesis phalerata"
93,0.0663791282785145,0.0830552851150874,"Bowa","Apantesis phalerata"
94,0.0655736576625696,0.0818924552397321,"Bowa","Apantesis phalerata"
95,0.0647779609477104,0.0807487212570911,"Bowa","Apantesis phalerata"
96,0.0639919195335802,0.0796237704012302,"Bowa","Apantesis phalerata"
97,0.0632154162589642,0.0785172944965763,"Bowa","Apantesis phalerata"
98,0.0624483353843264,0.0774289898944554,"Bowa","Apantesis phalerata"
99,0.0616905625745586,0.0763585574106603,"Bowa","Apantesis phalerata"
100,0.060941984881938,0.0753057022640326,"Bowa","Apantesis phalerata"
101,0.060202490729293,0.0742701340160455,"Bowa","Apantesis phalerata"
102,0.0594719698933718,0.0732515665113705,"Bowa","Apantesis phalerata"
103,0.0587503134884135,0.0722497178194142,"Bowa","Apantesis phalerata"
104,0.0580374139499189,0.0712643101768106,"Bowa","Apantesis phalerata"
105,0.0573331650186173,0.0702950699308512,"Bowa","Apantesis phalerata"
106,0.0566374617246289,0.0693417274838419,"Bowa","Apantesis phalerata"
107,0.0559502003718185,0.0684040172383669,"Bowa","Apantesis phalerata"
108,0.0552712785223394,0.0674816775434482,"Bowa","Apantesis phalerata"
109,0.0546005949813653,0.0665744506415838,"Bowa","Apantesis phalerata"
110,0.0539380497820066,0.0656820826166488,"Bowa","Apantesis phalerata"
111,0.0532835441704102,0.0648043233426458,"Bowa","Apantesis phalerata"
112,0.0526369805910402,0.0639409264332878,"Bowa","Apantesis phalerata"
113,0.0519982626721373,0.0630916491923991,"Bowa","Apantesis phalerata"
114,0.0513672952113538,0.062256252565118,"Bowa","Apantesis phalerata"
115,0.0507439841615644,0.0614345010898879,"Bowa","Apantesis phalerata"
116,0.0501282366168473,0.0606261628512181,"Bowa","Apantesis phalerata"
117,0.0495199607986373,0.0598310094332028,"Bowa","Apantesis phalerata"
118,0.0489190660420456,0.0590488158737794,"Bowa","Apantesis phalerata"
119,0.0483254627823461,0.0582793606197136,"Bowa","Apantesis phalerata"
120,0.0477390625416255,0.0575224254822941,"Bowa","Apantesis phalerata"
