"doy","fit","se","Site","validName"
69,2.22044604925031e-16,2.29602378001409e-14,"Bowa","Argyrogramma verruca"
70,2.22044604925031e-16,2.27747131156758e-14,"Bowa","Argyrogramma verruca"
71,2.22044604925031e-16,2.25895439383425e-14,"Bowa","Argyrogramma verruca"
72,2.22044604925031e-16,2.24047494136199e-14,"Bowa","Argyrogramma verruca"
73,2.22044604925031e-16,2.22203484852863e-14,"Bowa","Argyrogramma verruca"
74,2.22044604925031e-16,2.20363598848992e-14,"Bowa","Argyrogramma verruca"
75,2.22044604925031e-16,2.18528021211359e-14,"Bowa","Argyrogramma verruca"
76,2.22044604925031e-16,2.16696934689984e-14,"Bowa","Argyrogramma verruca"
77,2.22044604925031e-16,2.14870519588841e-14,"Bowa","Argyrogramma verruca"
78,2.22044604925031e-16,2.13048953655289e-14,"Bowa","Argyrogramma verruca"
79,2.22044604925031e-16,2.11232411968237e-14,"Bowa","Argyrogramma verruca"
80,2.22044604925031e-16,2.09421066825136e-14,"Bowa","Argyrogramma verruca"
81,2.22044604925031e-16,2.0761508762783e-14,"Bowa","Argyrogramma verruca"
82,2.22044604925031e-16,2.05814640767361e-14,"Bowa","Argyrogramma verruca"
83,2.22044604925031e-16,2.040198895078e-14,"Bowa","Argyrogramma verruca"
84,2.22044604925031e-16,2.02230993869195e-14,"Bowa","Argyrogramma verruca"
85,2.22044604925031e-16,2.00448110509754e-14,"Bowa","Argyrogramma verruca"
86,2.22044604925031e-16,1.9867139260736e-14,"Bowa","Argyrogramma verruca"
87,2.22044604925031e-16,1.96900989740568e-14,"Bowa","Argyrogramma verruca"
88,2.22044604925031e-16,1.95137047769204e-14,"Bowa","Argyrogramma verruca"
89,2.22044604925031e-16,1.93379708714732e-14,"Bowa","Argyrogramma verruca"
90,2.22044604925031e-16,1.91629110640568e-14,"Bowa","Argyrogramma verruca"
91,2.22044604925031e-16,1.89885387532495e-14,"Bowa","Argyrogramma verruca"
92,2.22044604925031e-16,1.88148669179417e-14,"Bowa","Argyrogramma verruca"
93,2.22044604925031e-16,1.86419081054641e-14,"Bowa","Argyrogramma verruca"
94,2.22044604925031e-16,1.84696744197926e-14,"Bowa","Argyrogramma verruca"
95,2.22044604925031e-16,1.82981775098565e-14,"Bowa","Argyrogramma verruca"
96,2.22044604925031e-16,1.81274285579752e-14,"Bowa","Argyrogramma verruca"
97,2.22044604925031e-16,1.79574382684531e-14,"Bowa","Argyrogramma verruca"
98,2.22044604925031e-16,1.77882168563648e-14,"Bowa","Argyrogramma verruca"
99,2.22044604925031e-16,1.76197740365617e-14,"Bowa","Argyrogramma verruca"
100,2.22044604925031e-16,1.74521190129375e-14,"Bowa","Argyrogramma verruca"
101,2.22044604925031e-16,1.7285260467989e-14,"Bowa","Argyrogramma verruca"
102,2.22044604925031e-16,1.71192065527123e-14,"Bowa","Argyrogramma verruca"
103,2.22044604925031e-16,1.69539648768783e-14,"Bowa","Argyrogramma verruca"
104,2.22044604925031e-16,1.67895424997306e-14,"Bowa","Argyrogramma verruca"
105,2.22044604925031e-16,1.66259459211558e-14,"Bowa","Argyrogramma verruca"
106,2.22044604925031e-16,1.64631810733746e-14,"Bowa","Argyrogramma verruca"
107,2.22044604925031e-16,1.63012533132099e-14,"Bowa","Argyrogramma verruca"
108,2.22044604925031e-16,1.61401674149853e-14,"Bowa","Argyrogramma verruca"
109,2.22044604925031e-16,1.59799275641163e-14,"Bowa","Argyrogramma verruca"
110,2.22044604925031e-16,1.58205373514558e-14,"Bowa","Argyrogramma verruca"
111,2.22044604925031e-16,1.56619997684599e-14,"Bowa","Argyrogramma verruca"
112,2.22044604925031e-16,1.55043172032448e-14,"Bowa","Argyrogramma verruca"
113,2.22044604925031e-16,1.53474914376071e-14,"Bowa","Argyrogramma verruca"
114,2.22044604925031e-16,1.51915236450858e-14,"Bowa","Argyrogramma verruca"
115,2.22044604925031e-16,1.50364143901463e-14,"Bowa","Argyrogramma verruca"
116,2.22044604925031e-16,1.48821636285725e-14,"Bowa","Argyrogramma verruca"
117,2.22044604925031e-16,1.47287707091569e-14,"Bowa","Argyrogramma verruca"
118,2.22044604925031e-16,1.45762343767822e-14,"Bowa","Argyrogramma verruca"
119,2.22044604925031e-16,1.44245527769961e-14,"Bowa","Argyrogramma verruca"
120,2.22044604925031e-16,1.42737234621807e-14,"Bowa","Argyrogramma verruca"
121,2.22044604925031e-16,1.41237433994294e-14,"Bowa","Argyrogramma verruca"
122,2.22044604925031e-16,1.39746089802461e-14,"Bowa","Argyrogramma verruca"
123,2.22044604925031e-16,1.38263160321886e-14,"Bowa","Argyrogramma verruca"
124,2.22044604925031e-16,1.36788598325856e-14,"Bowa","Argyrogramma verruca"
125,2.22044604925031e-16,1.35322351244631e-14,"Bowa","Argyrogramma verruca"
126,2.22044604925031e-16,1.33864361348241e-14,"Bowa","Argyrogramma verruca"
127,2.22044604925031e-16,1.3241456595433e-14,"Bowa","Argyrogramma verruca"
128,2.22044604925031e-16,1.30972897662665e-14,"Bowa","Argyrogramma verruca"
129,2.22044604925031e-16,1.29539284618011e-14,"Bowa","Argyrogramma verruca"
130,2.22044604925031e-16,1.2811365080318e-14,"Bowa","Argyrogramma verruca"
