"doy","fit","se","Site","validName"
69,2.22044604925031e-16,9.27037628175671e-11,"Bowa","Catocala micronympha"
70,2.22044604925031e-16,9.28007406338599e-11,"Bowa","Catocala micronympha"
71,2.22044604925031e-16,9.2906490477832e-11,"Bowa","Catocala micronympha"
72,2.22044604925031e-16,9.30209824323489e-11,"Bowa","Catocala micronympha"
73,2.22044604925031e-16,9.31441842602562e-11,"Bowa","Catocala micronympha"
74,2.22044604925031e-16,9.32760614487719e-11,"Bowa","Catocala micronympha"
75,2.22044604925031e-16,9.34165772566031e-11,"Bowa","Catocala micronympha"
76,2.22044604925031e-16,9.35656927636410e-11,"Bowa","Catocala micronympha"
77,2.22044604925031e-16,9.37233669230813e-11,"Bowa","Catocala micronympha"
78,2.22044604925031e-16,9.38895566158151e-11,"Bowa","Catocala micronympha"
79,2.22044604925031e-16,9.40642167069256e-11,"Bowa","Catocala micronympha"
80,2.22044604925031e-16,9.42473001041297e-11,"Bowa","Catocala micronympha"
81,2.22044604925031e-16,9.44387578179937e-11,"Bowa","Catocala micronympha"
82,2.22044604925031e-16,9.46385390237548e-11,"Bowa","Catocala micronympha"
83,2.22044604925031e-16,9.48465911245795e-11,"Bowa","Catocala micronympha"
84,2.22044604925031e-16,9.50628598160864e-11,"Bowa","Catocala micronympha"
85,2.22044604925031e-16,9.52872891519636e-11,"Bowa","Catocala micronympha"
86,2.22044604925031e-16,9.55198216105136e-11,"Bowa","Catocala micronympha"
87,2.22044604925031e-16,9.57603981619542e-11,"Bowa","Catocala micronympha"
88,2.22044604925031e-16,9.60089583363187e-11,"Bowa","Catocala micronympha"
89,2.22044604925031e-16,9.62654402917856e-11,"Bowa","Catocala micronympha"
90,2.22044604925031e-16,9.65297808832847e-11,"Bowa","Catocala micronympha"
91,2.22044604925031e-16,9.68019157312287e-11,"Bowa","Catocala micronympha"
92,2.22044604925031e-16,9.70817792902158e-11,"Bowa","Catocala micronympha"
93,2.22044604925031e-16,9.73693049175652e-11,"Bowa","Catocala micronympha"
94,2.22044604925031e-16,9.7664424941545e-11,"Bowa","Catocala micronympha"
95,2.22044604925031e-16,9.79670707291633e-11,"Bowa","Catocala micronympha"
96,2.22044604925031e-16,9.82771727533939e-11,"Bowa","Catocala micronympha"
97,2.22044604925031e-16,9.85946606597195e-11,"Bowa","Catocala micronympha"
98,2.22044604925031e-16,9.89194633318812e-11,"Bowa","Catocala micronympha"
99,2.22044604925031e-16,9.92515089567251e-11,"Bowa","Catocala micronympha"
100,2.22044604925031e-16,9.95907250880506e-11,"Bowa","Catocala micronympha"
101,2.22044604925031e-16,9.99370387093682e-11,"Bowa","Catocala micronympha"
102,2.22044604925031e-16,1.00290376295481e-10,"Bowa","Catocala micronympha"
103,2.22044604925031e-16,1.00650663872812e-10,"Bowa","Catocala micronympha"
104,2.22044604925031e-16,1.01017827078411e-10,"Bowa","Catocala micronympha"
105,2.22044604925031e-16,1.01391791217569e-10,"Bowa","Catocala micronympha"
106,2.22044604925031e-16,1.0177248131999e-10,"Bowa","Catocala micronympha"
107,2.22044604925031e-16,1.0215982219447e-10,"Bowa","Catocala micronympha"
108,2.22044604925031e-16,1.02553738482032e-10,"Bowa","Catocala micronympha"
109,2.22044604925031e-16,1.02954154707488e-10,"Bowa","Catocala micronympha"
110,2.22044604925031e-16,1.03360995329395e-10,"Bowa","Catocala micronympha"
111,2.22044604925031e-16,1.03774184788368e-10,"Bowa","Catocala micronympha"
112,2.22044604925031e-16,1.04193647553749e-10,"Bowa","Catocala micronympha"
113,2.22044604925031e-16,1.046193081686e-10,"Bowa","Catocala micronympha"
114,2.22044604925031e-16,1.05051091293026e-10,"Bowa","Catocala micronympha"
115,2.22044604925031e-16,1.05488921745802e-10,"Bowa","Catocala micronympha"
116,2.22044604925031e-16,1.05932724544333e-10,"Bowa","Catocala micronympha"
117,2.22044604925031e-16,1.06382424942922e-10,"Bowa","Catocala micronympha"
118,2.22044604925031e-16,1.06837948469374e-10,"Bowa","Catocala micronympha"
119,2.22044604925031e-16,1.07299220959941e-10,"Bowa","Catocala micronympha"
120,2.22044604925031e-16,1.0776616859262e-10,"Bowa","Catocala micronympha"
121,2.22044604925031e-16,1.08238717918835e-10,"Bowa","Catocala micronympha"
122,2.22044604925031e-16,1.08716795893507e-10,"Bowa","Catocala micronympha"
123,2.22044604925031e-16,1.09200329903555e-10,"Bowa","Catocala micronympha"
124,2.22044604925031e-16,1.09689247794837e-10,"Bowa","Catocala micronympha"
125,2.22044604925031e-16,1.10183477897579e-10,"Bowa","Catocala micronympha"
126,2.22044604925031e-16,1.10682949050307e-10,"Bowa","Catocala micronympha"
127,2.22044604925031e-16,1.1118759062232e-10,"Bowa","Catocala micronympha"
128,2.22044604925031e-16,1.11697332534747e-10,"Bowa","Catocala micronympha"
129,2.22044604925031e-16,1.12212105280207e-10,"Bowa","Catocala micronympha"
130,2.22044604925031e-16,1.12731839941127e-10,"Bowa","Catocala micronympha"
131,2.22044604925031e-16,1.13256468206743e-10,"Bowa","Catocala micronympha"
132,2.22044604925031e-16,1.13785922388822e-10,"Bowa","Catocala micronympha"
133,2.22044604925031e-16,1.14320135436163e-10,"Bowa","Catocala micronympha"
134,2.22044604925031e-16,1.14859040947883e-10,"Bowa","Catocala micronympha"
135,2.22044604925031e-16,1.15402573185564e-10,"Bowa","Catocala micronympha"
136,2.22044604925031e-16,1.15950667084277e-10,"Bowa","Catocala micronympha"
137,2.22044604925031e-16,1.16503258262529e-10,"Bowa","Catocala micronympha"
138,2.22044604925031e-16,1.17060283031178e-10,"Bowa","Catocala micronympha"
139,2.22044604925031e-16,1.1762167840135e-10,"Bowa","Catocala micronympha"
