"doy","fit","se","Site","validName"
69,0.130961331262046,0.134699440199404,"Bowa","Disclisioprocta stellata"
70,0.130137533108144,0.133300571458453,"Bowa","Disclisioprocta stellata"
71,0.129318916969073,0.131916500446984,"Bowa","Disclisioprocta stellata"
72,0.128505450249142,0.13054711175237,"Bowa","Disclisioprocta stellata"
73,0.127697100557677,0.129192290903473,"Bowa","Disclisioprocta stellata"
74,0.126893835707735,0.127851924360941,"Bowa","Disclisioprocta stellata"
75,0.126095623714813,0.12652589950747,"Bowa","Disclisioprocta stellata"
76,0.125302432795586,0.125214104638024,"Bowa","Disclisioprocta stellata"
77,0.124514231366634,0.123916428949994,"Bowa","Disclisioprocta stellata"
78,0.123730988043187,0.122632762533326,"Bowa","Disclisioprocta stellata"
79,0.122952671637879,0.121362996360583,"Bowa","Disclisioprocta stellata"
80,0.122179251159499,0.120107022276961,"Bowa","Disclisioprocta stellata"
81,0.121410695811767,0.118864732990237,"Bowa","Disclisioprocta stellata"
82,0.1206469749921,0.117636022060675,"Bowa","Disclisioprocta stellata"
83,0.119888058290398,0.11642078389085,"Bowa","Disclisioprocta stellata"
84,0.119133915487831,0.115218913715428,"Bowa","Disclisioprocta stellata"
85,0.11838451655564,0.114030307590859,"Bowa","Disclisioprocta stellata"
86,0.117639831653937,0.112854862385021,"Bowa","Disclisioprocta stellata"
87,0.11689983113052,0.111692475766781,"Bowa","Disclisioprocta stellata"
88,0.116164485519692,0.110543046195488,"Bowa","Disclisioprocta stellata"
89,0.115433765541088,0.10940647291039,"Bowa","Disclisioprocta stellata"
90,0.11470764209851,0.108282655919978,"Bowa","Disclisioprocta stellata"
91,0.113986086278767,0.107171495991247,"Bowa","Disclisioprocta stellata"
92,0.113269069350527,0.106072894638884,"Bowa","Disclisioprocta stellata"
93,0.112556562763168,0.104986754114373,"Bowa","Disclisioprocta stellata"
94,0.111848538145649,0.103912977395011,"Bowa","Disclisioprocta stellata"
95,0.111144967305375,0.102851468172858,"Bowa","Disclisioprocta stellata"
96,0.110445822227077,0.101802130843584,"Bowa","Disclisioprocta stellata"
97,0.109751075071693,0.100764870495244,"Bowa","Disclisioprocta stellata"
98,0.109060698175268,0.099739592896969,"Bowa","Disclisioprocta stellata"
99,0.108374664047844,0.0987262044875603,"Bowa","Disclisioprocta stellata"
100,0.107692945372371,0.0977246123640119,"Bowa","Disclisioprocta stellata"
101,0.107015515003617,0.0967347242699408,"Bowa","Disclisioprocta stellata"
102,0.106342345967089,0.0957564485839346,"Bowa","Disclisioprocta stellata"
103,0.105673411457958,0.0947896943078162,"Bowa","Disclisioprocta stellata"
104,0.105008684839993,0.0938343710548252,"Bowa","Disclisioprocta stellata"
105,0.1043481396445,0.0928903890377187,"Bowa","Disclisioprocta stellata"
106,0.103691749569269,0.0919576590567923,"Bowa","Disclisioprocta stellata"
107,0.103039488477526,0.0910360924878248,"Bowa","Disclisioprocta stellata"
108,0.102391330396893,0.0901256012699457,"Bowa","Disclisioprocta stellata"
109,0.101747249518354,0.0892260978934326,"Bowa","Disclisioprocta stellata"
110,0.101107220195227,0.0883374953874384,"Bowa","Disclisioprocta stellata"
111,0.100471216942146,0.0874597073076528,"Bowa","Disclisioprocta stellata"
112,0.0998392144340421,0.086592647723902,"Bowa","Disclisioprocta stellata"
113,0.0992111875051378,0.0857362312076913,"Bowa","Disclisioprocta stellata"
114,0.0985871111479453,0.0848903728196949,"Bowa","Disclisioprocta stellata"
115,0.0979669605122704,0.0840549880971979,"Bowa","Disclisioprocta stellata"
116,0.0973507109042232,0.0832299930414968,"Bowa","Disclisioprocta stellata"
117,0.0967383377852353,0.0824153041052642,"Bowa","Disclisioprocta stellata"
118,0.0961298167710828,0.0816108381798843,"Bowa","Disclisioprocta stellata"
119,0.0955251236309159,0.0808165125827669,"Bowa","Disclisioprocta stellata"
120,0.0949242342862937,0.0800322450446467,"Bowa","Disclisioprocta stellata"
121,0.0943271248102263,0.0792579536968764,"Bowa","Disclisioprocta stellata"
122,0.0937337714262218,0.0784935570587221,"Bowa","Disclisioprocta stellata"
123,0.0931441505073403,0.0777389740246705,"Bowa","Disclisioprocta stellata"
124,0.0925582385752528,0.0769941238517575,"Bowa","Disclisioprocta stellata"
125,0.0919760122993066,0.0762589261469271,"Bowa","Disclisioprocta stellata"
126,0.091397448495597,0.0755333008544342,"Bowa","Disclisioprocta stellata"
127,0.090822524126044,0.074817168243299,"Bowa","Disclisioprocta stellata"
128,0.0902512162974749,0.0741104488948274,"Bowa","Disclisioprocta stellata"
129,0.0896835022607136,0.0734130636902088,"Bowa","Disclisioprocta stellata"
130,0.0891193594096746,0.0727249337982035,"Bowa","Disclisioprocta stellata"
131,0.0885587652804629,0.0720459806629338,"Bowa","Disclisioprocta stellata"
132,0.0880016975504799,0.0713761259917922,"Bowa","Disclisioprocta stellata"
133,0.0874481340375348,0.0707152917434804,"Bowa","Disclisioprocta stellata"
134,0.0868980526989616,0.0700634001161948,"Bowa","Disclisioprocta stellata"
135,0.0863514316307413,0.0694203735359726,"Bowa","Disclisioprocta stellata"
136,0.08580824906663,0.0687861346452143,"Bowa","Disclisioprocta stellata"
137,0.0852684833772926,0.0681606062913984,"Bowa","Disclisioprocta stellata"
138,0.0847321130694415,0.0675437115160045,"Bowa","Disclisioprocta stellata"
139,0.0841991167849811,0.0669353735436613,"Bowa","Disclisioprocta stellata"
140,0.0836694733001677,0.0663355157715765,"Bowa","Disclisioprocta stellata"
141,0.0831431615251553,0.0657440617607047,"Bowa","Disclisioprocta stellata"
142,0.0826201605032625,0.0651609352261034,"Bowa","Disclisioprocta stellata"
143,0.0821004494096419,0.0645860600252105,"Bowa","Disclisioprocta stellata"
144,0.081584007550416,0.0640193601482035,"Bowa","Disclisioprocta stellata"
145,0.081070814361854,0.0634607597088238,"Bowa","Disclisioprocta stellata"
146,0.0805608494095531,0.0629101829355481,"Bowa","Disclisioprocta stellata"
147,0.0800540923876256,0.062367554163122,"Bowa","Disclisioprocta stellata"
148,0.0795505231178907,0.0618327978244767,"Bowa","Disclisioprocta stellata"
149,0.0790501215490717,0.0613058384430422,"Bowa","Disclisioprocta stellata"
150,0.0785528677559977,0.0607866006254771,"Bowa","Disclisioprocta stellata"
151,0.0780587419388111,0.0602750090548289,"Bowa","Disclisioprocta stellata"
152,0.0775677244221796,0.059770988484144,"Bowa","Disclisioprocta stellata"
153,0.0770797956545127,0.0592744637305399,"Bowa","Disclisioprocta stellata"
154,0.0765949362071843,0.0587853596697579,"Bowa","Disclisioprocta stellata"
155,0.0761131267737592,0.0583036012312096,"Bowa","Disclisioprocta stellata"
156,0.0756343481692249,0.0578291133935316,"Bowa","Disclisioprocta stellata"
157,0.0751585813292282,0.0573618211806617,"Bowa","Disclisioprocta stellata"
158,0.0746858073093158,0.0569016496584497,"Bowa","Disclisioprocta stellata"
159,0.0742160072841818,0.0564485239318145,"Bowa","Disclisioprocta stellata"
160,0.073749162546917,0.0560023691424587,"Bowa","Disclisioprocta stellata"
161,0.0732852545082655,0.0555631104671499,"Bowa","Disclisioprocta stellata"
162,0.0728242646958845,0.0551306731165786,"Bowa","Disclisioprocta stellata"
163,0.0723661747536091,0.0547049823348003,"Bowa","Disclisioprocta stellata"
164,0.071910966440722,0.0542859633992685,"Bowa","Disclisioprocta stellata"
165,0.0714586216312273,0.0538735416214642,"Bowa","Disclisioprocta stellata"
166,0.0710091223131297,0.0534676423481259,"Bowa","Disclisioprocta stellata"
167,0.0705624505877168,0.0530681909630844,"Bowa","Disclisioprocta stellata"
168,0.0701185886688475,0.0526751128897019,"Bowa","Disclisioprocta stellata"
169,0.0696775188822441,0.0522883335939184,"Bowa","Disclisioprocta stellata"
170,0.0692392236647884,0.0519077785879017,"Bowa","Disclisioprocta stellata"
171,0.0688036855638233,0.0515333734343007,"Bowa","Disclisioprocta stellata"
172,0.0683708872364579,0.0511650437510969,"Bowa","Disclisioprocta stellata"
173,0.0679408114488774,0.0508027152170481,"Bowa","Disclisioprocta stellata"
174,0.0675134410756573,0.0504463135777201,"Bowa","Disclisioprocta stellata"
175,0.0670887590990814,0.0500957646520934,"Bowa","Disclisioprocta stellata"
176,0.0666667486084654,0.0497509943397406,"Bowa","Disclisioprocta stellata"
177,0.0662473927994829,0.0494119286285586,"Bowa","Disclisioprocta stellata"
178,0.0658306749734973,0.0490784936030449,"Bowa","Disclisioprocta stellata"
179,0.0654165785368969,0.0487506154531039,"Bowa","Disclisioprocta stellata"
180,0.0650050870004346,0.0484282204833667,"Bowa","Disclisioprocta stellata"
181,0.0645961839785716,0.0481112351230085,"Bowa","Disclisioprocta stellata"
182,0.0641898531888254,0.0477995859360438,"Bowa","Disclisioprocta stellata"
183,0.0637860784511216,0.0474931996320814,"Bowa","Disclisioprocta stellata"
184,0.0633848436871498,0.0471920030775175,"Bowa","Disclisioprocta stellata"
185,0.0629861329197242,0.0468959233071454,"Bowa","Disclisioprocta stellata"
186,0.0625899302721474,0.0466048875361576,"Bowa","Disclisioprocta stellata"
187,0.0621962199675782,0.0463188231725183,"Bowa","Disclisioprocta stellata"
188,0.0618049863284045,0.0460376578296789,"Bowa","Disclisioprocta stellata"
189,0.0614162137756183,0.0457613193396125,"Bowa","Disclisioprocta stellata"
190,0.0610298868281966,0.0454897357661398,"Bowa","Disclisioprocta stellata"
191,0.0606459901024849,0.0452228354185183,"Bowa","Disclisioprocta stellata"
192,0.0602645083115845,0.0449605468652686,"Bowa","Disclisioprocta stellata"
193,0.0598854262647447,0.0447027989482077,"Bowa","Disclisioprocta stellata"
194,0.0595087288667579,0.0444495207966605,"Bowa","Disclisioprocta stellata"
195,0.0591344011173589,0.0442006418418214,"Bowa","Disclisioprocta stellata"
196,0.0587624281106277,0.0439560918312348,"Bowa","Disclisioprocta stellata"
197,0.0583927950343965,0.043715800843366,"Bowa","Disclisioprocta stellata"
198,0.0580254871696599,0.0434796993022323,"Bowa","Disclisioprocta stellata"
199,0.0576604898899892,0.0432477179920648,"Bowa","Disclisioprocta stellata"
200,0.0572977886609503,0.0430197880719711,"Bowa","Disclisioprocta stellata"
201,0.0569373690395251,0.0427958410905707,"Bowa","Disclisioprocta stellata"
202,0.0565792166735366,0.0425758090005727,"Bowa","Disclisioprocta stellata"
203,0.0562233173010779,0.0423596241732678,"Bowa","Disclisioprocta stellata"
204,0.0558696567499443,0.0421472194129079,"Bowa","Disclisioprocta stellata"
205,0.0555182209370693,0.0419385279709443,"Bowa","Disclisioprocta stellata"
206,0.055168995867964,0.041733483560098,"Bowa","Disclisioprocta stellata"
207,0.0548219676361604,0.0415320203682379,"Bowa","Disclisioprocta stellata"
