"doy","fit","se","Site","validName"
69,2.22044604925031e-16,8.49787489596818e-12,"Bowa","Euchlaena amoenaria"
70,2.22044604925031e-16,8.38395624258832e-12,"Bowa","Euchlaena amoenaria"
71,2.22044604925031e-16,8.27006941310493e-12,"Bowa","Euchlaena amoenaria"
72,2.22044604925031e-16,8.15623578013969e-12,"Bowa","Euchlaena amoenaria"
73,2.22044604925031e-16,8.04247671815263e-12,"Bowa","Euchlaena amoenaria"
74,2.22044604925031e-16,7.92881360330265e-12,"Bowa","Euchlaena amoenaria"
75,2.22044604925031e-16,7.81526781329971e-12,"Bowa","Euchlaena amoenaria"
76,2.22044604925031e-16,7.70186072724774e-12,"Bowa","Euchlaena amoenaria"
77,2.22044604925031e-16,7.58861372547711e-12,"Bowa","Euchlaena amoenaria"
78,2.22044604925031e-16,7.47554818936569e-12,"Bowa","Euchlaena amoenaria"
79,2.22044604925031e-16,7.36268550114689e-12,"Bowa","Euchlaena amoenaria"
80,2.22044604925031e-16,7.25004704370359e-12,"Bowa","Euchlaena amoenaria"
81,2.22044604925031e-16,7.13765420034622e-12,"Bowa","Euchlaena amoenaria"
82,2.22044604925031e-16,7.02552835457343e-12,"Bowa","Euchlaena amoenaria"
83,2.22044604925031e-16,6.91369088981331e-12,"Bowa","Euchlaena amoenaria"
84,2.22044604925031e-16,6.8021631891434e-12,"Bowa","Euchlaena amoenaria"
85,2.22044604925031e-16,6.69096663498697e-12,"Bowa","Euchlaena amoenaria"
86,2.22044604925031e-16,6.5801226087833e-12,"Bowa","Euchlaena amoenaria"
87,2.22044604925031e-16,6.46965249062919e-12,"Bowa","Euchlaena amoenaria"
88,2.22044604925031e-16,6.35957765888866e-12,"Bowa","Euchlaena amoenaria"
89,2.22044604925031e-16,6.24991948976773e-12,"Bowa","Euchlaena amoenaria"
90,2.22044604925031e-16,6.14069935685045e-12,"Bowa","Euchlaena amoenaria"
91,2.22044604925031e-16,6.03193863059237e-12,"Bowa","Euchlaena amoenaria"
92,2.22044604925031e-16,5.92365867776699e-12,"Bowa","Euchlaena amoenaria"
93,2.22044604925031e-16,5.81588086086037e-12,"Bowa","Euchlaena amoenaria"
94,2.22044604925031e-16,5.70862653740844e-12,"Bowa","Euchlaena amoenaria"
95,2.22044604925031e-16,5.60191705927137e-12,"Bowa","Euchlaena amoenaria"
96,2.22044604925031e-16,5.49577377183823e-12,"Bowa","Euchlaena amoenaria"
97,2.22044604925031e-16,5.39021801315479e-12,"Bowa","Euchlaena amoenaria"
98,2.22044604925031e-16,5.28527111296673e-12,"Bowa","Euchlaena amoenaria"
99,2.22044604925031e-16,5.18095439166911e-12,"Bowa","Euchlaena amoenaria"
100,2.22044604925031e-16,5.07728915915277e-12,"Bowa","Euchlaena amoenaria"
101,2.22044604925031e-16,4.97429671353657e-12,"Bowa","Euchlaena amoenaria"
102,2.22044604925031e-16,4.87199833977391e-12,"Bowa","Euchlaena amoenaria"
103,2.22044604925031e-16,4.77041530812015e-12,"Bowa","Euchlaena amoenaria"
104,2.22044604925031e-16,4.66956887244664e-12,"Bowa","Euchlaena amoenaria"
105,2.22044604925031e-16,4.56948026838504e-12,"Bowa","Euchlaena amoenaria"
106,2.22044604925031e-16,4.47017071128446e-12,"Bowa","Euchlaena amoenaria"
107,2.22044604925031e-16,4.37166139396161e-12,"Bowa","Euchlaena amoenaria"
108,2.22044604925031e-16,4.27397348422228e-12,"Bowa","Euchlaena amoenaria"
109,2.22044604925031e-16,4.17712812213029e-12,"Bowa","Euchlaena amoenaria"
110,2.22044604925031e-16,4.08114641699726e-12,"Bowa","Euchlaena amoenaria"
111,2.22044604925031e-16,3.98604944406415e-12,"Bowa","Euchlaena amoenaria"
112,2.22044604925031e-16,3.89185824084213e-12,"Bowa","Euchlaena amoenaria"
113,2.22044604925031e-16,3.79859380307738e-12,"Bowa","Euchlaena amoenaria"
114,2.22044604925031e-16,3.70627708030052e-12,"Bowa","Euchlaena amoenaria"
115,2.22044604925031e-16,3.61492897091777e-12,"Bowa","Euchlaena amoenaria"
116,2.22044604925031e-16,3.52457031679625e-12,"Bowa","Euchlaena amoenaria"
117,2.22044604925031e-16,3.43522189729171e-12,"Bowa","Euchlaena amoenaria"
118,2.22044604925031e-16,3.34690442266183e-12,"Bowa","Euchlaena amoenaria"
119,2.22044604925031e-16,3.25963852680295e-12,"Bowa","Euchlaena amoenaria"
120,2.22044604925031e-16,3.17344475924259e-12,"Bowa","Euchlaena amoenaria"
