"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.39650139190757e-13,"Bowa","Euclea delphinii"
70,2.22044604925031e-16,1.39446457045527e-13,"Bowa","Euclea delphinii"
71,2.22044604925031e-16,1.39243631836784e-13,"Bowa","Euclea delphinii"
72,2.22044604925031e-16,1.39041703573454e-13,"Bowa","Euclea delphinii"
73,2.22044604925031e-16,1.38840711513255e-13,"Bowa","Euclea delphinii"
74,2.22044604925031e-16,1.38640694156005e-13,"Bowa","Euclea delphinii"
75,2.22044604925031e-16,1.38441689237396e-13,"Bowa","Euclea delphinii"
76,2.22044604925031e-16,1.38243733723233e-13,"Bowa","Euclea delphinii"
77,2.22044604925031e-16,1.38046863804156e-13,"Bowa","Euclea delphinii"
78,2.22044604925031e-16,1.37851114890873e-13,"Bowa","Euclea delphinii"
79,2.22044604925031e-16,1.37656521609893e-13,"Bowa","Euclea delphinii"
80,2.22044604925031e-16,1.37463117799787e-13,"Bowa","Euclea delphinii"
81,2.22044604925031e-16,1.37270936507988e-13,"Bowa","Euclea delphinii"
82,2.22044604925031e-16,1.37080009988139e-13,"Bowa","Euclea delphinii"
83,2.22044604925031e-16,1.36890369698006e-13,"Bowa","Euclea delphinii"
84,2.22044604925031e-16,1.36702046297961e-13,"Bowa","Euclea delphinii"
85,2.22044604925031e-16,1.36515069650059e-13,"Bowa","Euclea delphinii"
86,2.22044604925031e-16,1.3632946881771e-13,"Bowa","Euclea delphinii"
87,2.22044604925031e-16,1.36145272065966e-13,"Bowa","Euclea delphinii"
88,2.22044604925031e-16,1.35962506862426e-13,"Bowa","Euclea delphinii"
89,2.22044604925031e-16,1.35781199878785e-13,"Bowa","Euclea delphinii"
90,2.22044604925031e-16,1.35601376993017e-13,"Bowa","Euclea delphinii"
91,2.22044604925031e-16,1.3542306329223e-13,"Bowa","Euclea delphinii"
92,2.22044604925031e-16,1.35246283076177e-13,"Bowa","Euclea delphinii"
93,2.22044604925031e-16,1.35071059861452e-13,"Bowa","Euclea delphinii"
94,2.22044604925031e-16,1.34897416386374e-13,"Bowa","Euclea delphinii"
95,2.22044604925031e-16,1.3472537461657e-13,"Bowa","Euclea delphinii"
96,2.22044604925031e-16,1.34554955751265e-13,"Bowa","Euclea delphinii"
97,2.22044604925031e-16,1.34386180230291e-13,"Bowa","Euclea delphinii"
98,2.22044604925031e-16,1.34219067741827e-13,"Bowa","Euclea delphinii"
99,2.22044604925031e-16,1.34053637230864e-13,"Bowa","Euclea delphinii"
100,2.22044604925031e-16,1.33889906908423e-13,"Bowa","Euclea delphinii"
101,2.22044604925031e-16,1.33727894261522e-13,"Bowa","Euclea delphinii"
102,2.22044604925031e-16,1.33567616063896e-13,"Bowa","Euclea delphinii"
103,2.22044604925031e-16,1.33409088387488e-13,"Bowa","Euclea delphinii"
104,2.22044604925031e-16,1.33252326614715e-13,"Bowa","Euclea delphinii"
105,2.22044604925031e-16,1.33097345451499e-13,"Bowa","Euclea delphinii"
106,2.22044604925031e-16,1.32944158941096e-13,"Bowa","Euclea delphinii"
107,2.22044604925031e-16,1.32792780478706e-13,"Bowa","Euclea delphinii"
108,2.22044604925031e-16,1.3264322282688e-13,"Bowa","Euclea delphinii"
109,2.22044604925031e-16,1.32495498131719e-13,"Bowa","Euclea delphinii"
110,2.22044604925031e-16,1.32349617939884e-13,"Bowa","Euclea delphinii"
111,2.22044604925031e-16,1.32205593216401e-13,"Bowa","Euclea delphinii"
112,2.22044604925031e-16,1.32063434363283e-13,"Bowa","Euclea delphinii"
113,2.22044604925031e-16,1.31923151238956e-13,"Bowa","Euclea delphinii"
114,2.22044604925031e-16,1.317847531785e-13,"Bowa","Euclea delphinii"
115,2.22044604925031e-16,1.31648249014704e-13,"Bowa","Euclea delphinii"
116,2.22044604925031e-16,1.31513647099936e-13,"Bowa","Euclea delphinii"
117,2.22044604925031e-16,1.31380955328825e-13,"Bowa","Euclea delphinii"
118,2.22044604925031e-16,1.31250181161764e-13,"Bowa","Euclea delphinii"
119,2.22044604925031e-16,1.31121331649225e-13,"Bowa","Euclea delphinii"
120,2.22044604925031e-16,1.30994413456889e-13,"Bowa","Euclea delphinii"
121,2.22044604925031e-16,1.30869432891587e-13,"Bowa","Euclea delphinii"
122,2.22044604925031e-16,1.30746395928057e-13,"Bowa","Euclea delphinii"
123,2.22044604925031e-16,1.30625308236507e-13,"Bowa","Euclea delphinii"
124,2.22044604925031e-16,1.30506175210981e-13,"Bowa","Euclea delphinii"
125,2.22044604925031e-16,1.30389001998538e-13,"Bowa","Euclea delphinii"
126,2.22044604925031e-16,1.30273793529218e-13,"Bowa","Euclea delphinii"
127,2.22044604925031e-16,1.30160554546815e-13,"Bowa","Euclea delphinii"
128,2.22044604925031e-16,1.30049289640434e-13,"Bowa","Euclea delphinii"
129,2.22044604925031e-16,1.2994000327684e-13,"Bowa","Euclea delphinii"
130,2.22044604925031e-16,1.2983269983358e-13,"Bowa","Euclea delphinii"
131,2.22044604925031e-16,1.29727383632888e-13,"Bowa","Euclea delphinii"
132,2.22044604925031e-16,1.29624058976355e-13,"Bowa","Euclea delphinii"
133,2.22044604925031e-16,1.29522730180364e-13,"Bowa","Euclea delphinii"
134,2.22044604925031e-16,1.29423401612275e-13,"Bowa","Euclea delphinii"
135,2.22044604925031e-16,1.29326077727363e-13,"Bowa","Euclea delphinii"
136,2.22044604925031e-16,1.29230763106495e-13,"Bowa","Euclea delphinii"
137,2.22044604925031e-16,1.29137462494535e-13,"Bowa","Euclea delphinii"
138,2.22044604925031e-16,1.29046180839474e-13,"Bowa","Euclea delphinii"
139,2.22044604925031e-16,1.28956923332274e-13,"Bowa","Euclea delphinii"
140,2.22044604925031e-16,1.28869694947912e-13,"Bowa","Euclea delphinii"
141,2.22044604925031e-16,1.28784481650489e-13,"Bowa","Euclea delphinii"
142,2.22044604925031e-16,1.28701245029274e-13,"Bowa","Euclea delphinii"
143,2.22044604925031e-16,1.28619946031359e-13,"Bowa","Euclea delphinii"
144,2.22044604925031e-16,1.28540546620206e-13,"Bowa","Euclea delphinii"
145,2.22044604925031e-16,1.28463009741875e-13,"Bowa","Euclea delphinii"
146,2.22044604925031e-16,1.28387299291551e-13,"Bowa","Euclea delphinii"
147,2.22044604925031e-16,1.2831338008038e-13,"Bowa","Euclea delphinii"
148,2.22044604925031e-16,1.28241217802638e-13,"Bowa","Euclea delphinii"
149,2.22044604925031e-16,1.28170779003259e-13,"Bowa","Euclea delphinii"
150,2.22044604925031e-16,1.28102031045725e-13,"Bowa","Euclea delphinii"
151,2.22044604925031e-16,1.28034942080361e-13,"Bowa","Euclea delphinii"
152,2.22044604925031e-16,1.27969481013025e-13,"Bowa","Euclea delphinii"
153,2.22044604925031e-16,1.27905617474234e-13,"Bowa","Euclea delphinii"
154,2.22044604925031e-16,1.27843321788719e-13,"Bowa","Euclea delphinii"
155,2.22044604925031e-16,1.27782564945452e-13,"Bowa","Euclea delphinii"
156,2.22044604925031e-16,1.27723318568134e-13,"Bowa","Euclea delphinii"
157,2.22044604925031e-16,1.27665554886172e-13,"Bowa","Euclea delphinii"
158,2.22044604925031e-16,1.27609246706155e-13,"Bowa","Euclea delphinii"
159,2.22044604925031e-16,1.27554367383848e-13,"Bowa","Euclea delphinii"
160,2.22044604925031e-16,1.27500890796706e-13,"Bowa","Euclea delphinii"
161,2.22044604925031e-16,1.2744879131693e-13,"Bowa","Euclea delphinii"
162,2.22044604925031e-16,1.27398043785066e-13,"Bowa","Euclea delphinii"
163,2.22044604925031e-16,1.27348623484175e-13,"Bowa","Euclea delphinii"
164,2.22044604925031e-16,1.27300506114561e-13,"Bowa","Euclea delphinii"
165,2.22044604925031e-16,1.27253667769094e-13,"Bowa","Euclea delphinii"
166,2.22044604925031e-16,1.27208084909112e-13,"Bowa","Euclea delphinii"
167,2.22044604925031e-16,1.27163734340928e-13,"Bowa","Euclea delphinii"
168,2.22044604925031e-16,1.2712059319295e-13,"Bowa","Euclea delphinii"
169,2.22044604925031e-16,1.27078638893405e-13,"Bowa","Euclea delphinii"
170,2.22044604925031e-16,1.27037849148706e-13,"Bowa","Euclea delphinii"
171,2.22044604925031e-16,1.26998201922436e-13,"Bowa","Euclea delphinii"
172,2.22044604925031e-16,1.26959675414982e-13,"Bowa","Euclea delphinii"
173,2.22044604925031e-16,1.26922248043809e-13,"Bowa","Euclea delphinii"
174,2.22044604925031e-16,1.26885898424392e-13,"Bowa","Euclea delphinii"
175,2.22044604925031e-16,1.26850605351804e-13,"Bowa","Euclea delphinii"
176,2.22044604925031e-16,1.26816347782971e-13,"Bowa","Euclea delphinii"
177,2.22044604925031e-16,1.26783104819598e-13,"Bowa","Euclea delphinii"
178,2.22044604925031e-16,1.26750855691769e-13,"Bowa","Euclea delphinii"
179,2.22044604925031e-16,1.26719579742227e-13,"Bowa","Euclea delphinii"
180,2.22044604925031e-16,1.26689256411342e-13,"Bowa","Euclea delphinii"
181,2.22044604925031e-16,1.26659865222768e-13,"Bowa","Euclea delphinii"
182,2.22044604925031e-16,1.26631385769789e-13,"Bowa","Euclea delphinii"
183,2.22044604925031e-16,1.26603797702368e-13,"Bowa","Euclea delphinii"
184,2.22044604925031e-16,1.26577080714894e-13,"Bowa","Euclea delphinii"
185,2.22044604925031e-16,1.2655121453463e-13,"Bowa","Euclea delphinii"
186,2.22044604925031e-16,1.26526178910875e-13,"Bowa","Euclea delphinii"
187,2.22044604925031e-16,1.26501953604829e-13,"Bowa","Euclea delphinii"
188,2.22044604925031e-16,1.26478518380172e-13,"Bowa","Euclea delphinii"
189,2.22044604925031e-16,1.26455852994359e-13,"Bowa","Euclea delphinii"
190,2.22044604925031e-16,1.26433937190628e-13,"Bowa","Euclea delphinii"
191,2.22044604925031e-16,1.26412750690732e-13,"Bowa","Euclea delphinii"
192,2.22044604925031e-16,1.26392273188388e-13,"Bowa","Euclea delphinii"
193,2.22044604925031e-16,1.26372484343442e-13,"Bowa","Euclea delphinii"
194,2.22044604925031e-16,1.26353363776769e-13,"Bowa","Euclea delphinii"
195,2.22044604925031e-16,1.26334891065888e-13,"Bowa","Euclea delphinii"
196,2.22044604925031e-16,1.26317045741307e-13,"Bowa","Euclea delphinii"
197,2.22044604925031e-16,1.26299807283589e-13,"Bowa","Euclea delphinii"
198,2.22044604925031e-16,1.26283155121153e-13,"Bowa","Euclea delphinii"
199,2.22044604925031e-16,1.26267068628794e-13,"Bowa","Euclea delphinii"
200,2.22044604925031e-16,1.26251527126938e-13,"Bowa","Euclea delphinii"
201,2.22044604925031e-16,1.26236509881623e-13,"Bowa","Euclea delphinii"
202,2.22044604925031e-16,1.26221996105208e-13,"Bowa","Euclea delphinii"
