"doy","fit","se","Site","validName"
69,0.60473588948384,0.365056844245444,"Bowa","Eusarca confusaria"
70,0.604260632146409,0.360599993155826,"Bowa","Eusarca confusaria"
71,0.603785666440134,0.356195901445225,"Bowa","Eusarca confusaria"
72,0.60331091045894,0.351846546386517,"Bowa","Eusarca confusaria"
73,0.602836282554077,0.34755389316108,"Bowa","Eusarca confusaria"
74,0.602361701333885,0.343319891495346,"Bowa","Eusarca confusaria"
75,0.601887085663678,0.339146472036681,"Bowa","Eusarca confusaria"
76,0.601412354665735,0.335035542461867,"Bowa","Eusarca confusaria"
77,0.600937427719397,0.330988983313313,"Bowa","Eusarca confusaria"
78,0.600462224461278,0.327008643560261,"Bowa","Eusarca confusaria"
79,0.599986664785579,0.323096335884789,"Bowa","Eusarca confusaria"
80,0.59951066884451,0.319253831695306,"Bowa","Eusarca confusaria"
81,0.59903415704882,0.315482855873545,"Bowa","Eusarca confusaria"
82,0.598557050068434,0.311785081264676,"Bowa","Eusarca confusaria"
83,0.598079268833189,0.308162122924267,"Bowa","Eusarca confusaria"
84,0.597600734533683,0.304615532140132,"Bowa","Eusarca confusaria"
85,0.597121368622221,0.301146790251867,"Bowa","Eusarca confusaria"
86,0.596641092813871,0.297757302295794,"Bowa","Eusarca confusaria"
87,0.596159829087614,0.294448390508204,"Bowa","Eusarca confusaria"
88,0.595677499687607,0.291221287725063,"Bowa","Eusarca confusaria"
89,0.595194027124537,0.28807713072164,"Bowa","Eusarca confusaria"
90,0.594709334177083,0.285016953540698,"Bowa","Eusarca confusaria"
91,0.594223343893478,0.282041680862903,"Bowa","Eusarca confusaria"
92,0.593735979593162,0.279152121477687,"Bowa","Eusarca confusaria"
93,0.593247164868547,0.276348961916954,"Bowa","Eusarca confusaria"
94,0.592756823586871,0.273632760317468,"Bowa","Eusarca confusaria"
95,0.592264879892152,0.271003940580445,"Bowa","Eusarca confusaria"
96,0.591771258207237,0.268462786898541,"Bowa","Eusarca confusaria"
97,0.591275883235953,0.266009438721122,"Bowa","Eusarca confusaria"
98,0.590778679965349,0.263643886228097,"Bowa","Eusarca confusaria"
99,0.590279573668032,0.261365966380761,"Bowa","Eusarca confusaria"
100,0.589778489904596,0.259175359614922,"Bowa","Eusarca confusaria"
101,0.589275354526156,0.257071587237022,"Bowa","Eusarca confusaria"
102,0.588770093676956,0.255054009578073,"Bowa","Eusarca confusaria"
103,0.588262633797083,0.253121824953043,"Bowa","Eusarca confusaria"
104,0.587752901625268,0.251274069464988,"Bowa","Eusarca confusaria"
105,0.587240824201776,0.249509617683799,"Bowa","Eusarca confusaria"
106,0.586726328871388,0.247827184219241,"Bowa","Eusarca confusaria"
107,0.586209343286467,0.246225326197083,"Bowa","Eusarca confusaria"
108,0.585689795410124,0.244702446635888,"Bowa","Eusarca confusaria"
109,0.585167613519452,0.243256798710715,"Bowa","Eusarca confusaria"
110,0.584642726208866,0.241886490878827,"Bowa","Eusarca confusaria"
111,0.584115062393517,0.240589492831778,"Bowa","Eusarca confusaria"
112,0.583584551312794,0.239363642228267,"Bowa","Eusarca confusaria"
113,0.58305112253391,0.238206652153114,"Bowa","Eusarca confusaria"
114,0.582514705955572,0.237116119239808,"Bowa","Eusarca confusaria"
115,0.581975231811729,0.236089532387564,"Bowa","Eusarca confusaria"
116,0.581432630675409,0.235124281998736,"Bowa","Eusarca confusaria"
117,0.580886833462629,0.234217669658891,"Bowa","Eusarca confusaria"
118,0.580337771436389,0.233366918179898,"Bowa","Eusarca confusaria"
119,0.579785376210743,0.232569181925982,"Bowa","Eusarca confusaria"
120,0.579229579754947,0.231821557343789,"Bowa","Eusarca confusaria"
121,0.578670314397684,0.231121093620005,"Bowa","Eusarca confusaria"
122,0.578107512831369,0.230464803393841,"Bowa","Eusarca confusaria"
123,0.577541108116519,0.229849673456543,"Bowa","Eusarca confusaria"
124,0.57697103368621,0.229272675375934,"Bowa","Eusarca confusaria"
125,0.576397223350592,0.228730775990484,"Bowa","Eusarca confusaria"
126,0.57581961130149,0.228220947724536,"Bowa","Eusarca confusaria"
127,0.575238132117063,0.227740178683775,"Bowa","Eusarca confusaria"
128,0.574652720766544,0.227285482497652,"Bowa","Eusarca confusaria"
129,0.57406331261504,0.226853907883165,"Bowa","Eusarca confusaria"
130,0.573469843428402,0.226442547911931,"Bowa","Eusarca confusaria"
131,0.572872249378163,0.226048548969778,"Bowa","Eusarca confusaria"
132,0.572270467046541,0.225669119405021,"Bowa","Eusarca confusaria"
133,0.571664433431503,0.225301537868067,"Bowa","Eusarca confusaria"
134,0.571054085951894,0.224943161351002,"Bowa","Eusarca confusaria"
135,0.57043936245263,0.224591432941213,"Bowa","Eusarca confusaria"
136,0.569820201209948,0.224243889307987,"Bowa","Eusarca confusaria"
137,0.569196540936716,0.223898167945279,"Bowa","Eusarca confusaria"
138,0.568568320787799,0.223552014197523,"Bowa","Eusarca confusaria"
139,0.567935480365493,0.223203288098449,"Bowa","Eusarca confusaria"
140,0.56729795894298,0.222849985231916,"Bowa","Eusarca confusaria"
141,0.566655665889002,0.222490780323895,"Bowa","Eusarca confusaria"
