"doy","fit","se","Site","validName"
69,0.161910601621343,0.182404260423256,"Bowa","Hypenula cacuminalis"
70,0.161939400139855,0.181068778167692,"Bowa","Hypenula cacuminalis"
71,0.161968031373196,0.179754880720335,"Bowa","Hypenula cacuminalis"
72,0.161996322793246,0.178463032343344,"Bowa","Hypenula cacuminalis"
73,0.162024101753023,0.177193689212868,"Bowa","Hypenula cacuminalis"
74,0.162051195491225,0.17594729785554,"Bowa","Hypenula cacuminalis"
75,0.162077431138607,0.174724293541497,"Bowa","Hypenula cacuminalis"
76,0.162102635726211,0.173525098638614,"Bowa","Hypenula cacuminalis"
77,0.162126636195422,0.172350120933299,"Bowa","Hypenula cacuminalis"
78,0.162149259409897,0.171199751923887,"Bowa","Hypenula cacuminalis"
79,0.162170332169313,0.170074365093288,"Bowa","Hypenula cacuminalis"
80,0.162189681224987,0.168974314168245,"Bowa","Hypenula cacuminalis"
81,0.16220713329733,0.167899931373153,"Bowa","Hypenula cacuminalis"
82,0.162222515095152,0.166851525687023,"Bowa","Hypenula cacuminalis"
83,0.162235653336818,0.1658293811127,"Bowa","Hypenula cacuminalis"
84,0.162246374773246,0.164833754967968,"Bowa","Hypenula cacuminalis"
85,0.162254506212754,0.163864876208629,"Bowa","Hypenula cacuminalis"
86,0.162259874547742,0.162922943793962,"Bowa","Hypenula cacuminalis"
87,0.162262306783215,0.162008125105294,"Bowa","Hypenula cacuminalis"
88,0.162261630067145,0.161120554428553,"Bowa","Hypenula cacuminalis"
89,0.162257671722649,0.160260331511775,"Bowa","Hypenula cacuminalis"
90,0.162250259282001,0.159427520208468,"Bowa","Hypenula cacuminalis"
91,0.162239220522453,0.158622147217591,"Bowa","Hypenula cacuminalis"
92,0.162224383503866,0.15784420093061,"Bowa","Hypenula cacuminalis"
93,0.162205576608134,0.157093630395675,"Bowa","Hypenula cacuminalis"
94,0.162182628580405,0.156370344408417,"Bowa","Hypenula cacuminalis"
95,0.162155368572064,0.1556742107382,"Bowa","Hypenula cacuminalis"
96,0.162123626185493,0.155005055497878,"Bowa","Hypenula cacuminalis"
97,0.162087231520572,0.154362662664186,"Bowa","Hypenula cacuminalis"
98,0.162046015222914,0.153746773754921,"Bowa","Hypenula cacuminalis"
99,0.161999808533819,0.153157087667947,"Bowa","Hypenula cacuminalis"
100,0.161948443341925,0.152593260685909,"Bowa","Hypenula cacuminalis"
101,0.161891752236539,0.152054906649303,"Bowa","Hypenula cacuminalis"
102,0.161829568562622,0.151541597299287,"Bowa","Hypenula cacuminalis"
103,0.161761726477415,0.151052862790305,"Bowa","Hypenula cacuminalis"
104,0.161688061008666,0.150588192371343,"Bowa","Hypenula cacuminalis"
105,0.16160840811445,0.150147035233296,"Bowa","Hypenula cacuminalis"
106,0.161522604744538,0.149728801518735,"Bowa","Hypenula cacuminalis"
107,0.161430488903295,0.149332863489141,"Bowa","Hypenula cacuminalis"
108,0.161331899714077,0.148958556843555,"Bowa","Hypenula cacuminalis"
109,0.161226677485082,0.148605182181567,"Bowa","Hypenula cacuminalis"
110,0.161114663776635,0.148272006602633,"Bowa","Hypenula cacuminalis"
111,0.160995701469858,0.147958265432868,"Bowa","Hypenula cacuminalis"
112,0.160869634836696,0.147663164069785,"Bowa","Hypenula cacuminalis"
113,0.16073630961125,0.147385879934852,"Bowa","Hypenula cacuminalis"
114,0.160595573062381,0.147125564523306,"Bowa","Hypenula cacuminalis"
115,0.160447274067532,0.146881345540341,"Bowa","Hypenula cacuminalis"
116,0.160291263187736,0.146652329112598,"Bowa","Hypenula cacuminalis"
117,0.160127392743741,0.146437602063836,"Bowa","Hypenula cacuminalis"
118,0.159955516893222,0.146236234243714,"Bowa","Hypenula cacuminalis"
119,0.159775491709014,0.146047280898781,"Bowa","Hypenula cacuminalis"
120,0.159587175258312,0.14586978507507,"Bowa","Hypenula cacuminalis"
121,0.159390427682793,0.145702780042028,"Bowa","Hypenula cacuminalis"
122,0.159185111279583,0.145545291727978,"Bowa","Hypenula cacuminalis"
123,0.158971090583023,0.145396341157832,"Bowa","Hypenula cacuminalis"
124,0.158748232447166,0.145254946884326,"Bowa","Hypenula cacuminalis"
125,0.158516406128938,0.145120127404671,"Bowa","Hypenula cacuminalis"
126,0.1582754833719,0.14499090355518,"Bowa","Hypenula cacuminalis"
127,0.158025338490537,0.144866300877044,"Bowa","Hypenula cacuminalis"
128,0.15776584845501,0.144745351947168,"Bowa","Hypenula cacuminalis"
129,0.157496892976287,0.144627098668589,"Bowa","Hypenula cacuminalis"
130,0.157218354591597,0.1445105945157,"Bowa","Hypenula cacuminalis"
131,0.156930118750105,0.144394906730108,"Bowa","Hypenula cacuminalis"
132,0.156632073898752,0.14427911846359,"Bowa","Hypenula cacuminalis"
133,0.156324111568167,0.144162330865177,"Bowa","Hypenula cacuminalis"
134,0.15600612645857,0.144043665109929,"Bowa","Hypenula cacuminalis"
135,0.155678016525587,0.143922264367468,"Bowa","Hypenula cacuminalis"
136,0.155339683065885,0.143797295708785,"Bowa","Hypenula cacuminalis"
137,0.154991030802545,0.143667951950232,"Bowa","Hypenula cacuminalis"
138,0.154631967970075,0.143533453433967,"Bowa","Hypenula cacuminalis"
139,0.154262406398992,0.143393049744409,"Bowa","Hypenula cacuminalis"
140,0.153882262553874,0.143246025462149,"Bowa","Hypenula cacuminalis"
141,0.15349149364661,0.143091856737946,"Bowa","Hypenula cacuminalis"
142,0.153090108268064,0.142930257862112,"Bowa","Hypenula cacuminalis"
143,0.152678121191681,0.142760985726444,"Bowa","Hypenula cacuminalis"
144,0.152255550164192,0.142583824044635,"Bowa","Hypenula cacuminalis"
145,0.151822415922853,0.142398581481755,"Bowa","Hypenula cacuminalis"
146,0.151378742211402,0.142205089836662,"Bowa","Hypenula cacuminalis"
147,0.150924555794695,0.142003202279799,"Bowa","Hypenula cacuminalis"
148,0.150459886472012,0.141792791648441,"Bowa","Hypenula cacuminalis"
149,0.149984767088996,0.141573748801215,"Bowa","Hypenula cacuminalis"
150,0.149499233548215,0.141345981033424,"Bowa","Hypenula cacuminalis"
151,0.14900332481831,0.141109410554495,"Bowa","Hypenula cacuminalis"
152,0.148497082941716,0.140863973028631,"Bowa","Hypenula cacuminalis"
153,0.147980553040931,0.140609616179597,"Bowa","Hypenula cacuminalis"
154,0.147453783323316,0.140346298460335,"Bowa","Hypenula cacuminalis"
155,0.146916825084401,0.140073987787994,"Bowa","Hypenula cacuminalis"
156,0.146369732709685,0.139792660344778,"Bowa","Hypenula cacuminalis"
157,0.145812563674904,0.139502299444889,"Bowa","Hypenula cacuminalis"
158,0.145245378544758,0.139202894467679,"Bowa","Hypenula cacuminalis"
159,0.144668240970079,0.138894439857046,"Bowa","Hypenula cacuminalis"
160,0.144081217683415,0.138576934186931,"Bowa","Hypenula cacuminalis"
161,0.143484378493037,0.138250379292687,"Bowa","Hypenula cacuminalis"
162,0.142877796275335,0.137914779467958,"Bowa","Hypenula cacuminalis"
163,0.142261546965601,0.137570140726603,"Bowa","Hypenula cacuminalis"
164,0.141635709547191,0.13721647012906,"Bowa","Hypenula cacuminalis"
165,0.141000366039047,0.136853775172463,"Bowa","Hypenula cacuminalis"
166,0.140355601481582,0.136482063243692,"Bowa","Hypenula cacuminalis"
167,0.139701503920909,0.136101341134425,"Bowa","Hypenula cacuminalis"
168,0.139038164391416,0.135711614617164,"Bowa","Hypenula cacuminalis"
169,0.138365676896679,0.135312888081086,"Bowa","Hypenula cacuminalis"
170,0.137684138388714,0.134905164226454,"Bowa","Hypenula cacuminalis"
171,0.13699364874555,0.13448844381625,"Bowa","Hypenula cacuminalis"
172,0.136294310747148,0.134062725483544,"Bowa","Hypenula cacuminalis"
173,0.135586230049637,0.133628005593043,"Bowa","Hypenula cacuminalis"
174,0.134869515157895,0.133184278155163,"Bowa","Hypenula cacuminalis"
175,0.134144277396454,0.132731534790847,"Bowa","Hypenula cacuminalis"
176,0.133410630878754,0.132269764745294,"Bowa","Hypenula cacuminalis"
177,0.132668692474733,0.131798954948672,"Bowa","Hypenula cacuminalis"
178,0.131918581776775,0.131319090121771,"Bowa","Hypenula cacuminalis"
179,0.131160421064015,0.130830152924535,"Bowa","Hypenula cacuminalis"
180,0.130394335265009,0.1303321241453,"Bowa","Hypenula cacuminalis"
181,0.129620451918791,0.12982498292851,"Bowa","Hypenula cacuminalis"
182,0.128838901134315,0.129308707038651,"Bowa","Hypenula cacuminalis"
183,0.128049815548308,0.128783273158056,"Bowa","Hypenula cacuminalis"
184,0.127253330281536,0.128248657216234,"Bowa","Hypenula cacuminalis"
185,0.126449582893518,0.1277048347483,"Bowa","Hypenula cacuminalis"
186,0.125638713335679,0.127151781280107,"Bowa","Hypenula cacuminalis"
187,0.124820863902993,0.126589472737602,"Bowa","Hypenula cacuminalis"
188,0.12399617918411,0.126017885877986,"Bowa","Hypenula cacuminalis"
189,0.123164806009999,0.125436998740198,"Bowa","Hypenula cacuminalis"
190,0.122326893401137,0.124846791112279,"Bowa","Hypenula cacuminalis"
191,0.121482592513257,0.124247245013187,"Bowa","Hypenula cacuminalis"
192,0.120632056581686,0.123638345186628,"Bowa","Hypenula cacuminalis"
193,0.119775440864304,0.123020079604534,"Bowa","Hypenula cacuminalis"
194,0.118912902583146,0.122392439977822,"Bowa","Hypenula cacuminalis"
195,0.118044600864682,0.121755422272116,"Bowa","Hypenula cacuminalis"
196,0.117170696678807,0.121109027226182,"Bowa","Hypenula cacuminalis"
197,0.116291352776564,0.120453260870839,"Bowa","Hypenula cacuminalis"
198,0.115406733626651,0.119788135046213,"Bowa","Hypenula cacuminalis"
199,0.114517005350731,0.119113667915217,"Bowa","Hypenula cacuminalis"
200,0.113622335657593,0.118429884471243,"Bowa","Hypenula cacuminalis"
201,0.112722893776189,0.117736817038111,"Bowa","Hypenula cacuminalis"
202,0.111818850387602,0.117034505760366,"Bowa","Hypenula cacuminalis"
203,0.110910377555977,0.116322999082143,"Bowa","Hypenula cacuminalis"
204,0.109997648658442,0.115602354212851,"Bowa","Hypenula cacuminalis"
205,0.109080838314095,0.114872637578017,"Bowa","Hypenula cacuminalis"
206,0.108160122312066,0.114133925253731,"Bowa","Hypenula cacuminalis"
207,0.107235677538717,0.113386303383185,"Bowa","Hypenula cacuminalis"
208,0.106307681904024,0.112629868573896,"Bowa","Hypenula cacuminalis"
209,0.105376314267179,0.11186472827428,"Bowa","Hypenula cacuminalis"
210,0.104441754361466,0.111091001128309,"Bowa","Hypenula cacuminalis"
211,0.103504182718464,0.110308817307084,"Bowa","Hypenula cacuminalis"
212,0.102563780591613,0.109518318816201,"Bowa","Hypenula cacuminalis"
213,0.1016207298792,0.108719659777886,"Bowa","Hypenula cacuminalis"
214,0.100675213046817,0.107913006686919,"Bowa","Hypenula cacuminalis"
215,0.0997274130493449,0.107098538639463,"Bowa","Hypenula cacuminalis"
216,0.0987775132525022,0.106276447533932,"Bowa","Hypenula cacuminalis"
217,0.0978256973540265,0.105446938243139,"Bowa","Hypenula cacuminalis"
218,0.0968721493045342,0.104610228756982,"Bowa","Hypenula cacuminalis"
219,0.0959170532281119,0.103766550294987,"Bowa","Hypenula cacuminalis"
220,0.0949605933426968,0.102916147388081,"Bowa","Hypenula cacuminalis"
221,0.0940029538802993,0.102059277928984,"Bowa","Hypenula cacuminalis"
222,0.0930443190071228,0.101196213190683,"Bowa","Hypenula cacuminalis"
223,0.0920848727436362,0.100327237812424,"Bowa","Hypenula cacuminalis"
224,0.0911247988846559,0.099452649752749,"Bowa","Hypenula cacuminalis"
225,0.0901642810994377,0.0985727606094884,"Bowa","Hypenula cacuminalis"
226,0.0892035404066124,0.0976879784363947,"Bowa","Hypenula cacuminalis"
227,0.0882428790274093,0.0967989003866066,"Bowa","Hypenula cacuminalis"
228,0.0872826045279132,0.0959061393376639,"Bowa","Hypenula cacuminalis"
229,0.0863230181087358,0.0950102961518025,"Bowa","Hypenula cacuminalis"
230,0.0853644145414354,0.0941119581728751,"Bowa","Hypenula cacuminalis"
231,0.0844070821122481,0.0932116978796506,"Bowa","Hypenula cacuminalis"
232,0.0834513025729956,0.0923100716898249,"Bowa","Hypenula cacuminalis"
233,0.0824973510990175,0.0914076189090964,"Bowa","Hypenula cacuminalis"
234,0.0815454962539824,0.0905048608196841,"Bowa","Hypenula cacuminalis"
235,0.0805959999614224,0.0896022999026852,"Bowa","Hypenula cacuminalis"
236,0.0796491174828326,0.0887004191886823,"Bowa","Hypenula cacuminalis"
237,0.0787050974021706,0.0877996817310189,"Bowa","Hypenula cacuminalis"
238,0.0777641816165959,0.0869005301961791,"Bowa","Hypenula cacuminalis"
239,0.0768266053332756,0.086003386565701,"Bowa","Hypenula cacuminalis"
240,0.0758925970720887,0.0851086519440718,"Bowa","Hypenula cacuminalis"
241,0.0749623786740537,0.084216706467045,"Bowa","Hypenula cacuminalis"
242,0.0740361653153064,0.0833279093048369,"Bowa","Hypenula cacuminalis"
243,0.0731141655264492,0.0824425987546564,"Bowa","Hypenula cacuminalis"
