"doy","fit","se","Site","validName"
69,2.22044604925031e-16,8.90588797860392e-14,"Bowa","Malacosoma americana"
70,2.22044604925031e-16,8.54198932802511e-14,"Bowa","Malacosoma americana"
71,2.22044604925031e-16,8.17862916597548e-14,"Bowa","Malacosoma americana"
72,2.22044604925031e-16,7.81626450370292e-14,"Bowa","Malacosoma americana"
73,2.22044604925031e-16,7.4553537689135e-14,"Bowa","Malacosoma americana"
74,2.22044604925031e-16,7.09635708389947e-14,"Bowa","Malacosoma americana"
75,2.22044604925031e-16,6.73973661280332e-14,"Bowa","Malacosoma americana"
76,2.22044604925031e-16,6.38595699870987e-14,"Bowa","Malacosoma americana"
77,2.22044604925031e-16,6.03548591851133e-14,"Bowa","Malacosoma americana"
78,2.22044604925031e-16,5.68879479388035e-14,"Bowa","Malacosoma americana"
79,2.22044604925031e-16,5.34635971147803e-14,"Bowa","Malacosoma americana"
80,2.22044604925031e-16,5.00866262708397e-14,"Bowa","Malacosoma americana"
81,2.22044604925031e-16,4.6761929600186e-14,"Bowa","Malacosoma americana"
82,2.22044604925031e-16,4.34944973184718e-14,"Bowa","Malacosoma americana"
83,2.22044604925031e-16,4.02894447580383e-14,"Bowa","Malacosoma americana"
84,2.22044604925031e-16,3.7152052560009e-14,"Bowa","Malacosoma americana"
85,2.22044604925031e-16,3.40878231383139e-14,"Bowa","Malacosoma americana"
86,2.22044604925031e-16,3.11025614756823e-14,"Bowa","Malacosoma americana"
87,2.22044604925031e-16,2.8202493085002e-14,"Bowa","Malacosoma americana"
88,2.22044604925031e-16,2.53944400479589e-14,"Bowa","Malacosoma americana"
89,1.11010994566939e-15,1.13418896985653e-13,"Bowa","Malacosoma americana"
90,9.79903569020052e-15,8.86432372870366e-13,"Bowa","Malacosoma americana"
91,8.11235144157879e-14,6.43244689310229e-12,"Bowa","Malacosoma americana"
92,6.27956945177075e-13,4.31561649181441e-11,"Bowa","Malacosoma americana"
93,4.53112763451384e-12,2.66633426364071e-10,"Bowa","Malacosoma americana"
94,3.03843298572369e-11,1.51236653121269e-09,"Bowa","Malacosoma americana"
95,1.88770266929646e-10,7.8709835126304e-09,"Bowa","Malacosoma americana"
96,1.08325749207785e-09,3.77882127560792e-08,"Bowa","Malacosoma americana"
97,5.72423716534332e-09,1.70152059320999e-07,"Bowa","Malacosoma americana"
98,2.77693021105068e-08,7.39952601059739e-07,"Bowa","Malacosoma americana"
99,1.23295538766044e-07,3.18724803188331e-06,"Bowa","Malacosoma americana"
100,4.99503382599952e-07,1.35046604104152e-05,"Bowa","Malacosoma americana"
101,1.8408220187795e-06,5.43562045881334e-05,"Bowa","Malacosoma americana"
102,6.15235073323608e-06,0.000200887024892001,"Bowa","Malacosoma americana"
103,1.8590878473806e-05,0.000667780466140979,"Bowa","Malacosoma americana"
104,5.06362926841667e-05,0.00197577240365049,"Bowa","Malacosoma americana"
105,0.000123936913620944,0.00517469994838959,"Bowa","Malacosoma americana"
106,0.00027176270730919,0.0119557450753913,"Bowa","Malacosoma americana"
107,0.0005322345637582,0.0242982701543801,"Bowa","Malacosoma americana"
108,0.000928140966226436,0.043315735722889,"Bowa","Malacosoma americana"
109,0.00143679922453117,0.0675198200379752,"Bowa","Malacosoma americana"
110,0.00196844428020284,0.0917032445309699,"Bowa","Malacosoma americana"
111,0.00237940673994514,0.10806938367014,"Bowa","Malacosoma americana"
112,0.00252991769060555,0.109960611207122,"Bowa","Malacosoma americana"
113,0.00235890179972341,0.0960177293758079,"Bowa","Malacosoma americana"
114,0.00192288237800116,0.0713957652437674,"Bowa","Malacosoma americana"
115,0.00136618208925622,0.0447353204891346,"Bowa","Malacosoma americana"
116,0.000843433969103197,0.023269183089876,"Bowa","Malacosoma americana"
117,0.000451080282834334,0.00982846603287278,"Bowa","Malacosoma americana"
118,0.000208348547754171,0.00328657665436078,"Bowa","Malacosoma americana"
119,8.2858031501054e-05,0.000929660666516419,"Bowa","Malacosoma americana"
120,2.82852399672476e-05,0.000352775893274682,"Bowa","Malacosoma americana"
121,8.26304026074396e-06,0.00016422719323839,"Bowa","Malacosoma americana"
122,2.05943570288259e-06,6.21047991429328e-05,"Bowa","Malacosoma americana"
123,4.36574732029451e-07,1.83787855674098e-05,"Bowa","Malacosoma americana"
124,7.84773929290562e-08,4.34524571803121e-06,"Bowa","Malacosoma americana"
125,1.19255872138593e-08,8.33222592349682e-07,"Bowa","Malacosoma americana"
126,1.52734742074558e-09,1.30683647055252e-07,"Bowa","Malacosoma americana"
127,1.64358579288934e-10,1.68378388125278e-08,"Bowa","Malacosoma americana"
128,1.48155242428781e-11,1.78563230439593e-09,"Bowa","Malacosoma americana"
129,1.11528379755478e-12,1.55928293893382e-10,"Bowa","Malacosoma americana"
130,6.98990236462381e-14,1.12061333669953e-11,"Bowa","Malacosoma americana"
131,3.636200277451e-15,6.62030986180738e-13,"Bowa","Malacosoma americana"
132,2.22044604925031e-16,4.55350989002796e-14,"Bowa","Malacosoma americana"
133,2.22044604925031e-16,5.09265992623867e-14,"Bowa","Malacosoma americana"
134,2.22044604925031e-16,5.66056742423196e-14,"Bowa","Malacosoma americana"
135,2.22044604925031e-16,6.25766353320089e-14,"Bowa","Malacosoma americana"
136,2.22044604925031e-16,6.88438401597008e-14,"Bowa","Malacosoma americana"
137,2.22044604925031e-16,7.54116788666839e-14,"Bowa","Malacosoma americana"
138,2.22044604925031e-16,8.22845649302189e-14,"Bowa","Malacosoma americana"
139,2.22044604925031e-16,8.94669288443411e-14,"Bowa","Malacosoma americana"
140,2.22044604925031e-16,9.69631138070818e-14,"Bowa","Malacosoma americana"
141,2.22044604925031e-16,1.04773589755313e-13,"Bowa","Malacosoma americana"
142,2.22044604925031e-16,1.12893790402366e-13,"Bowa","Malacosoma americana"
143,2.22044604925031e-16,1.21318819317931e-13,"Bowa","Malacosoma americana"
144,2.22044604925031e-16,1.30043787451989e-13,"Bowa","Malacosoma americana"
145,2.22044604925031e-16,1.39063814259575e-13,"Bowa","Malacosoma americana"
146,2.22044604925031e-16,1.48374029201405e-13,"Bowa","Malacosoma americana"
147,2.22044604925031e-16,1.5796957342592e-13,"Bowa","Malacosoma americana"
148,2.22044604925031e-16,1.67845601513976e-13,"Bowa","Malacosoma americana"
149,2.22044604925031e-16,1.7799728321605e-13,"Bowa","Malacosoma americana"
150,2.22044604925031e-16,1.88419805142696e-13,"Bowa","Malacosoma americana"
