"doy","fit","se","Site","validName"
69,2.22044604925031e-16,2.61342930095962e-12,"Bowa","Mocis marcida"
70,2.22044604925031e-16,2.5209212414382e-12,"Bowa","Mocis marcida"
71,2.22044604925031e-16,2.42867666348106e-12,"Bowa","Mocis marcida"
72,2.22044604925031e-16,2.33681020642905e-12,"Bowa","Mocis marcida"
73,2.22044604925031e-16,2.24543750094304e-12,"Bowa","Mocis marcida"
74,2.22044604925031e-16,2.1546752818216e-12,"Bowa","Mocis marcida"
75,2.22044604925031e-16,2.06464151810884e-12,"Bowa","Mocis marcida"
76,2.22044604925031e-16,1.97545556289207e-12,"Bowa","Mocis marcida"
77,2.22044604925031e-16,1.88723832541781e-12,"Bowa","Mocis marcida"
78,2.22044604925031e-16,1.80011246832116e-12,"Bowa","Mocis marcida"
79,2.22044604925031e-16,1.71420263280514e-12,"Bowa","Mocis marcida"
80,2.22044604925031e-16,1.62963569441924e-12,"Bowa","Mocis marcida"
81,2.22044604925031e-16,1.54654105151141e-12,"Bowa","Mocis marcida"
82,2.22044604925031e-16,1.46505094721233e-12,"Bowa","Mocis marcida"
83,2.22044604925031e-16,1.38530082357517e-12,"Bowa","Mocis marcida"
84,2.22044604925031e-16,1.30742970265941e-12,"Bowa","Mocis marcida"
85,2.22044604925031e-16,1.23158058305472e-12,"Bowa","Mocis marcida"
86,2.22044604925031e-16,1.15790083033663e-12,"Bowa","Mocis marcida"
87,2.22044604925031e-16,1.08654252444316e-12,"Bowa","Mocis marcida"
88,2.22044604925031e-16,1.01766270350493e-12,"Bowa","Mocis marcida"
89,2.22044604925031e-16,9.51423409052986e-13,"Bowa","Mocis marcida"
90,2.22044604925031e-16,8.87991387965992e-13,"Bowa","Mocis marcida"
91,2.22044604925031e-16,8.27537238237541e-13,"Bowa","Mocis marcida"
92,2.22044604925031e-16,7.70233696585023e-13,"Bowa","Mocis marcida"
93,2.22044604925031e-16,7.16252659210561e-13,"Bowa","Mocis marcida"
94,2.22044604925031e-16,6.65760417171316e-13,"Bowa","Mocis marcida"
95,2.22044604925031e-16,6.18910509945493e-13,"Bowa","Mocis marcida"
96,2.22044604925031e-16,5.75833620824164e-13,"Bowa","Mocis marcida"
97,2.22044604925031e-16,5.36624156030252e-13,"Bowa","Mocis marcida"
98,2.22044604925031e-16,5.01323681657437e-13,"Bowa","Mocis marcida"
99,2.22044604925031e-16,4.69902307238769e-13,"Bowa","Mocis marcida"
100,2.22044604925031e-16,4.42240312079562e-13,"Bowa","Mocis marcida"
101,2.22044604925031e-16,4.18113450689539e-13,"Bowa","Mocis marcida"
102,2.22044604925031e-16,3.97185832603078e-13,"Bowa","Mocis marcida"
103,2.22044604925031e-16,3.79013453811961e-13,"Bowa","Mocis marcida"
104,2.22044604925031e-16,3.6305925611574e-13,"Bowa","Mocis marcida"
105,2.22044604925031e-16,3.48717698407702e-13,"Bowa","Mocis marcida"
106,2.22044604925031e-16,3.3534446856267e-13,"Bowa","Mocis marcida"
107,2.22044604925031e-16,3.22286152803423e-13,"Bowa","Mocis marcida"
108,2.22044604925031e-16,3.08905561617812e-13,"Bowa","Mocis marcida"
109,2.22044604925031e-16,2.94600309363746e-13,"Bowa","Mocis marcida"
110,2.22044604925031e-16,2.78814221456972e-13,"Bowa","Mocis marcida"
111,5.68864982046414e-15,6.68775408622497e-12,"Bowa","Mocis marcida"
112,1.39381247739685e-12,1.51174902063051e-09,"Bowa","Mocis marcida"
113,1.95857912316753e-10,1.92098553452816e-07,"Bowa","Mocis marcida"
114,1.55813186154858e-08,1.34405950213945e-05,"Bowa","Mocis marcida"
115,6.92752814831563e-07,0.000504772021693683,"Bowa","Mocis marcida"
116,1.69921401792167e-05,0.00981805642439166,"Bowa","Mocis marcida"
117,0.000226985568754752,0.0929428777172018,"Bowa","Mocis marcida"
118,0.00163009712413903,0.3672911677604,"Bowa","Mocis marcida"
119,0.00621267270951124,0.458053102091242,"Bowa","Mocis marcida"
120,0.0124044615471982,2.98769620874336,"Bowa","Mocis marcida"
121,0.0128084476143701,6.26384295513201,"Bowa","Mocis marcida"
122,0.00675178962210122,5.16015513037983,"Bowa","Mocis marcida"
123,0.00179361745676519,1.90904810722873,"Bowa","Mocis marcida"
124,0.000237035801775509,0.329342614792715,"Bowa","Mocis marcida"
125,1.53835286280602e-05,0.0267663981056029,"Bowa","Mocis marcida"
126,4.83994652746808e-07,0.00102436368720457,"Bowa","Mocis marcida"
127,7.28706148448977e-09,1.83606776850263e-05,"Bowa","Mocis marcida"
128,5.18294098924497e-11,1.52895671538654e-07,"Bowa","Mocis marcida"
129,1.7190825951245e-13,5.85883517356378e-10,"Bowa","Mocis marcida"
130,2.62481416022284e-16,1.02226481885375e-12,"Bowa","Mocis marcida"
131,2.22044604925031e-16,9.79227331036996e-13,"Bowa","Mocis marcida"
