"doy","fit","se","Site","validName"
69,36214922387166.5,245634814338234272,"Bowa","Panopoda carneicosta"
70,2.22044604925031e-16,7.08605435141946e-12,"Bowa","Panopoda carneicosta"
71,2.22044604925031e-16,1.5678169760594e-11,"Bowa","Panopoda carneicosta"
72,2.22044604925031e-16,2.42702851714321e-11,"Bowa","Panopoda carneicosta"
73,2.22044604925031e-16,3.28624005826631e-11,"Bowa","Panopoda carneicosta"
74,2.22044604925031e-16,4.14545159940172e-11,"Bowa","Panopoda carneicosta"
75,2.22044604925031e-16,5.00466314054452e-11,"Bowa","Panopoda carneicosta"
76,2.22044604925031e-16,5.86387468169096e-11,"Bowa","Panopoda carneicosta"
77,2.22044604925031e-16,6.72308622283937e-11,"Bowa","Panopoda carneicosta"
78,2.22044604925031e-16,7.58229776398985e-11,"Bowa","Panopoda carneicosta"
79,2.22044604925031e-16,8.44150930514121e-11,"Bowa","Panopoda carneicosta"
80,2.22044604925031e-16,9.30072084629338e-11,"Bowa","Panopoda carneicosta"
81,2.22044604925031e-16,1.01599323874458e-10,"Bowa","Panopoda carneicosta"
82,2.22044604925031e-16,1.10191439285991e-10,"Bowa","Panopoda carneicosta"
83,2.22044604925031e-16,1.18783554697527e-10,"Bowa","Panopoda carneicosta"
84,2.22044604925031e-16,1.27375670109064e-10,"Bowa","Panopoda carneicosta"
85,2.22044604925031e-16,1.35967785520603e-10,"Bowa","Panopoda carneicosta"
86,2.22044604925031e-16,1.44559900932146e-10,"Bowa","Panopoda carneicosta"
87,2.22044604925031e-16,1.53152016343688e-10,"Bowa","Panopoda carneicosta"
88,2.22044604925031e-16,1.61744131755233e-10,"Bowa","Panopoda carneicosta"
89,2.22044604925031e-16,1.70336247166777e-10,"Bowa","Panopoda carneicosta"
90,2.22044604925031e-16,1.78928362578325e-10,"Bowa","Panopoda carneicosta"
91,2.22044604925031e-16,1.87520477989871e-10,"Bowa","Panopoda carneicosta"
92,2.22044604925031e-16,1.9611259340142e-10,"Bowa","Panopoda carneicosta"
93,2.22044604925031e-16,2.04704708812967e-10,"Bowa","Panopoda carneicosta"
94,2.22044604925031e-16,2.13296824224518e-10,"Bowa","Panopoda carneicosta"
95,2.22044604925031e-16,2.21888939636067e-10,"Bowa","Panopoda carneicosta"
96,2.22044604925031e-16,2.30481055047616e-10,"Bowa","Panopoda carneicosta"
97,2.22044604925031e-16,2.39073170459167e-10,"Bowa","Panopoda carneicosta"
98,2.22044604925031e-16,2.47665285870717e-10,"Bowa","Panopoda carneicosta"
99,2.22044604925031e-16,2.56257401282269e-10,"Bowa","Panopoda carneicosta"
100,2.22044604925031e-16,2.6484951669382e-10,"Bowa","Panopoda carneicosta"
101,2.22044604925031e-16,2.73441632105371e-10,"Bowa","Panopoda carneicosta"
102,2.22044604925031e-16,2.82033747516922e-10,"Bowa","Panopoda carneicosta"
103,2.22044604925031e-16,2.90625862928474e-10,"Bowa","Panopoda carneicosta"
104,2.22044604925031e-16,2.99217978340027e-10,"Bowa","Panopoda carneicosta"
105,2.22044604925031e-16,3.07810093751579e-10,"Bowa","Panopoda carneicosta"
106,2.22044604925031e-16,3.16402209163132e-10,"Bowa","Panopoda carneicosta"
107,2.22044604925031e-16,3.24994324574683e-10,"Bowa","Panopoda carneicosta"
108,2.22044604925031e-16,3.33586439986235e-10,"Bowa","Panopoda carneicosta"
109,2.22044604925031e-16,3.42178555397789e-10,"Bowa","Panopoda carneicosta"
110,2.22044604925031e-16,3.50770670809341e-10,"Bowa","Panopoda carneicosta"
111,2.22044604925031e-16,3.59362786220894e-10,"Bowa","Panopoda carneicosta"
112,2.22044604925031e-16,3.67954901632447e-10,"Bowa","Panopoda carneicosta"
113,2.22044604925031e-16,3.76547017044e-10,"Bowa","Panopoda carneicosta"
114,2.22044604925031e-16,3.85139132455553e-10,"Bowa","Panopoda carneicosta"
115,2.22044604925031e-16,3.93731247867106e-10,"Bowa","Panopoda carneicosta"
116,2.22044604925031e-16,4.02323363278659e-10,"Bowa","Panopoda carneicosta"
117,2.22044604925031e-16,4.10915478690212e-10,"Bowa","Panopoda carneicosta"
118,2.22044604925031e-16,4.19507594101765e-10,"Bowa","Panopoda carneicosta"
119,2.22044604925031e-16,4.28099709513319e-10,"Bowa","Panopoda carneicosta"
120,2.22044604925031e-16,4.36691824924872e-10,"Bowa","Panopoda carneicosta"
121,2.22044604925031e-16,4.45283940336425e-10,"Bowa","Panopoda carneicosta"
122,2.22044604925031e-16,4.53876055747979e-10,"Bowa","Panopoda carneicosta"
123,2.22044604925031e-16,4.62468171159532e-10,"Bowa","Panopoda carneicosta"
124,2.22044604925031e-16,4.71060286571085e-10,"Bowa","Panopoda carneicosta"
125,2.22044604925031e-16,4.79652401982638e-10,"Bowa","Panopoda carneicosta"
126,2.22044604925031e-16,4.88244517394192e-10,"Bowa","Panopoda carneicosta"
127,2.22044604925031e-16,4.96836632805746e-10,"Bowa","Panopoda carneicosta"
128,2.22044604925031e-16,5.05428748217299e-10,"Bowa","Panopoda carneicosta"
129,2.22044604925031e-16,5.14020863628853e-10,"Bowa","Panopoda carneicosta"
130,2.22044604925031e-16,5.22612979040407e-10,"Bowa","Panopoda carneicosta"
131,2.22044604925031e-16,5.3120509445196e-10,"Bowa","Panopoda carneicosta"
132,2.22044604925031e-16,5.39797209863513e-10,"Bowa","Panopoda carneicosta"
133,2.22044604925031e-16,5.48389325275067e-10,"Bowa","Panopoda carneicosta"
134,2.22044604925031e-16,5.56981440686621e-10,"Bowa","Panopoda carneicosta"
135,2.22044604925031e-16,5.65573556098174e-10,"Bowa","Panopoda carneicosta"
136,2.22044604925031e-16,5.74165671509728e-10,"Bowa","Panopoda carneicosta"
137,2.22044604925031e-16,5.82757786921282e-10,"Bowa","Panopoda carneicosta"
138,2.22044604925031e-16,5.91349902332835e-10,"Bowa","Panopoda carneicosta"
139,2.22044604925031e-16,5.99942017744389e-10,"Bowa","Panopoda carneicosta"
140,2.22044604925031e-16,6.08534133155942e-10,"Bowa","Panopoda carneicosta"
141,2.22044604925031e-16,6.17126248567496e-10,"Bowa","Panopoda carneicosta"
142,2.22044604925031e-16,6.25718363979049e-10,"Bowa","Panopoda carneicosta"
143,2.22044604925031e-16,6.34310479390603e-10,"Bowa","Panopoda carneicosta"
144,2.22044604925031e-16,6.42902594802157e-10,"Bowa","Panopoda carneicosta"
145,2.22044604925031e-16,6.5149471021371e-10,"Bowa","Panopoda carneicosta"
146,2.22044604925031e-16,6.60086825625264e-10,"Bowa","Panopoda carneicosta"
147,2.22044604925031e-16,6.68678941036818e-10,"Bowa","Panopoda carneicosta"
148,2.22044604925031e-16,6.77271056448371e-10,"Bowa","Panopoda carneicosta"
149,2.22044604925031e-16,6.85863171859925e-10,"Bowa","Panopoda carneicosta"
150,2.22044604925031e-16,6.94455287271479e-10,"Bowa","Panopoda carneicosta"
151,2.22044604925031e-16,7.03047402683032e-10,"Bowa","Panopoda carneicosta"
152,2.22044604925031e-16,7.11639518094586e-10,"Bowa","Panopoda carneicosta"
153,2.22044604925031e-16,7.20231633506139e-10,"Bowa","Panopoda carneicosta"
154,2.22044604925031e-16,7.28823748917693e-10,"Bowa","Panopoda carneicosta"
155,2.22044604925031e-16,7.37415864329247e-10,"Bowa","Panopoda carneicosta"
156,2.22044604925031e-16,7.460079797408e-10,"Bowa","Panopoda carneicosta"
157,2.22044604925031e-16,7.54600095152354e-10,"Bowa","Panopoda carneicosta"
158,2.22044604925031e-16,7.63192210563908e-10,"Bowa","Panopoda carneicosta"
159,2.22044604925031e-16,7.71784325975461e-10,"Bowa","Panopoda carneicosta"
