"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.52633160570621e-13,"Bowa","Polygrammate hebraeicum"
70,2.22044604925031e-16,1.5033829415445e-13,"Bowa","Polygrammate hebraeicum"
71,2.22044604925031e-16,1.48044301729499e-13,"Bowa","Polygrammate hebraeicum"
72,2.22044604925031e-16,1.45751702018519e-13,"Bowa","Polygrammate hebraeicum"
73,2.22044604925031e-16,1.43461013885706e-13,"Bowa","Polygrammate hebraeicum"
74,2.22044604925031e-16,1.41172756335356e-13,"Bowa","Polygrammate hebraeicum"
75,2.22044604925031e-16,1.38887448510441e-13,"Bowa","Polygrammate hebraeicum"
76,2.22044604925031e-16,1.36605609691088e-13,"Bowa","Polygrammate hebraeicum"
77,2.22044604925031e-16,1.34327759292916e-13,"Bowa","Polygrammate hebraeicum"
78,2.22044604925031e-16,1.32054416865206e-13,"Bowa","Polygrammate hebraeicum"
79,2.22044604925031e-16,1.29786102088862e-13,"Bowa","Polygrammate hebraeicum"
80,2.22044604925031e-16,1.27523334774126e-13,"Bowa","Polygrammate hebraeicum"
81,2.22044604925031e-16,1.25266634857988e-13,"Bowa","Polygrammate hebraeicum"
82,2.22044604925031e-16,1.23016522401237e-13,"Bowa","Polygrammate hebraeicum"
83,2.22044604925031e-16,1.20773517585106e-13,"Bowa","Polygrammate hebraeicum"
84,2.22044604925031e-16,1.18538140707412e-13,"Bowa","Polygrammate hebraeicum"
85,2.22044604925031e-16,1.16310912178144e-13,"Bowa","Polygrammate hebraeicum"
86,2.22044604925031e-16,1.14092352514378e-13,"Bowa","Polygrammate hebraeicum"
87,2.22044604925031e-16,1.11882982334437e-13,"Bowa","Polygrammate hebraeicum"
88,2.22044604925031e-16,1.09683322351176e-13,"Bowa","Polygrammate hebraeicum"
89,2.22044604925031e-16,1.07493893364249e-13,"Bowa","Polygrammate hebraeicum"
90,2.22044604925031e-16,1.05315216251225e-13,"Bowa","Polygrammate hebraeicum"
91,2.22044604925031e-16,1.03147811957372e-13,"Bowa","Polygrammate hebraeicum"
92,2.22044604925031e-16,1.00992201483922e-13,"Bowa","Polygrammate hebraeicum"
93,2.22044604925031e-16,9.88489058745967e-14,"Bowa","Polygrammate hebraeicum"
94,2.22044604925031e-16,9.67184462001474e-14,"Bowa","Polygrammate hebraeicum"
95,2.22044604925031e-16,9.4601343540623e-14,"Bowa","Polygrammate hebraeicum"
96,2.22044604925031e-16,9.24981189650511e-14,"Bowa","Polygrammate hebraeicum"
97,2.22044604925031e-16,9.04092935081625e-14,"Bowa","Polygrammate hebraeicum"
98,2.22044604925031e-16,8.83353881437463e-14,"Bowa","Polygrammate hebraeicum"
99,2.22044604925031e-16,8.62769237541604e-14,"Bowa","Polygrammate hebraeicum"
100,2.22044604925031e-16,8.42344210954607e-14,"Bowa","Polygrammate hebraeicum"
101,2.22044604925031e-16,8.2208400757533e-14,"Bowa","Polygrammate hebraeicum"
102,2.22044604925031e-16,8.01993831185286e-14,"Bowa","Polygrammate hebraeicum"
103,2.22044604925031e-16,7.82078882928049e-14,"Bowa","Polygrammate hebraeicum"
104,2.22044604925031e-16,7.62344360714601e-14,"Bowa","Polygrammate hebraeicum"
105,2.22044604925031e-16,7.42795458544226e-14,"Bowa","Polygrammate hebraeicum"
106,2.22044604925031e-16,7.23437365729095e-14,"Bowa","Polygrammate hebraeicum"
107,2.22044604925031e-16,7.04275266008999e-14,"Bowa","Polygrammate hebraeicum"
108,2.22044604925031e-16,6.85314336540764e-14,"Bowa","Polygrammate hebraeicum"
109,2.22044604925031e-16,6.66559746744724e-14,"Bowa","Polygrammate hebraeicum"
110,2.22044604925031e-16,6.4801665698806e-14,"Bowa","Polygrammate hebraeicum"
111,2.22044604925031e-16,6.29690217082043e-14,"Bowa","Polygrammate hebraeicum"
112,2.22044604925031e-16,6.11585564566906e-14,"Bowa","Polygrammate hebraeicum"
113,2.22044604925031e-16,5.93707822754387e-14,"Bowa","Polygrammate hebraeicum"
