"doy","fit","se","Site","validName"
69,0.0301282030801032,0.054193136995668,"Bowa","Renia flavipunctalis"
70,0.029925522666689,0.0537214029971715,"Bowa","Renia flavipunctalis"
71,0.0297242057378892,0.0532543316648729,"Bowa","Renia flavipunctalis"
72,0.0295242431209008,0.0527918809972257,"Bowa","Renia flavipunctalis"
73,0.0293256257046342,0.0523340093227533,"Bowa","Renia flavipunctalis"
74,0.0291283444392984,0.0518806752972102,"Bowa","Renia flavipunctalis"
75,0.028932390335988,0.0514318379007673,"Bowa","Renia flavipunctalis"
76,0.0287377544662741,0.0509874564352243,"Bowa","Renia flavipunctalis"
77,0.028544427961797,0.0505474905212458,"Bowa","Renia flavipunctalis"
78,0.0283524020138619,0.0501119000956235,"Bowa","Renia flavipunctalis"
79,0.0281616678730381,0.0496806454085637,"Bowa","Renia flavipunctalis"
80,0.0279722168487594,0.0492536870209987,"Bowa","Renia flavipunctalis"
81,0.0277840403089289,0.0488309858019257,"Bowa","Renia flavipunctalis"
82,0.0275971296795246,0.0484125029257676,"Bowa","Renia flavipunctalis"
83,0.0274114764442097,0.0479981998697622,"Bowa","Renia flavipunctalis"
84,0.0272270721439436,0.0475880384113736,"Bowa","Renia flavipunctalis"
85,0.027043908376597,0.0471819806257305,"Bowa","Renia flavipunctalis"
86,0.0268619767965685,0.0467799888830881,"Bowa","Renia flavipunctalis"
87,0.0266812691144045,0.0463820258463165,"Bowa","Renia flavipunctalis"
88,0.0265017770964216,0.0459880544684121,"Bowa","Renia flavipunctalis"
89,0.0263234925643308,0.0455980379900356,"Bowa","Renia flavipunctalis"
90,0.0261464073948655,0.0452119399370737,"Bowa","Renia flavipunctalis"
91,0.0259705135194107,0.0448297241182265,"Bowa","Renia flavipunctalis"
92,0.0257958029236353,0.0444513546226187,"Bowa","Renia flavipunctalis"
93,0.0256222676471276,0.0440767958174367,"Bowa","Renia flavipunctalis"
94,0.0254498997830312,0.0437060123455893,"Bowa","Renia flavipunctalis"
95,0.0252786914776862,0.0433389691233946,"Bowa","Renia flavipunctalis"
96,0.0251086349302698,0.0429756313382902,"Bowa","Renia flavipunctalis"
97,0.024939722392442,0.0426159644465686,"Bowa","Renia flavipunctalis"
98,0.0247719461679917,0.0422599341711375,"Bowa","Renia flavipunctalis"
99,0.0246052986124863,0.0419075064993047,"Bowa","Renia flavipunctalis"
100,0.024439772132923,0.041558647680587,"Bowa","Renia flavipunctalis"
101,0.0242753591873834,0.0412133242245447,"Bowa","Renia flavipunctalis"
102,0.024112052284689,0.0408715028986394,"Bowa","Renia flavipunctalis"
103,0.0239498439840604,0.0405331507261177,"Bowa","Renia flavipunctalis"
104,0.0237887268947778,0.0401982349839179,"Bowa","Renia flavipunctalis"
105,0.0236286936758447,0.0398667232006027,"Bowa","Renia flavipunctalis"
106,0.0234697370356525,0.0395385831543146,"Bowa","Renia flavipunctalis"
107,0.0233118497316492,0.0392137828707572,"Bowa","Renia flavipunctalis"
108,0.0231550245700084,0.0388922906212001,"Bowa","Renia flavipunctalis"
109,0.0229992544053023,0.0385740749205078,"Bowa","Renia flavipunctalis"
110,0.0228445321401754,0.0382591045251933,"Bowa","Renia flavipunctalis"
111,0.0226908507250213,0.0379473484314957,"Bowa","Renia flavipunctalis"
112,0.0225382031576617,0.0376387758734821,"Bowa","Renia flavipunctalis"
113,0.0223865824830266,0.0373333563211729,"Bowa","Renia flavipunctalis"
114,0.0222359817928381,0.0370310594786918,"Bowa","Renia flavipunctalis"
115,0.0220863942252952,0.0367318552824397,"Bowa","Renia flavipunctalis"
116,0.0219378129647611,0.0364357138992915,"Bowa","Renia flavipunctalis"
117,0.0217902312414525,0.0361426057248179,"Bowa","Renia flavipunctalis"
118,0.0216436423311314,0.03585250138153,"Bowa","Renia flavipunctalis"
119,0.0214980395547984,0.035565371717148,"Bowa","Renia flavipunctalis"
120,0.0213534162783883,0.0352811878028929,"Bowa","Renia flavipunctalis"
121,0.021209765912468,0.034999920931802,"Bowa","Renia flavipunctalis"
122,0.021067081911936,0.034721542617068,"Bowa","Renia flavipunctalis"
123,0.0209253577757241,0.0344460245903999,"Bowa","Renia flavipunctalis"
124,0.0207845870465015,0.0341733388004089,"Bowa","Renia flavipunctalis"
125,0.02064476331038,0.0339034574110159,"Bowa","Renia flavipunctalis"
126,0.020505880196622,0.033636352799882,"Bowa","Renia flavipunctalis"
127,0.0203679313773502,0.0333719975568621,"Bowa","Renia flavipunctalis"
128,0.0202309105672591,0.0331103644824811,"Bowa","Renia flavipunctalis"
129,0.0200948115233286,0.0328514265864318,"Bowa","Renia flavipunctalis"
130,0.0199596280445398,0.0325951570860958,"Bowa","Renia flavipunctalis"
131,0.0198253539715916,0.0323415294050864,"Bowa","Renia flavipunctalis"
132,0.0196919831866211,0.0320905171718128,"Bowa","Renia flavipunctalis"
133,0.0195595096129239,0.0318420942180667,"Bowa","Renia flavipunctalis"
134,0.0194279272146776,0.0315962345776307,"Bowa","Renia flavipunctalis"
135,0.0192972299966666,0.0313529124849072,"Bowa","Renia flavipunctalis"
136,0.0191674120040091,0.0311121023735693,"Bowa","Renia flavipunctalis"
137,0.0190384673218854,0.0308737788752319,"Bowa","Renia flavipunctalis"
138,0.0189103900752687,0.0306379168181452,"Bowa","Renia flavipunctalis"
139,0.018783174428657,0.0304044912259064,"Bowa","Renia flavipunctalis"
140,0.0186568145858046,0.030173477316199,"Bowa","Renia flavipunctalis"
141,0.0185313047893518,0.0299448504997368,"Bowa","Renia flavipunctalis"
142,0.0184066393205332,0.0297185863790934,"Bowa","Renia flavipunctalis"
143,0.0182828124990531,0.0294946607472506,"Bowa","Renia flavipunctalis"
144,0.0181598186828355,0.029273049586385,"Bowa","Renia flavipunctalis"
145,0.0180376522677674,0.0290537290666908,"Bowa","Renia flavipunctalis"
146,0.017916307687443,0.0288366755452223,"Bowa","Renia flavipunctalis"
147,0.0177957794129102,0.0286218655647552,"Bowa","Renia flavipunctalis"
148,0.0176760619524181,0.0284092758526661,"Bowa","Renia flavipunctalis"
149,0.0175571498511671,0.0281988833198316,"Bowa","Renia flavipunctalis"
150,0.0174390376910601,0.0279906650595439,"Bowa","Renia flavipunctalis"
151,0.0173217200904553,0.0277845983464454,"Bowa","Renia flavipunctalis"
152,0.0172051917039209,0.0275806606354806,"Bowa","Renia flavipunctalis"
153,0.0170894472219918,0.0273788295608646,"Bowa","Renia flavipunctalis"
154,0.0169744813709269,0.0271790829350688,"Bowa","Renia flavipunctalis"
155,0.0168602889124694,0.0269813987478235,"Bowa","Renia flavipunctalis"
156,0.0167468646436073,0.0267857551651356,"Bowa","Renia flavipunctalis"
157,0.0166342033963368,0.0265921305283235,"Bowa","Renia flavipunctalis"
158,0.0165223000374263,0.0264005033530662,"Bowa","Renia flavipunctalis"
159,0.0164111494681826,0.0262108523284686,"Bowa","Renia flavipunctalis"
160,0.0163007466242183,0.0260231563161404,"Bowa","Renia flavipunctalis"
161,0.0161910864752211,0.0258373943492908,"Bowa","Renia flavipunctalis"
162,0.0160821640247245,0.0256535456318361,"Bowa","Renia flavipunctalis"
163,0.0159739743098798,0.0254715895375213,"Bowa","Renia flavipunctalis"
164,0.0158665124012301,0.0252915056090555,"Bowa","Renia flavipunctalis"
165,0.0157597734024854,0.0251132735572593,"Bowa","Renia flavipunctalis"
166,0.0156537524502995,0.0249368732602255,"Bowa","Renia flavipunctalis"
167,0.0155484447140484,0.0247622847624913,"Bowa","Renia flavipunctalis"
168,0.0154438453956097,0.0245894882742232,"Bowa","Renia flavipunctalis"
169,0.0153399497291445,0.024418464170412,"Bowa","Renia flavipunctalis"
170,0.0152367529808795,0.0242491929900798,"Bowa","Renia flavipunctalis"
171,0.0151342504488916,0.024081655435497,"Bowa","Renia flavipunctalis"
172,0.0150324374628936,0.0239158323714099,"Bowa","Renia flavipunctalis"
173,0.0149313093840208,0.0237517048242774,"Bowa","Renia flavipunctalis"
174,0.0148308616046203,0.0235892539815178,"Bowa","Renia flavipunctalis"
175,0.0147310895480403,0.0234284611907642,"Bowa","Renia flavipunctalis"
176,0.014631988668422,0.0232693079591285,"Bowa","Renia flavipunctalis"
177,0.0145335544504917,0.0231117759524734,"Bowa","Renia flavipunctalis"
178,0.0144357824093558,0.0229558469946929,"Bowa","Renia flavipunctalis"
179,0.0143386680902957,0.0228015030669989,"Bowa","Renia flavipunctalis"
180,0.014242207068565,0.022648726307216,"Bowa","Renia flavipunctalis"
181,0.014146394949188,0.0224974990090821,"Bowa","Renia flavipunctalis"
182,0.0140512273667589,0.0223478036215556,"Bowa","Renia flavipunctalis"
183,0.013956699985243,0.0221996227481282,"Bowa","Renia flavipunctalis"
184,0.0138628084977795,0.022052939146143,"Bowa","Renia flavipunctalis"
185,0.0137695486264843,0.0219077357261179,"Bowa","Renia flavipunctalis"
186,0.0136769161222557,0.0217639955510734,"Bowa","Renia flavipunctalis"
187,0.0135849067645806,0.0216217018358645,"Bowa","Renia flavipunctalis"
188,0.0134935163613419,0.0214808379465172,"Bowa","Renia flavipunctalis"
189,0.0134027407486273,0.0213413873995673,"Bowa","Renia flavipunctalis"
190,0.01331257579054,0.0212033338614037,"Bowa","Renia flavipunctalis"
191,0.0132230173790099,0.0210666611476133,"Bowa","Renia flavipunctalis"
192,0.0131340614336061,0.0209313532223292,"Bowa","Renia flavipunctalis"
193,0.0130457039013514,0.0207973941975803,"Bowa","Renia flavipunctalis"
194,0.0129579407565371,0.0206647683326432,"Bowa","Renia flavipunctalis"
195,0.0128707680005397,0.020533460033395,"Bowa","Renia flavipunctalis"
196,0.0127841816616388,0.0204034538516678,"Bowa","Renia flavipunctalis"
197,0.0126981777948358,0.0202747344846031,"Bowa","Renia flavipunctalis"
198,0.0126127524816739,0.0201472867740073,"Bowa","Renia flavipunctalis"
199,0.0125279018300603,0.0200210957057072,"Bowa","Renia flavipunctalis"
200,0.0124436219740879,0.0198961464089052,"Bowa","Renia flavipunctalis"
201,0.0123599090738594,0.019772424155534,"Bowa","Renia flavipunctalis"
202,0.0122767593153125,0.0196499143596107,"Bowa","Renia flavipunctalis"
203,0.0121941689100457,0.0195286025765896,"Bowa","Renia flavipunctalis"
204,0.012112134095146,0.0194084745027144,"Bowa","Renia flavipunctalis"
205,0.012030651133017,0.0192895159743679,"Bowa","Renia flavipunctalis"
206,0.0119497163112087,0.0191717129674209,"Bowa","Renia flavipunctalis"
207,0.0118693259422485,0.0190550515965778,"Bowa","Renia flavipunctalis"
208,0.0117894763634726,0.0189395181147215,"Bowa","Renia flavipunctalis"
209,0.0117101639368596,0.0188250989122546,"Bowa","Renia flavipunctalis"
210,0.0116313850488645,0.0187117805164383,"Bowa","Renia flavipunctalis"
211,0.0115531361102537,0.0185995495907289,"Bowa","Renia flavipunctalis"
212,0.011475413555942,0.0184883929341101,"Bowa","Renia flavipunctalis"
213,0.0113982138448293,0.0183782974804234,"Bowa","Renia flavipunctalis"
214,0.0113215334596402,0.018269250297694,"Bowa","Renia flavipunctalis"
215,0.0112453689067626,0.0181612385874536,"Bowa","Renia flavipunctalis"
216,0.0111697167160894,0.0180542496840595,"Bowa","Renia flavipunctalis"
217,0.0110945734408598,0.0179482710540096,"Bowa","Renia flavipunctalis"
218,0.0110199356575023,0.0178432902952535,"Bowa","Renia flavipunctalis"
219,0.0109457999654787,0.0177392951364995,"Bowa","Renia flavipunctalis"
220,0.0108721629871293,0.0176362734365176,"Bowa","Renia flavipunctalis"
221,0.0107990213675184,0.0175342131834374,"Bowa","Renia flavipunctalis"
222,0.0107263717742822,0.0174331024940428,"Bowa","Renia flavipunctalis"
223,0.010654210897476,0.0173329296130609,"Bowa","Renia flavipunctalis"
224,0.0105825354494241,0.0172336829124472,"Bowa","Renia flavipunctalis"
225,0.0105113421645698,0.0171353508906673,"Bowa","Renia flavipunctalis"
226,0.010440627799382,0.0170379221722279,"Bowa","Renia flavipunctalis"
227,0.0103703891322735,0.0169413855072396,"Bowa","Renia flavipunctalis"
228,0.010300622963344,0.0168457297701564,"Bowa","Renia flavipunctalis"
229,0.0102313261142176,0.0167509439589525,"Bowa","Renia flavipunctalis"
230,0.010162495427898,0.0166570171943734,"Bowa","Renia flavipunctalis"
231,0.0100941277686247,0.0165639387191842,"Bowa","Renia flavipunctalis"
232,0.0100262200217299,0.0164716978974122,"Bowa","Renia flavipunctalis"
233,0.0099587690934971,0.0163802842135857,"Bowa","Renia flavipunctalis"
234,0.00989177191101966,0.0162896872719684,"Bowa","Renia flavipunctalis"
235,0.00982522542206113,0.016199896795789,"Bowa","Renia flavipunctalis"
236,0.00975912659491617,0.0161109026264669,"Bowa","Renia flavipunctalis"
237,0.00969347241827238,0.0160226947228334,"Bowa","Renia flavipunctalis"
238,0.00962825990107316,0.0159352631603487,"Bowa","Renia flavipunctalis"
239,0.00956348607238148,0.0158485981303142,"Bowa","Renia flavipunctalis"
240,0.00949914798124453,0.0157626899390819,"Bowa","Renia flavipunctalis"
241,0.00943524269655927,0.0156775290072581,"Bowa","Renia flavipunctalis"
242,0.00937176730693896,0.0155931058689041,"Bowa","Renia flavipunctalis"
243,0.0093087189205805,0.015509411170733,"Bowa","Renia flavipunctalis"
244,0.00924609466513271,0.0154264356713021,"Bowa","Renia flavipunctalis"
245,0.0091838916875655,0.0153441702402017,"Bowa","Renia flavipunctalis"
246,0.0091221071540399,0.0152626058572409,"Bowa","Renia flavipunctalis"
247,0.00906073824977895,0.0151817336116286,"Bowa","Renia flavipunctalis"
248,0.00899978217893952,0.0151015447011525,"Bowa","Renia flavipunctalis"
249,0.00893923616448491,0.0150220304313534,"Bowa","Renia flavipunctalis"
250,0.00887909744805842,0.0149431822146976,"Bowa","Renia flavipunctalis"
251,0.00881936328985757,0.0148649915697448,"Bowa","Renia flavipunctalis"
252,0.00876003096850942,0.0147874501203146,"Bowa","Renia flavipunctalis"
253,0.00870109778094658,0.0147105495946489,"Bowa","Renia flavipunctalis"
254,0.008642561042284,0.0146342818245722,"Bowa","Renia flavipunctalis"
255,0.00858441808569675,0.0145586387446495,"Bowa","Renia flavipunctalis"
256,0.00852666626229851,0.0144836123913414,"Bowa","Renia flavipunctalis"
257,0.0084693029410209,0.0144091949021571,"Bowa","Renia flavipunctalis"
258,0.00841232550849366,0.0143353785148057,"Bowa","Renia flavipunctalis"
259,0.00835573136892555,0.0142621555663448,"Bowa","Renia flavipunctalis"
260,0.00829951794398615,0.014189518492328,"Bowa","Renia flavipunctalis"
261,0.00824368267268838,0.0141174598259504,"Bowa","Renia flavipunctalis"
262,0.00818822301127185,0.014045972197193,"Bowa","Renia flavipunctalis"
263,0.00813313643308702,0.0139750483319651,"Bowa","Renia flavipunctalis"
264,0.00807842042848006,0.0139046810512465,"Bowa","Renia flavipunctalis"
265,0.00802407250467851,0.0138348632702279,"Bowa","Renia flavipunctalis"
266,0.00797009018567782,0.013765587997451,"Bowa","Renia flavipunctalis"
267,0.00791647101212842,0.0136968483339477,"Bowa","Renia flavipunctalis"
268,0.00786321254122384,0.0136286374723791,"Bowa","Renia flavipunctalis"
269,0.00781031234658936,0.0135609486961738,"Bowa","Renia flavipunctalis"
270,0.00775776801817142,0.0134937753786665,"Bowa","Renia flavipunctalis"
271,0.00770557716212799,0.0134271109822361,"Bowa","Renia flavipunctalis"
272,0.00765373740071934,0.0133609490574448,"Bowa","Renia flavipunctalis"
273,0.00760224637219993,0.0132952832421767,"Bowa","Renia flavipunctalis"
274,0.00755110173071064,0.0132301072607774,"Bowa","Renia flavipunctalis"
275,0.00750030114617201,0.0131654149231943,"Bowa","Renia flavipunctalis"
276,0.00744984230417808,0.0131012001241177,"Bowa","Renia flavipunctalis"
277,0.00739972290589096,0.0130374568421229,"Bowa","Renia flavipunctalis"
278,0.0073499406679361,0.0129741791388135,"Bowa","Renia flavipunctalis"
279,0.00730049332229832,0.012911361157966,"Bowa","Renia flavipunctalis"
280,0.00725137861621842,0.0128489971246764,"Bowa","Renia flavipunctalis"
281,0.00720259431209062,0.0127870813445073,"Bowa","Renia flavipunctalis"
282,0.00715413818736063,0.0127256082026387,"Bowa","Renia flavipunctalis"
283,0.00710600803445024,0.0126645721630963,"Bowa","Renia flavipunctalis"
284,0.00705820166082001,0.0126039677683978,"Bowa","Renia flavipunctalis"
285,0.00701071688875906,0.0125437896383774,"Bowa","Renia flavipunctalis"
286,0.00696355155519946,0.0124840324690812,"Bowa","Renia flavipunctalis"
287,0.00691670351161747,0.0124246910319226,"Bowa","Renia flavipunctalis"
288,0.00687017062393575,0.0123657601728421,"Bowa","Renia flavipunctalis"
289,0.00682395077242633,0.01230723481147,"Bowa","Renia flavipunctalis"
290,0.00677804185161411,0.0122491099402926,"Bowa","Renia flavipunctalis"
291,0.00673244177018107,0.0121913806238214,"Bowa","Renia flavipunctalis"
292,0.00668714845087114,0.0121340419977662,"Bowa","Renia flavipunctalis"
293,0.0066421598303957,0.0120770892682113,"Bowa","Renia flavipunctalis"
294,0.00659747385933966,0.012020517710796,"Bowa","Renia flavipunctalis"
295,0.00655308850206822,0.0119643226698987,"Bowa","Renia flavipunctalis"
296,0.00650900173663429,0.0119084995578248,"Bowa","Renia flavipunctalis"
297,0.0064652115546865,0.0118530438539992,"Bowa","Renia flavipunctalis"
