"doy","fit","se","Site","validName"
69,0.297089334349114,0.258646278172431,"Bowa","Schizura ipomoeae"
70,0.293272117902704,0.253775703576365,"Bowa","Schizura ipomoeae"
71,0.289503947783058,0.249000364827553,"Bowa","Schizura ipomoeae"
72,0.285784193805177,0.244318686074205,"Bowa","Schizura ipomoeae"
73,0.282112233881235,0.239729115989303,"Bowa","Schizura ipomoeae"
74,0.278487453916539,0.235230127335465,"Bowa","Schizura ipomoeae"
75,0.274909247706824,0.230820216534002,"Bowa","Schizura ipomoeae"
76,0.271377016836866,0.226497903238073,"Bowa","Schizura ipomoeae"
77,0.267890170580403,0.222261729909863,"Bowa","Schizura ipomoeae"
78,0.264448125801341,0.218110261401725,"Bowa","Schizura ipomoeae"
79,0.261050306856222,0.214042084541206,"Bowa","Schizura ipomoeae"
80,0.257696145497956,0.21005580771993,"Bowa","Schizura ipomoeae"
81,0.254385080780783,0.206150060486273,"Bowa","Schizura ipomoeae"
82,0.251116558966458,0.202323493141814,"Bowa","Schizura ipomoeae"
83,0.247890033431641,0.198574776341541,"Bowa","Schizura ipomoeae"
84,0.24470496457648,0.194902600697794,"Bowa","Schizura ipomoeae"
85,0.24156081973436,0.191305676387956,"Bowa","Schizura ipomoeae"
86,0.238457073082826,0.187782732765909,"Bowa","Schizura ipomoeae"
87,0.235393205555636,0.184332517977282,"Bowa","Schizura ipomoeae"
88,0.232368704755953,0.180953798578543,"Bowa","Schizura ipomoeae"
89,0.229383064870648,0.177645359159975,"Bowa","Schizura ipomoeae"
90,0.22643578658571,0.17440600197264,"Bowa","Schizura ipomoeae"
91,0.223526377002732,0.171234546559396,"Bowa","Schizura ipomoeae"
92,0.220654349556485,0.16812982939009,"Bowa","Schizura ipomoeae"
93,0.217819223933535,0.165090703501034,"Bowa","Schizura ipomoeae"
94,0.21502052599192,0.162116038138933,"Bowa","Schizura ipomoeae"
95,0.212257787681851,0.159204718409388,"Bowa","Schizura ipomoeae"
96,0.209530546967431,0.156355644930173,"Bowa","Schizura ipomoeae"
97,0.206838347749386,0.153567733489478,"Bowa","Schizura ipomoeae"
98,0.204180739788783,0.150839914709314,"Bowa","Schizura ipomoeae"
99,0.201557278631735,0.148171133714319,"Bowa","Schizura ipomoeae"
