"doy","fit","se","Site","validName"
69,0.00635285622531964,0.021340608556259,"Bowa","Symmerista albifrons"
70,0.00655814900052358,0.0217605108677063,"Bowa","Symmerista albifrons"
71,0.00677005456316061,0.0221862731610068,"Bowa","Symmerista albifrons"
72,0.0069887632895391,0.0226178831589253,"Bowa","Symmerista albifrons"
73,0.00721446951568135,0.0230553274330217,"Bowa","Symmerista albifrons"
74,0.00744737152695957,0.0234985917063206,"Bowa","Symmerista albifrons"
75,0.00768767154094622,0.0239476611857814,"Bowa","Symmerista albifrons"
76,0.00793557568307228,0.0244025209250784,"Bowa","Symmerista albifrons"
77,0.00819129395467577,0.0248631562180092,"Bowa","Symmerista albifrons"
78,0.00845504019301227,0.0253295530226315,"Bowa","Symmerista albifrons"
79,0.00872703202278876,0.0258016984159777,"Bowa","Symmerista albifrons"
80,0.00900749079877244,0.026279581078913,"Bowa","Symmerista albifrons"
81,0.0092966415390165,0.0267631918103844,"Bowa","Symmerista albifrons"
82,0.00959471284823655,0.0272525240699528,"Bowa","Symmerista albifrons"
83,0.0099019368308633,0.0277475745471076,"Bowa","Symmerista albifrons"
84,0.0102185489932895,0.0282483437554288,"Bowa","Symmerista albifrons"
85,0.0105447881348237,0.0287548366491908,"Bowa","Symmerista albifrons"
86,0.0108808962268565,0.0292670632594837,"Bowa","Symmerista albifrons"
87,0.0112271182797421,0.0297850393463776,"Bowa","Symmerista albifrons"
88,0.011583702196894,0.0303087870630555,"Bowa","Symmerista albifrons"
89,0.0119508986155908,0.0308383356272091,"Bowa","Symmerista albifrons"
90,0.0123289607339895,0.0313737219943203,"Bowa","Symmerista albifrons"
91,0.0127181441238415,0.0319149915267463,"Bowa","Symmerista albifrons"
92,0.0131187065284108,0.032462198651798,"Bowa","Symmerista albifrons"
93,0.0135309076450976,0.0330154075012409,"Bowa","Symmerista albifrons"
94,0.0139550088922741,0.0335746925238821,"Bowa","Symmerista albifrons"
95,0.0143912731598487,0.0341401390621261,"Bowa","Symmerista albifrons"
96,0.0148399645430835,0.0347118438826112,"Bowa","Symmerista albifrons"
97,0.0153013480592009,0.0352899156502746,"Bowa","Symmerista albifrons"
98,0.0157756893463277,0.0358744753344703,"Bowa","Symmerista albifrons"
99,0.0162632543443446,0.0364656565350743,"Bowa","Symmerista albifrons"
100,0.0167643089572215,0.0370636057158907,"Bowa","Symmerista albifrons"
101,0.0172791186964442,0.0376684823321284,"Bowa","Symmerista albifrons"
102,0.0178079483051603,0.0382804588382797,"Bowa","Symmerista albifrons"
103,0.0183510613626954,0.0388997205624092,"Bowa","Symmerista albifrons"
104,0.0189087198691237,0.0395264654326949,"Bowa","Symmerista albifrons"
105,0.019481183809605,0.0401609035420548,"Bowa","Symmerista albifrons"
106,0.0200687106982363,0.0408032565368851,"Bowa","Symmerista albifrons"
107,0.0206715551012052,0.0414537568163393,"Bowa","Symmerista albifrons"
108,0.0212899681390697,0.0421126465292199,"Bowa","Symmerista albifrons"
109,0.0219241969680374,0.0427801763564552,"Bowa","Symmerista albifrons"
110,0.0225744842401601,0.0434566040683093,"Bowa","Symmerista albifrons"
111,0.0232410675424152,0.0441421928469395,"Bowa","Symmerista albifrons"
112,0.0239241788146956,0.0448372093666806,"Bowa","Symmerista albifrons"
113,0.0246240437467897,0.04554192162651,"Bowa","Symmerista albifrons"
114,0.0253408811544945,0.046256596531525,"Bowa","Symmerista albifrons"
115,0.0260749023350671,0.0469814972229427,"Bowa","Symmerista albifrons"
116,0.0268263104022929,0.0477168801591022,"Bowa","Symmerista albifrons"
117,0.0275952996015136,0.0484629919531809,"Bowa","Symmerista albifrons"
118,0.0283820546050423,0.0492200659768208,"Bowa","Symmerista albifrons"
119,0.0291867497884629,0.0499883187425498,"Bowa","Symmerista albifrons"
120,0.0300095484883988,0.0507679460817468,"Bowa","Symmerista albifrons"
121,0.030850602242421,0.0515591191388967,"Bowa","Symmerista albifrons"
122,0.0317100500118509,0.0523619802069642,"Bowa","Symmerista albifrons"
123,0.032588017388309,0.0531766384328248,"Bowa","Symmerista albifrons"
124,0.0334846157849535,0.0540031654258061,"Bowa","Symmerista albifrons"
125,0.0343999416134496,0.0548415908064233,"Bowa","Symmerista albifrons"
126,0.035334075447814,0.0556918977363341,"Bowa","Symmerista albifrons"
127,0.0362870811763768,0.0565540184743267,"Bowa","Symmerista albifrons"
128,0.0372590051432135,0.0574278300067529,"Bowa","Symmerista albifrons"
129,0.0382498752805013,0.0583131498042287,"Bowa","Symmerista albifrons"
130,0.0392597002333674,0.0592097317595921,"Bowa","Symmerista albifrons"
131,0.0402884684789027,0.060117262365064,"Bowa","Symmerista albifrons"
132,0.0413361474411287,0.0610353571892811,"Bowa","Symmerista albifrons"
133,0.0424026826038147,0.0619635577173991,"Bowa","Symmerista albifrons"
134,0.0434879966231554,0.0629013286198123,"Bowa","Symmerista albifrons"
135,0.0445919884424313,0.0638480555172561,"Bowa","Symmerista albifrons"
136,0.0457145324108847,0.0648030433121925,"Bowa","Symmerista albifrons"
137,0.0468554774091542,0.0657655151584878,"Bowa","Symmerista albifrons"
138,0.0480146459837213,0.0667346121435399,"Bowa","Symmerista albifrons"
139,0.0491918334929268,0.06770939375927,"Bowa","Symmerista albifrons"
140,0.0503868071638306,0.0686888429101356,"Bowa","Symmerista albifrons"
141,0.0515993012468384,0.069672015418863,"Bowa","Symmerista albifrons"
142,0.0528290144618034,0.0706581276709099,"Bowa","Symmerista albifrons"
143,0.054075613787255,0.0716464085318309,"Bowa","Symmerista albifrons"
144,0.0553387340153113,0.0726360911261812,"Bowa","Symmerista albifrons"
145,0.0566179769964467,0.0736264163778535,"Bowa","Symmerista albifrons"
146,0.0579129109182149,0.0746166365550418,"Bowa","Symmerista albifrons"
147,0.0592230696214268,0.0756060187957325,"Bowa","Symmerista albifrons"
148,0.0605479519573577,0.0765938485879771,"Bowa","Symmerista albifrons"
149,0.0618870211896119,0.0775794331775595,"Bowa","Symmerista albifrons"
150,0.0632397044443274,0.0785621048740639,"Bowa","Symmerista albifrons"
151,0.0646053922124377,0.0795412242247974,"Bowa","Symmerista albifrons"
152,0.06598343790774,0.0805161830245774,"Bowa","Symmerista albifrons"
153,0.0673731574845318,0.081486407128077,"Bowa","Symmerista albifrons"
154,0.068773829118581,0.0824513590302939,"Bowa","Symmerista albifrons"
155,0.0701846929551857,0.0834105401798049,"Bowa","Symmerista albifrons"
156,0.0716049509280524,0.0843634929888466,"Bowa","Symmerista albifrons"
157,0.0730337666526829,0.085309802503975,"Bowa","Symmerista albifrons"
158,0.074470265397905,0.0862490977011633,"Bowa","Symmerista albifrons"
159,0.0759135341391061,0.0871810523697457,"Bowa","Symmerista albifrons"
160,0.0773626216966471,0.0881053855506837,"Bowa","Symmerista albifrons"
161,0.0788165389628196,0.0890218614962517,"Bowa","Symmerista albifrons"
162,0.080274259220591,0.0899302891204875,"Bowa","Symmerista albifrons"
163,0.0817347185572377,0.0908305209126719,"Bowa","Symmerista albifrons"
164,0.0831968163758032,0.0917224512897212,"Bowa","Symmerista albifrons"
165,0.0846594160071421,0.0926060143677544,"Bowa","Symmerista albifrons"
