"doy","fit","se","Site","validName"
69,2.22044604925031e-16,6.67812760717411e-11,"Bowa","Virbia rubicundaria"
70,2.22044604925031e-16,6.84055329207903e-11,"Bowa","Virbia rubicundaria"
71,2.22044604925031e-16,7.00297897698746e-11,"Bowa","Virbia rubicundaria"
72,2.22044604925031e-16,7.16540466189914e-11,"Bowa","Virbia rubicundaria"
73,2.22044604925031e-16,7.32783034681387e-11,"Bowa","Virbia rubicundaria"
74,2.22044604925031e-16,7.49025603173145e-11,"Bowa","Virbia rubicundaria"
75,2.22044604925031e-16,7.65268171665168e-11,"Bowa","Virbia rubicundaria"
76,2.22044604925031e-16,7.81510740157442e-11,"Bowa","Virbia rubicundaria"
77,2.22044604925031e-16,7.97753308649951e-11,"Bowa","Virbia rubicundaria"
78,2.22044604925031e-16,8.1399587714268e-11,"Bowa","Virbia rubicundaria"
79,2.22044604925031e-16,8.30238445635617e-11,"Bowa","Virbia rubicundaria"
80,2.22044604925031e-16,8.46481014128748e-11,"Bowa","Virbia rubicundaria"
81,2.22044604925031e-16,8.62723582622066e-11,"Bowa","Virbia rubicundaria"
82,2.22044604925031e-16,8.78966151115557e-11,"Bowa","Virbia rubicundaria"
83,2.22044604925031e-16,8.95208719609213e-11,"Bowa","Virbia rubicundaria"
84,2.22044604925031e-16,9.11451288103025e-11,"Bowa","Virbia rubicundaria"
85,2.22044604925031e-16,9.27693856596984e-11,"Bowa","Virbia rubicundaria"
86,2.22044604925031e-16,9.43936425091085e-11,"Bowa","Virbia rubicundaria"
87,2.22044604925031e-16,9.60178993585319e-11,"Bowa","Virbia rubicundaria"
88,2.22044604925031e-16,9.76421562079677e-11,"Bowa","Virbia rubicundaria"
89,2.22044604925031e-16,9.92664130574158e-11,"Bowa","Virbia rubicundaria"
90,2.22044604925031e-16,1.00890669906875e-10,"Bowa","Virbia rubicundaria"
91,2.22044604925031e-16,1.02514926756345e-10,"Bowa","Virbia rubicundaria"
92,2.22044604925031e-16,1.04139183605826e-10,"Bowa","Virbia rubicundaria"
93,2.22044604925031e-16,1.05763440455317e-10,"Bowa","Virbia rubicundaria"
94,2.22044604925031e-16,1.07387697304817e-10,"Bowa","Virbia rubicundaria"
95,2.22044604925031e-16,1.09011954154326e-10,"Bowa","Virbia rubicundaria"
96,2.22044604925031e-16,1.10636211003843e-10,"Bowa","Virbia rubicundaria"
97,2.22044604925031e-16,1.12260467853369e-10,"Bowa","Virbia rubicundaria"
98,2.22044604925031e-16,1.13884724702903e-10,"Bowa","Virbia rubicundaria"
99,2.22044604925031e-16,1.15508981552445e-10,"Bowa","Virbia rubicundaria"
100,2.22044604925031e-16,1.17133238401993e-10,"Bowa","Virbia rubicundaria"
101,2.22044604925031e-16,1.18757495251549e-10,"Bowa","Virbia rubicundaria"
102,2.22044604925031e-16,1.20381752101111e-10,"Bowa","Virbia rubicundaria"
103,2.22044604925031e-16,1.2200600895068e-10,"Bowa","Virbia rubicundaria"
104,2.22044604925031e-16,1.23630265800255e-10,"Bowa","Virbia rubicundaria"
105,2.22044604925031e-16,1.25254522649836e-10,"Bowa","Virbia rubicundaria"
106,2.22044604925031e-16,1.26878779499422e-10,"Bowa","Virbia rubicundaria"
107,2.22044604925031e-16,1.28503036349014e-10,"Bowa","Virbia rubicundaria"
108,2.22044604925031e-16,1.30127293198611e-10,"Bowa","Virbia rubicundaria"
109,2.22044604925031e-16,1.31751550048213e-10,"Bowa","Virbia rubicundaria"
110,2.22044604925031e-16,1.3337580689782e-10,"Bowa","Virbia rubicundaria"
111,2.22044604925031e-16,1.35000063747432e-10,"Bowa","Virbia rubicundaria"
112,2.22044604925031e-16,1.36624320597049e-10,"Bowa","Virbia rubicundaria"
113,2.22044604925031e-16,1.38248577446669e-10,"Bowa","Virbia rubicundaria"
114,2.22044604925031e-16,1.39872834296294e-10,"Bowa","Virbia rubicundaria"
115,2.22044604925031e-16,1.41497091145923e-10,"Bowa","Virbia rubicundaria"
116,2.22044604925031e-16,1.43121347995556e-10,"Bowa","Virbia rubicundaria"
117,2.22044604925031e-16,1.44745604845193e-10,"Bowa","Virbia rubicundaria"
118,2.22044604925031e-16,1.46369861694834e-10,"Bowa","Virbia rubicundaria"
119,2.22044604925031e-16,1.47994118544478e-10,"Bowa","Virbia rubicundaria"
120,2.22044604925031e-16,1.49618375394125e-10,"Bowa","Virbia rubicundaria"
121,2.22044604925031e-16,1.51242632243776e-10,"Bowa","Virbia rubicundaria"
122,2.22044604925031e-16,1.5286688909343e-10,"Bowa","Virbia rubicundaria"
123,2.22044604925031e-16,1.54491145943087e-10,"Bowa","Virbia rubicundaria"
124,2.22044604925031e-16,1.56115402792747e-10,"Bowa","Virbia rubicundaria"
125,2.22044604925031e-16,1.5773965964241e-10,"Bowa","Virbia rubicundaria"
126,2.22044604925031e-16,1.59363916492076e-10,"Bowa","Virbia rubicundaria"
127,2.22044604925031e-16,1.60988173341745e-10,"Bowa","Virbia rubicundaria"
128,2.22044604925031e-16,1.62612430191416e-10,"Bowa","Virbia rubicundaria"
129,2.22044604925031e-16,1.6423668704109e-10,"Bowa","Virbia rubicundaria"
130,2.22044604925031e-16,1.65860943890767e-10,"Bowa","Virbia rubicundaria"
131,2.22044604925031e-16,1.67485200740446e-10,"Bowa","Virbia rubicundaria"
132,2.22044604925031e-16,1.69109457590127e-10,"Bowa","Virbia rubicundaria"
133,2.22044604925031e-16,1.70733714439811e-10,"Bowa","Virbia rubicundaria"
134,2.22044604925031e-16,1.72357971289497e-10,"Bowa","Virbia rubicundaria"
135,2.22044604925031e-16,1.73982228139185e-10,"Bowa","Virbia rubicundaria"
136,2.22044604925031e-16,1.75606484988876e-10,"Bowa","Virbia rubicundaria"
137,2.22044604925031e-16,1.77230741838568e-10,"Bowa","Virbia rubicundaria"
138,2.22044604925031e-16,1.78854998688262e-10,"Bowa","Virbia rubicundaria"
139,2.22044604925031e-16,1.80479255537959e-10,"Bowa","Virbia rubicundaria"
140,2.22044604925031e-16,1.82103512387657e-10,"Bowa","Virbia rubicundaria"
141,2.22044604925031e-16,1.83727769237357e-10,"Bowa","Virbia rubicundaria"
142,2.22044604925031e-16,1.85352026087059e-10,"Bowa","Virbia rubicundaria"
143,2.22044604925031e-16,1.86976282936763e-10,"Bowa","Virbia rubicundaria"
144,2.22044604925031e-16,1.88600539786469e-10,"Bowa","Virbia rubicundaria"
145,2.22044604925031e-16,1.90224796636176e-10,"Bowa","Virbia rubicundaria"
146,2.22044604925031e-16,1.91849053485885e-10,"Bowa","Virbia rubicundaria"
147,2.22044604925031e-16,1.93473310335595e-10,"Bowa","Virbia rubicundaria"
148,2.22044604925031e-16,1.95097567185307e-10,"Bowa","Virbia rubicundaria"
149,2.22044604925031e-16,1.96721824035021e-10,"Bowa","Virbia rubicundaria"
150,2.22044604925031e-16,1.98346080884736e-10,"Bowa","Virbia rubicundaria"
151,2.22044604925031e-16,1.99970337734453e-10,"Bowa","Virbia rubicundaria"
152,2.22044604925031e-16,2.01594594584171e-10,"Bowa","Virbia rubicundaria"
153,2.22044604925031e-16,2.03218851433891e-10,"Bowa","Virbia rubicundaria"
154,2.22044604925031e-16,2.04843108283612e-10,"Bowa","Virbia rubicundaria"
155,2.22044604925031e-16,2.06467365133334e-10,"Bowa","Virbia rubicundaria"
156,2.22044604925031e-16,2.08091621983058e-10,"Bowa","Virbia rubicundaria"
157,2.22044604925031e-16,2.09715878832783e-10,"Bowa","Virbia rubicundaria"
158,2.22044604925031e-16,2.11340135682509e-10,"Bowa","Virbia rubicundaria"
159,2.22044604925031e-16,2.12964392532236e-10,"Bowa","Virbia rubicundaria"
160,2.22044604925031e-16,2.14588649381965e-10,"Bowa","Virbia rubicundaria"
161,2.22044604925031e-16,2.16212906231695e-10,"Bowa","Virbia rubicundaria"
162,2.22044604925031e-16,2.17837163081426e-10,"Bowa","Virbia rubicundaria"
163,2.22044604925031e-16,2.19461419931158e-10,"Bowa","Virbia rubicundaria"
164,2.22044604925031e-16,2.21085676780891e-10,"Bowa","Virbia rubicundaria"
165,2.22044604925031e-16,2.22709933630626e-10,"Bowa","Virbia rubicundaria"
166,2.22044604925031e-16,2.24334190480361e-10,"Bowa","Virbia rubicundaria"
167,2.22044604925031e-16,2.25958447330098e-10,"Bowa","Virbia rubicundaria"
168,2.22044604925031e-16,2.27582704179835e-10,"Bowa","Virbia rubicundaria"
169,2.22044604925031e-16,2.29206961029574e-10,"Bowa","Virbia rubicundaria"
170,2.22044604925031e-16,2.30831217879314e-10,"Bowa","Virbia rubicundaria"
171,2.22044604925031e-16,2.32455474729054e-10,"Bowa","Virbia rubicundaria"
172,2.22044604925031e-16,2.34079731578796e-10,"Bowa","Virbia rubicundaria"
173,2.22044604925031e-16,2.35703988428539e-10,"Bowa","Virbia rubicundaria"
174,2.22044604925031e-16,2.37328245278282e-10,"Bowa","Virbia rubicundaria"
175,2.22044604925031e-16,2.38952502128026e-10,"Bowa","Virbia rubicundaria"
176,2.22044604925031e-16,2.40576758977772e-10,"Bowa","Virbia rubicundaria"
177,2.22044604925031e-16,2.42201015827518e-10,"Bowa","Virbia rubicundaria"
178,2.22044604925031e-16,2.43825272677265e-10,"Bowa","Virbia rubicundaria"
179,2.22044604925031e-16,2.45449529527013e-10,"Bowa","Virbia rubicundaria"
180,2.22044604925031e-16,2.47073786376762e-10,"Bowa","Virbia rubicundaria"
181,2.22044604925031e-16,2.48698043226511e-10,"Bowa","Virbia rubicundaria"
182,2.22044604925031e-16,2.50322300076262e-10,"Bowa","Virbia rubicundaria"
183,2.22044604925031e-16,2.51946556926013e-10,"Bowa","Virbia rubicundaria"
184,2.22044604925031e-16,2.53570813775765e-10,"Bowa","Virbia rubicundaria"
185,2.22044604925031e-16,2.55195070625517e-10,"Bowa","Virbia rubicundaria"
186,2.22044604925031e-16,2.56819327475271e-10,"Bowa","Virbia rubicundaria"
187,2.22044604925031e-16,2.58443584325025e-10,"Bowa","Virbia rubicundaria"
188,2.22044604925031e-16,2.6006784117478e-10,"Bowa","Virbia rubicundaria"
189,2.22044604925031e-16,2.61692098024536e-10,"Bowa","Virbia rubicundaria"
190,2.22044604925031e-16,2.63316354874292e-10,"Bowa","Virbia rubicundaria"
191,2.22044604925031e-16,2.64940611724049e-10,"Bowa","Virbia rubicundaria"
192,2.22044604925031e-16,2.66564868573807e-10,"Bowa","Virbia rubicundaria"
193,2.22044604925031e-16,2.68189125423565e-10,"Bowa","Virbia rubicundaria"
194,2.22044604925031e-16,2.69813382273324e-10,"Bowa","Virbia rubicundaria"
195,2.22044604925031e-16,2.71437639123084e-10,"Bowa","Virbia rubicundaria"
196,2.22044604925031e-16,2.73061895972844e-10,"Bowa","Virbia rubicundaria"
197,2.22044604925031e-16,2.74686152822605e-10,"Bowa","Virbia rubicundaria"
198,2.22044604925031e-16,2.76310409672367e-10,"Bowa","Virbia rubicundaria"
199,2.22044604925031e-16,2.77934666522129e-10,"Bowa","Virbia rubicundaria"
