"doy","fit","se","Site","validName"
69,0.000241279602051429,0.00292165798544572,"Cofr","Acrolophus plumifrontella"
70,0.000262339210316079,0.00312035386644395,"Cofr","Acrolophus plumifrontella"
71,0.000285239858168386,0.00333155462400152,"Cofr","Acrolophus plumifrontella"
72,0.000310145888718464,0.00355599027711989,"Cofr","Acrolophus plumifrontella"
73,0.000337236880209154,0.00379443016282656,"Cofr","Acrolophus plumifrontella"
74,0.000366709128505234,0.00404768479787547,"Cofr","Acrolophus plumifrontella"
75,0.0003987772816193,0.00431660780038787,"Cofr","Acrolophus plumifrontella"
76,0.000433676142705297,0.00460209786979019,"Cofr","Acrolophus plumifrontella"
77,0.000471662659818728,0.00490510082285957,"Cofr","Acrolophus plumifrontella"
78,0.000513018122833548,0.0052266116830956,"Cofr","Acrolophus plumifrontella"
79,0.000558050590247581,0.00556767681999601,"Cofr","Acrolophus plumifrontella"
80,0.000607097571232367,0.00592939613413466,"Cofr","Acrolophus plumifrontella"
81,0.000660528991225654,0.00631292528322835,"Cofr","Acrolophus plumifrontella"
82,0.000718750472664897,0.00671947794364341,"Cofr","Acrolophus plumifrontella"
83,0.000782206966164863,0.0071503281010575,"Cofr","Acrolophus plumifrontella"
84,0.000851386771602494,0.00760681236327293,"Cofr","Acrolophus plumifrontella"
85,0.000926825993247171,0.00809033228751096,"Cofr","Acrolophus plumifrontella"
86,0.0010091134783305,0.00860235671394179,"Cofr","Acrolophus plumifrontella"
87,0.00109889629436216,0.00914442409676879,"Cofr","Acrolophus plumifrontella"
88,0.00119688580715476,0.00971814482397595,"Cofr","Acrolophus plumifrontella"
89,0.00130386442901534,0.01032520351692,"Cofr","Acrolophus plumifrontella"
90,0.00142069311501004,0.0109673613014518,"Cofr","Acrolophus plumifrontella"
91,0.00154831969473285,0.0116464580432888,"Cofr","Acrolophus plumifrontella"
92,0.00168778813775652,0.0123644145421272,"Cofr","Acrolophus plumifrontella"
93,0.00184024886307809,0.0131232346816977,"Cofr","Acrolophus plumifrontella"
94,0.00200697021657612,0.0139250075368722,"Cofr","Acrolophus plumifrontella"
95,0.00218935125599033,0.0147719094443906,"Cofr","Acrolophus plumifrontella"
96,0.00238893600045615,0.0156662060511696,"Cofr","Acrolophus plumifrontella"
97,0.00260742932145753,0.0166102543639902,"Cofr","Acrolophus plumifrontella"
98,0.00284671467451871,0.0176065048372533,"Cofr","Acrolophus plumifrontella"
99,0.00310887389640238,0.018657503552149,"Cofr","Acrolophus plumifrontella"
100,0.00339620932143571,0.0197658945619306,"Cofr","Acrolophus plumifrontella"
101,0.00371126850332402,0.020934422505079,"Cofr","Acrolophus plumifrontella"
102,0.00405687186597913,0.0221659356222575,"Cofr","Acrolophus plumifrontella"
103,0.00443614364911631,0.0234633893556737,"Cofr","Acrolophus plumifrontella"
104,0.00485254656237491,0.0248298507625538,"Cofr","Acrolophus plumifrontella"
105,0.00530992061632635,0.0262685040401167,"Cofr","Acrolophus plumifrontella"
106,0.00581252666089164,0.027782657540163,"Cofr","Acrolophus plumifrontella"
107,0.00636509523249675,0.0293757527501486,"Cofr","Acrolophus plumifrontella"
108,0.00697288139200188,0.0310513758376999,"Cofr","Acrolophus plumifrontella"
109,0.00764172632750197,0.0328132725007771,"Cofr","Acrolophus plumifrontella"
110,0.00837812660117046,0.0346653670402202,"Cofr","Acrolophus plumifrontella"
111,0.00918931203934136,0.036611786779834,"Cofr","Acrolophus plumifrontella"
112,0.0100833334022077,0.0386568932060857,"Cofr","Acrolophus plumifrontella"
113,0.0110691611264281,0.0408053214896157,"Cofr","Acrolophus plumifrontella"
114,0.0121567966135347,0.0430620303881273,"Cofr","Acrolophus plumifrontella"
115,0.0133573977427674,0.0454323649179242,"Cofr","Acrolophus plumifrontella"
116,0.0146834205227619,0.047922134620141,"Cofr","Acrolophus plumifrontella"
117,0.0161487790670294,0.0505377107352629,"Cofr","Acrolophus plumifrontella"
118,0.0177690263886721,0.0532861461279097,"Cofr","Acrolophus plumifrontella"
119,0.0195615588664789,0.0561753223576908,"Cofr","Acrolophus plumifrontella"
120,0.0215458476446334,0.0592141288449544,"Cofr","Acrolophus plumifrontella"
121,0.0237437007000312,0.062412679591229,"Cofr","Acrolophus plumifrontella"
122,0.026179559854405,0.0657825733228738,"Cofr","Acrolophus plumifrontella"
123,0.0288808376342899,0.0693372031479258,"Cofr","Acrolophus plumifrontella"
124,0.0318782996035624,0.0730921217372337,"Cofr","Acrolophus plumifrontella"
125,0.0352064986260605,0.077065467515416,"Cofr","Acrolophus plumifrontella"
126,0.0389042684775814,0.0812784561978825,"Cofr","Acrolophus plumifrontella"
127,0.0430152853381397,0.0857559400329537,"Cofr","Acrolophus plumifrontella"
128,0.0475887069811228,0.0905270340887624,"Cofr","Acrolophus plumifrontella"
129,0.0526799009643895,0.0956258046658593,"Cofr","Acrolophus plumifrontella"
130,0.058351274852682,0.101092009281102,"Cofr","Acrolophus plumifrontella"
131,0.0646732235000106,0.106971870639468,"Cofr","Acrolophus plumifrontella"
132,0.071725210740645,0.113318858757999,"Cofr","Acrolophus plumifrontella"
133,0.079597005531592,0.120194446354942,"Cofr","Acrolophus plumifrontella"
134,0.0883900957209747,0.127668793487536,"Cofr","Acrolophus plumifrontella"
135,0.0982193062594815,0.135821309217431,"Cofr","Acrolophus plumifrontella"
136,0.109214652913066,0.144741032000899,"Cofr","Acrolophus plumifrontella"
137,0.121523467476712,0.154526767758566,"Cofr","Acrolophus plumifrontella"
138,0.135312836251941,0.165286926178356,"Cofr","Acrolophus plumifrontella"
139,0.150772400277129,0.177139002332185,"Cofr","Acrolophus plumifrontella"
140,0.168117238240537,0.190208326186834,"Cofr","Acrolophus plumifrontella"
141,0.187577199230348,0.204613651937764,"Cofr","Acrolophus plumifrontella"
142,0.209387787041154,0.220459855162424,"Cofr","Acrolophus plumifrontella"
143,0.233802591582324,0.237851180807998,"Cofr","Acrolophus plumifrontella"
144,0.261094150555119,0.256890468662323,"Cofr","Acrolophus plumifrontella"
145,0.291553315812083,0.277677012095725,"Cofr","Acrolophus plumifrontella"
146,0.325488030912129,0.300304182153581,"Cofr","Acrolophus plumifrontella"
147,0.36322140167744,0.324856860246448,"Cofr","Acrolophus plumifrontella"
148,0.405088934356662,0.351408741167502,"Cofr","Acrolophus plumifrontella"
149,0.451434812145572,0.380019588094618,"Cofr","Acrolophus plumifrontella"
150,0.502607081560977,0.410732541380249,"Cofr","Acrolophus plumifrontella"
151,0.558951626896829,0.443571601460348,"Cofr","Acrolophus plumifrontella"
152,0.620804825199051,0.478539420625445,"Cofr","Acrolophus plumifrontella"
153,0.688484797391409,0.515615545586015,"Cofr","Acrolophus plumifrontella"
154,0.762281204815347,0.554755249109936,"Cofr","Acrolophus plumifrontella"
155,0.842443585768466,0.595889070680699,"Cofr","Acrolophus plumifrontella"
156,0.929168284556435,0.638923149459502,"Cofr","Acrolophus plumifrontella"
157,1.02258409651248,0.683740375071069,"Cofr","Acrolophus plumifrontella"
158,1.12273683608064,0.730202301805443,"Cofr","Acrolophus plumifrontella"
159,1.22957313018843,0.77815167155081,"Cofr","Acrolophus plumifrontella"
160,1.3429238434366,0.827415276031019,"Cofr","Acrolophus plumifrontella"
161,1.46248765152714,0.87780677076778,"Cofr","Acrolophus plumifrontella"
162,1.58781538988289,0.92912894867776,"Cofr","Acrolophus plumifrontella"
163,1.71829590922049,0.981174912980618,"Cofr","Acrolophus plumifrontella"
164,1.8531442612344,1.03372758374844,"Cofr","Acrolophus plumifrontella"
165,1.99139310672996,1.08655705655702,"Cofr","Acrolophus plumifrontella"
166,2.13188827595965,1.13941552592434,"Cofr","Acrolophus plumifrontella"
167,2.27328940682206,1.19202979728457,"Cofr","Acrolophus plumifrontella"
168,2.41407653173748,1.24409182441731,"Cofr","Acrolophus plumifrontella"
169,2.55256337055229,1.29524818276951,"Cofr","Acrolophus plumifrontella"
170,2.68691790921666,1.34508985466277,"Cofr","Acrolophus plumifrontella"
171,2.81519060005576,1.39314407266671,"Cofr","Acrolophus plumifrontella"
172,2.93535021136133,1.43887015202058,"Cofr","Acrolophus plumifrontella"
173,3.04532698905643,1.48166116825104,"Cofr","Acrolophus plumifrontella"
174,3.14306238429907,1.52085296459297,"Cofr","Acrolophus plumifrontella"
175,3.22656416689436,1.55574131628162,"Cofr","Acrolophus plumifrontella"
176,3.29396530954444,1.58560719555222,"Cofr","Acrolophus plumifrontella"
177,3.34358462108694,1.60974907210037,"Cofr","Acrolophus plumifrontella"
178,3.37398675971852,1.62752017127038,"Cofr","Acrolophus plumifrontella"
179,3.3840390023416,1.63836772308578,"Cofr","Acrolophus plumifrontella"
