"doy","fit","se","Site","validName"
69,0.882960025684655,0.648973856959073,"Cofr","Apantesis vittata"
70,0.831432262828284,0.597841086941629,"Cofr","Apantesis vittata"
71,0.782939643689611,0.551350234221627,"Cofr","Apantesis vittata"
72,0.737328219302964,0.509153367919296,"Cofr","Apantesis vittata"
73,0.694448699155727,0.470918658108865,"Cofr","Apantesis vittata"
74,0.654156714233906,0.436330115130157,"Cofr","Apantesis vittata"
75,0.6163130162283,0.405087314335009,"Cofr","Apantesis vittata"
76,0.580783619375911,0.376905144259155,"Cofr","Apantesis vittata"
77,0.547439891104157,0.351513607920282,"Cofr","Apantesis vittata"
78,0.516158597311827,0.328657695232991,"Cofr","Apantesis vittata"
79,0.486821907767582,0.308097330163136,"Cofr","Apantesis vittata"
80,0.459317366742744,0.289607380824766,"Cofr","Apantesis vittata"
81,0.433537833626009,0.272977706332591,"Cofr","Apantesis vittata"
82,0.409381397899353,0.258013203273787,"Cofr","Apantesis vittata"
83,0.386751272491219,0.244533809035226,"Cofr","Apantesis vittata"
84,0.365555669169433,0.232374419999481,"Cofr","Apantesis vittata"
85,0.345707659294218,0.221384689577456,"Cofr","Apantesis vittata"
86,0.327125022925151,0.211428682809888,"Cofr","Apantesis vittata"
87,0.309730088964864,0.202384378632233,"Cofr","Apantesis vittata"
88,0.293449568729937,0.194143025410568,"Cofr","Apantesis vittata"
89,0.278214385064894,0.186608367846612,"Cofr","Apantesis vittata"
90,0.26395949886043,0.179695772394995,"Cofr","Apantesis vittata"
91,0.250623734600759,0.173331283327257,"Cofr","Apantesis vittata"
92,0.238149606348334,0.167450642688201,"Cofr","Apantesis vittata"
93,0.226483145375728,0.161998305348,"Cofr","Apantesis vittata"
94,0.215573730474417,0.156926476105321,"Cofr","Apantesis vittata"
95,0.205373921807435,0.15219419036457,"Cofr","Apantesis vittata"
96,0.195839299026571,0.14776645412646,"Cofr","Apantesis vittata"
97,0.18692830424446,0.143613453537492,"Cofr","Apantesis vittata"
98,0.17860209033616,0.139709839435202,"Cofr","Apantesis vittata"
99,0.170824374942968,0.136034088395914,"Cofr","Apantesis vittata"
100,0.163561300462335,0.132567938785572,"Cofr","Apantesis vittata"
101,0.156781300230805,0.12929589816602,"Cofr","Apantesis vittata"
102,0.15045497104094,0.126204817007568,"Cofr","Apantesis vittata"
103,0.144554952077537,0.12328352286228,"Cofr","Apantesis vittata"
104,0.139055810312095,0.120522508822549,"Cofr","Apantesis vittata"
105,0.133933932356738,0.117913670101402,"Cofr","Apantesis vittata"
106,0.129167422748991,0.115450082817488,"Cofr","Apantesis vittata"
107,0.124736008616164,0.113125819465772,"Cofr","Apantesis vittata"
108,0.120620950652241,0.110935796036559,"Cofr","Apantesis vittata"
109,0.116804960330416,0.10887564626633,"Cofr","Apantesis vittata"
110,0.113272123270433,0.106941619028312,"Cofr","Apantesis vittata"
111,0.110007828681308,0.105130495376815,"Cofr","Apantesis vittata"
112,0.106998704806636,0.103439522234316,"Cofr","Apantesis vittata"
113,0.104232560311124,0.101866360146064,"Cofr","Apantesis vittata"
114,0.101698331563478,0.100409042919982,"Cofr","Apantesis vittata"
115,0.099386035792012,0.0990659473215824,"Cofr","Apantesis vittata"
116,0.097286730115575,0.0978357713048396,"Cofr","Apantesis vittata"
117,0.0953924764839056,0.0967175195344245,"Cofr","Apantesis vittata"
118,0.0936963125984579,0.0957104951970703,"Cofr","Apantesis vittata"
119,0.0921922289277487,0.0948142973132839,"Cofr","Apantesis vittata"
120,0.0908751519808989,0.0940288229505882,"Cofr","Apantesis vittata"
121,0.089740934060048,0.0933542739105024,"Cofr","Apantesis vittata"
122,0.0887863497778123,0.0927911676177497,"Cofr","Apantesis vittata"
123,0.0880090997009418,0.0923403520868548,"Cofr","Apantesis vittata"
124,0.0874078215675716,0.0920030249831231,"Cofr","Apantesis vittata"
125,0.0869821096244608,0.0917807569370245,"Cofr","Apantesis vittata"
126,0.0867325427447341,0.0916755194187243,"Cofr","Apantesis vittata"
127,0.0866607221183385,0.0916897176394816,"Cofr","Apantesis vittata"
128,0.0867693194599043,0.0918262291257657,"Cofr","Apantesis vittata"
129,0.0870621368555568,0.0920884488190495,"Cofr","Apantesis vittata"
130,0.0875441795760346,0.0924803417997689,"Cofr","Apantesis vittata"
131,0.0882217434234591,0.0930065050306421,"Cofr","Apantesis vittata"
132,0.089102518459756,0.0936722398787613,"Cofr","Apantesis vittata"
133,0.0901957112936948,0.0944836376275658,"Cofr","Apantesis vittata"
134,0.0915121884900524,0.0954476807551524,"Cofr","Apantesis vittata"
135,0.0930646441196789,0.0965723634664905,"Cofr","Apantesis vittata"
136,0.0948677950066857,0.0978668358659181,"Cofr","Apantesis vittata"
137,0.0969386078648664,0.0993415772953769,"Cofr","Apantesis vittata"
138,0.0992965632694276,0.101008605810126,"Cofr","Apantesis vittata"
139,0.101963962306135,0.102881732601652,"Cofr","Apantesis vittata"
140,0.104966069636646,0.104976719496411,"Cofr","Apantesis vittata"
141,0.108323160965352,0.107305658362886,"Cofr","Apantesis vittata"
