"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.12544066619999e-12,"Cofr","Desmia funeralis"
70,2.22044604925031e-16,1.11537298444545e-12,"Cofr","Desmia funeralis"
71,2.22044604925031e-16,1.10532196453143e-12,"Cofr","Desmia funeralis"
72,2.22044604925031e-16,1.09528881449976e-12,"Cofr","Desmia funeralis"
73,2.22044604925031e-16,1.08527473104727e-12,"Cofr","Desmia funeralis"
74,2.22044604925031e-16,1.07528089886904e-12,"Cofr","Desmia funeralis"
75,2.22044604925031e-16,1.06530848998607e-12,"Cofr","Desmia funeralis"
76,2.22044604925031e-16,1.05535866305691e-12,"Cofr","Desmia funeralis"
77,2.22044604925031e-16,1.04543256267316e-12,"Cofr","Desmia funeralis"
78,2.22044604925031e-16,1.03553131863847e-12,"Cofr","Desmia funeralis"
79,2.22044604925031e-16,1.02565604523088e-12,"Cofr","Desmia funeralis"
80,2.22044604925031e-16,1.01580784044837e-12,"Cofr","Desmia funeralis"
81,2.22044604925031e-16,1.00598778523732e-12,"Cofr","Desmia funeralis"
82,2.22044604925031e-16,9.96196942703983e-13,"Cofr","Desmia funeralis"
83,2.22044604925031e-16,9.86436357308725e-13,"Cofr","Desmia funeralis"
84,2.22044604925031e-16,9.76707054043146e-13,"Cofr","Desmia funeralis"
85,2.22044604925031e-16,9.67010037590035e-13,"Cofr","Desmia funeralis"
86,2.22044604925031e-16,9.57346291466289e-13,"Cofr","Desmia funeralis"
87,2.22044604925031e-16,9.47716777148936e-13,"Cofr","Desmia funeralis"
88,2.22044604925031e-16,9.38122433184462e-13,"Cofr","Desmia funeralis"
89,2.22044604925031e-16,9.28564174281736e-13,"Cofr","Desmia funeralis"
90,2.22044604925031e-16,9.19042890388876e-13,"Cofr","Desmia funeralis"
91,2.22044604925031e-16,9.09559445754479e-13,"Cofr","Desmia funeralis"
92,2.22044604925031e-16,9.00114677973743e-13,"Cofr","Desmia funeralis"
93,2.22044604925031e-16,8.90709397020055e-13,"Cofr","Desmia funeralis"
94,2.22044604925031e-16,8.81344384262763e-13,"Cofr","Desmia funeralis"
95,2.22044604925031e-16,8.72020391471899e-13,"Cofr","Desmia funeralis"
96,2.22044604925031e-16,8.62738139810757e-13,"Cofr","Desmia funeralis"
97,2.22044604925031e-16,8.53498318817328e-13,"Cofr","Desmia funeralis"
98,2.22044604925031e-16,8.44301585375698e-13,"Cofr","Desmia funeralis"
99,2.22044604925031e-16,8.35148562678663e-13,"Cofr","Desmia funeralis"
100,2.22044604925031e-16,8.26039839182898e-13,"Cofr","Desmia funeralis"
101,2.22044604925031e-16,8.169759675582e-13,"Cofr","Desmia funeralis"
102,2.22044604925031e-16,8.07957463632403e-13,"Cofr","Desmia funeralis"
103,2.22044604925031e-16,7.98984805333771e-13,"Cofr","Desmia funeralis"
104,2.22044604925031e-16,7.90058431632743e-13,"Cofr","Desmia funeralis"
105,2.22044604925031e-16,7.81178741485139e-13,"Cofr","Desmia funeralis"
106,2.22044604925031e-16,7.72346092779026e-13,"Cofr","Desmia funeralis"
107,2.22044604925031e-16,7.63560801287634e-13,"Cofr","Desmia funeralis"
108,2.22044604925031e-16,7.5482313963089e-13,"Cofr","Desmia funeralis"
109,2.22044604925031e-16,7.46133336248267e-13,"Cofr","Desmia funeralis"
110,2.22044604925031e-16,7.37491574385869e-13,"Cofr","Desmia funeralis"
111,2.22044604925031e-16,7.28897991100813e-13,"Cofr","Desmia funeralis"
112,2.22044604925031e-16,7.20352676286172e-13,"Cofr","Desmia funeralis"
113,2.22044604925031e-16,7.11855671719913e-13,"Cofr","Desmia funeralis"
114,2.22044604925031e-16,7.03406970141481e-13,"Cofr","Desmia funeralis"
115,2.22044604925031e-16,6.9500651435984e-13,"Cofr","Desmia funeralis"
116,2.22044604925031e-16,6.86654196396995e-13,"Cofr","Desmia funeralis"
117,2.22044604925031e-16,6.78349856671227e-13,"Cofr","Desmia funeralis"
118,2.22044604925031e-16,6.70093283224463e-13,"Cofr","Desmia funeralis"
119,2.22044604925031e-16,6.61884210998416e-13,"Cofr","Desmia funeralis"
120,2.22044604925031e-16,6.53722321164349e-13,"Cofr","Desmia funeralis"
121,2.22044604925031e-16,6.45607240511529e-13,"Cofr","Desmia funeralis"
122,2.22044604925031e-16,6.37538540899671e-13,"Cofr","Desmia funeralis"
123,2.22044604925031e-16,6.29515738780903e-13,"Cofr","Desmia funeralis"
124,2.22044604925031e-16,6.21538294797019e-13,"Cofr","Desmia funeralis"
125,2.22044604925031e-16,6.13605613458067e-13,"Cofr","Desmia funeralis"
126,2.22044604925031e-16,6.05717042908567e-13,"Cofr","Desmia funeralis"
127,2.22044604925031e-16,5.97871874787951e-13,"Cofr","Desmia funeralis"
128,2.22044604925031e-16,5.90069344192144e-13,"Cofr","Desmia funeralis"
129,2.22044604925031e-16,5.82308629743523e-13,"Cofr","Desmia funeralis"
130,2.22044604925031e-16,5.74588853776867e-13,"Cofr","Desmia funeralis"
131,2.22044604925031e-16,5.66909082649345e-13,"Cofr","Desmia funeralis"
132,2.22044604925031e-16,5.59268327183006e-13,"Cofr","Desmia funeralis"
133,2.22044604925031e-16,5.51665543248785e-13,"Cofr","Desmia funeralis"
134,2.22044604925031e-16,5.44099632501609e-13,"Cofr","Desmia funeralis"
135,2.22044604925031e-16,5.36569443276826e-13,"Cofr","Desmia funeralis"
136,2.22044604925031e-16,5.29073771658982e-13,"Cofr","Desmia funeralis"
137,2.22044604925031e-16,5.21611362734791e-13,"Cofr","Desmia funeralis"
138,2.22044604925031e-16,5.14180912043166e-13,"Cofr","Desmia funeralis"
139,2.22044604925031e-16,5.0678106723634e-13,"Cofr","Desmia funeralis"
140,2.22044604925031e-16,4.99410442199901e-13,"Cofr","Desmia funeralis"
141,2.22044604925031e-16,4.92068093278488e-13,"Cofr","Desmia funeralis"
142,2.22044604925031e-16,4.84753717852768e-13,"Cofr","Desmia funeralis"
143,2.22044604925031e-16,4.77467105651967e-13,"Cofr","Desmia funeralis"
144,2.22044604925031e-16,4.70208097526083e-13,"Cofr","Desmia funeralis"
145,2.22044604925031e-16,4.62976584636782e-13,"Cofr","Desmia funeralis"
146,2.22044604925031e-16,4.55772507644645e-13,"Cofr","Desmia funeralis"
147,2.22044604925031e-16,4.485958558938e-13,"Cofr","Desmia funeralis"
148,2.22044604925031e-16,4.41446666594943e-13,"Cofr","Desmia funeralis"
149,2.22044604925031e-16,4.34325024007705e-13,"Cofr","Desmia funeralis"
150,2.22044604925031e-16,4.27231058623229e-13,"Cofr","Desmia funeralis"
151,2.22044604925031e-16,4.20164946347783e-13,"Cofr","Desmia funeralis"
152,2.22044604925031e-16,4.13126907688198e-13,"Cofr","Desmia funeralis"
153,2.22044604925031e-16,4.0611720693981e-13,"Cofr","Desmia funeralis"
154,2.22044604925031e-16,3.99136151377585e-13,"Cofr","Desmia funeralis"
155,2.22044604925031e-16,3.92184090451019e-13,"Cofr","Desmia funeralis"
156,2.22044604925031e-16,3.85261414983357e-13,"Cofr","Desmia funeralis"
157,2.22044604925031e-16,3.78368556375616e-13,"Cofr","Desmia funeralis"
158,2.22044604925031e-16,3.7150598581587e-13,"Cofr","Desmia funeralis"
159,2.22044604925031e-16,3.64674213494152e-13,"Cofr","Desmia funeralis"
160,2.22044604925031e-16,3.57873787823327e-13,"Cofr","Desmia funeralis"
161,2.22044604925031e-16,3.51105294666203e-13,"Cofr","Desmia funeralis"
162,2.22044604925031e-16,3.44369356569105e-13,"Cofr","Desmia funeralis"
163,2.22044604925031e-16,3.37666632002087e-13,"Cofr","Desmia funeralis"
164,2.22044604925031e-16,3.30997814605889e-13,"Cofr","Desmia funeralis"
165,2.22044604925031e-16,3.24363632445717e-13,"Cofr","Desmia funeralis"
166,2.22044604925031e-16,3.17764847271828e-13,"Cofr","Desmia funeralis"
167,2.22044604925031e-16,3.11202253786889e-13,"Cofr","Desmia funeralis"
168,2.22044604925031e-16,3.04676678919976e-13,"Cofr","Desmia funeralis"
169,2.22044604925031e-16,2.98188981107049e-13,"Cofr","Desmia funeralis"
170,2.22044604925031e-16,2.91740049577649e-13,"Cofr","Desmia funeralis"
171,2.22044604925031e-16,2.8533080364751e-13,"Cofr","Desmia funeralis"
172,2.22044604925031e-16,2.78962192016686e-13,"Cofr","Desmia funeralis"
173,2.22044604925031e-16,2.72635192072726e-13,"Cofr","Desmia funeralis"
174,2.22044604925031e-16,2.66350809198332e-13,"Cofr","Desmia funeralis"
175,2.22044604925031e-16,2.60110076082849e-13,"Cofr","Desmia funeralis"
176,2.22044604925031e-16,2.53914052036808e-13,"Cofr","Desmia funeralis"
177,2.22044604925031e-16,2.47763822308654e-13,"Cofr","Desmia funeralis"
178,2.22044604925031e-16,2.41660497402647e-13,"Cofr","Desmia funeralis"
179,2.22044604925031e-16,2.35605212396756e-13,"Cofr","Desmia funeralis"
180,2.22044604925031e-16,2.29599126259257e-13,"Cofr","Desmia funeralis"
181,2.22044604925031e-16,2.236434211625e-13,"Cofr","Desmia funeralis"
182,2.22044604925031e-16,2.17739301792139e-13,"Cofr","Desmia funeralis"
