"doy","fit","se","Site","validName"
69,6.97982546146701e-05,0.000627356215264807,"Cofr","Euchlaena amoenaria"
70,7.39939592492891e-05,0.000657231848495428,"Cofr","Euchlaena amoenaria"
71,7.84419739457832e-05,0.000688448243958601,"Cofr","Euchlaena amoenaria"
72,8.31575816226299e-05,0.000721062296898997,"Cofr","Euchlaena amoenaria"
73,8.81570037544084e-05,0.000755133232500936,"Cofr","Euchlaena amoenaria"
74,9.34574591404475e-05,0.000790722704422239,"Cofr","Euchlaena amoenaria"
75,9.90772264418237e-05,0.000827894898276646,"Cofr","Euchlaena amoenaria"
76,0.000105035710734884,0.000866716640389895,"Cofr","Euchlaena amoenaria"
77,0.000111353514346297,0.000907257512179708,"Cofr","Euchlaena amoenaria"
78,0.000118052512252614,0.000949589970536505,"Cofr","Euchlaena amoenaria"
79,0.000125155932346579,0.000993789474610356,"Cofr","Euchlaena amoenaria"
80,0.000132688440893022,0.00103993461944023,"Cofr","Euchlaena amoenaria"
81,0.000140676233519215,0.0010881072768941,"Cofr","Euchlaena amoenaria"
82,0.000149147132108153,0.00113839274442328,"Cofr","Euchlaena amoenaria"
83,0.000158130687988493,0.00119087990217077,"Cofr","Euchlaena amoenaria"
84,0.000167658291841921,0.00124566137901286,"Cofr","Euchlaena amoenaria"
85,0.000177763290777651,0.00130283372815378,"Cofr","Euchlaena amoenaria"
86,0.000188481113054796,0.0013624976129368,"Cofr","Euchlaena amoenaria"
87,0.000199849400966536,0.00142475800358049,"Cofr","Euchlaena amoenaria"
88,0.000211908152435578,0.00148972438559618,"Cofr","Euchlaena amoenaria"
89,0.000224699871908542,0.00155751098069223,"Cofr","Euchlaena amoenaria"
90,0.000238269731177691,0.00162823698102183,"Cofr","Euchlaena amoenaria"
91,0.000252665740802226,0.00170202679768375,"Cofr","Euchlaena amoenaria"
92,0.000267938932848238,0.00177901032443978,"Cofr","Euchlaena amoenaria"
93,0.000284143555716675,0.00185932321766743,"Cofr","Euchlaena amoenaria"
94,0.000301337281882599,0.00194310719362227,"Cofr","Euchlaena amoenaria"
95,0.000319581429426756,0.00203051034413994,"Cofr","Euchlaena amoenaria"
96,0.000338941198302477,0.00212168747196294,"Cofr","Euchlaena amoenaria"
97,0.00035948592234736,0.00221680044693114,"Cofr","Euchlaena amoenaria"
98,0.000381289338120469,0.00231601858432667,"Cofr","Euchlaena amoenaria"
99,0.000404429871722293,0.00241951904671222,"Cofr","Euchlaena amoenaria"
100,0.000428990944836698,0.00252748727064607,"Cofr","Euchlaena amoenaria"
