"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.20197476518069e-10,"Cofr","Eulithis diversilineata"
70,2.22044604925031e-16,1.20303984630574e-10,"Cofr","Eulithis diversilineata"
71,2.22044604925031e-16,1.20421848463282e-10,"Cofr","Eulithis diversilineata"
72,2.22044604925031e-16,1.2055103470843e-10,"Cofr","Eulithis diversilineata"
73,2.22044604925031e-16,1.20691507008039e-10,"Cofr","Eulithis diversilineata"
74,2.22044604925031e-16,1.20843226004228e-10,"Cofr","Eulithis diversilineata"
75,2.22044604925031e-16,1.21006149393266e-10,"Cofr","Eulithis diversilineata"
76,2.22044604925031e-16,1.21180231983194e-10,"Cofr","Eulithis diversilineata"
77,2.22044604925031e-16,1.21365425754847e-10,"Cofr","Eulithis diversilineata"
78,2.22044604925031e-16,1.21561679926071e-10,"Cofr","Eulithis diversilineata"
79,2.22044604925031e-16,1.21768941018968e-10,"Cofr","Eulithis diversilineata"
80,2.22044604925031e-16,1.21987152929939e-10,"Cofr","Eulithis diversilineata"
81,2.22044604925031e-16,1.22216257002342e-10,"Cofr","Eulithis diversilineata"
82,2.22044604925031e-16,1.22456192101551e-10,"Cofr","Eulithis diversilineata"
83,2.22044604925031e-16,1.2270689469219e-10,"Cofr","Eulithis diversilineata"
84,2.22044604925031e-16,1.22968298917353e-10,"Cofr","Eulithis diversilineata"
85,2.22044604925031e-16,1.2324033667957e-10,"Cofr","Eulithis diversilineata"
86,2.22044604925031e-16,1.23522937723319e-10,"Cofr","Eulithis diversilineata"
87,2.22044604925031e-16,1.23816029718866e-10,"Cofr","Eulithis diversilineata"
88,2.22044604925031e-16,1.24119538347217e-10,"Cofr","Eulithis diversilineata"
89,2.22044604925031e-16,1.24433387385977e-10,"Cofr","Eulithis diversilineata"
90,2.22044604925031e-16,1.24757498795903e-10,"Cofr","Eulithis diversilineata"
91,2.22044604925031e-16,1.25091792807961e-10,"Cofr","Eulithis diversilineata"
92,2.22044604925031e-16,1.25436188010673e-10,"Cofr","Eulithis diversilineata"
93,2.22044604925031e-16,1.25790601437576e-10,"Cofr","Eulithis diversilineata"
94,2.22044604925031e-16,1.26154948654598e-10,"Cofr","Eulithis diversilineata"
95,2.22044604925031e-16,1.2652914384718e-10,"Cofr","Eulithis diversilineata"
96,2.22044604925031e-16,1.26913099906965e-10,"Cofr","Eulithis diversilineata"
97,2.22044604925031e-16,1.27306728517896e-10,"Cofr","Eulithis diversilineata"
98,2.22044604925031e-16,1.27709940241558e-10,"Cofr","Eulithis diversilineata"
99,2.22044604925031e-16,1.28122644601625e-10,"Cofr","Eulithis diversilineata"
100,2.22044604925031e-16,1.28544750167268e-10,"Cofr","Eulithis diversilineata"
101,2.22044604925031e-16,1.2897616463539e-10,"Cofr","Eulithis diversilineata"
102,2.22044604925031e-16,1.29416794911573e-10,"Cofr","Eulithis diversilineata"
103,2.22044604925031e-16,1.29866547189613e-10,"Cofr","Eulithis diversilineata"
104,2.22044604925031e-16,1.30325327029549e-10,"Cofr","Eulithis diversilineata"
105,2.22044604925031e-16,1.30793039434079e-10,"Cofr","Eulithis diversilineata"
106,2.22044604925031e-16,1.31269588923289e-10,"Cofr","Eulithis diversilineata"
107,2.22044604925031e-16,1.317548796076e-10,"Cofr","Eulithis diversilineata"
108,2.22044604925031e-16,1.32248815258874e-10,"Cofr","Eulithis diversilineata"
109,2.22044604925031e-16,1.3275129937962e-10,"Cofr","Eulithis diversilineata"
110,2.22044604925031e-16,1.3326223527023e-10,"Cofr","Eulithis diversilineata"
111,2.22044604925031e-16,1.33781526094218e-10,"Cofr","Eulithis diversilineata"
112,2.22044604925031e-16,1.34309074941407e-10,"Cofr","Eulithis diversilineata"
113,2.22044604925031e-16,1.34844784889049e-10,"Cofr","Eulithis diversilineata"
114,2.22044604925031e-16,1.3538855906084e-10,"Cofr","Eulithis diversilineata"
115,2.22044604925031e-16,1.35940300683815e-10,"Cofr","Eulithis diversilineata"
116,2.22044604925031e-16,1.36499913143124e-10,"Cofr","Eulithis diversilineata"
117,2.22044604925031e-16,1.37067300034668e-10,"Cofr","Eulithis diversilineata"
118,2.22044604925031e-16,1.37642365215605e-10,"Cofr","Eulithis diversilineata"
119,2.22044604925031e-16,1.3822501285273e-10,"Cofr","Eulithis diversilineata"
120,2.22044604925031e-16,1.38815147468738e-10,"Cofr","Eulithis diversilineata"
121,2.22044604925031e-16,1.39412673986395e-10,"Cofr","Eulithis diversilineata"
122,2.22044604925031e-16,1.40017497770618e-10,"Cofr","Eulithis diversilineata"
123,2.22044604925031e-16,1.40629524668514e-10,"Cofr","Eulithis diversilineata"
124,2.22044604925031e-16,1.41248661047382e-10,"Cofr","Eulithis diversilineata"
125,2.22044604925031e-16,1.41874813830726e-10,"Cofr","Eulithis diversilineata"
126,2.22044604925031e-16,1.42507890532304e-10,"Cofr","Eulithis diversilineata"
127,2.22044604925031e-16,1.43147799288253e-10,"Cofr","Eulithis diversilineata"
128,2.22044604925031e-16,1.43794448887333e-10,"Cofr","Eulithis diversilineata"
129,2.22044604925031e-16,1.44447748799324e-10,"Cofr","Eulithis diversilineata"
130,2.22044604925031e-16,1.45107609201628e-10,"Cofr","Eulithis diversilineata"
131,2.22044604925031e-16,1.45773941004115e-10,"Cofr","Eulithis diversilineata"
132,2.22044604925031e-16,1.46446655872263e-10,"Cofr","Eulithis diversilineata"
133,2.22044604925031e-16,1.47125666248637e-10,"Cofr","Eulithis diversilineata"
134,2.22044604925031e-16,1.47810885372766e-10,"Cofr","Eulithis diversilineata"
135,2.22044604925031e-16,1.48502227299443e-10,"Cofr","Eulithis diversilineata"
136,2.22044604925031e-16,1.49199606915531e-10,"Cofr","Eulithis diversilineata"
137,2.22044604925031e-16,1.49902939955297e-10,"Cofr","Eulithis diversilineata"
138,2.22044604925031e-16,1.50612143014342e-10,"Cofr","Eulithis diversilineata"
139,2.22044604925031e-16,1.5132713356217e-10,"Cofr","Eulithis diversilineata"
140,2.22044604925031e-16,1.52047829953446e-10,"Cofr","Eulithis diversilineata"
141,2.22044604925031e-16,1.52774151437998e-10,"Cofr","Eulithis diversilineata"
142,2.22044604925031e-16,1.53506018169606e-10,"Cofr","Eulithis diversilineata"
143,2.22044604925031e-16,1.54243351213637e-10,"Cofr","Eulithis diversilineata"
144,2.22044604925031e-16,1.54986072553563e-10,"Cofr","Eulithis diversilineata"
145,2.22044604925031e-16,1.55734105096419e-10,"Cofr","Eulithis diversilineata"
146,2.22044604925031e-16,1.56487372677239e-10,"Cofr","Eulithis diversilineata"
147,2.22044604925031e-16,1.57245800062536e-10,"Cofr","Eulithis diversilineata"
148,2.22044604925031e-16,1.58009312952838e-10,"Cofr","Eulithis diversilineata"
149,2.22044604925031e-16,1.5877783798436e-10,"Cofr","Eulithis diversilineata"
150,2.22044604925031e-16,1.59551302729831e-10,"Cofr","Eulithis diversilineata"
151,2.22044604925031e-16,1.60329635698532e-10,"Cofr","Eulithis diversilineata"
152,2.22044604925031e-16,1.61112766335571e-10,"Cofr","Eulithis diversilineata"
153,2.22044604925031e-16,1.61900625020461e-10,"Cofr","Eulithis diversilineata"
154,2.22044604925031e-16,1.62693143065006e-10,"Cofr","Eulithis diversilineata"
155,2.22044604925031e-16,1.63490252710563e-10,"Cofr","Eulithis diversilineata"
156,2.22044604925031e-16,1.64291887124703e-10,"Cofr","Eulithis diversilineata"
157,2.22044604925031e-16,1.65097980397301e-10,"Cofr","Eulithis diversilineata"
158,2.22044604925031e-16,1.65908467536102e-10,"Cofr","Eulithis diversilineata"
159,2.22044604925031e-16,1.6672328446179e-10,"Cofr","Eulithis diversilineata"
160,2.22044604925031e-16,1.6754236800259e-10,"Cofr","Eulithis diversilineata"
161,2.22044604925031e-16,1.68365655888433e-10,"Cofr","Eulithis diversilineata"
162,2.22044604925031e-16,1.69193086744727e-10,"Cofr","Eulithis diversilineata"
