"doy","fit","se","Site","validName"
69,2.22044604925031e-16,3.91525075000833e-13,"Cofr","Herpetogramma fluctuosalis"
70,2.22044604925031e-16,3.85870799250844e-13,"Cofr","Herpetogramma fluctuosalis"
71,2.22044604925031e-16,3.80218318712533e-13,"Cofr","Herpetogramma fluctuosalis"
72,2.22044604925031e-16,3.74568820579269e-13,"Cofr","Herpetogramma fluctuosalis"
73,2.22044604925031e-16,3.68923492247043e-13,"Cofr","Herpetogramma fluctuosalis"
74,2.22044604925031e-16,3.63283521310805e-13,"Cofr","Herpetogramma fluctuosalis"
75,2.22044604925031e-16,3.57650095560592e-13,"Cofr","Herpetogramma fluctuosalis"
76,2.22044604925031e-16,3.52024402977399e-13,"Cofr","Herpetogramma fluctuosalis"
77,2.22044604925031e-16,3.46407631728754e-13,"Cofr","Herpetogramma fluctuosalis"
78,2.22044604925031e-16,3.40800970163919e-13,"Cofr","Herpetogramma fluctuosalis"
79,2.22044604925031e-16,3.35205606808686e-13,"Cofr","Herpetogramma fluctuosalis"
80,2.22044604925031e-16,3.2962273035966e-13,"Cofr","Herpetogramma fluctuosalis"
81,2.22044604925031e-16,3.24053529677988e-13,"Cofr","Herpetogramma fluctuosalis"
82,2.22044604925031e-16,3.18499193782418e-13,"Cofr","Herpetogramma fluctuosalis"
83,2.22044604925031e-16,3.1296091184161e-13,"Cofr","Herpetogramma fluctuosalis"
84,2.22044604925031e-16,3.07439873165576e-13,"Cofr","Herpetogramma fluctuosalis"
85,2.22044604925031e-16,3.01937267196134e-13,"Cofr","Herpetogramma fluctuosalis"
86,2.22044604925031e-16,2.96454283496245e-13,"Cofr","Herpetogramma fluctuosalis"
87,2.22044604925031e-16,2.90992111738061e-13,"Cofr","Herpetogramma fluctuosalis"
88,2.22044604925031e-16,2.85551941689534e-13,"Cofr","Herpetogramma fluctuosalis"
89,2.22044604925031e-16,2.80134963199371e-13,"Cofr","Herpetogramma fluctuosalis"
90,2.22044604925031e-16,2.74742366180136e-13,"Cofr","Herpetogramma fluctuosalis"
91,2.22044604925031e-16,2.69375340589244e-13,"Cofr","Herpetogramma fluctuosalis"
92,2.22044604925031e-16,2.64035076407576e-13,"Cofr","Herpetogramma fluctuosalis"
93,2.22044604925031e-16,2.587227636154e-13,"Cofr","Herpetogramma fluctuosalis"
94,2.22044604925031e-16,2.53439592165261e-13,"Cofr","Herpetogramma fluctuosalis"
95,2.22044604925031e-16,2.48186751951438e-13,"Cofr","Herpetogramma fluctuosalis"
96,2.22044604925031e-16,2.42965432775528e-13,"Cofr","Herpetogramma fluctuosalis"
97,2.22044604925031e-16,2.37776824307662e-13,"Cofr","Herpetogramma fluctuosalis"
98,2.22044604925031e-16,2.32622116042791e-13,"Cofr","Herpetogramma fluctuosalis"
99,2.22044604925031e-16,2.27502497251399e-13,"Cofr","Herpetogramma fluctuosalis"
100,2.22044604925031e-16,2.22419156923941e-13,"Cofr","Herpetogramma fluctuosalis"
101,2.22044604925031e-16,2.17373283708184e-13,"Cofr","Herpetogramma fluctuosalis"
102,2.22044604925031e-16,2.12366065838547e-13,"Cofr","Herpetogramma fluctuosalis"
103,2.22044604925031e-16,2.07398691056395e-13,"Cofr","Herpetogramma fluctuosalis"
104,2.22044604925031e-16,2.02472346520136e-13,"Cofr","Herpetogramma fluctuosalis"
105,2.22044604925031e-16,1.97588218703778e-13,"Cofr","Herpetogramma fluctuosalis"
106,2.22044604925031e-16,1.92747493282475e-13,"Cofr","Herpetogramma fluctuosalis"
107,2.22044604925031e-16,1.87951355003342e-13,"Cofr","Herpetogramma fluctuosalis"
108,2.22044604925031e-16,1.8320098753965e-13,"Cofr","Herpetogramma fluctuosalis"
109,2.22044604925031e-16,1.78497573326216e-13,"Cofr","Herpetogramma fluctuosalis"
110,2.22044604925031e-16,1.73842293373537e-13,"Cofr","Herpetogramma fluctuosalis"
111,2.22044604925031e-16,1.69236327057888e-13,"Cofr","Herpetogramma fluctuosalis"
112,2.22044604925031e-16,1.64680851884244e-13,"Cofr","Herpetogramma fluctuosalis"
113,2.22044604925031e-16,1.60177043218451e-13,"Cofr","Herpetogramma fluctuosalis"
114,2.22044604925031e-16,1.55726073984634e-13,"Cofr","Herpetogramma fluctuosalis"
115,2.22044604925031e-16,1.51329114323274e-13,"Cofr","Herpetogramma fluctuosalis"
116,2.22044604925031e-16,1.46987331204807e-13,"Cofr","Herpetogramma fluctuosalis"
117,2.22044604925031e-16,1.42701887992934e-13,"Cofr","Herpetogramma fluctuosalis"
118,2.22044604925031e-16,1.38473943951094e-13,"Cofr","Herpetogramma fluctuosalis"
119,2.22044604925031e-16,1.34304653684685e-13,"Cofr","Herpetogramma fluctuosalis"
120,2.22044604925031e-16,1.30195166510763e-13,"Cofr","Herpetogramma fluctuosalis"
121,2.22044604925031e-16,1.26146625745867e-13,"Cofr","Herpetogramma fluctuosalis"
122,2.22044604925031e-16,1.22160167901544e-13,"Cofr","Herpetogramma fluctuosalis"
123,2.22044604925031e-16,1.18236921775925e-13,"Cofr","Herpetogramma fluctuosalis"
124,2.22044604925031e-16,1.1437800742838e-13,"Cofr","Herpetogramma fluctuosalis"
125,2.22044604925031e-16,1.1058453502292e-13,"Cofr","Herpetogramma fluctuosalis"
126,2.22044604925031e-16,1.06857603524519e-13,"Cofr","Herpetogramma fluctuosalis"
127,2.22044604925031e-16,1.03198299231085e-13,"Cofr","Herpetogramma fluctuosalis"
128,2.22044604925031e-16,9.96076941222979e-14,"Cofr","Herpetogramma fluctuosalis"
129,2.22044604925031e-16,9.60868440051779e-14,"Cofr","Herpetogramma fluctuosalis"
130,2.22044604925031e-16,9.26367864350193e-14,"Cofr","Herpetogramma fluctuosalis"
131,2.22044604925031e-16,8.92585383894568e-14,"Cofr","Herpetogramma fluctuosalis"
132,2.22044604925031e-16,8.59530936730394e-14,"Cofr","Herpetogramma fluctuosalis"
133,2.22044604925031e-16,8.2721420030053e-14,"Cofr","Herpetogramma fluctuosalis"
134,2.22044604925031e-16,7.95644559447669e-14,"Cofr","Herpetogramma fluctuosalis"
135,2.22044604925031e-16,7.64831071112009e-14,"Cofr","Herpetogramma fluctuosalis"
136,2.22044604925031e-16,7.34782425594586e-14,"Cofr","Herpetogramma fluctuosalis"
137,2.22044604925031e-16,7.05506904333289e-14,"Cofr","Herpetogramma fluctuosalis"
138,2.22044604925031e-16,6.77012334250699e-14,"Cofr","Herpetogramma fluctuosalis"
139,2.22044604925031e-16,6.49306038891073e-14,"Cofr","Herpetogramma fluctuosalis"
140,2.22044604925031e-16,6.22394578690078e-14,"Cofr","Herpetogramma fluctuosalis"
141,2.22044604925031e-16,5.96275894486541e-14,"Cofr","Herpetogramma fluctuosalis"
142,2.22044604925031e-16,5.70937246113547e-14,"Cofr","Herpetogramma fluctuosalis"
143,2.22044604925031e-16,5.46365214319889e-14,"Cofr","Herpetogramma fluctuosalis"
144,2.22044604925031e-16,5.22546411827896e-14,"Cofr","Herpetogramma fluctuosalis"
145,2.22044604925031e-16,4.99467486350235e-14,"Cofr","Herpetogramma fluctuosalis"
146,2.22044604925031e-16,4.77115123876456e-14,"Cofr","Herpetogramma fluctuosalis"
147,2.22044604925031e-16,4.55476052252555e-14,"Cofr","Herpetogramma fluctuosalis"
148,2.22044604925031e-16,4.34537045078749e-14,"Cofr","Herpetogramma fluctuosalis"
149,2.22044604925031e-16,4.14284925952671e-14,"Cofr","Herpetogramma fluctuosalis"
150,2.22044604925031e-16,3.94706573087259e-14,"Cofr","Herpetogramma fluctuosalis"
151,2.22044604925031e-16,3.75788924334939e-14,"Cofr","Herpetogramma fluctuosalis"
152,2.22044604925031e-16,3.57518982651965e-14,"Cofr","Herpetogramma fluctuosalis"
153,2.22044604925031e-16,3.3988382203925e-14,"Cofr","Herpetogramma fluctuosalis"
154,2.22044604925031e-16,3.22870593998477e-14,"Cofr","Herpetogramma fluctuosalis"
155,2.22044604925031e-16,3.06466534544722e-14,"Cofr","Herpetogramma fluctuosalis"
156,2.22044604925031e-16,2.90658971819227e-14,"Cofr","Herpetogramma fluctuosalis"
157,2.22044604925031e-16,2.75435334348103e-14,"Cofr","Herpetogramma fluctuosalis"
158,2.22044604925031e-16,2.60783159994497e-14,"Cofr","Herpetogramma fluctuosalis"
159,2.22044604925031e-16,2.46690105652957e-14,"Cofr","Herpetogramma fluctuosalis"
160,2.22044604925031e-16,2.33143957734813e-14,"Cofr","Herpetogramma fluctuosalis"
161,2.22044604925031e-16,2.20132643492014e-14,"Cofr","Herpetogramma fluctuosalis"
162,2.22044604925031e-16,2.07644243223249e-14,"Cofr","Herpetogramma fluctuosalis"
163,2.22044604925031e-16,1.95667003399167e-14,"Cofr","Herpetogramma fluctuosalis"
164,2.22044604925031e-16,1.84189350731781e-14,"Cofr","Herpetogramma fluctuosalis"
165,2.22044604925031e-16,1.73199907194549e-14,"Cofr","Herpetogramma fluctuosalis"
166,2.22044604925031e-16,1.62687505971074e-14,"Cofr","Herpetogramma fluctuosalis"
167,2.22044604925031e-16,1.52641208268193e-14,"Cofr","Herpetogramma fluctuosalis"
168,2.22044604925031e-16,1.43050320867297e-14,"Cofr","Herpetogramma fluctuosalis"
169,2.22044604925031e-16,1.33904414198535e-14,"Cofr","Herpetogramma fluctuosalis"
170,2.22044604925031e-16,1.25193340595545e-14,"Cofr","Herpetogramma fluctuosalis"
171,2.22044604925031e-16,1.16907252208822e-14,"Cofr","Herpetogramma fluctuosalis"
172,7.48786528397982e-16,3.67697069434498e-14,"Cofr","Herpetogramma fluctuosalis"
173,8.26867374231946e-15,3.78242782383921e-13,"Cofr","Herpetogramma fluctuosalis"
174,8.59406833960277e-14,3.65775426162302e-12,"Cofr","Herpetogramma fluctuosalis"
175,8.39227033115297e-13,3.31946459538647e-11,"Cofr","Herpetogramma fluctuosalis"
176,7.68617813025675e-12,2.82219111714108e-10,"Cofr","Herpetogramma fluctuosalis"
177,6.59059078321453e-11,2.24406837306866e-09,"Cofr","Herpetogramma fluctuosalis"
178,5.28145729076141e-10,1.66608516240674e-08,"Cofr","Herpetogramma fluctuosalis"
179,3.94849256436035e-09,1.15309864664884e-07,"Cofr","Herpetogramma fluctuosalis"
180,2.74909410508117e-08,7.42779740278747e-07,"Cofr","Herpetogramma fluctuosalis"
181,1.77934933843622e-07,4.44648005217499e-06,"Cofr","Herpetogramma fluctuosalis"
182,1.06875650538816e-06,2.47000676707186e-05,"Cofr","Herpetogramma fluctuosalis"
183,5.94668397757554e-06,0.000127143322112165,"Cofr","Herpetogramma fluctuosalis"
184,3.05972284424193e-05,0.000605640483847991,"Cofr","Herpetogramma fluctuosalis"
185,0.000145322567579487,0.0026662104933168,"Cofr","Herpetogramma fluctuosalis"
186,0.00063600478442064,0.0108336798694448,"Cofr","Herpetogramma fluctuosalis"
187,0.00256033417191247,0.0405790390159015,"Cofr","Herpetogramma fluctuosalis"
188,0.00946399441033656,0.139924579875172,"Cofr","Herpetogramma fluctuosalis"
189,0.0320646462512824,0.443540246090046,"Cofr","Herpetogramma fluctuosalis"
190,0.0993997264248565,1.29042622018579,"Cofr","Herpetogramma fluctuosalis"
191,0.281438356706867,3.43969932004277,"Cofr","Herpetogramma fluctuosalis"
192,0.726529657911237,8.38330241999485,"Cofr","Herpetogramma fluctuosalis"
