"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.4465353201436e-13,"Cofr","Hypagyrtis unipunctata"
70,2.22044604925031e-16,1.42336930655217e-13,"Cofr","Hypagyrtis unipunctata"
71,2.22044604925031e-16,1.40021231194814e-13,"Cofr","Hypagyrtis unipunctata"
72,2.22044604925031e-16,1.37707011465197e-13,"Cofr","Hypagyrtis unipunctata"
73,2.22044604925031e-16,1.35394849484908e-13,"Cofr","Hypagyrtis unipunctata"
74,2.22044604925031e-16,1.33085323461199e-13,"Cofr","Hypagyrtis unipunctata"
75,2.22044604925031e-16,1.30779011792439e-13,"Cofr","Hypagyrtis unipunctata"
76,2.22044604925031e-16,1.28476493070738e-13,"Cofr","Hypagyrtis unipunctata"
77,2.22044604925031e-16,1.2617834608475e-13,"Cofr","Hypagyrtis unipunctata"
78,2.22044604925031e-16,1.23885149822668e-13,"Cofr","Hypagyrtis unipunctata"
79,2.22044604925031e-16,1.21597483475393e-13,"Cofr","Hypagyrtis unipunctata"
80,2.22044604925031e-16,1.19315926439866e-13,"Cofr","Hypagyrtis unipunctata"
81,2.22044604925031e-16,1.1704105832254e-13,"Cofr","Hypagyrtis unipunctata"
82,2.22044604925031e-16,1.14773458942979e-13,"Cofr","Hypagyrtis unipunctata"
83,2.22044604925031e-16,1.12513708337562e-13,"Cofr","Hypagyrtis unipunctata"
84,2.22044604925031e-16,1.10262386763252e-13,"Cofr","Hypagyrtis unipunctata"
85,2.22044604925031e-16,1.08020074701395e-13,"Cofr","Hypagyrtis unipunctata"
86,2.22044604925031e-16,1.05787352861519e-13,"Cofr","Hypagyrtis unipunctata"
87,2.22044604925031e-16,1.03564802185067e-13,"Cofr","Hypagyrtis unipunctata"
88,2.22044604925031e-16,1.01353003848993e-13,"Cofr","Hypagyrtis unipunctata"
89,2.22044604925031e-16,9.91525392691761e-14,"Cofr","Hypagyrtis unipunctata"
90,2.22044604925031e-16,9.696399010353e-14,"Cofr","Hypagyrtis unipunctata"
91,2.22044604925031e-16,9.4787938254719e-14,"Cofr","Hypagyrtis unipunctata"
92,2.22044604925031e-16,9.26249658723514e-14,"Cofr","Hypagyrtis unipunctata"
93,2.22044604925031e-16,9.04756553544966e-14,"Cofr","Hypagyrtis unipunctata"
94,2.22044604925031e-16,8.83405893483515e-14,"Cofr","Hypagyrtis unipunctata"
95,2.22044604925031e-16,8.62203507498425e-14,"Cofr","Hypagyrtis unipunctata"
96,2.22044604925031e-16,8.4115522701917e-14,"Cofr","Hypagyrtis unipunctata"
97,2.22044604925031e-16,8.20266885912274e-14,"Cofr","Hypagyrtis unipunctata"
98,2.22044604925031e-16,7.99544320428633e-14,"Cofr","Hypagyrtis unipunctata"
99,2.22044604925031e-16,7.78993369127189e-14,"Cofr","Hypagyrtis unipunctata"
100,2.22044604925031e-16,7.58619872770132e-14,"Cofr","Hypagyrtis unipunctata"
101,2.22044604925031e-16,7.38429674183911e-14,"Cofr","Hypagyrtis unipunctata"
102,2.22044604925031e-16,7.18428618079318e-14,"Cofr","Hypagyrtis unipunctata"
103,2.22044604925031e-16,6.98622550822684e-14,"Cofr","Hypagyrtis unipunctata"
104,2.22044604925031e-16,6.7901732014882e-14,"Cofr","Hypagyrtis unipunctata"
105,2.22044604925031e-16,6.59618774804607e-14,"Cofr","Hypagyrtis unipunctata"
106,2.22044604925031e-16,6.40432764110179e-14,"Cofr","Hypagyrtis unipunctata"
107,2.22044604925031e-16,6.21465137422278e-14,"Cofr","Hypagyrtis unipunctata"
108,2.22044604925031e-16,6.02721743481547e-14,"Cofr","Hypagyrtis unipunctata"
109,2.22044604925031e-16,5.8420842962228e-14,"Cofr","Hypagyrtis unipunctata"
110,2.22044604925031e-16,5.65931040819211e-14,"Cofr","Hypagyrtis unipunctata"
111,2.22044604925031e-16,5.47895418541365e-14,"Cofr","Hypagyrtis unipunctata"
112,2.22044604925031e-16,5.30107399377529e-14,"Cofr","Hypagyrtis unipunctata"
113,2.22044604925031e-16,5.12572813391505e-14,"Cofr","Hypagyrtis unipunctata"
114,2.22044604925031e-16,4.9529748215773e-14,"Cofr","Hypagyrtis unipunctata"
115,2.22044604925031e-16,4.78287216418902e-14,"Cofr","Hypagyrtis unipunctata"
116,2.22044604925031e-16,4.61547813296753e-14,"Cofr","Hypagyrtis unipunctata"
117,2.22044604925031e-16,4.45085052974713e-14,"Cofr","Hypagyrtis unipunctata"
118,2.22044604925031e-16,4.28904694756728e-14,"Cofr","Hypagyrtis unipunctata"
119,2.22044604925031e-16,4.13012472389437e-14,"Cofr","Hypagyrtis unipunctata"
120,2.22044604925031e-16,3.97414088515158e-14,"Cofr","Hypagyrtis unipunctata"
121,2.22044604925031e-16,3.8211520810002e-14,"Cofr","Hypagyrtis unipunctata"
122,2.22044604925031e-16,3.67121450655021e-14,"Cofr","Hypagyrtis unipunctata"
123,2.22044604925031e-16,3.5243838103714e-14,"Cofr","Hypagyrtis unipunctata"
124,2.22044604925031e-16,3.38071498582911e-14,"Cofr","Hypagyrtis unipunctata"
125,2.22044604925031e-16,3.2402622428758e-14,"Cofr","Hypagyrtis unipunctata"
126,2.22044604925031e-16,3.10307885699487e-14,"Cofr","Hypagyrtis unipunctata"
127,2.22044604925031e-16,2.96921699151873e-14,"Cofr","Hypagyrtis unipunctata"
128,2.22044604925031e-16,2.83872748903878e-14,"Cofr","Hypagyrtis unipunctata"
129,2.22044604925031e-16,2.71165962711041e-14,"Cofr","Hypagyrtis unipunctata"
130,2.22044604925031e-16,2.5880608329578e-14,"Cofr","Hypagyrtis unipunctata"
131,2.22044604925031e-16,2.46797635145001e-14,"Cofr","Hypagyrtis unipunctata"
132,2.22044604925031e-16,2.35144886031689e-14,"Cofr","Hypagyrtis unipunctata"
133,2.22044604925031e-16,2.23851802650047e-14,"Cofr","Hypagyrtis unipunctata"
134,2.22044604925031e-16,2.1292199978302e-14,"Cofr","Hypagyrtis unipunctata"
135,2.22044604925031e-16,2.02358682505447e-14,"Cofr","Hypagyrtis unipunctata"
136,2.22044604925031e-16,1.92164581090355e-14,"Cofr","Hypagyrtis unipunctata"
137,2.22044604925031e-16,1.82341878561528e-14,"Cofr","Hypagyrtis unipunctata"
138,2.22044604925031e-16,1.72892131262345e-14,"Cofr","Hypagyrtis unipunctata"
139,2.22044604925031e-16,1.6381618343647e-14,"Cofr","Hypagyrtis unipunctata"
140,2.22044604925031e-16,1.55113981028493e-14,"Cofr","Hypagyrtis unipunctata"
141,2.22044604925031e-16,1.46780935003197e-14,"Cofr","Hypagyrtis unipunctata"
142,2.22044604925031e-16,1.38807315181015e-14,"Cofr","Hypagyrtis unipunctata"
143,2.22044604925031e-16,1.3118309326193e-14,"Cofr","Hypagyrtis unipunctata"
144,2.22044604925031e-16,1.23898285199613e-14,"Cofr","Hypagyrtis unipunctata"
145,2.22044604925031e-16,1.16942959599047e-14,"Cofr","Hypagyrtis unipunctata"
146,2.22044604925031e-16,1.10307247215532e-14,"Cofr","Hypagyrtis unipunctata"
147,2.22044604925031e-16,1.03981351646855e-14,"Cofr","Hypagyrtis unipunctata"
148,2.22044604925031e-16,9.79555613071709e-15,"Cofr","Hypagyrtis unipunctata"
149,2.32226476018856e-16,9.64490294489898e-15,"Cofr","Hypagyrtis unipunctata"
150,1.92348292030702e-15,7.51618502754809e-14,"Cofr","Hypagyrtis unipunctata"
151,1.48006586690728e-14,5.43803397910389e-13,"Cofr","Hypagyrtis unipunctata"
152,1.05824216183935e-13,3.65368004141766e-12,"Cofr","Hypagyrtis unipunctata"
153,7.03227083613966e-13,2.28015236284256e-11,"Cofr","Hypagyrtis unipunctata"
