"doy","fit","se","Site","validName"
69,0.168195158998846,0.258403975566661,"Cofr","Hypoprepia fucosa"
70,0.159500904742908,0.245312228086761,"Cofr","Hypoprepia fucosa"
71,0.151256069160582,0.233046740384641,"Cofr","Hypoprepia fucosa"
72,0.143437421082733,0.221547808451407,"Cofr","Hypoprepia fucosa"
73,0.136022930203153,0.210759917480155,"Cofr","Hypoprepia fucosa"
74,0.128991705003178,0.200631495674015,"Cofr","Hypoprepia fucosa"
75,0.122323933885149,0.191114679403981,"Cofr","Hypoprepia fucosa"
76,0.116000829348857,0.182165088913526,"Cofr","Hypoprepia fucosa"
77,0.110004575053662,0.173741613909535,"Cofr","Hypoprepia fucosa"
78,0.104318275617129,0.165806208509705,"Cofr","Hypoprepia fucosa"
79,0.0989259090086923,0.158323695132308,"Cofr","Hypoprepia fucosa"
80,0.0938122814042407,0.151261577013008,"Cofr","Hypoprepia fucosa"
81,0.0889629843743738,0.144589859114071,"Cofr","Hypoprepia fucosa"
82,0.0843643542857201,0.138280877253544,"Cofr","Hypoprepia fucosa"
83,0.0800034338009004,0.132309135326268,"Cofr","Hypoprepia fucosa"
84,0.0758679353686613,0.126651150516333,"Cofr","Hypoprepia fucosa"
85,0.0719462066012916,0.121285306413471,"Cofr","Hypoprepia fucosa"
86,0.0682271974417704,0.116191713946267,"Cofr","Hypoprepia fucosa"
87,0.0647004290281231,0.11135208003526,"Cofr","Hypoprepia fucosa"
88,0.061355964167256,0.106749583851654,"Cofr","Hypoprepia fucosa"
89,0.0581843793350665,0.102368760544715,"Cofr","Hypoprepia fucosa"
90,0.0551767381239362,0.0981953922753539,"Cofr","Hypoprepia fucosa"
91,0.0523245660627842,0.0942164063667251,"Cofr","Hypoprepia fucosa"
92,0.0496198267387265,0.0904197803565885,"Cofr","Hypoprepia fucosa"
93,0.0470548991530652,0.0867944537119931,"Cofr","Hypoprepia fucosa"
94,0.0446225562477932,0.083330245945439,"Cofr","Hypoprepia fucosa"
95,0.0423159445421131,0.0800177808537864,"Cofr","Hypoprepia fucosa"
96,0.0401285648215877,0.0768484165871163,"Cofr","Hypoprepia fucosa"
97,0.0380542538255085,0.0738141812446923,"Cofr","Hypoprepia fucosa"
98,0.0360871668808846,0.0709077136890415,"Cofr","Hypoprepia fucosa"
99,0.0342217614341153,0.068122209266781,"Cofr","Hypoprepia fucosa"
100,0.0324527814339434,0.0654513701258675,"Cofr","Hypoprepia fucosa"
101,0.0307752425216878,0.0628893598230457,"Cofr","Hypoprepia fucosa"
102,0.0291844179870185,0.0604307619220138,"Cofr","Hypoprepia fucosa"
103,0.0276758254497087,0.0580705422918004,"Cofr","Hypoprepia fucosa"
104,0.0262452142298304,0.0558040148255869,"Cofr","Hypoprepia fucosa"
105,0.0248885533708098,0.0536268103123697,"Cofr","Hypoprepia fucosa"
106,0.0236020202815923,0.0515348482070198,"Cofr","Hypoprepia fucosa"
107,0.0223819899659164,0.0495243110581525,"Cofr","Hypoprepia fucosa"
108,0.0212250248083447,0.047591621367462,"Cofr","Hypoprepia fucosa"
109,0.0201278648882744,0.0457334206685594,"Cofr","Hypoprepia fucosa"
110,0.0190874187946325,0.0439465506276538,"Cofr","Hypoprepia fucosa"
111,0.0181007549153769,0.0422280359824728,"Cofr","Hypoprepia fucosa"
112,0.0171650931772571,0.0405750691494741,"Cofr","Hypoprepia fucosa"
113,0.016277797212561,0.0389849963425636,"Cofr","Hypoprepia fucosa"
114,0.0154363669307758,0.0374553050591094,"Cofr","Hypoprepia fucosa"
115,0.0146384314742319,0.0359836128009815,"Cofr","Hypoprepia fucosa"
116,0.0138817425378813,0.0345676569096073,"Cofr","Hypoprepia fucosa"
117,0.0131641680343869,0.0332052854046054,"Cofr","Hypoprepia fucosa"
118,0.0124836860866738,0.0318944487254285,"Cofr","Hypoprepia fucosa"
119,0.0118383793310152,0.0306331922846225,"Cofr","Hypoprepia fucosa"
120,0.0112264295145997,0.0294196497498127,"Cofr","Hypoprepia fucosa"
121,0.0106461123723596,0.0282520369793686,"Cofr","Hypoprepia fucosa"
122,0.0100957927686232,0.0271286465439211,"Cofr","Hypoprepia fucosa"
123,0.00957392008990242,0.0260478427725248,"Cofr","Hypoprepia fucosa"
124,0.00907902387583369,0.0250080572683139,"Cofr","Hypoprepia fucosa"
125,0.0086097096759622,0.0240077848440327,"Cofr","Hypoprepia fucosa"
126,0.00816465512069485,0.0230455798328529,"Cofr","Hypoprepia fucosa"
127,0.00774260619535097,0.0221200527344627,"Cofr","Hypoprepia fucosa"
128,0.00734237370681287,0.0212298671605669,"Cofr","Hypoprepia fucosa"
129,0.00696282993281979,0.020373737047687,"Cofr","Hypoprepia fucosa"
130,0.00660290544446468,0.0195504241085478,"Cofr","Hypoprepia fucosa"
131,0.00626158609294023,0.0187587354964014,"Cofr","Hypoprepia fucosa"
132,0.00593791015204401,0.017997521659396,"Cofr","Hypoprepia fucosa"
133,0.00563096560839152,0.0172656743645835,"Cofr","Hypoprepia fucosa"
134,0.00533988759170136,0.0165621248733892,"Cofr","Hypoprepia fucosa"
135,0.00506385593791245,0.01588584225237,"Cofr","Hypoprepia fucosa"
136,0.0048020928782667,0.0152358318048839,"Cofr","Hypoprepia fucosa"
137,0.00455386084784615,0.0146111336108982,"Cofr","Hypoprepia fucosa"
138,0.0043184604073893,0.0140108211636028,"Cofr","Hypoprepia fucosa"
139,0.00409522827253145,0.0134340000927769,"Cofr","Hypoprepia fucosa"
140,0.00388353544495551,0.0128798069661351,"Cofr","Hypoprepia fucosa"
141,0.00368278544151464,0.0123474081651221,"Cofr","Hypoprepia fucosa"
142,0.00349241261359774,0.0118359988190135,"Cofr","Hypoprepia fucosa"
143,0.00331188055132532,0.0113448017891986,"Cofr","Hypoprepia fucosa"
144,0.00314068057208518,0.0108730667114133,"Cofr","Hypoprepia fucosa"
145,0.00297833028732584,0.0104200690849703,"Cofr","Hypoprepia fucosa"
146,0.00282437224343011,0.00998510940427289,"Cofr","Hypoprepia fucosa"
147,0.00267837263283952,0.00956751232886808,"Cofr","Hypoprepia fucosa"
148,0.00253992007179858,0.0091666258887371,"Cofr","Hypoprepia fucosa"
149,0.00240862444127569,0.00878182072191389,"Cofr","Hypoprepia fucosa"
150,0.00228411578779506,0.00841248934186559,"Cofr","Hypoprepia fucosa"
151,0.00216604328108312,0.0080580454323745,"Cofr","Hypoprepia fucosa"
152,0.00205407422559278,0.00771792316792854,"Cofr","Hypoprepia fucosa"
153,0.00194789312312079,0.00739157655786271,"Cofr","Hypoprepia fucosa"
154,0.00184720078387727,0.00707847881270108,"Cofr","Hypoprepia fucosa"
155,0.00175171348350308,0.00677812173132961,"Cofr","Hypoprepia fucosa"
156,0.00166116216366004,0.00649001510778952,"Cofr","Hypoprepia fucosa"
157,0.00157529167394194,0.00621368615661958,"Cofr","Hypoprepia fucosa"
158,0.00149386005297035,0.00594867895579614,"Cofr","Hypoprepia fucosa"
159,0.0014166378466501,0.0056945539064267,"Cofr","Hypoprepia fucosa"
160,0.00134340746166353,0.00545088720844318,"Cofr","Hypoprepia fucosa"
161,0.0012739625523822,0.0052172703516222,"Cofr","Hypoprepia fucosa"
162,0.00120810743946871,0.00499330962132758,"Cofr","Hypoprepia fucosa"
163,0.00114565655853064,0.00477862561843164,"Cofr","Hypoprepia fucosa"
164,0.00108643393727336,0.00457285279292185,"Cofr","Hypoprepia fucosa"
165,0.00103027269967846,0.00437563899074568,"Cofr","Hypoprepia fucosa"
166,0.000977014595811137,0.00418664501348356,"Cofr","Hypoprepia fucosa"
167,0.000926509555931529,0.00400554419047343,"Cofr","Hypoprepia fucosa"
168,0.000878615267654065,0.00383202196303844,"Cofr","Hypoprepia fucosa"
169,0.000833196774963279,0.00366577548049342,"Cofr","Hypoprepia fucosa"
170,0.000790126097956473,0.00350651320762642,"Cofr","Hypoprepia fucosa"
171,0.000749281872241824,0.00335395454336892,"Cofr","Hypoprepia fucosa"
172,0.000710549006976039,0.00320782945038375,"Cofr","Hypoprepia fucosa"
173,0.000673818360578033,0.00306787809531179,"Cofr","Hypoprepia fucosa"
174,0.000638986433205001,0.00293385049942976,"Cofr","Hypoprepia fucosa"
175,0.00060595507512447,0.00280550619948033,"Cofr","Hypoprepia fucosa"
176,0.000574631210160648,0.00268261391844365,"Cofr","Hypoprepia fucosa"
177,0.00054492657343592,0.00256495124602589,"Cofr","Hypoprepia fucosa"
178,0.00051675746266858,0.00245230432864619,"Cofr","Hypoprepia fucosa"
179,0.000490044502326066,0.00234446756870801,"Cofr","Hypoprepia fucosa"
180,0.000464712419969251,0.00224124333294549,"Cofr","Hypoprepia fucosa"
181,0.000440689834157581,0.00214244166963854,"Cofr","Hypoprepia fucosa"
182,0.000417909053317545,0.00204788003449409,"Cofr","Hypoprepia fucosa"
183,0.000396305885007745,0.00195738302499365,"Cofr","Hypoprepia fucosa"
184,0.000375819455043187,0.00187078212300976,"Cofr","Hypoprepia fucosa"
185,0.000356392035969185,0.00178791544549685,"Cofr","Hypoprepia fucosa"
186,0.000337968884401559,0.00170862750306375,"Cofr","Hypoprepia fucosa"
187,0.00032049808677489,0.0016327689662378,"Cofr","Hypoprepia fucosa"
188,0.000303930413064155,0.00156019643923237,"Cofr","Hypoprepia fucosa"
189,0.00028821917806765,0.00149077224103171,"Cofr","Hypoprepia fucosa"
190,0.000273320109860341,0.00142436419360953,"Cofr","Hypoprepia fucosa"
191,0.000259191225046981,0.00136084541709931,"Cofr","Hypoprepia fucosa"
192,0.000245792710463558,0.00130009413173707,"Cofr","Hypoprepia fucosa"
193,0.000233086810993714,0.00124199346639907,"Cofr","Hypoprepia fucosa"
194,0.000221037723184079,0.00118643127355969,"Cofr","Hypoprepia fucosa"
195,0.00020961149435876,0.00113329995049655,"Cofr","Hypoprepia fucosa"
196,0.000198775926948738,0.00108249626657283,"Cofr","Hypoprepia fucosa"
197,0.000188500487766609,0.00103392119642892,"Cofr","Hypoprepia fucosa"
198,0.000178756221971035,0.00098747975891804,"Cofr","Hypoprepia fucosa"
199,0.000169515671478511,0.000943080861623455,"Cofr","Hypoprepia fucosa"
200,0.000160752797592543,0.000900637150797014,"Cofr","Hypoprepia fucosa"
201,0.000152442907632245,0.000860064866561968,"Cofr","Hypoprepia fucosa"
202,0.000144562585353624,0.000821283703225434,"Cofr","Hypoprepia fucosa"
203,0.000137089624967508,0.000784216674548973,"Cofr","Hypoprepia fucosa"
204,0.000130002968568187,0.000748789983828353,"Cofr","Hypoprepia fucosa"
205,0.000123282646796496,0.000714932898636733,"Cofr","Hypoprepia fucosa"
206,0.000116909722570109,0.000682577630088223,"Cofr","Hypoprepia fucosa"
207,0.000110866237722535,0.000651659216481882,"Cofr","Hypoprepia fucosa"
208,0.000105135162400435,0.000622115411189127,"Cofr","Hypoprepia fucosa"
209,9.97003470766918e-05,0.000593886574650593,"Cofr","Hypoprepia fucosa"
210,9.45464770440203e-05,0.000566915570351393,"Cofr","Hypoprepia fucosa"
211,8.96590292608921e-05,0.000541147664646887,"Cofr","Hypoprepia fucosa"
212,8.50242314281861e-05,0.000516530430313961,"Cofr","Hypoprepia fucosa"
213,8.06290231812513e-05,0.000493013653705901,"Cofr","Hypoprepia fucosa"
214,7.64610192880339e-05,0.00047054924539192,"Cofr","Hypoprepia fucosa"
215,7.25084747495772e-05,0.000449091154165432,"Cofr","Hypoprepia fucosa"
216,6.87602517045496e-05,0.000428595284308062,"Cofr","Hypoprepia fucosa"
217,6.52057880445579e-05,0.000409019415999429,"Cofr","Hypoprepia fucosa"
218,6.18350676518024e-05,0.000390323128765564,"Cofr","Hypoprepia fucosa"
219,5.86385921752202e-05,0.000372467727861808,"Cofr","Hypoprepia fucosa"
220,5.56073542655865e-05,0.000355416173488855,"Cofr","Hypoprepia fucosa"
