"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.91732944430336e-14,"Cofr","Iridopsis vellivolata"
70,2.22044604925031e-16,1.83883039373162e-14,"Cofr","Iridopsis vellivolata"
71,2.22044604925031e-16,1.76043115425453e-14,"Cofr","Iridopsis vellivolata"
72,4.26131814488423e-16,3.22840844222891e-14,"Cofr","Iridopsis vellivolata"
73,2.08924681268057e-15,1.50952144790042e-13,"Cofr","Iridopsis vellivolata"
74,1.01572093169935e-14,6.98415243346906e-13,"Cofr","Iridopsis vellivolata"
75,4.88632824446423e-14,3.19032855529802e-12,"Cofr","Iridopsis vellivolata"
76,2.32112842968942e-13,1.43555741686952e-11,"Cofr","Iridopsis vellivolata"
77,1.08644743266332e-12,6.34857989985373e-11,"Cofr","Iridopsis vellivolata"
78,5.00029924049288e-12,2.75296427330487e-10,"Cofr","Iridopsis vellivolata"
79,2.25811324959046e-11,1.16782397796539e-09,"Cofr","Iridopsis vellivolata"
80,9.98487438339305e-11,4.83478608569929e-09,"Cofr","Iridopsis vellivolata"
81,4.31391288837051e-10,1.94873501467955e-08,"Cofr","Iridopsis vellivolata"
82,1.81725859641236e-09,7.62842790840518e-08,"Cofr","Iridopsis vellivolata"
83,7.44840708246371e-09,2.89286814097866e-07,"Cofr","Iridopsis vellivolata"
84,2.96412220446805e-08,1.05999829968697e-06,"Cofr","Iridopsis vellivolata"
85,1.14287714843958e-07,3.74278241433013e-06,"Cofr","Iridopsis vellivolata"
86,4.26047924600058e-07,1.26991151224579e-05,"Cofr","Iridopsis vellivolata"
87,1.53234845805347e-06,4.12808803469438e-05,"Cofr","Iridopsis vellivolata"
88,5.3061742805692e-06,0.000128155185177979,"Cofr","Iridopsis vellivolata"
89,1.76528606942568e-05,0.000378639522798642,"Cofr","Iridopsis vellivolata"
90,5.63044866725759e-05,0.00106056496437995,"Cofr","Iridopsis vellivolata"
91,0.000171810600007566,0.00280379563407554,"Cofr","Iridopsis vellivolata"
92,0.000500519110079939,0.00695949272987686,"Cofr","Iridopsis vellivolata"
93,0.00138912026590517,0.0161151829637996,"Cofr","Iridopsis vellivolata"
94,0.00366515395134737,0.0345263464800369,"Cofr","Iridopsis vellivolata"
95,0.00917407956999014,0.0677124876833208,"Cofr","Iridopsis vellivolata"
96,0.0217387919860763,0.119980878663415,"Cofr","Iridopsis vellivolata"
97,0.0486626382599041,0.190740977871649,"Cofr","Iridopsis vellivolata"
98,0.102689951827885,0.288029521712525,"Cofr","Iridopsis vellivolata"
99,0.203852959869062,0.526871288468055,"Cofr","Iridopsis vellivolata"
100,0.37988100773604,1.23358430758902,"Cofr","Iridopsis vellivolata"
101,0.663138657548162,2.83295259350374,"Cofr","Iridopsis vellivolata"
102,1.0821115460725,5.79121875547132,"Cofr","Iridopsis vellivolata"
103,1.64715835410341,10.4995936049496,"Cofr","Iridopsis vellivolata"
104,2.3338827224858,17.0258752195055,"Cofr","Iridopsis vellivolata"
105,3.07176349104511,24.8578878354419,"Cofr","Iridopsis vellivolata"
106,3.747540246892,32.8058156375503,"Cofr","Iridopsis vellivolata"
107,4.22901610674249,39.2107595443942,"Cofr","Iridopsis vellivolata"
108,4.40505759685712,42.4667681912201,"Cofr","Iridopsis vellivolata"
109,4.22637256069802,41.6547305300111,"Cofr","Iridopsis vellivolata"
110,3.72711347962691,36.9571765403991,"Cofr","Iridopsis vellivolata"
111,3.01474664928216,29.6026876733819,"Cofr","Iridopsis vellivolata"
112,2.2319636118782,21.3555818247989,"Cofr","Iridopsis vellivolata"
113,1.50926742496053,13.8357301019156,"Cofr","Iridopsis vellivolata"
114,0.930192435564523,8.02531209475949,"Cofr","Iridopsis vellivolata"
115,0.521424748964445,4.15601096005963,"Cofr","Iridopsis vellivolata"
116,0.26528178230544,1.91957574761145,"Cofr","Iridopsis vellivolata"
117,0.122237617800659,0.794459108297835,"Cofr","Iridopsis vellivolata"
118,0.0509059691400502,0.300194941507774,"Cofr","Iridopsis vellivolata"
119,0.0191198129683896,0.107940023115763,"Cofr","Iridopsis vellivolata"
120,0.00646300338275189,0.0386498000245261,"Cofr","Iridopsis vellivolata"
121,0.00196203006017577,0.0137377417600838,"Cofr","Iridopsis vellivolata"
122,0.000533804434049678,0.00461047848055508,"Cofr","Iridopsis vellivolata"
123,0.000129881907913526,0.00139766570081728,"Cofr","Iridopsis vellivolata"
124,2.82026437300247e-05,0.000374523511298559,"Cofr","Iridopsis vellivolata"
125,5.45368912060806e-06,8.80042364804588e-05,"Cofr","Iridopsis vellivolata"
126,9.37205969740354e-07,1.8088339277066e-05,"Cofr","Iridopsis vellivolata"
127,1.42826417274116e-07,3.24980150742996e-06,"Cofr","Iridopsis vellivolata"
128,1.92617429261122e-08,5.10192128539003e-07,"Cofr","Iridopsis vellivolata"
129,2.29393381106216e-09,6.99592857173179e-08,"Cofr","Iridopsis vellivolata"
130,2.40740500766138e-10,8.37359982129878e-09,"Cofr","Iridopsis vellivolata"
131,2.22169853852019e-11,8.74087472615125e-10,"Cofr","Iridopsis vellivolata"
132,1.79917541593962e-12,7.94887131624113e-11,"Cofr","Iridopsis vellivolata"
133,1.2758482214376e-13,6.28958209754829e-12,"Cofr","Iridopsis vellivolata"
134,7.90580974106836e-15,4.32415354849462e-13,"Cofr","Iridopsis vellivolata"
135,4.27169525641881e-16,2.57923799487778e-14,"Cofr","Iridopsis vellivolata"
136,2.22044604925031e-16,1.47331470654999e-14,"Cofr","Iridopsis vellivolata"
137,2.22044604925031e-16,1.61241976303925e-14,"Cofr","Iridopsis vellivolata"
138,2.22044604925031e-16,1.75809824558135e-14,"Cofr","Iridopsis vellivolata"
