"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.76645480594377e-14,"Cofr","Malacosoma americana"
70,2.22044604925031e-16,1.7671746101052e-14,"Cofr","Malacosoma americana"
71,2.22044604925031e-16,1.76789770376576e-14,"Cofr","Malacosoma americana"
72,2.22044604925031e-16,1.76862408288851e-14,"Cofr","Malacosoma americana"
73,2.22044604925031e-16,1.76935374342474e-14,"Cofr","Malacosoma americana"
74,2.22044604925031e-16,1.77008668131411e-14,"Cofr","Malacosoma americana"
75,2.22044604925031e-16,1.77082289248471e-14,"Cofr","Malacosoma americana"
76,2.22044604925031e-16,1.77156237285322e-14,"Cofr","Malacosoma americana"
77,2.22044604925031e-16,1.77230511832495e-14,"Cofr","Malacosoma americana"
78,2.22044604925031e-16,1.77305112479396e-14,"Cofr","Malacosoma americana"
79,2.22044604925031e-16,1.77380038814317e-14,"Cofr","Malacosoma americana"
80,2.22044604925031e-16,1.77455290424444e-14,"Cofr","Malacosoma americana"
81,2.22044604925031e-16,1.77530866895869e-14,"Cofr","Malacosoma americana"
82,2.22044604925031e-16,1.77606767813599e-14,"Cofr","Malacosoma americana"
83,2.22044604925031e-16,1.77682992761565e-14,"Cofr","Malacosoma americana"
84,2.22044604925031e-16,1.77759541322634e-14,"Cofr","Malacosoma americana"
85,2.22044604925031e-16,1.77836413078616e-14,"Cofr","Malacosoma americana"
86,2.22044604925031e-16,1.77913607610276e-14,"Cofr","Malacosoma americana"
87,2.22044604925031e-16,1.77991124497345e-14,"Cofr","Malacosoma americana"
88,2.22044604925031e-16,1.78068963318528e-14,"Cofr","Malacosoma americana"
89,2.22044604925031e-16,1.78147123651512e-14,"Cofr","Malacosoma americana"
90,2.22044604925031e-16,1.78225605072982e-14,"Cofr","Malacosoma americana"
91,2.22044604925031e-16,1.78304407158624e-14,"Cofr","Malacosoma americana"
92,2.22044604925031e-16,1.78383529483141e-14,"Cofr","Malacosoma americana"
93,2.22044604925031e-16,1.78462971620256e-14,"Cofr","Malacosoma americana"
94,2.22044604925031e-16,1.7854273314273e-14,"Cofr","Malacosoma americana"
95,2.22044604925031e-16,1.78622813622364e-14,"Cofr","Malacosoma americana"
96,2.22044604925031e-16,1.78703212630016e-14,"Cofr","Malacosoma americana"
97,2.22044604925031e-16,1.78783929735605e-14,"Cofr","Malacosoma americana"
98,2.22044604925031e-16,1.78864964508124e-14,"Cofr","Malacosoma americana"
99,2.22044604925031e-16,1.7894631651565e-14,"Cofr","Malacosoma americana"
100,2.22044604925031e-16,1.79027985325351e-14,"Cofr","Malacosoma americana"
101,2.22044604925031e-16,1.79109970503499e-14,"Cofr","Malacosoma americana"
102,2.22044604925031e-16,1.79192271615479e-14,"Cofr","Malacosoma americana"
103,2.22044604925031e-16,1.79274888225797e-14,"Cofr","Malacosoma americana"
104,2.22044604925031e-16,1.79357819898092e-14,"Cofr","Malacosoma americana"
105,2.22044604925031e-16,1.79441066195146e-14,"Cofr","Malacosoma americana"
106,2.22044604925031e-16,1.7952462667889e-14,"Cofr","Malacosoma americana"
107,2.22044604925031e-16,1.79608500910418e-14,"Cofr","Malacosoma americana"
108,2.22044604925031e-16,1.79692688449997e-14,"Cofr","Malacosoma americana"
109,2.22044604925031e-16,1.79777188857071e-14,"Cofr","Malacosoma americana"
110,2.22044604925031e-16,1.79862001690279e-14,"Cofr","Malacosoma americana"
111,2.22044604925031e-16,1.79947126507456e-14,"Cofr","Malacosoma americana"
112,2.22044604925031e-16,1.80032562865649e-14,"Cofr","Malacosoma americana"
113,2.22044604925031e-16,1.80118310321127e-14,"Cofr","Malacosoma americana"
114,2.22044604925031e-16,1.80204368429385e-14,"Cofr","Malacosoma americana"
115,2.22044604925031e-16,1.80290736745157e-14,"Cofr","Malacosoma americana"
116,2.22044604925031e-16,1.80377414822429e-14,"Cofr","Malacosoma americana"
117,2.22044604925031e-16,1.80464402214442e-14,"Cofr","Malacosoma americana"
118,2.22044604925031e-16,1.80551698473705e-14,"Cofr","Malacosoma americana"
119,2.22044604925031e-16,1.80639303152007e-14,"Cofr","Malacosoma americana"
120,2.22044604925031e-16,1.80727215800422e-14,"Cofr","Malacosoma americana"
121,2.22044604925031e-16,1.80815435969319e-14,"Cofr","Malacosoma americana"
122,2.22044604925031e-16,1.80903963208377e-14,"Cofr","Malacosoma americana"
123,2.22044604925031e-16,1.80992797066588e-14,"Cofr","Malacosoma americana"
124,2.22044604925031e-16,1.81081937092269e-14,"Cofr","Malacosoma americana"
125,2.22044604925031e-16,1.81171382833073e-14,"Cofr","Malacosoma americana"
126,2.22044604925031e-16,1.81261133835995e-14,"Cofr","Malacosoma americana"
127,2.22044604925031e-16,1.81351189647384e-14,"Cofr","Malacosoma americana"
128,2.22044604925031e-16,1.81441549812953e-14,"Cofr","Malacosoma americana"
129,2.22044604925031e-16,1.81532213877787e-14,"Cofr","Malacosoma americana"
130,2.22044604925031e-16,1.81623181386352e-14,"Cofr","Malacosoma americana"
131,2.22044604925031e-16,1.81714451882504e-14,"Cofr","Malacosoma americana"
132,2.22044604925031e-16,1.81806024909501e-14,"Cofr","Malacosoma americana"
133,2.22044604925031e-16,1.8189790001001e-14,"Cofr","Malacosoma americana"
134,2.22044604925031e-16,1.81990076726116e-14,"Cofr","Malacosoma americana"
135,2.22044604925031e-16,1.82082554599334e-14,"Cofr","Malacosoma americana"
136,2.22044604925031e-16,1.82175333170616e-14,"Cofr","Malacosoma americana"
137,2.22044604925031e-16,1.82268411980358e-14,"Cofr","Malacosoma americana"
138,2.22044604925031e-16,1.82361790568414e-14,"Cofr","Malacosoma americana"
139,2.22044604925031e-16,1.82455468474105e-14,"Cofr","Malacosoma americana"
140,2.22044604925031e-16,1.82549445236227e-14,"Cofr","Malacosoma americana"
141,2.22044604925031e-16,1.82643720393281e-14,"Cofr","Malacosoma americana"
142,2.22044604925031e-16,1.82738293483541e-14,"Cofr","Malacosoma americana"
143,2.22044604925031e-16,1.82833164044804e-14,"Cofr","Malacosoma americana"
144,2.22044604925031e-16,1.82928331614377e-14,"Cofr","Malacosoma americana"
145,2.22044604925031e-16,1.83023795729087e-14,"Cofr","Malacosoma americana"
146,2.22044604925031e-16,1.83119555925293e-14,"Cofr","Malacosoma americana"
147,2.22044604925031e-16,1.83215611738886e-14,"Cofr","Malacosoma americana"
148,2.22044604925031e-16,1.83311962705305e-14,"Cofr","Malacosoma americana"
149,2.22044604925031e-16,1.83408608359544e-14,"Cofr","Malacosoma americana"
150,2.22044604925031e-16,1.83505548236157e-14,"Cofr","Malacosoma americana"
151,2.22044604925031e-16,1.8360278186927e-14,"Cofr","Malacosoma americana"
152,2.22044604925031e-16,1.83700308792589e-14,"Cofr","Malacosoma americana"
153,2.22044604925031e-16,1.83798128539405e-14,"Cofr","Malacosoma americana"
154,2.22044604925031e-16,1.83896240642609e-14,"Cofr","Malacosoma americana"
155,2.22044604925031e-16,1.83994644634691e-14,"Cofr","Malacosoma americana"
156,2.22044604925031e-16,1.84093340047758e-14,"Cofr","Malacosoma americana"
157,2.22044604925031e-16,1.84192326413537e-14,"Cofr","Malacosoma americana"
158,2.22044604925031e-16,1.84291603263382e-14,"Cofr","Malacosoma americana"
159,2.22044604925031e-16,1.84391170128286e-14,"Cofr","Malacosoma americana"
160,2.22044604925031e-16,1.84491026538887e-14,"Cofr","Malacosoma americana"
161,2.22044604925031e-16,1.84591172025478e-14,"Cofr","Malacosoma americana"
162,2.22044604925031e-16,1.84691606118012e-14,"Cofr","Malacosoma americana"
163,2.22044604925031e-16,1.84792328346114e-14,"Cofr","Malacosoma americana"
164,2.22044604925031e-16,1.84893338239085e-14,"Cofr","Malacosoma americana"
165,2.22044604925031e-16,1.84994635325914e-14,"Cofr","Malacosoma americana"
166,2.22044604925031e-16,1.85096219135283e-14,"Cofr","Malacosoma americana"
167,2.22044604925031e-16,1.85198089195578e-14,"Cofr","Malacosoma americana"
168,2.22044604925031e-16,1.85300245034894e-14,"Cofr","Malacosoma americana"
169,2.22044604925031e-16,1.85402686181046e-14,"Cofr","Malacosoma americana"
170,2.22044604925031e-16,1.85505412161573e-14,"Cofr","Malacosoma americana"
171,2.22044604925031e-16,1.85608422503749e-14,"Cofr","Malacosoma americana"
172,2.22044604925031e-16,1.85711716734593e-14,"Cofr","Malacosoma americana"
173,2.22044604925031e-16,1.8581529438087e-14,"Cofr","Malacosoma americana"
174,2.22044604925031e-16,1.85919154969105e-14,"Cofr","Malacosoma americana"
175,2.22044604925031e-16,1.86023298025589e-14,"Cofr","Malacosoma americana"
176,2.22044604925031e-16,1.86127723076386e-14,"Cofr","Malacosoma americana"
177,2.22044604925031e-16,1.86232429647342e-14,"Cofr","Malacosoma americana"
178,2.22044604925031e-16,1.86337417264091e-14,"Cofr","Malacosoma americana"
179,2.22044604925031e-16,1.86442685452065e-14,"Cofr","Malacosoma americana"
180,2.22044604925031e-16,1.86548233736499e-14,"Cofr","Malacosoma americana"
181,2.22044604925031e-16,1.86654061642444e-14,"Cofr","Malacosoma americana"
182,2.22044604925031e-16,1.86760168694765e-14,"Cofr","Malacosoma americana"
183,2.22044604925031e-16,1.8686655441816e-14,"Cofr","Malacosoma americana"
184,2.22044604925031e-16,1.8697321833716e-14,"Cofr","Malacosoma americana"
185,2.22044604925031e-16,1.87080159976137e-14,"Cofr","Malacosoma americana"
186,2.22044604925031e-16,1.87187378859315e-14,"Cofr","Malacosoma americana"
187,2.22044604925031e-16,1.87294874510775e-14,"Cofr","Malacosoma americana"
188,2.22044604925031e-16,1.87402646454465e-14,"Cofr","Malacosoma americana"
189,2.22044604925031e-16,1.87510694214203e-14,"Cofr","Malacosoma americana"
190,2.22044604925031e-16,1.87619017313689e-14,"Cofr","Malacosoma americana"
