"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.64031701755383e-13,"Cofr","Mocis marcida"
70,2.22044604925031e-16,1.6266517844671e-13,"Cofr","Mocis marcida"
71,2.22044604925031e-16,1.61300894935453e-13,"Cofr","Mocis marcida"
72,2.22044604925031e-16,1.59938983677472e-13,"Cofr","Mocis marcida"
73,2.22044604925031e-16,1.58579575369509e-13,"Cofr","Mocis marcida"
74,2.22044604925031e-16,1.57222798862139e-13,"Cofr","Mocis marcida"
75,2.22044604925031e-16,1.55868781071318e-13,"Cofr","Mocis marcida"
76,2.22044604925031e-16,1.54517646888532e-13,"Cofr","Mocis marcida"
77,2.22044604925031e-16,1.53169519089538e-13,"Cofr","Mocis marcida"
78,2.22044604925031e-16,1.51824518241718e-13,"Cofr","Mocis marcida"
79,2.22044604925031e-16,1.50482762610054e-13,"Cofr","Mocis marcida"
80,2.22044604925031e-16,1.4914436806174e-13,"Cofr","Mocis marcida"
81,2.22044604925031e-16,1.47809447969448e-13,"Cofr","Mocis marcida"
82,2.22044604925031e-16,1.46478113113292e-13,"Cofr","Mocis marcida"
83,2.22044604925031e-16,1.45150471581499e-13,"Cofr","Mocis marcida"
84,2.22044604925031e-16,1.43826628669854e-13,"Cofr","Mocis marcida"
85,2.22044604925031e-16,1.42506686779935e-13,"Cofr","Mocis marcida"
86,2.22044604925031e-16,1.4119074531622e-13,"Cofr","Mocis marcida"
87,2.22044604925031e-16,1.398789005821e-13,"Cofr","Mocis marcida"
88,2.22044604925031e-16,1.38571245674878e-13,"Cofr","Mocis marcida"
89,2.22044604925031e-16,1.37267870379829e-13,"Cofr","Mocis marcida"
90,2.22044604925031e-16,1.35968861063395e-13,"Cofr","Mocis marcida"
91,2.22044604925031e-16,1.34674300565611e-13,"Cofr","Mocis marcida"
92,2.22044604925031e-16,1.33384268091861e-13,"Cofr","Mocis marcida"
93,2.22044604925031e-16,1.3209883910407e-13,"Cofr","Mocis marcida"
94,2.22044604925031e-16,1.30818085211453e-13,"Cofr","Mocis marcida"
95,2.22044604925031e-16,1.29542074060943e-13,"Cofr","Mocis marcida"
96,2.22044604925031e-16,1.28270869227442e-13,"Cofr","Mocis marcida"
97,2.22044604925031e-16,1.27004530104031e-13,"Cofr","Mocis marcida"
98,2.22044604925031e-16,1.25743111792316e-13,"Cofr","Mocis marcida"
99,2.22044604925031e-16,1.24486664993059e-13,"Cofr","Mocis marcida"
100,2.22044604925031e-16,1.23235235897284e-13,"Cofr","Mocis marcida"
101,2.22044604925031e-16,1.21988866078052e-13,"Cofr","Mocis marcida"
102,2.22044604925031e-16,1.20747592383104e-13,"Cofr","Mocis marcida"
103,2.22044604925031e-16,1.19511446828586e-13,"Cofr","Mocis marcida"
104,2.22044604925031e-16,1.1828045649409e-13,"Cofr","Mocis marcida"
105,2.22044604925031e-16,1.17054643419244e-13,"Cofr","Mocis marcida"
106,2.22044604925031e-16,1.15834024502113e-13,"Cofr","Mocis marcida"
107,2.22044604925031e-16,1.14618611399668e-13,"Cofr","Mocis marcida"
108,2.22044604925031e-16,1.13408410430605e-13,"Cofr","Mocis marcida"
109,2.22044604925031e-16,1.12203422480812e-13,"Cofr","Mocis marcida"
110,2.22044604925031e-16,1.11003642911783e-13,"Cofr","Mocis marcida"
111,2.22044604925031e-16,1.09809061472304e-13,"Cofr","Mocis marcida"
112,2.22044604925031e-16,1.08619662213746e-13,"Cofr","Mocis marcida"
113,2.22044604925031e-16,1.07435423409307e-13,"Cofr","Mocis marcida"
114,2.22044604925031e-16,1.06256317477575e-13,"Cofr","Mocis marcida"
115,2.22044604925031e-16,1.05082310910789e-13,"Cofr","Mocis marcida"
116,2.22044604925031e-16,1.03913364208191e-13,"Cofr","Mocis marcida"
