"doy","fit","se","Site","validName"
69,0.953096449197327,0.690541131479287,"Cofr","Nematocampa resistaria"
70,0.919302304446741,0.656983792174268,"Cofr","Nematocampa resistaria"
71,0.886706405467602,0.625301871114511,"Cofr","Nematocampa resistaria"
72,0.855266265400588,0.59540596675848,"Cofr","Nematocampa resistaria"
73,0.824940903896555,0.567210187780961,"Cofr","Nematocampa resistaria"
74,0.7956907936967,0.540631964829374,"Cofr","Nematocampa resistaria"
75,0.76747780910701,0.515591871946055,"Cofr","Nematocampa resistaria"
76,0.740265176299861,0.492013458329013,"Cofr","Nematocampa resistaria"
77,0.714017425377929,0.469823091171376,"Cofr","Nematocampa resistaria"
78,0.688700344137977,0.448949810352838,"Cofr","Nematocampa resistaria"
79,0.66428093347417,0.429325195745335,"Cofr","Nematocampa resistaria"
80,0.640727364362831,0.410883247831796,"Cofr","Nematocampa resistaria"
81,0.618008936372512,0.393560282214743,"Cofr","Nematocampa resistaria"
82,0.59609603764534,0.377294838407739,"Cofr","Nematocampa resistaria"
83,0.574960106297406,0.362027603058563,"Cofr","Nematocampa resistaria"
84,0.554573593187924,0.34770134745465,"Cofr","Nematocampa resistaria"
85,0.534909926008587,0.33426087882067,"Cofr","Nematocampa resistaria"
86,0.515943474646326,0.321653004552108,"Cofr","Nematocampa resistaria"
87,0.497649517774308,0.309826508158537,"Cofr","Nematocampa resistaria"
88,0.480004210627601,0.298732135340349,"Cofr","Nematocampa resistaria"
89,0.462984553921528,0.288322588317579,"Cofr","Nematocampa resistaria"
90,0.446568363872157,0.278552526292478,"Cofr","Nematocampa resistaria"
91,0.430734243279873,0.269378569777378,"Cofr","Nematocampa resistaria"
92,0.415461553638296,0.260759306469071,"Cofr","Nematocampa resistaria"
93,0.400730388232232,0.252655296405277,"Cofr","Nematocampa resistaria"
94,0.386521546189541,0.245029074294518,"Cofr","Nematocampa resistaria"
95,0.372816507453125,0.237845147156984,"Cofr","Nematocampa resistaria"
96,0.359597408640393,0.231069985732799,"Cofr","Nematocampa resistaria"
97,0.346847019758727,0.224672008483418,"Cofr","Nematocampa resistaria"
98,0.334548721746625,0.218621557407157,"Cofr","Nematocampa resistaria"
99,0.322686484811194,0.212890865286411,"Cofr","Nematocampa resistaria"
100,0.311244847533798,0.207454014360245,"Cofr","Nematocampa resistaria"
101,0.300208896716596,0.202286886753035,"Cofr","Nematocampa resistaria"
102,0.289564247943704,0.197367107274661,"Cofr","Nematocampa resistaria"
103,0.279297026831643,0.192673979432237,"Cofr","Nematocampa resistaria"
104,0.269393850944631,0.188188415654552,"Cofr","Nematocampa resistaria"
105,0.259841812351133,0.183892862829729,"Cofr","Nematocampa resistaria"
106,0.250628460798947,0.179771224299167,"Cofr","Nematocampa resistaria"
107,0.241741787486874,0.175808779443929,"Cofr","Nematocampa resistaria"
108,0.23317020941183,0.171992101952387,"Cofr","Nematocampa resistaria"
109,0.224902554270996,0.168308977779405,"Cofr","Nematocampa resistaria"
110,0.216928045899307,0.164748323706959,"Cofr","Nematocampa resistaria"
111,0.209236290223316,0.161300107302053,"Cofr","Nematocampa resistaria"
112,0.201817261713119,0.15795526894752,"Cofr","Nematocampa resistaria"
113,0.194661290314667,0.154705646500737,"Cofr","Nematocampa resistaria"
114,0.187759048845444,0.15154390301898,"Cofr","Nematocampa resistaria"
115,0.181101540837074,0.148463457881601,"Cofr","Nematocampa resistaria"
116,0.174680088809016,0.145458421540619,"Cofr","Nematocampa resistaria"
117,0.168486322958042,0.142523534043937,"Cofr","Nematocampa resistaria"
118,0.162512170248786,0.139654107399792,"Cofr","Nematocampa resistaria"
119,0.156749843891105,0.136845971787095,"Cofr","Nematocampa resistaria"
120,0.151191833190572,0.134095425563531,"Cofr","Nematocampa resistaria"
121,0.145830893758839,0.131399188980772,"Cofr","Nematocampa resistaria"
122,0.140660038071129,0.128754361483043,"Cofr","Nematocampa resistaria"
123,0.135672526358543,0.126158382440349,"Cofr","Nematocampa resistaria"
124,0.130861857823306,0.123608995149903,"Cofr","Nematocampa resistaria"
125,0.126221762165502,0.121104213927613,"Cofr","Nematocampa resistaria"
126,0.121746191410261,0.118642294104862,"Cofr","Nematocampa resistaria"
127,0.117429312024728,0.116221704743342,"Cofr","Nematocampa resistaria"
128,0.113265497314553,0.113841103881592,"Cofr","Nematocampa resistaria"
129,0.109249320089991,0.111499316130367,"Cofr","Nematocampa resistaria"
130,0.105375545592035,0.109195312439488,"Cofr","Nematocampa resistaria"
131,0.10163912466938,0.106928191865769,"Cofr","Nematocampa resistaria"
132,0.098035187197316,0.104697165179698,"Cofr","Nematocampa resistaria"
133,0.0945590357299734,0.10250154015717,"Cofr","Nematocampa resistaria"
134,0.0912061393776407,0.100340708411755,"Cofr","Nematocampa resistaria"
135,0.0879721279011818,0.098214133632145,"Cofr","Nematocampa resistaria"
136,0.0848527860158515,0.0961213410987046,"Cofr","Nematocampa resistaria"
137,0.0818440478970826,0.0940619083620629,"Cofr","Nematocampa resistaria"
138,0.0789419918810846,0.0920354569754579,"Cofr","Nematocampa resistaria"
139,0.0761428353533462,0.0900416451809733,"Cofr","Nematocampa resistaria"
140,0.0734429298191751,0.0880801614592451,"Cofr","Nematocampa resistaria"
141,0.0708387561771625,0.086150718907034,"Cofr","Nematocampa resistaria"
142,0.0683269201356814,0.0842530502670983,"Cofr","Nematocampa resistaria"
143,0.0659041477488316,0.0823869035120112,"Cofr","Nematocampa resistaria"
144,0.0635672811471976,0.0805520380636941,"Cofr","Nematocampa resistaria"
