"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.88564105631059e-13,"Cofr","Norape ovina"
70,2.22044604925031e-16,1.85343076981633e-13,"Cofr","Norape ovina"
71,2.22044604925031e-16,1.82123225690174e-13,"Cofr","Norape ovina"
72,2.22044604925031e-16,1.78905422342816e-13,"Cofr","Norape ovina"
73,2.22044604925031e-16,1.75690537579303e-13,"Cofr","Norape ovina"
74,2.22044604925031e-16,1.72479442084134e-13,"Cofr","Norape ovina"
75,2.22044604925031e-16,1.69273006577358e-13,"Cofr","Norape ovina"
76,2.22044604925031e-16,1.66072101804957e-13,"Cofr","Norape ovina"
77,2.22044604925031e-16,1.62877598528762e-13,"Cofr","Norape ovina"
78,2.22044604925031e-16,1.59690367515841e-13,"Cofr","Norape ovina"
79,2.22044604925031e-16,1.56511279527282e-13,"Cofr","Norape ovina"
80,2.22044604925031e-16,1.53341205306317e-13,"Cofr","Norape ovina"
81,2.22044604925031e-16,1.50181015565661e-13,"Cofr","Norape ovina"
82,2.22044604925031e-16,1.47031580974023e-13,"Cofr","Norape ovina"
83,2.22044604925031e-16,1.4389377214163e-13,"Cofr","Norape ovina"
84,2.22044604925031e-16,1.40768459604698e-13,"Cofr","Norape ovina"
85,2.22044604925031e-16,1.37656513808678e-13,"Cofr","Norape ovina"
86,2.22044604925031e-16,1.34558805090149e-13,"Cofr","Norape ovina"
87,2.22044604925031e-16,1.31476203657195e-13,"Cofr","Norape ovina"
88,2.22044604925031e-16,1.28409579568071e-13,"Cofr","Norape ovina"
89,2.22044604925031e-16,1.25359802707955e-13,"Cofr","Norape ovina"
90,2.22044604925031e-16,1.22327742763549e-13,"Cofr","Norape ovina"
91,2.22044604925031e-16,1.19314269195267e-13,"Cofr","Norape ovina"
92,2.22044604925031e-16,1.16320251206699e-13,"Cofr","Norape ovina"
93,2.22044604925031e-16,1.13346557711021e-13,"Cofr","Norape ovina"
