"doy","fit","se","Site","validName"
69,0.2159853966096,0.271583362636655,"Cofr","Schizura ipomoeae"
70,0.199525361606145,0.246888165670044,"Cofr","Schizura ipomoeae"
71,0.184326352470514,0.224661872523138,"Cofr","Schizura ipomoeae"
72,0.170297377597943,0.204669148145417,"Cofr","Schizura ipomoeae"
73,0.157353100368334,0.186693896006718,"Cofr","Schizura ipomoeae"
74,0.14541361309481,0.170538052683108,"Cofr","Schizura ipomoeae"
75,0.134404202432599,0.156020424526629,"Cofr","Schizura ipomoeae"
76,0.124255109478071,0.142975571927313,"Cofr","Schizura ipomoeae"
77,0.114901287365526,0.131252744316965,"Cofr","Schizura ipomoeae"
78,0.106282158778979,0.120714866948235,"Cofr","Schizura ipomoeae"
79,0.0983413754376161,0.111237578697625,"Cofr","Schizura ipomoeae"
80,0.091026581286729,0.102708318771543,"Cofr","Schizura ipomoeae"
81,0.0842891808299682,0.09502545930299,"Cofr","Schizura ipomoeae"
82,0.078084113772563,0.0880974804369706,"Cofr","Schizura ipomoeae"
83,0.0723696369074668,0.0818421845898301,"Cofr","Schizura ipomoeae"
84,0.0671071139656041,0.0761859470539376,"Cofr","Schizura ipomoeae"
85,0.06226081396583,0.0710630008840571,"Cofr","Schizura ipomoeae"
86,0.0577977184381268,0.0664147548998954,"Cofr","Schizura ipomoeae"
87,0.0536873377531213,0.0621891445229826,"Cofr","Schizura ipomoeae"
88,0.0499015366704091,0.0583400159083544,"Cofr","Schizura ipomoeae"
89,0.0464143691156335,0.0548265443430684,"Cofr","Schizura ipomoeae"
90,0.0432019221100635,0.0516126881212406,"Cofr","Schizura ipomoeae"
91,0.0402421687048656,0.0486666790708558,"Cofr","Schizura ipomoeae"
92,0.0375148297138175,0.0459605506394991,"Cofr","Schizura ipomoeae"
93,0.0350012439913587,0.0434697040062587,"Cofr","Schizura ipomoeae"
94,0.0326842469662436,0.0411725121469097,"Cofr","Schizura ipomoeae"
95,0.0305480571133761,0.0390499612082404,"Cofr","Schizura ipomoeae"
96,0.0285781700264679,0.0370853280031796,"Cofr","Schizura ipomoeae"
97,0.0267612597409243,0.0352638919639567,"Cofr","Schizura ipomoeae"
98,0.0250850869488279,0.0335726795119978,"Cofr","Schizura ipomoeae"
99,0.023538413745193,0.0320002385317842,"Cofr","Schizura ipomoeae"
100,0.0221109245460191,0.0305364404705757,"Cofr","Schizura ipomoeae"
101,0.020793152823374,0.0291723075173535,"Cofr","Schizura ipomoeae"
102,0.019576413310178,0.0278998623280793,"Cofr","Schizura ipomoeae"
103,0.0184527393369877,0.0267119978436803,"Cofr","Schizura ipomoeae"
104,0.0174148249744301,0.0256023648751893,"Cofr","Schizura ipomoeae"
105,0.0164559716675929,0.0245652752916487,"Cofr","Schizura ipomoeae"
106,0.015570039062295,0.023595618827312,"Cofr","Schizura ipomoeae"
107,0.0147513997374318,0.0226887917143471,"Cofr","Schizura ipomoeae"
108,0.0139948975722673,0.0218406355371807,"Cofr","Schizura ipomoeae"
109,0.0132958094924165,0.0210473848885567,"Cofr","Schizura ipomoeae"
110,0.0126498103531457,0.02030562258104,"Cofr","Schizura ipomoeae"
111,0.0120529407333907,0.0196122413283965,"Cofr","Schizura ipomoeae"
112,0.0115015774284179,0.0189644109576023,"Cofr","Schizura ipomoeae"
113,0.0109924064432709,0.0183595503437181,"Cofr","Schizura ipomoeae"
114,0.0105223983029686,0.0177953033767301,"Cofr","Schizura ipomoeae"
115,0.0100887855088227,0.0172695183723887,"Cofr","Schizura ipomoeae"
116,0.00968904198318728,0.0167802304290641,"Cofr","Schizura ipomoeae"
117,0.0093208643574319,0.0163256463108171,"Cofr","Schizura ipomoeae"
118,0.00898215496994661,0.0159041315044857,"Cofr","Schizura ipomoeae"
119,0.00867100645255461,0.0155141991568165,"Cofr","Schizura ipomoeae"
120,0.00838568779485035,0.0151545006477108,"Cofr","Schizura ipomoeae"
121,0.00812463178673668,0.0148238175986065,"Cofr","Schizura ipomoeae"
122,0.00788642374984532,0.0145210551518906,"Cofr","Schizura ipomoeae"
123,0.00766979147864635,0.0142452363889719,"Cofr","Schizura ipomoeae"
124,0.00747359632194932,0.0139954977820499,"Cofr","Schizura ipomoeae"
125,0.00729682534524114,0.013771085598457,"Cofr","Schizura ipomoeae"
