"doy","fit","se","Site","validName"
69,2.22044604925031e-16,3.47017822676117e-14,"Demi","Acrolophus heppneri"
70,2.22044604925031e-16,3.426226669153e-14,"Demi","Acrolophus heppneri"
71,2.22044604925031e-16,3.38229898521512e-14,"Demi","Acrolophus heppneri"
72,2.22044604925031e-16,3.33840455675791e-14,"Demi","Acrolophus heppneri"
73,2.22044604925031e-16,3.29455276590332e-14,"Demi","Acrolophus heppneri"
74,2.22044604925031e-16,3.25075299470057e-14,"Demi","Acrolophus heppneri"
75,2.22044604925031e-16,3.20701462471569e-14,"Demi","Acrolophus heppneri"
76,2.22044604925031e-16,3.16334703659233e-14,"Demi","Acrolophus heppneri"
77,2.22044604925031e-16,3.11975960958136e-14,"Demi","Acrolophus heppneri"
78,2.22044604925031e-16,3.07626172103656e-14,"Demi","Acrolophus heppneri"
79,2.22044604925031e-16,3.03286274587319e-14,"Demi","Acrolophus heppneri"
80,2.22044604925031e-16,2.98957205598651e-14,"Demi","Acrolophus heppneri"
81,2.22044604925031e-16,2.94639901962658e-14,"Demi","Acrolophus heppneri"
82,2.22044604925031e-16,2.9033530007257e-14,"Demi","Acrolophus heppneri"
83,2.22044604925031e-16,2.86044335817452e-14,"Demi","Acrolophus heppneri"
84,2.22044604925031e-16,2.81767944504243e-14,"Demi","Acrolophus heppneri"
85,2.22044604925031e-16,2.77507060773774e-14,"Demi","Acrolophus heppneri"
86,2.22044604925031e-16,2.7326261851025e-14,"Demi","Acrolophus heppneri"
87,2.22044604925031e-16,2.69035550743682e-14,"Demi","Acrolophus heppneri"
88,2.22044604925031e-16,2.64826789544682e-14,"Demi","Acrolophus heppneri"
89,2.22044604925031e-16,2.60637265911021e-14,"Demi","Acrolophus heppneri"
90,2.22044604925031e-16,2.56467909645283e-14,"Demi","Acrolophus heppneri"
91,2.22044604925031e-16,2.52319649222923e-14,"Demi","Acrolophus heppneri"
92,2.22044604925031e-16,2.48193411649973e-14,"Demi","Acrolophus heppneri"
93,2.22044604925031e-16,2.44090122309607e-14,"Demi","Acrolophus heppneri"
94,2.22044604925031e-16,2.40010704796707e-14,"Demi","Acrolophus heppneri"
95,2.22044604925031e-16,2.35956080739533e-14,"Demi","Acrolophus heppneri"
96,2.22044604925031e-16,2.31927169607531e-14,"Demi","Acrolophus heppneri"
97,2.22044604925031e-16,2.27924888504284e-14,"Demi","Acrolophus heppneri"
98,2.22044604925031e-16,2.2395015194452e-14,"Demi","Acrolophus heppneri"
99,2.22044604925031e-16,2.20003871614062e-14,"Demi","Acrolophus heppneri"
100,2.22044604925031e-16,2.1608695611154e-14,"Demi","Acrolophus heppneri"
101,2.22044604925031e-16,2.12200310670645e-14,"Demi","Acrolophus heppneri"
102,2.22044604925031e-16,2.08344836861624e-14,"Demi","Acrolophus heppneri"
103,2.22044604925031e-16,2.04521432270721e-14,"Demi","Acrolophus heppneri"
104,2.22044604925031e-16,2.0073099015619e-14,"Demi","Acrolophus heppneri"
105,2.22044604925031e-16,1.96974399079493e-14,"Demi","Acrolophus heppneri"
106,2.22044604925031e-16,1.93252542510297e-14,"Demi","Acrolophus heppneri"
107,2.22044604925031e-16,1.89566298403843e-14,"Demi","Acrolophus heppneri"
108,2.22044604925031e-16,1.85916538749327e-14,"Demi","Acrolophus heppneri"
109,2.22044604925031e-16,1.82304129087933e-14,"Demi","Acrolophus heppneri"
110,2.22044604925031e-16,1.7872992799924e-14,"Demi","Acrolophus heppneri"
111,2.22044604925031e-16,1.7519478655483e-14,"Demi","Acrolophus heppneri"
112,2.22044604925031e-16,1.71699547738062e-14,"Demi","Acrolophus heppneri"
113,2.22044604925031e-16,1.68245045829146e-14,"Demi","Acrolophus heppneri"
114,2.22044604925031e-16,1.64832105754925e-14,"Demi","Acrolophus heppneri"
115,2.22044604925031e-16,1.61461542403047e-14,"Demi","Acrolophus heppneri"
116,2.22044604925031e-16,1.58134159900604e-14,"Demi","Acrolophus heppneri"
117,2.22044604925031e-16,1.54850750857779e-14,"Demi","Acrolophus heppneri"
118,2.22044604925031e-16,1.51612095577615e-14,"Demi","Acrolophus heppneri"
119,2.22044604925031e-16,1.48418961233671e-14,"Demi","Acrolophus heppneri"
120,2.22044604925031e-16,1.45272101018162e-14,"Demi","Acrolophus heppneri"
121,2.22044604925031e-16,1.42172253264117e-14,"Demi","Acrolophus heppneri"
122,2.22044604925031e-16,1.39120140546189e-14,"Demi","Acrolophus heppneri"
123,2.22044604925031e-16,1.36116468766037e-14,"Demi","Acrolophus heppneri"
124,2.22044604925031e-16,1.33161926229678e-14,"Demi","Acrolophus heppneri"
125,2.22044604925031e-16,1.30257182725905e-14,"Demi","Acrolophus heppneri"
126,2.22044604925031e-16,1.27402888616739e-14,"Demi","Acrolophus heppneri"
127,2.22044604925031e-16,1.24599673953094e-14,"Demi","Acrolophus heppneri"
128,2.22044604925031e-16,1.21848147631182e-14,"Demi","Acrolophus heppneri"
129,2.22044604925031e-16,1.19148896607875e-14,"Demi","Acrolophus heppneri"
130,2.22044604925031e-16,1.16502485196168e-14,"Demi","Acrolophus heppneri"
131,2.22044604925031e-16,1.13909454465027e-14,"Demi","Acrolophus heppneri"
132,2.22044604925031e-16,1.11370321771348e-14,"Demi","Acrolophus heppneri"
133,2.22044604925031e-16,1.0888558045538e-14,"Demi","Acrolophus heppneri"
134,2.22044604925031e-16,1.06455699734729e-14,"Demi","Acrolophus heppneri"
135,2.22044604925031e-16,1.04081124836014e-14,"Demi","Acrolophus heppneri"
136,2.22044604925031e-16,1.01762277407159e-14,"Demi","Acrolophus heppneri"
137,2.22044604925031e-16,9.94995562572319e-15,"Demi","Acrolophus heppneri"
138,2.22044604925031e-16,9.72933384744118e-15,"Demi","Acrolophus heppneri"
139,2.22044604925031e-16,9.5143980976058e-15,"Demi","Acrolophus heppneri"
140,2.58936209804919e-16,1.08511906601307e-14,"Demi","Acrolophus heppneri"
141,6.53663635127753e-16,2.67938609958336e-14,"Demi","Acrolophus heppneri"
142,1.59957525139717e-15,6.4141661565162e-14,"Demi","Acrolophus heppneri"
143,3.79584666368671e-15,1.4892320493238e-13,"Demi","Acrolophus heppneri"
144,8.73838343784857e-15,3.35484419177478e-13,"Demi","Acrolophus heppneri"
