"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.72797307110794e-14,"Demi","Anavitrinella pampinaria"
70,2.22044604925031e-16,1.69681132955048e-14,"Demi","Anavitrinella pampinaria"
71,2.22044604925031e-16,1.66566092030301e-14,"Demi","Anavitrinella pampinaria"
72,2.22044604925031e-16,1.6345310447419e-14,"Demi","Anavitrinella pampinaria"
73,2.22044604925031e-16,1.60343090558201e-14,"Demi","Anavitrinella pampinaria"
74,2.22044604925031e-16,1.57236970688981e-14,"Demi","Anavitrinella pampinaria"
75,2.22044604925031e-16,1.54135665409993e-14,"Demi","Anavitrinella pampinaria"
76,2.22044604925031e-16,1.51040095403514e-14,"Demi","Anavitrinella pampinaria"
77,2.22044604925031e-16,1.47951181493001e-14,"Demi","Anavitrinella pampinaria"
78,2.22044604925031e-16,1.44869844645848e-14,"Demi","Anavitrinella pampinaria"
79,2.22044604925031e-16,1.41797005976554e-14,"Demi","Anavitrinella pampinaria"
80,2.22044604925031e-16,1.38733586750337e-14,"Demi","Anavitrinella pampinaria"
81,2.22044604925031e-16,1.35680508387215e-14,"Demi","Anavitrinella pampinaria"
82,2.22044604925031e-16,1.32638692466592e-14,"Demi","Anavitrinella pampinaria"
83,2.22044604925031e-16,1.29609060732395e-14,"Demi","Anavitrinella pampinaria"
84,2.22044604925031e-16,1.26592535098782e-14,"Demi","Anavitrinella pampinaria"
85,2.22044604925031e-16,1.23590037656484e-14,"Demi","Anavitrinella pampinaria"
86,2.22044604925031e-16,1.20602490679833e-14,"Demi","Anavitrinella pampinaria"
87,2.22044604925031e-16,1.17630816634509e-14,"Demi","Anavitrinella pampinaria"
88,2.22044604925031e-16,1.14675938186095e-14,"Demi","Anavitrinella pampinaria"
89,2.22044604925031e-16,1.11738778209489e-14,"Demi","Anavitrinella pampinaria"
90,2.22044604925031e-16,1.08820259799256e-14,"Demi","Anavitrinella pampinaria"
91,2.22044604925031e-16,1.05921306280996e-14,"Demi","Anavitrinella pampinaria"
92,2.22044604925031e-16,1.03042841223822e-14,"Demi","Anavitrinella pampinaria"
93,2.22044604925031e-16,1.00185788454051e-14,"Demi","Anavitrinella pampinaria"
94,2.22044604925031e-16,9.73510720702105e-15,"Demi","Anavitrinella pampinaria"
95,2.22044604925031e-16,9.4539616459485e-15,"Demi","Anavitrinella pampinaria"
96,2.22044604925031e-16,9.17523463157348e-15,"Demi","Anavitrinella pampinaria"
97,2.22044604925031e-16,8.89901866592305e-15,"Demi","Anavitrinella pampinaria"
98,2.22044604925031e-16,8.62540628582651e-15,"Demi","Anavitrinella pampinaria"
99,2.22044604925031e-16,8.35449006528148e-15,"Demi","Anavitrinella pampinaria"
100,2.22044604925031e-16,8.08636261804336e-15,"Demi","Anavitrinella pampinaria"
101,2.22044604925031e-16,7.82111660045924e-15,"Demi","Anavitrinella pampinaria"
102,2.22044604925031e-16,7.55884471456766e-15,"Demi","Anavitrinella pampinaria"
103,2.22044604925031e-16,7.29963971148804e-15,"Demi","Anavitrinella pampinaria"
104,5.33916703982302e-16,1.69366542587361e-14,"Demi","Anavitrinella pampinaria"
105,1.81991201160933e-15,5.56584630919772e-14,"Demi","Anavitrinella pampinaria"
106,6.11257109304135e-15,1.80074149427318e-13,"Demi","Anavitrinella pampinaria"
107,2.02216334153124e-14,5.73317999130563e-13,"Demi","Anavitrinella pampinaria"
108,6.58642043652168e-14,1.79543810837072e-12,"Demi","Anavitrinella pampinaria"
109,2.11127936467414e-13,5.52817346206357e-12,"Demi","Anavitrinella pampinaria"
110,6.65774445193377e-13,1.67276128833074e-11,"Demi","Anavitrinella pampinaria"
111,2.06450450162975e-12,4.9719990462354e-11,"Demi","Anavitrinella pampinaria"
