"doy","fit","se","Site","validName"
69,2.22044604925031e-16,6.09085715879273e-14,"Demi","Callopistria floridensis"
70,2.22044604925031e-16,6.01120013438691e-14,"Demi","Callopistria floridensis"
71,2.22044604925031e-16,5.93177101463265e-14,"Demi","Callopistria floridensis"
72,2.22044604925031e-16,5.85259463472781e-14,"Demi","Callopistria floridensis"
73,2.22044604925031e-16,5.77369595729678e-14,"Demi","Callopistria floridensis"
74,2.22044604925031e-16,5.69510007144808e-14,"Demi","Callopistria floridensis"
75,2.22044604925031e-16,5.61683219128472e-14,"Demi","Callopistria floridensis"
76,2.22044604925031e-16,5.53891765379477e-14,"Demi","Callopistria floridensis"
77,2.22044604925031e-16,5.46138191604202e-14,"Demi","Callopistria floridensis"
78,2.22044604925031e-16,5.38425055156941e-14,"Demi","Callopistria floridensis"
79,2.22044604925031e-16,5.3075492459197e-14,"Demi","Callopistria floridensis"
80,2.22044604925031e-16,5.23130379116942e-14,"Demi","Callopistria floridensis"
81,2.22044604925031e-16,5.15554007936296e-14,"Demi","Callopistria floridensis"
82,2.22044604925031e-16,5.08028409472444e-14,"Demi","Callopistria floridensis"
83,2.22044604925031e-16,5.00556190451491e-14,"Demi","Callopistria floridensis"
84,2.22044604925031e-16,4.93139964839261e-14,"Demi","Callopistria floridensis"
85,2.22044604925031e-16,4.85782352612318e-14,"Demi","Callopistria floridensis"
86,2.22044604925031e-16,4.78485978347665e-14,"Demi","Callopistria floridensis"
87,2.22044604925031e-16,4.71253469613712e-14,"Demi","Callopistria floridensis"
88,2.22044604925031e-16,4.64087455144094e-14,"Demi","Callopistria floridensis"
89,2.22044604925031e-16,4.56990562774919e-14,"Demi","Callopistria floridensis"
90,2.22044604925031e-16,4.49965417125091e-14,"Demi","Callopistria floridensis"
91,2.22044604925031e-16,4.43014636998525e-14,"Demi","Callopistria floridensis"
92,2.22044604925031e-16,4.3614083248636e-14,"Demi","Callopistria floridensis"
93,2.22044604925031e-16,4.29346601746728e-14,"Demi","Callopistria floridensis"
94,2.22044604925031e-16,4.22634527439349e-14,"Demi","Callopistria floridensis"
95,2.22044604925031e-16,4.16007172792104e-14,"Demi","Callopistria floridensis"
96,2.22044604925031e-16,4.09467077277071e-14,"Demi","Callopistria floridensis"
97,2.22044604925031e-16,4.03016751874107e-14,"Demi","Callopistria floridensis"
98,2.22044604925031e-16,3.96658673901189e-14,"Demi","Callopistria floridensis"
99,2.22044604925031e-16,3.90395281392353e-14,"Demi","Callopistria floridensis"
100,2.22044604925031e-16,3.84228967006269e-14,"Demi","Callopistria floridensis"
101,2.22044604925031e-16,3.78162071451431e-14,"Demi","Callopistria floridensis"
102,2.22044604925031e-16,3.72196876417531e-14,"Demi","Callopistria floridensis"
103,2.22044604925031e-16,3.66335597007086e-14,"Demi","Callopistria floridensis"
104,2.22044604925031e-16,3.6058037366668e-14,"Demi","Callopistria floridensis"
105,2.22044604925031e-16,3.5493326362348e-14,"Demi","Callopistria floridensis"
106,2.22044604925031e-16,3.49396231839864e-14,"Demi","Callopistria floridensis"
107,2.22044604925031e-16,3.43971141507202e-14,"Demi","Callopistria floridensis"
108,2.22044604925031e-16,3.38659744108979e-14,"Demi","Callopistria floridensis"
109,2.22044604925031e-16,3.33463669093481e-14,"Demi","Callopistria floridensis"
110,2.22044604925031e-16,3.28384413207148e-14,"Demi","Callopistria floridensis"
111,2.22044604925031e-16,3.2342332955125e-14,"Demi","Callopistria floridensis"
112,2.22044604925031e-16,3.18581616436647e-14,"Demi","Callopistria floridensis"
113,2.22044604925031e-16,3.13860306123736e-14,"Demi","Callopistria floridensis"
114,2.22044604925031e-16,3.09260253547126e-14,"Demi","Callopistria floridensis"
115,2.22044604925031e-16,3.0478212513664e-14,"Demi","Callopistria floridensis"
116,2.22044604925031e-16,3.00426387857685e-14,"Demi","Callopistria floridensis"
117,2.22044604925031e-16,2.961932986044e-14,"Demi","Callopistria floridensis"
118,2.22044604925031e-16,2.92082894087828e-14,"Demi","Callopistria floridensis"
119,2.22044604925031e-16,2.88094981368315e-14,"Demi","Callopistria floridensis"
120,2.22044604925031e-16,2.842291291859e-14,"Demi","Callopistria floridensis"
121,2.22044604925031e-16,2.80484660244314e-14,"Demi","Callopistria floridensis"
122,2.22044604925031e-16,2.76860644602917e-14,"Demi","Callopistria floridensis"
123,2.22044604925031e-16,2.73355894326302e-14,"Demi","Callopistria floridensis"
124,2.22044604925031e-16,2.69968959533134e-14,"Demi","Callopistria floridensis"
125,2.22044604925031e-16,2.66698125974046e-14,"Demi","Callopistria floridensis"
126,2.22044604925031e-16,2.63541414253221e-14,"Demi","Callopistria floridensis"
127,2.22044604925031e-16,2.60496580789707e-14,"Demi","Callopistria floridensis"
128,2.22044604925031e-16,2.57561120593147e-14,"Demi","Callopistria floridensis"
129,2.22044604925031e-16,2.54732271904748e-14,"Demi","Callopistria floridensis"
130,2.22044604925031e-16,2.520070227287e-14,"Demi","Callopistria floridensis"
131,2.22044604925031e-16,2.49382119252656e-14,"Demi","Callopistria floridensis"
132,2.22044604925031e-16,2.46854076128998e-14,"Demi","Callopistria floridensis"
133,2.22044604925031e-16,2.44419188562392e-14,"Demi","Callopistria floridensis"
134,2.22044604925031e-16,2.42073546124394e-14,"Demi","Callopistria floridensis"
135,2.22044604925031e-16,2.39813048193411e-14,"Demi","Callopistria floridensis"
136,2.22044604925031e-16,2.37633420898898e-14,"Demi","Callopistria floridensis"
137,2.22044604925031e-16,2.3553023543293e-14,"Demi","Callopistria floridensis"
138,2.22044604925031e-16,2.33498927580692e-14,"Demi","Callopistria floridensis"
139,2.22044604925031e-16,2.31534818314361e-14,"Demi","Callopistria floridensis"
140,2.22044604925031e-16,2.29633140569234e-14,"Demi","Callopistria floridensis"
141,2.22044604925031e-16,2.27789291217357e-14,"Demi","Callopistria floridensis"
142,2.22044604925031e-16,2.2599906208363e-14,"Demi","Callopistria floridensis"
143,2.22044604925031e-16,2.24258474679422e-14,"Demi","Callopistria floridensis"
144,2.22044604925031e-16,2.22563766090391e-14,"Demi","Callopistria floridensis"
145,2.22044604925031e-16,2.20911389269749e-14,"Demi","Callopistria floridensis"
146,2.22044604925031e-16,2.19298012424084e-14,"Demi","Callopistria floridensis"
147,2.22044604925031e-16,2.17720517567665e-14,"Demi","Callopistria floridensis"
148,2.22044604925031e-16,2.16175998322015e-14,"Demi","Callopistria floridensis"
149,2.22044604925031e-16,2.14661757037156e-14,"Demi","Callopistria floridensis"
150,2.22044604925031e-16,2.13175301309393e-14,"Demi","Callopistria floridensis"
151,2.22044604925031e-16,2.11714339968034e-14,"Demi","Callopistria floridensis"
152,2.22044604925031e-16,2.1027677860025e-14,"Demi","Callopistria floridensis"
153,2.22044604925031e-16,2.08860714679512e-14,"Demi","Callopistria floridensis"
154,2.22044604925031e-16,2.07464432358832e-14,"Demi","Callopistria floridensis"
155,2.22044604925031e-16,2.06086396985624e-14,"Demi","Callopistria floridensis"
156,2.22044604925031e-16,2.04725249390368e-14,"Demi","Callopistria floridensis"
157,2.22044604925031e-16,2.03379799996631e-14,"Demi","Callopistria floridensis"
158,2.22044604925031e-16,2.0204902279543e-14,"Demi","Callopistria floridensis"
159,2.22044604925031e-16,2.00732049222442e-14,"Demi","Callopistria floridensis"
160,2.22044604925031e-16,1.99428161972295e-14,"Demi","Callopistria floridensis"
161,2.22044604925031e-16,1.98136788780129e-14,"Demi","Callopistria floridensis"
162,2.22044604925031e-16,1.96857496196843e-14,"Demi","Callopistria floridensis"
163,2.22044604925031e-16,1.95589983380944e-14,"Demi","Callopistria floridensis"
164,2.22044604925031e-16,1.94334075926725e-14,"Demi","Callopistria floridensis"
165,2.22044604925031e-16,1.93089719745674e-14,"Demi","Callopistria floridensis"
166,2.22044604925031e-16,1.91856975015408e-14,"Demi","Callopistria floridensis"
167,2.22044604925031e-16,1.90636010208257e-14,"Demi","Callopistria floridensis"
168,2.22044604925031e-16,1.8942709620968e-14,"Demi","Callopistria floridensis"
169,2.22044604925031e-16,1.88230600535093e-14,"Demi","Callopistria floridensis"
170,2.22044604925031e-16,1.87046981652392e-14,"Demi","Callopistria floridensis"
171,2.22044604925031e-16,1.85876783416405e-14,"Demi","Callopistria floridensis"
172,2.22044604925031e-16,1.84720629620769e-14,"Demi","Callopistria floridensis"
173,2.22044604925031e-16,1.83579218672218e-14,"Demi","Callopistria floridensis"
174,2.22044604925031e-16,1.82453318392011e-14,"Demi","Callopistria floridensis"
175,2.22044604925031e-16,1.81343760949165e-14,"Demi","Callopistria floridensis"
176,2.22044604925031e-16,1.80251437930362e-14,"Demi","Callopistria floridensis"
177,2.22044604925031e-16,1.79177295551709e-14,"Demi","Callopistria floridensis"
178,2.22044604925031e-16,1.78122330018057e-14,"Demi","Callopistria floridensis"
179,2.22044604925031e-16,1.77087583036251e-14,"Demi","Callopistria floridensis"
180,2.22044604925031e-16,1.76074137489429e-14,"Demi","Callopistria floridensis"
181,2.22044604925031e-16,1.75083113280397e-14,"Demi","Callopistria floridensis"
182,2.22044604925031e-16,1.74115663352998e-14,"Demi","Callopistria floridensis"
183,2.22044604925031e-16,1.7317296990141e-14,"Demi","Callopistria floridensis"
184,2.22044604925031e-16,1.72256240778271e-14,"Demi","Callopistria floridensis"
185,2.22044604925031e-16,1.71366706113477e-14,"Demi","Callopistria floridensis"
186,2.22044604925031e-16,1.70505615156447e-14,"Demi","Callopistria floridensis"
187,2.22044604925031e-16,1.696742333554e-14,"Demi","Callopistria floridensis"
188,2.22044604925031e-16,1.68873839687925e-14,"Demi","Callopistria floridensis"
189,2.22044604925031e-16,1.68105724257585e-14,"Demi","Callopistria floridensis"
190,2.22044604925031e-16,1.67371186171676e-14,"Demi","Callopistria floridensis"
191,2.22044604925031e-16,1.66671531715254e-14,"Demi","Callopistria floridensis"
192,2.22044604925031e-16,1.66008072836418e-14,"Demi","Callopistria floridensis"
193,2.22044604925031e-16,1.65382125957288e-14,"Demi","Callopistria floridensis"
194,2.22044604925031e-16,1.64795011124296e-14,"Demi","Callopistria floridensis"
195,2.22044604925031e-16,1.64248051510215e-14,"Demi","Callopistria floridensis"
196,2.22044604925031e-16,1.63742573278792e-14,"Demi","Callopistria floridensis"
197,2.22044604925031e-16,1.6327990582087e-14,"Demi","Callopistria floridensis"
198,2.22044604925031e-16,1.62861382368595e-14,"Demi","Callopistria floridensis"
199,2.22044604925031e-16,1.624883409915e-14,"Demi","Callopistria floridensis"
200,2.22044604925031e-16,1.62162125975225e-14,"Demi","Callopistria floridensis"
201,2.22044604925031e-16,1.61884089580117e-14,"Demi","Callopistria floridensis"
202,2.22044604925031e-16,1.61655594173204e-14,"Demi","Callopistria floridensis"
203,2.22044604925031e-16,1.61478014722943e-14,"Demi","Callopistria floridensis"
204,2.22044604925031e-16,1.61352741641866e-14,"Demi","Callopistria floridensis"
205,2.22044604925031e-16,1.6128118395773e-14,"Demi","Callopistria floridensis"
206,2.22044604925031e-16,1.61264772789221e-14,"Demi","Callopistria floridensis"
207,2.22044604925031e-16,1.61304965097604e-14,"Demi","Callopistria floridensis"
208,2.22044604925031e-16,1.61403247681106e-14,"Demi","Callopistria floridensis"
209,2.22044604925031e-16,1.61561141374376e-14,"Demi","Callopistria floridensis"
210,2.22044604925031e-16,1.61780205411068e-14,"Demi","Callopistria floridensis"
211,2.22044604925031e-16,1.62062041903648e-14,"Demi","Callopistria floridensis"
212,2.22044604925031e-16,1.62408300390948e-14,"Demi","Callopistria floridensis"
213,2.22044604925031e-16,1.62820682400868e-14,"Demi","Callopistria floridensis"
214,2.22044604925031e-16,1.6330094597314e-14,"Demi","Callopistria floridensis"
215,2.22044604925031e-16,1.63850910085123e-14,"Demi","Callopistria floridensis"
216,2.22044604925031e-16,1.64472458922499e-14,"Demi","Callopistria floridensis"
217,2.22044604925031e-16,1.6516754593632e-14,"Demi","Callopistria floridensis"
218,2.22044604925031e-16,1.65938197628366e-14,"Demi","Callopistria floridensis"
219,2.22044604925031e-16,1.66786517008154e-14,"Demi","Callopistria floridensis"
220,2.22044604925031e-16,1.67714686667224e-14,"Demi","Callopistria floridensis"
221,2.22044604925031e-16,1.68724971419625e-14,"Demi","Callopistria floridensis"
222,2.22044604925031e-16,1.69819720461684e-14,"Demi","Callopistria floridensis"
223,2.22044604925031e-16,1.71001369009302e-14,"Demi","Callopistria floridensis"
224,2.22044604925031e-16,1.72272439377008e-14,"Demi","Callopistria floridensis"
225,2.22044604925031e-16,1.73635537485774e-14,"Demi","Callopistria floridensis"
226,2.22044604925031e-16,1.75092504334856e-14,"Demi","Callopistria floridensis"
227,2.22044604925031e-16,1.76643316243786e-14,"Demi","Callopistria floridensis"
228,2.22044604925031e-16,1.78287663220638e-14,"Demi","Callopistria floridensis"
229,2.22044604925031e-16,1.80025189839115e-14,"Demi","Callopistria floridensis"
230,2.22044604925031e-16,1.81855485094091e-14,"Demi","Callopistria floridensis"
231,2.22044604925031e-16,1.83778074021638e-14,"Demi","Callopistria floridensis"
232,2.22044604925031e-16,1.85792411051448e-14,"Demi","Callopistria floridensis"
233,2.22044604925031e-16,1.87897875036305e-14,"Demi","Callopistria floridensis"
234,2.22044604925031e-16,1.90093765883089e-14,"Demi","Callopistria floridensis"
235,2.22044604925031e-16,1.9237930269285e-14,"Demi","Callopistria floridensis"
236,2.22044604925031e-16,1.94753623303958e-14,"Demi","Callopistria floridensis"
237,2.22044604925031e-16,1.97215785122207e-14,"Demi","Callopistria floridensis"
238,2.22044604925031e-16,1.99764767114884e-14,"Demi","Callopistria floridensis"
239,2.22044604925031e-16,2.02399472842101e-14,"Demi","Callopistria floridensis"
240,2.22044604925031e-16,2.05118734397836e-14,"Demi","Callopistria floridensis"
241,2.22044604925031e-16,2.07921317134827e-14,"Demi","Callopistria floridensis"
242,2.22044604925031e-16,2.10805925051371e-14,"Demi","Callopistria floridensis"
243,2.22044604925031e-16,2.13771206723828e-14,"Demi","Callopistria floridensis"
244,2.22044604925031e-16,2.16815761675814e-14,"Demi","Callopistria floridensis"
245,2.22044604925031e-16,2.19938147083379e-14,"Demi","Callopistria floridensis"
246,2.22044604925031e-16,2.23136884724463e-14,"Demi","Callopistria floridensis"
247,2.22044604925031e-16,2.26410468090398e-14,"Demi","Callopistria floridensis"
248,2.22044604925031e-16,2.29757369586802e-14,"Demi","Callopistria floridensis"
249,2.22044604925031e-16,2.33176047760702e-14,"Demi","Callopistria floridensis"
250,2.22044604925031e-16,2.366649544999e-14,"Demi","Callopistria floridensis"
251,2.22044604925031e-16,2.40222542159342e-14,"Demi","Callopistria floridensis"
252,2.22044604925031e-16,2.43847270577388e-14,"Demi","Callopistria floridensis"
253,2.22044604925031e-16,2.47537613952353e-14,"Demi","Callopistria floridensis"
254,2.22044604925031e-16,2.51292067556462e-14,"Demi","Callopistria floridensis"
255,2.22044604925031e-16,2.55109154270402e-14,"Demi","Callopistria floridensis"
256,2.22044604925031e-16,2.58987430926894e-14,"Demi","Callopistria floridensis"
257,2.22044604925031e-16,2.62925494456302e-14,"Demi","Callopistria floridensis"
258,2.22044604925031e-16,2.66921987831114e-14,"Demi","Callopistria floridensis"
259,2.22044604925031e-16,2.70975605809355e-14,"Demi","Callopistria floridensis"
260,2.22044604925031e-16,2.75085100479562e-14,"Demi","Callopistria floridensis"
261,2.22044604925031e-16,2.79249286611988e-14,"Demi","Callopistria floridensis"
262,2.22044604925031e-16,2.83467046822243e-14,"Demi","Callopistria floridensis"
263,2.22044604925031e-16,2.87737336554646e-14,"Demi","Callopistria floridensis"
264,2.22044604925031e-16,2.92059188893269e-14,"Demi","Callopistria floridensis"
265,2.22044604925031e-16,2.96431719208979e-14,"Demi","Callopistria floridensis"
266,2.22044604925031e-16,3.00854129650854e-14,"Demi","Callopistria floridensis"
267,2.22044604925031e-16,3.05325713490128e-14,"Demi","Callopistria floridensis"
268,2.22044604925031e-16,3.09845859324401e-14,"Demi","Callopistria floridensis"
269,2.22044604925031e-16,3.14414055149269e-14,"Demi","Callopistria floridensis"
270,2.22044604925031e-16,3.19029892303771e-14,"Demi","Callopistria floridensis"
271,2.22044604925031e-16,3.23693069295201e-14,"Demi","Callopistria floridensis"
272,2.22044604925031e-16,3.28403395507871e-14,"Demi","Callopistria floridensis"
273,2.22044604925031e-16,3.33160794799403e-14,"Demi","Callopistria floridensis"
274,2.22044604925031e-16,3.37965308987041e-14,"Demi","Callopistria floridensis"
275,2.22044604925031e-16,3.42817101225372e-14,"Demi","Callopistria floridensis"
276,2.22044604925031e-16,3.47716459275707e-14,"Demi","Callopistria floridensis"
277,2.22044604925031e-16,3.52663798666257e-14,"Demi","Callopistria floridensis"
278,2.22044604925031e-16,3.57659665741075e-14,"Demi","Callopistria floridensis"
279,2.22044604925031e-16,3.62704740594643e-14,"Demi","Callopistria floridensis"
280,2.22044604925031e-16,3.67799839887888e-14,"Demi","Callopistria floridensis"
281,2.22044604925031e-16,3.72945919540333e-14,"Demi","Callopistria floridensis"
282,2.22044604925031e-16,3.78144077292088e-14,"Demi","Callopistria floridensis"
283,2.22044604925031e-16,3.83395664831532e-14,"Demi","Callopistria floridensis"
284,2.22044604925031e-16,3.8870293653056e-14,"Demi","Callopistria floridensis"
285,2.22044604925031e-16,3.94068461518158e-14,"Demi","Callopistria floridensis"
286,2.22044604925031e-16,3.99494721109148e-14,"Demi","Callopistria floridensis"
287,2.22044604925031e-16,4.04984098106068e-14,"Demi","Callopistria floridensis"
288,2.22044604925031e-16,4.10538868978995e-14,"Demi","Callopistria floridensis"
289,2.22044604925031e-16,4.16161197081321e-14,"Demi","Callopistria floridensis"
290,2.22044604925031e-16,4.21853126849404e-14,"Demi","Callopistria floridensis"
291,2.22044604925031e-16,4.27616578936015e-14,"Demi","Callopistria floridensis"
292,2.22044604925031e-16,4.33453346228878e-14,"Demi","Callopistria floridensis"
293,2.22044604925031e-16,4.39365090706637e-14,"Demi","Callopistria floridensis"
294,2.22044604925031e-16,4.45353341085267e-14,"Demi","Callopistria floridensis"
295,2.22044604925031e-16,4.51419491208477e-14,"Demi","Callopistria floridensis"
296,2.22044604925031e-16,4.57564799136026e-14,"Demi","Callopistria floridensis"
297,2.22044604925031e-16,4.63790386884276e-14,"Demi","Callopistria floridensis"
298,2.22044604925031e-16,4.70097240773667e-14,"Demi","Callopistria floridensis"
299,2.22044604925031e-16,4.76486212338291e-14,"Demi","Callopistria floridensis"
300,2.22044604925031e-16,4.82958019753303e-14,"Demi","Callopistria floridensis"
301,2.22044604925031e-16,4.89513249736625e-14,"Demi","Callopistria floridensis"
302,2.22044604925031e-16,4.96152359882265e-14,"Demi","Callopistria floridensis"
303,2.22044604925031e-16,5.02875681383605e-14,"Demi","Callopistria floridensis"
304,2.22044604925031e-16,5.09683422106178e-14,"Demi","Callopistria floridensis"
305,2.22044604925031e-16,5.16575669970827e-14,"Demi","Callopistria floridensis"
306,2.22044604925031e-16,5.23552396609608e-14,"Demi","Callopistria floridensis"
307,2.22044604925031e-16,5.30613461258424e-14,"Demi","Callopistria floridensis"
308,2.22044604925031e-16,5.37758614852134e-14,"Demi","Callopistria floridensis"
309,2.22044604925031e-16,5.44987504289675e-14,"Demi","Callopistria floridensis"
310,2.22044604925031e-16,5.52299676838705e-14,"Demi","Callopistria floridensis"
311,2.22044604925031e-16,5.59694584651178e-14,"Demi","Callopistria floridensis"
312,2.22044604925031e-16,5.6717158936331e-14,"Demi","Callopistria floridensis"
313,2.22044604925031e-16,5.74729966755389e-14,"Demi","Callopistria floridensis"
314,2.22044604925031e-16,5.82368911448901e-14,"Demi","Callopistria floridensis"
315,2.22044604925031e-16,5.90087541620423e-14,"Demi","Callopistria floridensis"
316,2.22044604925031e-16,5.9788490371371e-14,"Demi","Callopistria floridensis"
317,2.22044604925031e-16,6.05759977133274e-14,"Demi","Callopistria floridensis"
318,2.22044604925031e-16,6.1371167890461e-14,"Demi","Callopistria floridensis"
319,2.22044604925031e-16,6.21738868287986e-14,"Demi","Callopistria floridensis"
320,2.22044604925031e-16,6.29840351334366e-14,"Demi","Callopistria floridensis"
321,2.22044604925031e-16,6.38014885373676e-14,"Demi","Callopistria floridensis"
322,2.22044604925031e-16,6.46261183427058e-14,"Demi","Callopistria floridensis"
323,2.22044604925031e-16,6.54577918536199e-14,"Demi","Callopistria floridensis"
324,2.22044604925031e-16,6.6296372800411e-14,"Demi","Callopistria floridensis"
325,2.22044604925031e-16,6.71417217542901e-14,"Demi","Callopistria floridensis"
326,2.22044604925031e-16,6.79936965325252e-14,"Demi","Callopistria floridensis"
327,2.22044604925031e-16,6.88521525937215e-14,"Demi","Callopistria floridensis"
328,2.22044604925031e-16,6.9716943423095e-14,"Demi","Callopistria floridensis"
