"doy","fit","se","Site","validName"
69,2.22044604925031e-16,3.91175821235557e-14,"Demi","Euchlaena obtusaria"
70,2.22044604925031e-16,3.84965154428567e-14,"Demi","Euchlaena obtusaria"
71,2.22044604925031e-16,3.78758958223766e-14,"Demi","Euchlaena obtusaria"
72,2.22044604925031e-16,3.72558873773868e-14,"Demi","Euchlaena obtusaria"
73,2.22044604925031e-16,3.66366544956186e-14,"Demi","Euchlaena obtusaria"
74,2.22044604925031e-16,3.60183618468809e-14,"Demi","Euchlaena obtusaria"
75,2.22044604925031e-16,3.54011743932008e-14,"Demi","Euchlaena obtusaria"
76,2.22044604925031e-16,3.47852573994987e-14,"Demi","Euchlaena obtusaria"
77,2.22044604925031e-16,3.41707764448087e-14,"Demi","Euchlaena obtusaria"
78,2.22044604925031e-16,3.35578974340531e-14,"Demi","Euchlaena obtusaria"
79,2.22044604925031e-16,3.29467866103771e-14,"Demi","Euchlaena obtusaria"
80,2.22044604925031e-16,3.23376105680458e-14,"Demi","Euchlaena obtusaria"
81,2.22044604925031e-16,3.17305362659028e-14,"Demi","Euchlaena obtusaria"
82,2.22044604925031e-16,3.11257310413828e-14,"Demi","Euchlaena obtusaria"
83,2.22044604925031e-16,3.05233626250658e-14,"Demi","Euchlaena obtusaria"
84,2.22044604925031e-16,2.99235991557511e-14,"Demi","Euchlaena obtusaria"
85,2.22044604925031e-16,2.93266091960209e-14,"Demi","Euchlaena obtusaria"
86,2.22044604925031e-16,2.87325617482516e-14,"Demi","Euchlaena obtusaria"
87,2.22044604925031e-16,2.81416262710168e-14,"Demi","Euchlaena obtusaria"
88,2.22044604925031e-16,2.75539726958085e-14,"Demi","Euchlaena obtusaria"
89,2.22044604925031e-16,2.69697714439863e-14,"Demi","Euchlaena obtusaria"
90,2.22044604925031e-16,2.63891934438355e-14,"Demi","Euchlaena obtusaria"
91,2.22044604925031e-16,2.58124101475926e-14,"Demi","Euchlaena obtusaria"
92,2.22044604925031e-16,2.52395935482585e-14,"Demi","Euchlaena obtusaria"
93,2.22044604925031e-16,2.46709161959828e-14,"Demi","Euchlaena obtusaria"
94,2.22044604925031e-16,2.41065512137548e-14,"Demi","Euchlaena obtusaria"
95,2.22044604925031e-16,2.35466723120815e-14,"Demi","Euchlaena obtusaria"
96,2.22044604925031e-16,2.2991453802268e-14,"Demi","Euchlaena obtusaria"
97,2.22044604925031e-16,2.24410706078378e-14,"Demi","Euchlaena obtusaria"
98,2.22044604925031e-16,2.18956982735427e-14,"Demi","Euchlaena obtusaria"
99,2.22044604925031e-16,2.13555129713042e-14,"Demi","Euchlaena obtusaria"
100,2.22044604925031e-16,2.08206915023043e-14,"Demi","Euchlaena obtusaria"
101,2.22044604925031e-16,2.02914112943022e-14,"Demi","Euchlaena obtusaria"
102,2.22044604925031e-16,1.97678503930802e-14,"Demi","Euchlaena obtusaria"
103,2.22044604925031e-16,1.92501874467296e-14,"Demi","Euchlaena obtusaria"
104,2.22044604925031e-16,1.87386016812577e-14,"Demi","Euchlaena obtusaria"
105,2.22044604925031e-16,1.82332728657329e-14,"Demi","Euchlaena obtusaria"
106,2.22044604925031e-16,1.77343812648818e-14,"Demi","Euchlaena obtusaria"
107,2.22044604925031e-16,1.72421075766992e-14,"Demi","Euchlaena obtusaria"
108,2.22044604925031e-16,1.67566328522321e-14,"Demi","Euchlaena obtusaria"
109,2.22044604925031e-16,1.6278138394238e-14,"Demi","Euchlaena obtusaria"
110,2.22044604925031e-16,1.58068056308984e-14,"Demi","Euchlaena obtusaria"
111,2.22044604925031e-16,1.53428159601787e-14,"Demi","Euchlaena obtusaria"
112,2.22044604925031e-16,1.48863505597673e-14,"Demi","Euchlaena obtusaria"
113,2.22044604925031e-16,1.44375901567945e-14,"Demi","Euchlaena obtusaria"
114,2.22044604925031e-16,1.39967147507242e-14,"Demi","Euchlaena obtusaria"
115,2.22044604925031e-16,1.35639032819395e-14,"Demi","Euchlaena obtusaria"
116,2.22044604925031e-16,1.31393332376033e-14,"Demi","Euchlaena obtusaria"
117,2.22044604925031e-16,1.27231801853987e-14,"Demi","Euchlaena obtusaria"
118,2.22044604925031e-16,1.2315617224751e-14,"Demi","Euchlaena obtusaria"
119,2.22044604925031e-16,1.19168143441532e-14,"Demi","Euchlaena obtusaria"
120,2.22044604925031e-16,1.15269376723025e-14,"Demi","Euchlaena obtusaria"
121,2.22044604925031e-16,1.11461486099848e-14,"Demi","Euchlaena obtusaria"
122,2.22044604925031e-16,1.07746028291043e-14,"Demi","Euchlaena obtusaria"
123,2.22044604925031e-16,1.04124491250727e-14,"Demi","Euchlaena obtusaria"
124,3.18365215793861e-16,1.44236755848161e-14,"Demi","Euchlaena obtusaria"
125,8.76503360045512e-16,3.83565718469501e-14,"Demi","Euchlaena obtusaria"
126,2.37953007411941e-15,1.00559922512604e-13,"Demi","Euchlaena obtusaria"
127,6.36839060646585e-15,2.5985879602042e-13,"Demi","Euchlaena obtusaria"
128,1.67981058612219e-14,6.61735765162589e-13,"Demi","Euchlaena obtusaria"
129,4.36590522597082e-14,1.66025611033442e-12,"Demi","Euchlaena obtusaria"
130,1.11779691541847e-13,4.10316154946323e-12,"Demi","Euchlaena obtusaria"
131,2.81849563238627e-13,9.98679103921683e-12,"Demi","Euchlaena obtusaria"
132,6.9972747257134e-13,2.39336374365193e-11,"Demi","Euchlaena obtusaria"
133,1.70997132721883e-12,5.64649547685233e-11,"Demi","Euchlaena obtusaria"
134,4.1123334091681e-12,1.3111402692423e-10,"Demi","Euchlaena obtusaria"
135,9.73012990377666e-12,2.99592835737937e-10,"Demi","Euchlaena obtusaria"
136,2.26449326304009e-11,6.73499646098041e-10,"Demi","Euchlaena obtusaria"
137,5.18246938494355e-11,1.48928375737524e-09,"Demi","Euchlaena obtusaria"
138,1.16602273591608e-10,3.23862319210409e-09,"Demi","Euchlaena obtusaria"
139,2.57853539309491e-10,6.92456875775489e-09,"Demi","Euchlaena obtusaria"
140,5.60308752215542e-10,1.45538879969818e-08,"Demi","Euchlaena obtusaria"
141,1.19621255483306e-09,3.0065181579907e-08,"Demi","Euchlaena obtusaria"
142,2.50907757709866e-09,6.10443299684552e-08,"Demi","Euchlaena obtusaria"
143,5.17066903550435e-09,1.21821417098222e-07,"Demi","Euchlaena obtusaria"
144,1.04690782066989e-08,2.38944523301474e-07,"Demi","Euchlaena obtusaria"
145,2.08257828387885e-08,4.60640513580611e-07,"Demi","Euchlaena obtusaria"
146,4.07031058367737e-08,8.72797604636345e-07,"Demi","Euchlaena obtusaria"
147,7.81608403474351e-08,1.62534064309024e-06,"Demi","Euchlaena obtusaria"
148,1.47464839641006e-07,2.97472069140878e-06,"Demi","Euchlaena obtusaria"
149,2.73355283484988e-07,5.3506807530625e-06,"Demi","Euchlaena obtusaria"
150,4.97861248188671e-07,9.45848945433921e-06,"Demi","Euchlaena obtusaria"
151,8.90908640704771e-07,1.6431311566449e-05,"Demi","Euchlaena obtusaria"
152,1.56640532081116e-06,2.80509356915197e-05,"Demi","Euchlaena obtusaria"
153,2.70597259695243e-06,4.70580068133966e-05,"Demi","Euchlaena obtusaria"
154,4.59296398018357e-06,7.75741091170497e-05,"Demi","Euchlaena obtusaria"
155,7.65976102403447e-06,0.000125655969493667,"Demi","Euchlaena obtusaria"
156,1.25513971440519e-05,0.000199994794622386,"Demi","Euchlaena obtusaria"
157,2.0208111420187e-05,0.000312759263606787,"Demi","Euchlaena obtusaria"
158,3.19682103316633e-05,0.000480557206898911,"Demi","Euchlaena obtusaria"
159,4.96903430322491e-05,0.000725457661502282,"Demi","Euchlaena obtusaria"
160,7.58907553248216e-05,0.00107597266258284,"Demi","Euchlaena obtusaria"
