"doy","fit","se","Site","validName"
69,2.22044604925031e-16,7.40487679712555e-14,"Demi","Herpetogramma bipunctalis"
70,2.22044604925031e-16,7.30011906286476e-14,"Demi","Herpetogramma bipunctalis"
71,2.22044604925031e-16,7.19540652963877e-14,"Demi","Herpetogramma bipunctalis"
72,2.22044604925031e-16,7.09076104414782e-14,"Demi","Herpetogramma bipunctalis"
73,2.22044604925031e-16,6.98620446015511e-14,"Demi","Herpetogramma bipunctalis"
74,2.22044604925031e-16,6.88175863829669e-14,"Demi","Herpetogramma bipunctalis"
75,2.22044604925031e-16,6.77744544587767e-14,"Demi","Herpetogramma bipunctalis"
76,2.22044604925031e-16,6.67328675665292e-14,"Demi","Herpetogramma bipunctalis"
77,2.22044604925031e-16,6.56930445058962e-14,"Demi","Herpetogramma bipunctalis"
78,2.22044604925031e-16,6.46552041360907e-14,"Demi","Herpetogramma bipunctalis"
79,2.22044604925031e-16,6.36195653730478e-14,"Demi","Herpetogramma bipunctalis"
80,2.22044604925031e-16,6.25863471863356e-14,"Demi","Herpetogramma bipunctalis"
81,2.22044604925031e-16,6.15557685957583e-14,"Demi","Herpetogramma bipunctalis"
82,2.22044604925031e-16,6.05280486676139e-14,"Demi","Herpetogramma bipunctalis"
83,2.22044604925031e-16,5.95034065105572e-14,"Demi","Herpetogramma bipunctalis"
84,2.22044604925031e-16,5.84820612710223e-14,"Demi","Herpetogramma bipunctalis"
85,2.22044604925031e-16,5.74642321281455e-14,"Demi","Herpetogramma bipunctalis"
86,2.22044604925031e-16,5.64501382881286e-14,"Demi","Herpetogramma bipunctalis"
87,2.22044604925031e-16,5.54399989779723e-14,"Demi","Herpetogramma bipunctalis"
88,2.22044604925031e-16,5.44340334385031e-14,"Demi","Herpetogramma bipunctalis"
89,2.22044604925031e-16,5.34324609166091e-14,"Demi","Herpetogramma bipunctalis"
90,2.22044604925031e-16,5.24355006565864e-14,"Demi","Herpetogramma bipunctalis"
91,2.22044604925031e-16,5.14433718904929e-14,"Demi","Herpetogramma bipunctalis"
92,2.22044604925031e-16,5.04562938273874e-14,"Demi","Herpetogramma bipunctalis"
93,2.22044604925031e-16,4.94744856413238e-14,"Demi","Herpetogramma bipunctalis"
94,2.22044604925031e-16,4.84981664579509e-14,"Demi","Herpetogramma bipunctalis"
95,2.22044604925031e-16,4.75275553395531e-14,"Demi","Herpetogramma bipunctalis"
96,2.22044604925031e-16,4.65628712683474e-14,"Demi","Herpetogramma bipunctalis"
97,2.22044604925031e-16,4.56043331278303e-14,"Demi","Herpetogramma bipunctalis"
98,2.22044604925031e-16,4.46521596819451e-14,"Demi","Herpetogramma bipunctalis"
99,2.22044604925031e-16,4.37065695518116e-14,"Demi","Herpetogramma bipunctalis"
100,2.22044604925031e-16,4.27677811897318e-14,"Demi","Herpetogramma bipunctalis"
101,2.22044604925031e-16,4.18360128501501e-14,"Demi","Herpetogramma bipunctalis"
102,2.22044604925031e-16,4.09114825572101e-14,"Demi","Herpetogramma bipunctalis"
103,2.22044604925031e-16,3.99944080685072e-14,"Demi","Herpetogramma bipunctalis"
104,2.22044604925031e-16,3.90850068345897e-14,"Demi","Herpetogramma bipunctalis"
105,2.22044604925031e-16,3.81834959537097e-14,"Demi","Herpetogramma bipunctalis"
106,2.22044604925031e-16,3.7290092121266e-14,"Demi","Herpetogramma bipunctalis"
107,2.22044604925031e-16,3.64050115733169e-14,"Demi","Herpetogramma bipunctalis"
108,2.22044604925031e-16,3.55284700234692e-14,"Demi","Herpetogramma bipunctalis"
109,2.22044604925031e-16,3.46606825923712e-14,"Demi","Herpetogramma bipunctalis"
110,2.22044604925031e-16,3.3801863728946e-14,"Demi","Herpetogramma bipunctalis"
111,2.22044604925031e-16,3.29522271224101e-14,"Demi","Herpetogramma bipunctalis"
112,2.22044604925031e-16,3.21119856040082e-14,"Demi","Herpetogramma bipunctalis"
113,2.22044604925031e-16,3.12813510372838e-14,"Demi","Herpetogramma bipunctalis"
114,2.22044604925031e-16,3.04605341955726e-14,"Demi","Herpetogramma bipunctalis"
115,2.22044604925031e-16,2.96497446252679e-14,"Demi","Herpetogramma bipunctalis"
116,2.22044604925031e-16,2.88491904932527e-14,"Demi","Herpetogramma bipunctalis"
117,2.22044604925031e-16,2.8059078416735e-14,"Demi","Herpetogramma bipunctalis"
