"doy","fit","se","Site","validName"
69,0.0534288203102526,0.0905326065707418,"Demi","Idia americalis"
70,0.0542328371426645,0.0907493033014612,"Demi","Idia americalis"
71,0.0550488383098899,0.0909591090113687,"Demi","Idia americalis"
72,0.055876884164381,0.0911621378856107,"Demi","Idia americalis"
73,0.0567170306329086,0.0913585293355101,"Demi","Idia americalis"
74,0.057569328996629,0.0915484489171821,"Demi","Idia americalis"
75,0.0584338256668634,0.0917320892107357,"Demi","Idia americalis"
76,0.0593105619566886,0.091909670651394,"Demi","Idia americalis"
77,0.0601995738484409,0.0920814423031601,"Demi","Idia americalis"
78,0.0611008917572581,0.092247682564967,"Demi","Idia americalis"
79,0.0620145402907857,0.0924086997985379,"Demi","Idia americalis"
80,0.0629405380051966,0.0925648328665004,"Demi","Idia americalis"
81,0.0638788971576791,0.0927164515686203,"Demi","Idia americalis"
82,0.0648296234555652,0.0928639569633831,"Demi","Idia americalis"
83,0.065792715802287,0.0930077815615681,"Demi","Idia americalis"
84,0.0667681660403563,0.0931483893779262,"Demi","Idia americalis"
85,0.0677559586915883,0.0932862758266478,"Demi","Idia americalis"
86,0.0687560706947938,0.0934219674459632,"Demi","Idia americalis"
87,0.0697684711411886,0.0935560214370253,"Demi","Idia americalis"
88,0.0707931210077797,0.0936890250021717,"Demi","Idia americalis"
89,0.0718299728890058,0.0938215944677961,"Demi","Idia americalis"
90,0.0728789707269251,0.0939543741774027,"Demi","Idia americalis"
91,0.0739400495402616,0.0940880351409878,"Demi","Idia americalis"
92,0.0750131351526344,0.0942232734277282,"Demi","Idia americalis"
93,0.0760981439203171,0.094360808290086,"Demi","Idia americalis"
94,0.0771949824598841,0.0945013800088663,"Demi","Idia americalis"
95,0.078303547376126,0.0946457474505346,"Demi","Idia americalis"
96,0.0794237249906268,0.0947946853302148,"Demi","Idia americalis"
97,0.0805553910714177,0.0949489811762533,"Demi","Idia americalis"
98,0.0816984105641369,0.0951094319950717,"Demi","Idia americalis"
99,0.0828526373251445,0.0952768406382084,"Demi","Idia americalis"
100,0.0840179138570567,0.0954520118769737,"Demi","Idia americalis"
101,0.0851940710471835,0.0956357481939772,"Demi","Idia americalis"
102,0.0863809279093686,0.0958288453048909,"Demi","Idia americalis"
103,0.0875782913297501,0.0960320874281432,"Demi","Idia americalis"
104,0.088785955816973,0.096246242324728,"Demi","Idia americalis"
105,0.0900037032574075,0.0964720561348867,"Demi","Idia americalis"
106,0.091231302675936,0.0967102480429991,"Demi","Idia americalis"
107,0.0924685100028927,0.0969615048064944,"Demi","Idia americalis"
108,0.0937150678477529,0.0972264751888797,"Demi","Idia americalis"
109,0.0949707052801834,0.0975057643409608,"Demi","Idia americalis"
110,0.0962351376190814,0.0977999281779014,"Demi","Idia americalis"
111,0.097508066230239,0.0981094678028226,"Demi","Idia americalis"
112,0.0987891783332888,0.0984348240300958,"Demi","Idia americalis"
113,0.100078146818594,0.0987763720632338,"Demi","Idia americalis"
114,0.101374630074755,0.0991344163832756,"Demi","Idia americalis"
115,0.102678271827426,0.0995091859037467,"Demi","Idia americalis"
116,0.103988700990126,0.0999008294476096,"Demi","Idia americalis"
117,0.105305531527757,0.100309411600119,"Demi","Idia americalis"
118,0.106628362333532,0.100734908989179,"Demi","Idia americalis"
119,0.107956777120034,0.101177207041706,"Demi","Idia americalis"
120,0.109290344325122,0.101636097260716,"Demi","Idia americalis"
121,0.11062861703341,0.102111275063471,"Demi","Idia americalis"
122,0.111971132914036,0.102602338216163,"Demi","Idia americalis"
123,0.113317414175464,0.103108785895393,"Demi","Idia americalis"
124,0.114666967538025,0.103630018401279,"Demi","Idia americalis"
125,0.116019284224913,0.104165337541558,"Demi","Idia americalis"
126,0.117373839972385,0.104713947700641,"Demi","Idia americalis"
127,0.118730095059826,0.105274957602397,"Demi","Idia americalis"
128,0.120087494360417,0.105847382770655,"Demi","Idia americalis"
129,0.121445467413084,0.106430148687004,"Demi","Idia americalis"
130,0.122803428516389,0.107022094641724,"Demi","Idia americalis"
131,0.124160776845061,0.107621978270486,"Demi","Idia americalis"
132,0.125516896589772,0.108228480766962,"Demi","Idia americalis"
133,0.126871157120819,0.10884021275974,"Demi","Idia americalis"
134,0.128222913176294,0.109455720840832,"Demi","Idia americalis"
135,0.129571505075344,0.110073494732698,"Demi","Idia americalis"
136,0.130916258957062,0.110691975081003,"Demi","Idia americalis"
137,0.132256487045545,0.111309561861169,"Demi","Idia americalis"
