"doy","fit","se","Site","validName"
69,0.113722886013566,0.132368544304041,"Demi","Metarranthis homuraria"
70,0.113053235389503,0.130938627643456,"Demi","Metarranthis homuraria"
71,0.112387527960872,0.129523220223806,"Demi","Metarranthis homuraria"
72,0.111725740504993,0.128122221135144,"Demi","Metarranthis homuraria"
73,0.111067849935994,0.126735530384201,"Demi","Metarranthis homuraria"
74,0.110413833304002,0.125363048888047,"Demi","Metarranthis homuraria"
75,0.109763667794341,0.124004678467685,"Demi","Metarranthis homuraria"
76,0.109117330726736,0.122660321841577,"Demi","Metarranthis homuraria"
77,0.108474799554524,0.121329882619096,"Demi","Metarranthis homuraria"
78,0.10783605186386,0.120013265293912,"Demi","Metarranthis homuraria"
79,0.10720106537294,0.118710375237269,"Demi","Metarranthis homuraria"
80,0.106569817931221,0.117421118691196,"Demi","Metarranthis homuraria"
81,0.105942287518645,0.116145402761598,"Demi","Metarranthis homuraria"
82,0.105318452244874,0.114883135411257,"Demi","Metarranthis homuraria"
83,0.104698290348523,0.113634225452708,"Demi","Metarranthis homuraria"
84,0.104081780196401,0.112398582541008,"Demi","Metarranthis homuraria"
85,0.103468900282755,0.111176117166363,"Demi","Metarranthis homuraria"
86,0.102859629228518,0.10996674064663,"Demi","Metarranthis homuraria"
87,0.102253945780565,0.108770365119676,"Demi","Metarranthis homuraria"
88,0.101651828810969,0.107586903535573,"Demi","Metarranthis homuraria"
89,0.101053257316262,0.106416269648651,"Demi","Metarranthis homuraria"
90,0.100458210416704,0.105258378009367,"Demi","Metarranthis homuraria"
91,0.0998666673555531,0.104113143956004,"Demi","Metarranthis homuraria"
92,0.0992786074983399,0.102980483606186,"Demi","Metarranthis homuraria"
93,0.0986940103321473,0.101860313848185,"Demi","Metarranthis homuraria"
94,0.0981128554648941,0.100752552332041,"Demi","Metarranthis homuraria"
95,0.097535122624623,0.0996571174604502,"Demi","Metarranthis homuraria"
96,0.0969607916587929,0.0985739283794424,"Demi","Metarranthis homuraria"
97,0.0963898425335744,0.097502904968815,"Demi","Metarranthis homuraria"
98,0.0958222553331513,0.0964439678323288,"Demi","Metarranthis homuraria"
