"doy","fit","se","Site","validName"
69,2.22044604925031e-16,4.0194074710057e-12,"Demi","Mocis disseverans"
70,2.22044604925031e-16,3.99028885384278e-12,"Demi","Mocis disseverans"
71,2.22044604925031e-16,3.96121506529694e-12,"Demi","Mocis disseverans"
72,2.22044604925031e-16,3.93218823034832e-12,"Demi","Mocis disseverans"
73,2.22044604925031e-16,3.90321043840705e-12,"Demi","Mocis disseverans"
74,2.22044604925031e-16,3.87428374187191e-12,"Demi","Mocis disseverans"
75,2.22044604925031e-16,3.84541015467998e-12,"Demi","Mocis disseverans"
76,2.22044604925031e-16,3.8165916508481e-12,"Demi","Mocis disseverans"
77,2.22044604925031e-16,3.78783016300674e-12,"Demi","Mocis disseverans"
78,2.22044604925031e-16,3.75912758092708e-12,"Demi","Mocis disseverans"
79,2.22044604925031e-16,3.73048575004219e-12,"Demi","Mocis disseverans"
80,2.22044604925031e-16,3.70190646996326e-12,"Demi","Mocis disseverans"
81,2.22044604925031e-16,3.67339149299181e-12,"Demi","Mocis disseverans"
82,2.22044604925031e-16,3.64494252262918e-12,"Demi","Mocis disseverans"
83,2.22044604925031e-16,3.61656121208426e-12,"Demi","Mocis disseverans"
84,2.22044604925031e-16,3.58824916278107e-12,"Demi","Mocis disseverans"
85,2.22044604925031e-16,3.56000792286724e-12,"Demi","Mocis disseverans"
86,2.22044604925031e-16,3.5318389857252e-12,"Demi","Mocis disseverans"
87,2.22044604925031e-16,3.50374378848748e-12,"Demi","Mocis disseverans"
88,2.22044604925031e-16,3.47572371055797e-12,"Demi","Mocis disseverans"
89,2.22044604925031e-16,3.44778007214083e-12,"Demi","Mocis disseverans"
90,2.22044604925031e-16,3.41991413277912e-12,"Demi","Mocis disseverans"
91,2.22044604925031e-16,3.39212708990517e-12,"Demi","Mocis disseverans"
92,2.22044604925031e-16,3.36442007740476e-12,"Demi","Mocis disseverans"
93,2.22044604925031e-16,3.33679416419766e-12,"Demi","Mocis disseverans"
94,2.22044604925031e-16,3.30925035283669e-12,"Demi","Mocis disseverans"
95,2.22044604925031e-16,3.2817895781281e-12,"Demi","Mocis disseverans"
96,2.22044604925031e-16,3.25441270577586e-12,"Demi","Mocis disseverans"
97,2.22044604925031e-16,3.22712053105271e-12,"Demi","Mocis disseverans"
98,2.22044604925031e-16,3.19991377750102e-12,"Demi","Mocis disseverans"
