"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.38688340245929e-14,"Demi","Mocis marcida"
70,2.22044604925031e-16,1.37437338047492e-14,"Demi","Mocis marcida"
71,2.22044604925031e-16,1.36188664920227e-14,"Demi","Mocis marcida"
72,2.22044604925031e-16,1.34942490386154e-14,"Demi","Mocis marcida"
73,2.22044604925031e-16,1.33698982739942e-14,"Demi","Mocis marcida"
74,2.22044604925031e-16,1.3245830896864e-14,"Demi","Mocis marcida"
75,2.22044604925031e-16,1.3122063466925e-14,"Demi","Mocis marcida"
76,2.22044604925031e-16,1.29986123964089e-14,"Demi","Mocis marcida"
77,2.22044604925031e-16,1.28754939413897e-14,"Demi","Mocis marcida"
78,2.22044604925031e-16,1.27527241928648e-14,"Demi","Mocis marcida"
79,2.22044604925031e-16,1.2630319067604e-14,"Demi","Mocis marcida"
80,2.22044604925031e-16,1.25082942987605e-14,"Demi","Mocis marcida"
81,2.22044604925031e-16,1.23866654262449e-14,"Demi","Mocis marcida"
82,2.22044604925031e-16,1.22654477868564e-14,"Demi","Mocis marcida"
83,2.22044604925031e-16,1.21446565041728e-14,"Demi","Mocis marcida"
84,2.22044604925031e-16,1.20243064781968e-14,"Demi","Mocis marcida"
85,2.22044604925031e-16,1.19044123747584e-14,"Demi","Mocis marcida"
86,2.22044604925031e-16,1.17849886146763e-14,"Demi","Mocis marcida"
87,2.22044604925031e-16,1.16660493626776e-14,"Demi","Mocis marcida"
88,2.22044604925031e-16,1.15476085160799e-14,"Demi","Mocis marcida"
89,2.22044604925031e-16,1.14296796932402e-14,"Demi","Mocis marcida"
90,2.22044604925031e-16,1.13122762217741e-14,"Demi","Mocis marcida"
91,2.22044604925031e-16,1.1195411126553e-14,"Demi","Mocis marcida"
92,2.22044604925031e-16,1.10790971174866e-14,"Demi","Mocis marcida"
93,2.22044604925031e-16,1.09633465770993e-14,"Demi","Mocis marcida"
94,2.22044604925031e-16,1.08481715479124e-14,"Demi","Mocis marcida"
95,2.22044604925031e-16,1.07335837196436e-14,"Demi","Mocis marcida"
96,2.22044604925031e-16,1.06195944162382e-14,"Demi","Mocis marcida"
97,2.22044604925031e-16,1.05062145827489e-14,"Demi","Mocis marcida"
98,2.22044604925031e-16,1.03934547720809e-14,"Demi","Mocis marcida"
99,2.22044604925031e-16,1.02813251316243e-14,"Demi","Mocis marcida"
100,2.22044604925031e-16,1.01698353897951e-14,"Demi","Mocis marcida"
101,2.22044604925031e-16,1.00589948425107e-14,"Demi","Mocis marcida"
102,2.22044604925031e-16,9.94881233962637e-15,"Demi","Mocis marcida"
103,2.22044604925031e-16,9.83929627136366e-15,"Demi","Mocis marcida"
104,2.22044604925031e-16,9.73045455476358e-15,"Demi","Mocis marcida"
105,2.22044604925031e-16,9.62229462019967e-15,"Demi","Mocis marcida"
106,2.22044604925031e-16,9.51482339799035e-15,"Demi","Mocis marcida"
107,2.22044604925031e-16,9.40804730515214e-15,"Demi","Mocis marcida"
108,2.22044604925031e-16,9.30197223233907e-15,"Demi","Mocis marcida"
109,2.22044604925031e-16,9.19660353101671e-15,"Demi","Mocis marcida"
110,2.22044604925031e-16,9.0919460009229e-15,"Demi","Mocis marcida"
111,2.22044604925031e-16,8.98800387787074e-15,"Demi","Mocis marcida"
112,2.22044604925031e-16,8.8847808219534e-15,"Demi","Mocis marcida"
113,2.22044604925031e-16,8.78227990621371e-15,"Demi","Mocis marcida"
114,2.22044604925031e-16,8.68050360584599e-15,"Demi","Mocis marcida"
115,2.75003816014808e-16,1.06257142875397e-14,"Demi","Mocis marcida"
116,3.4486717095558e-16,1.31693096677991e-14,"Demi","Mocis marcida"
117,4.32732796396742e-16,1.63305066580198e-14,"Demi","Mocis marcida"
118,5.43310392535327e-16,2.02615842645038e-14,"Demi","Mocis marcida"
119,6.82561643814882e-16,2.51529843231065e-14,"Demi","Mocis marcida"
120,8.58038618353386e-16,3.12430391097754e-14,"Demi","Mocis marcida"
121,1.0793152160885e-15,3.88302220674654e-14,"Demi","Mocis marcida"
122,1.35853770388304e-15,4.82885877621344e-14,"Demi","Mocis marcida"
123,1.71112779331159e-15,6.00872461900091e-14,"Demi","Mocis marcida"
124,2.1566812857524e-15,7.48149445342609e-14,"Demi","Mocis marcida"
125,2.72011766516578e-15,9.3211120043049e-14,"Demi","Mocis marcida"
126,3.43315198810077e-15,1.16205158365095e-13,"Demi","Mocis marcida"
127,4.33618107923586e-15,1.44966064899335e-13,"Demi","Mocis marcida"
128,5.48070279176984e-15,1.80965361369174e-13,"Demi","Mocis marcida"
129,6.9324217651667e-15,2.26056793069568e-13,"Demi","Mocis marcida"
130,8.77524009790505e-15,2.82577421890019e-13,"Demi","Mocis marcida"
131,1.11163897740685e-14,3.53475947929686e-13,"Demi","Mocis marcida"
132,1.40930396280309e-14,4.42475727795329e-13,"Demi","Mocis marcida"
133,1.78808084564999e-14,5.54282043137839e-13,"Demi","Mocis marcida"
134,2.27047446143604e-14,6.94845851235176e-13,"Demi","Mocis marcida"
135,2.88535002786873e-14,8.7169969193408e-13,"Demi","Mocis marcida"
136,3.66976476479519e-14,1.09438585393986e-12,"Demi","Mocis marcida"
137,4.67133705967675e-14,1.37500260577213e-12,"Demi","Mocis marcida"
138,5.95131397167034e-14,1.72890164541899e-12,"Demi","Mocis marcida"
139,7.58854689077199e-14,2.17557940153309e-12,"Demi","Mocis marcida"
140,9.68464314869406e-14,2.73981533045364e-12,"Demi","Mocis marcida"
141,1.23703521441638e-13,3.45304682121519e-12,"Demi","Mocis marcida"
142,1.58137156145706e-13,4.35509641662362e-12,"Demi","Mocis marcida"
143,2.02310414709734e-13,5.49649247208018e-12,"Demi","Mocis marcida"
144,2.59008515715349e-13,6.94135930571658e-12,"Demi","Mocis marcida"
145,3.31818323935813e-13,8.77107758638471e-12,"Demi","Mocis marcida"
146,4.25359600588667e-13,1.10889259655571e-11,"Demi","Mocis marcida"
147,5.45582835103826e-13,1.40259645528766e-11,"Demi","Mocis marcida"
148,7.00152710098711e-13,1.77484890285407e-11,"Demi","Mocis marcida"
149,8.98941643940049e-13,2.24674698524315e-11,"Demi","Mocis marcida"
150,1.15466474999481e-12,2.84504985211836e-11,"Demi","Mocis marcida"
151,1.48369635752579e-12,3.60368975347322e-11,"Demi","Mocis marcida"
152,1.90711947335093e-12,4.56568193385732e-11,"Demi","Mocis marcida"
153,2.45207387853762e-12,5.78553702513957e-11,"Demi","Mocis marcida"
154,3.15348677268164e-12,7.33230584315774e-11,"Demi","Mocis marcida"
155,4.05629303330904e-12,9.2934192779178e-11,"Demi","Mocis marcida"
156,5.21828154637594e-12,1.1779526765279e-10,"Demi","Mocis marcida"
157,6.71374130910594e-12,1.49305875188181e-10,"Demi","Mocis marcida"
158,8.63812813619184e-12,1.89235315788483e-10,"Demi","Mocis marcida"
159,1.11140323413426e-11,2.39818855984604e-10,"Demi","Mocis marcida"
160,1.42988028587636e-11,3.03878545344142e-10,"Demi","Mocis marcida"
161,1.8394277806544e-11,3.8497469166909e-10,"Demi","Mocis marcida"
162,2.36591902888419e-11,4.875955562276e-10,"Demi","Mocis marcida"
163,3.0424967218353e-11,6.17394628338711e-10,"Demi","Mocis marcida"
164,3.91158254042374e-11,7.81487043565698e-10,"Demi","Mocis marcida"
165,5.02743020214526e-11,9.88819408735166e-10,"Demi","Mocis marcida"
166,6.45936467526716e-11,1.25063059354437e-09,"Demi","Mocis marcida"
167,8.29588636264452e-11,1.58102506599199e-09,"Demi","Mocis marcida"
168,1.06498637920267e-10,1.99768523367341e-09,"Demi","Mocis marcida"
169,1.36650936825576e-10,2.52275517827426e-09,"Demi","Mocis marcida"
170,1.75245755153029e-10,3.1839353403931e-09,"Demi","Mocis marcida"
171,2.24609317013958e-10,4.01583636554762e-09,"Demi","Mocis marcida"
172,2.87695074250834e-10,5.06165073965102e-09,"Demi","Mocis marcida"
173,3.68248101581151e-10,6.37521334886066e-09,"Demi","Mocis marcida"
174,4.71011023060102e-10,8.02353707128828e-09,"Demi","Mocis marcida"
175,6.01981468456984e-10,1.00899273805316e-08,"Demi","Mocis marcida"
176,7.68733314076755e-10,1.26778012101775e-08,"Demi","Mocis marcida"
177,9.80816682601312e-10,1.59153605596219e-08,"Demi","Mocis marcida"
178,1.25025494317568e-09,1.99613011534357e-08,"Demi","Mocis marcida"
179,1.59216085967729e-09,2.50117716148858e-08,"Demi","Mocis marcida"
180,2.0254986866548e-09,3.13088398741714e-08,"Demi","Mocis marcida"
181,2.57402452487237e-09,3.91507717770962e-08,"Demi","Mocis marcida"
182,3.26744374855526e-09,4.89044830383032e-08,"Demi","Mocis marcida"
183,4.14283194057936e-09,6.1020590807853e-08,"Demi","Mocis marcida"
184,5.24637466351302e-09,7.60515662526961e-08,"Demi","Mocis marcida"
185,6.63549170096904e-09,9.46735757811637e-08,"Demi","Mocis marcida"
186,8.38142327143672e-09,1.17712696932018e-07,"Demi","Mocis marcida"
187,1.05723692840708e-08,1.4617630651947e-07,"Demi","Mocis marcida"
188,1.33172880944365e-08,1.81290564249332e-07,"Demi","Mocis marcida"
189,1.67504785212021e-08,2.24545055353958e-07,"Demi","Mocis marcida"
190,2.10370881526049e-08,2.77745811150924e-07,"Demi","Mocis marcida"
191,2.63797121937752e-08,3.43078096642783e-07,"Demi","Mocis marcida"
192,3.3026270189992e-08,4.23180538506106e-07,"Demi","Mocis marcida"
193,4.12793727061925e-08,5.21232363343815e-07,"Demi","Mocis marcida"
194,5.15074161119437e-08,6.4105572202261e-07,"Demi","Mocis marcida"
195,6.41576705055633e-08,7.87235286962007e-07,"Demi","Mocis marcida"
196,7.97716527957895e-08,9.65257519256144e-07,"Demi","Mocis marcida"
197,9.90031030823641e-08,1.18167220318576e-06,"Demi","Mocis marcida"
198,1.22638906488126e-07,1.44427902610928e-06,"Demi","Mocis marcida"
199,1.51623322916023e-07,1.76234212798423e-06,"Demi","Mocis marcida"
200,1.87085901888844e-07,2.1468356395028e-06,"Demi","Mocis marcida"
201,2.30373466331085e-07,2.61072324986018e-06,"Demi","Mocis marcida"
202,2.83086545100983e-07,3.16927476924197e-06,"Demi","Mocis marcida"
203,3.47120616072439e-07,3.8404224476921e-06,"Demi","Mocis marcida"
204,4.2471248597291e-07,4.64515944735461e-06,"Demi","Mocis marcida"
205,5.18492075987091e-07,5.60798230150969e-06,"Demi","Mocis marcida"
206,6.31539798996684e-07,6.75737839040972e-06,"Demi","Mocis marcida"
207,7.67449600687184e-07,8.12635837755618e-06,"Demi","Mocis marcida"
208,9.30397587990531e-07,9.75303213703999e-06,"Demi","Mocis marcida"
209,1.12521597996346e-06,1.16812249208125e-05,"Demi","Mocis marcida"
210,1.35747188414012e-06,1.39611283266452e-05,"Demi","Mocis marcida"
211,1.63355012227795e-06,1.66499780034679e-05,"Demi","Mocis marcida"
212,1.96073900097515e-06,1.98127469534342e-05,"Demi","Mocis marcida"
213,2.34731754415304e-06,2.35228397592883e-05,"Demi","Mocis marcida"
214,2.80264227717715e-06,2.78627691039095e-05,"Demi","Mocis marcida"
215,3.33723118029772e-06,3.29247916071704e-05,"Demi","Mocis marcida"
216,3.96284191908324e-06,3.88114753687137e-05,"Demi","Mocis marcida"
217,4.69254092217752e-06,4.56361667990136e-05,"Demi","Mocis marcida"
218,5.54075932670932e-06,5.35233195149286e-05,"Demi","Mocis marcida"
219,6.52333126819327e-06,6.260864348785e-05,"Demi","Mocis marcida"
220,7.6575094786791e-06,7.30390285300469e-05,"Demi","Mocis marcida"
221,8.9619527029211e-06,8.49721929039369e-05,"Demi","Mocis marcida"
222,1.04566790807147e-05,9.85760056995109e-05,"Demi","Mocis marcida"
223,1.21629794116146e-05,0.000114027431041806,"Demi","Mocis marcida"
224,1.41032841565156e-05,0.000131511043579478,"Demi","Mocis marcida"
225,1.63009789317584e-05,0.000151217075949395,"Demi","Mocis marcida"
226,1.87803443701189e-05,0.000173340768307062,"Demi","Mocis marcida"
227,2.15666454219187e-05,0.000198083320684618,"Demi","Mocis marcida"
228,2.46856661240095e-05,0.000225647429852679,"Demi","Mocis marcida"
229,2.81633514347131e-05,0.000256233981816646,"Demi","Mocis marcida"
230,3.20254377076107e-05,0.000290038755870831,"Demi","Mocis marcida"
231,3.62970303597608e-05,0.000327248743772731,"Demi","Mocis marcida"
232,4.10021302613871e-05,0.000368038111927486,"Demi","Mocis marcida"
233,4.61631119790041e-05,0.000412563847861732,"Demi","Mocis marcida"
234,5.18001587609183e-05,0.000460961146277482,"Demi","Mocis marcida"
235,5.79306610260745e-05,0.000513338604221989,"Demi","Mocis marcida"
236,6.45685870571657e-05,0.00056977330893985,"Demi","Mocis marcida"
237,7.17238365499482e-05,0.000630305915290822,"Demi","Mocis marcida"
238,7.94015895671611e-05,0.000694935821687752,"Demi","Mocis marcida"
239,8.76016652143933e-05,0.000763616563782853,"Demi","Mocis marcida"
240,9.63179059184466e-05,0.00083625155305925,"Demi","Mocis marcida"
241,0.000105537604465267,0.000912690292545317,"Demi","Mocis marcida"
242,0.000115240991863775,0.000992725203587626,"Demi","Mocis marcida"
243,0.00012540080456709,0.00107608919559243,"Demi","Mocis marcida"
244,0.000135981949534457,0.00116245410456914,"Demi","Mocis marcida"
245,0.000146941284997661,0.0012514301159922,"Demi","Mocis marcida"
246,0.000158227533562277,0.00134256627288386,"Demi","Mocis marcida"
247,0.000169781342402598,0.00143535215120173,"Demi","Mocis marcida"
248,0.000181535502797614,0.00152922076183783,"Demi","Mocis marcida"
249,0.000193415338126158,0.00162355271220899,"Demi","Mocis marcida"
250,0.000205339265740496,0.0017176816311005,"Demi","Mocis marcida"
251,0.000217219533944025,0.00181090082882395,"Demi","Mocis marcida"
252,0.000228963130710958,0.00190247113170138,"Demi","Mocis marcida"
253,0.000240472855928659,0.00199162979632931,"Demi","Mocis marcida"
254,0.000251648543962459,0.00207760037602949,"Demi","Mocis marcida"
255,0.000262388418400407,0.00215960338041907,"Demi","Mocis marcida"
256,0.000272590556105083,0.0022368675402063,"Demi","Mocis marcida"
257,0.000282154433359018,0.00230864146418228,"Demi","Mocis marcida"
258,0.000290982523114919,0.00237420545491139,"Demi","Mocis marcida"
259,0.000298981909316955,0.0024328832346958,"Demi","Mocis marcida"
260,0.000306065882091963,0.00248405332472966,"Demi","Mocis marcida"
261,0.000312155476442117,0.00252715981852579,"Demi","Mocis marcida"
262,0.000317180916993303,0.00256172229604091,"Demi","Mocis marcida"
263,0.000321082932419746,0.00258734463757962,"Demi","Mocis marcida"
264,0.000323813905386662,0.00260372251641106,"Demi","Mocis marcida"
265,0.0003253388271969,0.00261064937573417,"Demi","Mocis marcida"
266,0.000325636030718291,0.00260802072858351,"Demi","Mocis marcida"
267,0.000324697680486454,0.00259583665764938,"Demi","Mocis marcida"
268,0.0003225300049647,0.00257420243475594,"Demi","Mocis marcida"
269,0.000319153262606405,0.00254332722567914,"Demi","Mocis marcida"
270,0.000314601440386996,0.00250352089372603,"Demi","Mocis marcida"
271,0.000308921690616156,0.00245518896357313,"Demi","Mocis marcida"
272,0.000302173518861102,0.00239882585375821,"Demi","Mocis marcida"
273,0.000294427742466214,0.00233500653042682,"Demi","Mocis marcida"
274,0.000285765245212244,0.0022643767750049,"Demi","Mocis marcida"
275,0.000276275558911387,0.00218764229307264,"Demi","Mocis marcida"
276,0.000266055307005163,0.00210555691969918,"Demi","Mocis marcida"
277,0.00025520654838101,0.00201891019692873,"Demi","Mocis marcida"
278,0.000243835061555821,0.00192851461131974,"Demi","Mocis marcida"
279,0.000232048610042921,0.00183519278305386,"Demi","Mocis marcida"
280,0.000219955229124876,0.001739764893091,"Demi","Mocis marcida"
281,0.000207661572448244,0.00164303662140743,"Demi","Mocis marcida"
282,0.000195271353932985,0.00154578784808387,"Demi","Mocis marcida"
283,0.000182885193823716,0.00144877174087848,"Demi","Mocis marcida"
284,0.000170606526369176,0.00135275840036827,"Demi","Mocis marcida"
285,0.000158532876481822,0.00125847075482382,"Demi","Mocis marcida"
286,0.00014675037262081,0.00116654457032712,"Demi","Mocis marcida"
287,0.000135333348639633,0.00107752602039787,"Demi","Mocis marcida"
288,0.000124344263449988,0.000991871612994607,"Demi","Mocis marcida"
289,0.000113833885434158,0.000909950062589445,"Demi","Mocis marcida"
290,0.000103841705646741,0.000832045823070849,"Demi","Mocis marcida"
291,9.4396541445354e-05,0.000758363982486036,"Demi","Mocis marcida"
292,8.55172914349124e-05,0.000689036218659398,"Demi","Mocis marcida"
293,7.7213803298999e-05,0.000624127523729163,"Demi","Mocis marcida"
294,6.94878179899039e-05,0.000563643423618887,"Demi","Mocis marcida"
295,6.23339566051538e-05,0.000507537443301097,"Demi","Mocis marcida"
