"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.64976965579032e-14,"Demi","Phyprosopus callitrichoides"
70,2.22044604925031e-16,1.64992373732699e-14,"Demi","Phyprosopus callitrichoides"
71,2.22044604925031e-16,1.65007787922253e-14,"Demi","Phyprosopus callitrichoides"
72,2.22044604925031e-16,1.65023208145867e-14,"Demi","Phyprosopus callitrichoides"
73,2.22044604925031e-16,1.65038634401713e-14,"Demi","Phyprosopus callitrichoides"
74,2.22044604925031e-16,1.65054066687952e-14,"Demi","Phyprosopus callitrichoides"
75,2.22044604925031e-16,1.65069505002739e-14,"Demi","Phyprosopus callitrichoides"
76,2.22044604925031e-16,1.65084949344221e-14,"Demi","Phyprosopus callitrichoides"
77,2.22044604925031e-16,1.65100399710538e-14,"Demi","Phyprosopus callitrichoides"
78,2.22044604925031e-16,1.65115856099821e-14,"Demi","Phyprosopus callitrichoides"
79,2.22044604925031e-16,1.65131318510198e-14,"Demi","Phyprosopus callitrichoides"
80,2.22044604925031e-16,1.65146786939783e-14,"Demi","Phyprosopus callitrichoides"
81,2.22044604925031e-16,1.6516226138669e-14,"Demi","Phyprosopus callitrichoides"
82,2.22044604925031e-16,1.65177741849019e-14,"Demi","Phyprosopus callitrichoides"
83,2.22044604925031e-16,1.65193228324869e-14,"Demi","Phyprosopus callitrichoides"
84,2.22044604925031e-16,1.65208720812328e-14,"Demi","Phyprosopus callitrichoides"
85,2.22044604925031e-16,1.65224219309476e-14,"Demi","Phyprosopus callitrichoides"
86,2.22044604925031e-16,1.65239723814391e-14,"Demi","Phyprosopus callitrichoides"
87,2.22044604925031e-16,1.6525523432514e-14,"Demi","Phyprosopus callitrichoides"
88,2.22044604925031e-16,1.65270750839785e-14,"Demi","Phyprosopus callitrichoides"
89,2.22044604925031e-16,1.65286273356381e-14,"Demi","Phyprosopus callitrichoides"
90,2.22044604925031e-16,1.65301801872977e-14,"Demi","Phyprosopus callitrichoides"
91,2.22044604925031e-16,1.65317336387613e-14,"Demi","Phyprosopus callitrichoides"
92,2.22044604925031e-16,1.65332876898326e-14,"Demi","Phyprosopus callitrichoides"
93,2.22044604925031e-16,1.65348423403144e-14,"Demi","Phyprosopus callitrichoides"
94,2.22044604925031e-16,1.65363975900091e-14,"Demi","Phyprosopus callitrichoides"
95,2.22044604925031e-16,1.65379534387184e-14,"Demi","Phyprosopus callitrichoides"
96,2.22044604925031e-16,1.65395098862434e-14,"Demi","Phyprosopus callitrichoides"
