"doy","fit","se","Site","validName"
69,0.575674605451552,0.538237449600952,"Demi","Scopula timandrata"
70,0.554480262204024,0.509251323338748,"Demi","Scopula timandrata"
71,0.534066221147883,0.481949096803673,"Demi","Scopula timandrata"
72,0.514403754215925,0.456250356160291,"Demi","Scopula timandrata"
73,0.495465191014036,0.432078127110912,"Demi","Scopula timandrata"
74,0.477223879880944,0.409358671916337,"Demi","Scopula timandrata"
75,0.459654150381641,0.388021291415934,"Demi","Scopula timandrata"
76,0.442731277181689,0.367998132487732,"Demi","Scopula timandrata"
77,0.426431445251566,0.349224001651928,"Demi","Scopula timandrata"
78,0.410731716352101,0.331636185801784,"Demi","Scopula timandrata"
79,0.395609996753801,0.315174281329904,"Demi","Scopula timandrata"
80,0.381045006144672,0.299780033185429,"Demi","Scopula timandrata"
81,0.367016247682755,0.285397185623052,"Demi","Scopula timandrata"
82,0.353503979151248,0.27197134655846,"Demi","Scopula timandrata"
83,0.340489185175602,0.259449867494709,"Demi","Scopula timandrata"
84,0.32795355046351,0.247781740899912,"Demi","Scopula timandrata"
85,0.315879434030115,0.236917516673813,"Demi","Scopula timandrata"
86,0.304249844372172,0.226809238925925,"Demi","Scopula timandrata"
87,0.293048415556224,0.217410403703038,"Demi","Scopula timandrata"
88,0.282259384187135,0.20867593757072,"Demi","Scopula timandrata"
89,0.271867567224576,0.200562196114141,"Demi","Scopula timandrata"
90,0.261858340616245,0.19302698053884,"Demi","Scopula timandrata"
91,0.252217618717737,0.186029569696104,"Demi","Scopula timandrata"
92,0.242931834470121,0.179530764109331,"Demi","Scopula timandrata"
93,0.233987920307315,0.173492938010404,"Demi","Scopula timandrata"
94,0.225373289766391,0.167880095066479,"Demi","Scopula timandrata"
95,0.217075819774936,0.162657923420896,"Demi","Scopula timandrata"
96,0.209083833590537,0.157793845891709,"Demi","Scopula timandrata"
97,0.201386084368376,0.153257061642573,"Demi","Scopula timandrata"
98,0.193971739333825,0.149018576313777,"Demi","Scopula timandrata"
99,0.186830364537746,0.145051218409133,"Demi","Scopula timandrata"
100,0.179951910173066,0.14132964060284,"Demi","Scopula timandrata"
101,0.173326696431935,0.13783030548749,"Demi","Scopula timandrata"
102,0.166945399883592,0.134531456068041,"Demi","Scopula timandrata"
103,0.160799040353747,0.131413071971135,"Demi","Scopula timandrata"
104,0.154878968287028,0.128456812856357,"Demi","Scopula timandrata"
105,0.149176852574698,0.125645950875671,"Demi","Scopula timandrata"
106,0.143684668830521,0.122965294233998,"Demi","Scopula timandrata"
