"doy","fit","se","Site","validName"
69,0.0309711923289569,0.0507062455831804,"Joma","Apantesis phalerata"
70,0.0307966419114835,0.0502499197680829,"Joma","Apantesis phalerata"
71,0.0306230681575669,0.049799289037286,"Joma","Apantesis phalerata"
72,0.0304504585981897,0.049354312384186,"Joma","Apantesis phalerata"
73,0.0302788009530738,0.0489149476443899,"Joma","Apantesis phalerata"
74,0.0301080831283183,0.048481151493423,"Joma","Apantesis phalerata"
75,0.0299382932140794,0.0480528794462396,"Joma","Apantesis phalerata"
76,0.0297694194822886,0.0476300858585761,"Joma","Apantesis phalerata"
77,0.0296014503844116,0.0472127239301848,"Joma","Apantesis phalerata"
78,0.029434374549244,0.0468007457099828,"Joma","Apantesis phalerata"
79,0.0292681807807455,0.0463941021031471,"Joma","Apantesis phalerata"
80,0.0291028580559103,0.0459927428801844,"Joma","Apantesis phalerata"
81,0.0289383955226732,0.0455966166879979,"Joma","Apantesis phalerata"
82,0.0287747824978516,0.0452056710629737,"Joma","Apantesis phalerata"
83,0.0286120084651201,0.044819852446099,"Joma","Apantesis phalerata"
84,0.0284500630730211,0.0444391062001266,"Joma","Apantesis phalerata"
85,0.0282889361330059,0.0440633766287892,"Joma","Apantesis phalerata"
86,0.0281286176175096,0.0436926069980676,"Joma","Apantesis phalerata"
87,0.0279690976580567,0.0433267395595062,"Joma","Apantesis phalerata"
88,0.0278103665433976,0.0429657155755693,"Joma","Apantesis phalerata"
89,0.0276524147176749,0.0426094753470234,"Joma","Apantesis phalerata"
90,0.0274952327786196,0.0422579582423255,"Joma","Apantesis phalerata"
91,0.0273388114757761,0.0419111027289922,"Joma","Apantesis phalerata"
92,0.0271831417087541,0.04156884640692,"Joma","Apantesis phalerata"
93,0.0270282145255097,0.0412311260436203,"Joma","Apantesis phalerata"
94,0.0268740211206522,0.040897877611327,"Joma","Apantesis phalerata"
95,0.0267205528337774,0.0405690363259313,"Joma","Apantesis phalerata"
96,0.0265678011478265,0.04024453668769,"Joma","Apantesis phalerata"
97,0.0264157576874705,0.0399243125236515,"Joma","Apantesis phalerata"
98,0.0262644142175182,0.0396082970317364,"Joma","Apantesis phalerata"
99,0.026113762641349,0.0392964228264061,"Joma","Apantesis phalerata"
100,0.0259637949993683,0.0389886219858471,"Joma","Apantesis phalerata"
101,0.0258145034674864,0.0386848261005965,"Joma","Apantesis phalerata"
102,0.0256658803556187,0.0383849663235268,"Joma","Apantesis phalerata"
103,0.0255179181062088,0.0380889734211087,"Joma","Apantesis phalerata"
104,0.025370609292772,0.037796777825862,"Joma","Apantesis phalerata"
105,0.0252239466184591,0.0375083096899062,"Joma","Apantesis phalerata"
106,0.025077922914642,0.0372234989395176,"Joma","Apantesis phalerata"
107,0.024932531139517,0.0369422753305962,"Joma","Apantesis phalerata"
108,0.0247877643767287,0.0366645685049465,"Joma","Apantesis phalerata"
109,0.024643615834012,0.0363903080472719,"Joma","Apantesis phalerata"
110,0.0245000788418525,0.0361194235427833,"Joma","Apantesis phalerata"
111,0.0243571468521648,0.0358518446353197,"Joma","Apantesis phalerata"
112,0.0242148134369879,0.0355875010858808,"Joma","Apantesis phalerata"
113,0.0240730722871979,0.035326322831468,"Joma","Apantesis phalerata"
114,0.0239319172112362,0.0350682400441337,"Joma","Apantesis phalerata"
115,0.0237913421338552,0.034813183190139,"Joma","Apantesis phalerata"
116,0.0236513410948784,0.0345610830891181,"Joma","Apantesis phalerata"
117,0.0235119082479759,0.0343118709731536,"Joma","Apantesis phalerata"
118,0.0233730378594552,0.0340654785456655,"Joma","Apantesis phalerata"
119,0.0232347243070659,0.03382183804002,"Joma","Apantesis phalerata"
120,0.0230969620788184,0.0335808822777657,"Joma","Apantesis phalerata"
121,0.0229597457718163,0.0333425447264098,"Joma","Apantesis phalerata"
122,0.0228230700911023,0.0331067595566471,"Joma","Apantesis phalerata"
123,0.0226869298485163,0.0328734616989586,"Joma","Apantesis phalerata"
124,0.0225513199615664,0.0326425868995022,"Joma","Apantesis phalerata"
125,0.0224162354523121,0.0324140717752177,"Joma","Apantesis phalerata"
126,0.022281671446259,0.0321878538680751,"Joma","Apantesis phalerata"
127,0.0221476231712651,0.0319638716983984,"Joma","Apantesis phalerata"
128,0.0220140859564578,0.0317420648171998,"Joma","Apantesis phalerata"
129,0.0218810552311622,0.0315223738574645,"Joma","Apantesis phalerata"
130,0.0217485265238397,0.0313047405843311,"Joma","Apantesis phalerata"
131,0.0216164954610361,0.031089107944114,"Joma","Apantesis phalerata"
132,0.0214849577663403,0.0308754201121218,"Joma","Apantesis phalerata"
133,0.0213539092593516,0.0306636225392265,"Joma","Apantesis phalerata"
134,0.0212233458546572,0.0304536619971454,"Joma","Apantesis phalerata"
135,0.0210932635608178,0.0302454866223986,"Joma","Apantesis phalerata"
136,0.0209636584793617,0.0300390459589107,"Joma","Apantesis phalerata"
137,0.0208345268037876,0.0298342909992291,"Joma","Apantesis phalerata"
138,0.0207058648185757,0.0296311742243329,"Joma","Apantesis phalerata"
139,0.0205776688982055,0.0294296496420126,"Joma","Apantesis phalerata"
140,0.0204499357428571,0.0292296732901827,"Joma","Apantesis phalerata"
141,0.0203226712783667,0.0290312208180027,"Joma","Apantesis phalerata"
142,0.0201958930872454,0.0288342923142449,"Joma","Apantesis phalerata"
143,0.0200696190949327,0.0286388899657316,"Joma","Apantesis phalerata"
144,0.0199438667703791,0.0284450164004238,"Joma","Apantesis phalerata"
145,0.0198186531305541,0.0282526746168929,"Joma","Apantesis phalerata"
146,0.0196939947451015,0.0280618679171973,"Joma","Apantesis phalerata"
147,0.019569907741138,0.0278725998431343,"Joma","Apantesis phalerata"
148,0.0194464078081852,0.0276848741158388,"Joma","Apantesis phalerata"
149,0.0193235102032307,0.0274986945786866,"Joma","Apantesis phalerata"
150,0.0192012297559097,0.0273140651434625,"Joma","Apantesis phalerata"
151,0.0190795808738026,0.0271309897397423,"Joma","Apantesis phalerata"
152,0.0189585775478392,0.026949472267437,"Joma","Apantesis phalerata"
153,0.0188382333578071,0.0267695165524431,"Joma","Apantesis phalerata"
154,0.0187185614779541,0.0265911263053377,"Joma","Apantesis phalerata"
155,0.0185995746826821,0.0264143050830557,"Joma","Apantesis phalerata"
156,0.0184812853523235,0.0262390562534835,"Joma","Apantesis phalerata"
157,0.0183637054789975,0.0260653829628997,"Joma","Apantesis phalerata"
158,0.0182468466725376,0.025893288106192,"Joma","Apantesis phalerata"
159,0.0181307201664867,0.0257227742997787,"Joma","Apantesis phalerata"
160,0.0180153368241552,0.02555384385716,"Joma","Apantesis phalerata"
161,0.0179007071447333,0.0253864987670231,"Joma","Apantesis phalerata"
162,0.0177868412694576,0.0252207406738251,"Joma","Apantesis phalerata"
163,0.0176737489878221,0.0250565708607766,"Joma","Apantesis phalerata"
164,0.0175614397438328,0.0248939902351463,"Joma","Apantesis phalerata"
165,0.0174499226422983,0.02473299931581,"Joma","Apantesis phalerata"
166,0.0173392064551539,0.024573598222964,"Joma","Apantesis phalerata"
167,0.0172292996278141,0.0244157866699239,"Joma","Apantesis phalerata"
168,0.0171202102855491,0.0242595639569311,"Joma","Apantesis phalerata"
169,0.0170119462398814,0.0241049289668873,"Joma","Apantesis phalerata"
170,0.0169045149949992,0.0239518801629398,"Joma","Apantesis phalerata"
171,0.0167979237541816,0.0238004155878392,"Joma","Apantesis phalerata"
172,0.0166921794262332,0.0236505328649938,"Joma","Apantesis phalerata"
173,0.0165872886319236,0.0235022292011439,"Joma","Apantesis phalerata"
174,0.0164832577104291,0.023355501390581,"Joma","Apantesis phalerata"
175,0.0163800927257733,0.0232103458208385,"Joma","Apantesis phalerata"
176,0.0162777994732629,0.023066758479781,"Joma","Apantesis phalerata"
177,0.0161763834859166,0.0229247349640197,"Joma","Apantesis phalerata"
178,0.0160758500408837,0.0227842704885864,"Joma","Apantesis phalerata"
179,0.01597620416585,0.0226453598977946,"Joma","Apantesis phalerata"
180,0.0158774506454279,0.0225079976772231,"Joma","Apantesis phalerata"
181,0.0157795940275295,0.0223721779667557,"Joma","Apantesis phalerata"
182,0.0156826386297184,0.0222378945746143,"Joma","Apantesis phalerata"
183,0.0155865885455404,0.0221051409923232,"Joma","Apantesis phalerata"
184,0.015491447650829,0.0219739104105458,"Joma","Apantesis phalerata"
185,0.0153972196099846,0.0218441957357356,"Joma","Apantesis phalerata"
186,0.0153039078822263,0.0217159896075457,"Joma","Apantesis phalerata"
187,0.015211515727813,0.0215892844169447,"Joma","Apantesis phalerata"
