"doy","fit","se","Site","validName"
69,0.245557101670423,0.245803522642362,"Joma","Hypenula cacuminalis"
70,0.245233340623363,0.24242335727303,"Joma","Hypenula cacuminalis"
71,0.244909790947384,0.23908266443333,"Joma","Hypenula cacuminalis"
72,0.244586237717369,0.235782667231095,"Joma","Hypenula cacuminalis"
73,0.244262467145688,0.232524596529588,"Joma","Hypenula cacuminalis"
74,0.243938266583157,0.229309688690821,"Joma","Hypenula cacuminalis"
75,0.243613424521853,0.226139183104775,"Joma","Hypenula cacuminalis"
76,0.243287730599776,0.223014319494071,"Joma","Hypenula cacuminalis"
77,0.242960975607323,0.219936334984398,"Joma","Hypenula cacuminalis"
78,0.242632951495584,0.216906460932075,"Joma","Hypenula cacuminalis"
79,0.242303451386409,0.213925919501509,"Joma","Hypenula cacuminalis"
80,0.241972269584257,0.210995919987014,"Joma","Hypenula cacuminalis"
81,0.241639201589789,0.208117654875576,"Joma","Hypenula cacuminalis"
82,0.241304044115195,0.205292295649614,"Joma","Hypenula cacuminalis"
83,0.240966595101235,0.202520988331721,"Joma","Hypenula cacuminalis"
84,0.240626653735977,0.19980484877672,"Joma","Hypenula cacuminalis"
85,0.240284020475197,0.197144957720155,"Joma","Hypenula cacuminalis"
86,0.23993849706445,0.19454235559655,"Joma","Hypenula cacuminalis"
87,0.239589886562757,0.191998037145418,"Joma","Hypenula cacuminalis"
88,0.239237993367914,0.189512945827979,"Joma","Hypenula cacuminalis"
89,0.238882623243383,0.187087968082883,"Joma","Hypenula cacuminalis"
90,0.238523583346754,0.184723927454762,"Joma","Hypenula cacuminalis"
91,0.238160682259752,0.182421578635157,"Joma","Hypenula cacuminalis"
92,0.237793730019754,0.180181601461047,"Joma","Hypenula cacuminalis"
93,0.237422538152811,0.178004594921834,"Joma","Hypenula cacuminalis"
94,0.237046919708131,0.175891071230946,"Joma","Hypenula cacuminalis"
95,0.236666689294013,0.173841450023097,"Joma","Hypenula cacuminalis"
96,0.236281663115185,0.171856052742512,"Joma","Hypenula cacuminalis"
97,0.235891659011544,0.169935097290811,"Joma","Hypenula cacuminalis"
98,0.235496496498244,0.168078693005736,"Joma","Hypenula cacuminalis"
99,0.235095996807119,0.166286836043074,"Joma","Hypenula cacuminalis"
100,0.234689982929403,0.164559405234111,"Joma","Hypenula cacuminalis"
101,0.234278279659719,0.162896158489352,"Joma","Hypenula cacuminalis"
102,0.233860713641299,0.161296729816136,"Joma","Hypenula cacuminalis"
103,0.233437113412414,0.159760627013098,"Joma","Hypenula cacuminalis"
104,0.233007309453958,0.158287230098079,"Joma","Hypenula cacuminalis"
105,0.232571134238178,0.156875790518292,"Joma","Hypenula cacuminalis"
106,0.232128422278485,0.155525431182315,"Joma","Hypenula cacuminalis"
107,0.231679010180333,0.154235147342985,"Joma","Hypenula cacuminalis"
108,0.23122273669311,0.15300380834887,"Joma","Hypenula cacuminalis"
109,0.230759442763007,0.151830160269793,"Joma","Hypenula cacuminalis"
110,0.230288971586834,0.150712829389356,"Joma","Hypenula cacuminalis"
111,0.229811168666716,0.149650326544803,"Joma","Hypenula cacuminalis"
112,0.229325881865654,0.148641052282253,"Joma","Hypenula cacuminalis"
113,0.22883296146389,0.147683302783685,"Joma","Hypenula cacuminalis"
114,0.228332260216029,0.146775276511336,"Joma","Hypenula cacuminalis"
115,0.227823633408888,0.145915081505764,"Joma","Hypenula cacuminalis"
116,0.227306938919998,0.145100743265829,"Joma","Hypenula cacuminalis"
117,0.226782037276743,0.144330213132603,"Joma","Hypenula cacuminalis"
118,0.226248791716046,0.143601377094707,"Joma","Hypenula cacuminalis"
119,0.225707068244594,0.142912064929937,"Joma","Hypenula cacuminalis"
