"doy","fit","se","Site","validName"
69,4.44561151887643e-07,7.48004138377559e-06,"Joma","Hypoprepia fucosa"
70,4.21022106773599e-07,7.09626632999442e-06,"Joma","Hypoprepia fucosa"
71,3.98729429258442e-07,6.73245082159792e-06,"Joma","Hypoprepia fucosa"
72,3.77617125433837e-07,6.38754034585612e-06,"Joma","Hypoprepia fucosa"
73,3.57622695708838e-07,6.06053704504058e-06,"Joma","Hypoprepia fucosa"
74,3.38686949788465e-07,5.75049662242319e-06,"Joma","Hypoprepia fucosa"
75,3.20753831449022e-07,5.45652541967637e-06,"Joma","Hypoprepia fucosa"
76,3.0377025259149e-07,5.17777765607458e-06,"Joma","Hypoprepia fucosa"
77,2.8768593608168e-07,4.91345282043876e-06,"Joma","Hypoprepia fucosa"
78,2.72453266911897e-07,4.66279320727579e-06,"Joma","Hypoprepia fucosa"
79,2.58027151243538e-07,4.42508158904777e-06,"Joma","Hypoprepia fucosa"
80,2.44364882913245e-07,4.19963901695892e-06,"Joma","Hypoprepia fucosa"
81,2.3142601700752e-07,3.9858227430792e-06,"Joma","Hypoprepia fucosa"
82,2.19172250131442e-07,3.78302425702563e-06,"Joma","Hypoprepia fucosa"
83,2.07567307017093e-07,3.5906674308067e-06,"Joma","Hypoprepia fucosa"
84,1.96576833135994e-07,3.40820676579367e-06,"Joma","Hypoprepia fucosa"
85,1.86168292997635e-07,3.23512573612302e-06,"Joma","Hypoprepia fucosa"
86,1.76310873833018e-07,3.07093522315452e-06,"Joma","Hypoprepia fucosa"
87,1.66975394378099e-07,2.91517203591263e-06,"Joma","Hypoprepia fucosa"
88,1.58134218487055e-07,2.7673975127229e-06,"Joma","Hypoprepia fucosa"
89,1.4976117331971e-07,2.62719619952647e-06,"Joma","Hypoprepia fucosa"
90,1.41831471860831e-07,2.49417460060658e-06,"Joma","Hypoprepia fucosa"
91,1.34321639541982e-07,2.36795999770384e-06,"Joma","Hypoprepia fucosa"
92,1.27209444748717e-07,2.24819933372127e-06,"Joma","Hypoprepia fucosa"
93,1.2047383300731e-07,2.13455815743302e-06,"Joma","Hypoprepia fucosa"
94,1.14094864656305e-07,2.02671962581424e-06,"Joma","Hypoprepia fucosa"
95,1.08053655818265e-07,1.92438356079641e-06,"Joma","Hypoprepia fucosa"
96,1.02332322497032e-07,1.827265557434e-06,"Joma","Hypoprepia fucosa"
97,9.69139276349979e-08,1.73509614063618e-06,"Joma","Hypoprepia fucosa"
98,9.17824309736309e-08,1.64761996777685e-06,"Joma","Hypoprepia fucosa"
99,8.69226415688579e-08,1.56459507464716e-06,"Joma","Hypoprepia fucosa"
100,8.2320172820717e-08,1.48579216235662e-06,"Joma","Hypoprepia fucosa"
101,7.79613998841399e-08,1.4109939229219e-06,"Joma","Hypoprepia fucosa"
102,7.38334193348072e-08,1.33999440141052e-06,"Joma","Hypoprepia fucosa"
103,6.99240109706455e-08,1.27259839262411e-06,"Joma","Hypoprepia fucosa"
104,6.62216016359246e-08,1.20862087042025e-06,"Joma","Hypoprepia fucosa"
105,6.27152309608121e-08,1.14788644787607e-06,"Joma","Hypoprepia fucosa"
106,5.93945189150009e-08,1.09022886659911e-06,"Joma","Hypoprepia fucosa"
107,5.62496350793313e-08,1.03549051358354e-06,"Joma","Hypoprepia fucosa"
108,5.32712695444714e-08,9.83521964101101e-07,"Joma","Hypoprepia fucosa"
109,5.04506053504571e-08,9.34181549197906e-07,"Joma","Hypoprepia fucosa"
