"doy","fit","se","Site","validName"
69,2.22044604925031e-16,6.83096891477236e-14,"Joma","Hypoprepia miniata"
70,2.22044604925031e-16,6.64303535520084e-14,"Joma","Hypoprepia miniata"
71,2.22044604925031e-16,6.45522722262843e-14,"Joma","Hypoprepia miniata"
72,2.22044604925031e-16,6.26766958086925e-14,"Joma","Hypoprepia miniata"
73,2.22044604925031e-16,6.08048749486254e-14,"Joma","Hypoprepia miniata"
74,2.22044604925031e-16,5.89380603077325e-14,"Joma","Hypoprepia miniata"
75,2.22044604925031e-16,5.70775025611132e-14,"Joma","Hypoprepia miniata"
76,2.22044604925031e-16,5.52244523987077e-14,"Joma","Hypoprepia miniata"
77,2.22044604925031e-16,5.33801605269609e-14,"Joma","Hypoprepia miniata"
78,2.22044604925031e-16,5.1545877670759e-14,"Joma","Hypoprepia miniata"
79,2.22044604925031e-16,4.97228545757035e-14,"Joma","Hypoprepia miniata"
80,2.22044604925031e-16,4.79123420108199e-14,"Joma","Hypoprepia miniata"
81,2.22044604925031e-16,4.61155907717355e-14,"Joma","Hypoprepia miniata"
82,2.22044604925031e-16,4.43338516844619e-14,"Joma","Hypoprepia miniata"
83,2.22044604925031e-16,4.25683756098746e-14,"Joma","Hypoprepia miniata"
84,2.22044604925031e-16,4.08204134490785e-14,"Joma","Hypoprepia miniata"
85,2.22044604925031e-16,3.90912161497837e-14,"Joma","Hypoprepia miniata"
86,2.22044604925031e-16,3.73820347140016e-14,"Joma","Hypoprepia miniata"
87,2.22044604925031e-16,3.56941202072978e-14,"Joma","Hypoprepia miniata"
88,2.22044604925031e-16,3.40287237700181e-14,"Joma","Hypoprepia miniata"
89,2.22044604925031e-16,3.23870966309247e-14,"Joma","Hypoprepia miniata"
90,2.22044604925031e-16,3.07704901238859e-14,"Joma","Hypoprepia miniata"
91,2.22044604925031e-16,2.91801557084061e-14,"Joma","Hypoprepia miniata"
92,2.22044604925031e-16,2.76173449949891e-14,"Joma","Hypoprepia miniata"
93,2.22044604925031e-16,2.60833097767747e-14,"Joma","Hypoprepia miniata"
94,2.22044604925031e-16,2.45793020690904e-14,"Joma","Hypoprepia miniata"
95,2.22044604925031e-16,2.31065741594566e-14,"Joma","Hypoprepia miniata"
96,2.22044604925031e-16,2.1666378671155e-14,"Joma","Hypoprepia miniata"
97,2.22044604925031e-16,2.02599686447743e-14,"Joma","Hypoprepia miniata"
98,2.22044604925031e-16,1.88885976437301e-14,"Joma","Hypoprepia miniata"
99,2.22044604925031e-16,1.75535198922274e-14,"Joma","Hypoprepia miniata"
100,2.22044604925031e-16,1.62559904574287e-14,"Joma","Hypoprepia miniata"
101,2.22044604925031e-16,1.49972654928195e-14,"Joma","Hypoprepia miniata"
102,2.22044604925031e-16,1.37786025675172e-14,"Joma","Hypoprepia miniata"
103,2.22044604925031e-16,1.26012611178695e-14,"Joma","Hypoprepia miniata"
104,2.22044604925031e-16,1.14665030763873e-14,"Joma","Hypoprepia miniata"
105,2.22044604925031e-16,1.03755937622346e-14,"Joma","Hypoprepia miniata"
106,2.22044604925031e-16,9.32980316599386e-15,"Joma","Hypoprepia miniata"
107,2.22044604925031e-16,8.33040784239786e-15,"Joma","Hypoprepia miniata"
108,9.9223220177842e-15,3.29725532544016e-13,"Joma","Hypoprepia miniata"
109,4.95722450190754e-13,1.44578118937752e-11,"Joma","Hypoprepia miniata"
110,1.99750503439214e-11,5.05890630838894e-10,"Joma","Hypoprepia miniata"
111,6.45694077511414e-10,1.40243142309084e-08,"Joma","Hypoprepia miniata"
112,1.66540916151267e-08,3.05641587114988e-07,"Joma","Hypoprepia miniata"
113,3.40907002870244e-07,5.19223048918222e-06,"Joma","Hypoprepia miniata"
114,5.50855034492441e-06,6.80971873395666e-05,"Joma","Hypoprepia miniata"
115,6.98860913162183e-05,0.000681776239047293,"Joma","Hypoprepia miniata"
116,0.00069240757148998,0.00513952303782859,"Joma","Hypoprepia miniata"
117,0.005328636488178,0.028678175721783,"Joma","Hypoprepia miniata"
118,0.0316824829747729,0.116244733142053,"Joma","Hypoprepia miniata"
119,0.144756060845819,0.343259625922419,"Joma","Hypoprepia miniata"
120,0.505515333932141,0.855489121483865,"Joma","Hypoprepia miniata"
121,1.34207733673717,2.32926162309617,"Joma","Hypoprepia miniata"
122,2.69421335030409,5.612338015084,"Joma","Hypoprepia miniata"
123,4.06783433668668,9.62058417374622,"Joma","Hypoprepia miniata"
124,4.59448634866027,11.2843505838298,"Joma","Hypoprepia miniata"
125,3.86116807935122,9.02020359362255,"Joma","Hypoprepia miniata"
126,2.40145295778198,4.95027888793853,"Joma","Hypoprepia miniata"
127,1.0994328154038,2.0275546252977,"Joma","Hypoprepia miniata"
128,0.36852600843811,0.78659856896773,"Joma","Hypoprepia miniata"
129,0.0899576346791831,0.285078011012461,"Joma","Hypoprepia miniata"
130,0.0159053763349764,0.0761360435465907,"Joma","Hypoprepia miniata"
131,0.00202605629764365,0.0138871550874706,"Joma","Hypoprepia miniata"
132,0.000184938063941191,0.00172357261866857,"Joma","Hypoprepia miniata"
133,1.20318925239395e-05,0.000146370471454917,"Joma","Hypoprepia miniata"
134,5.54932321559088e-07,8.53791581865636e-06,"Joma","Hypoprepia miniata"
135,1.8047212738115e-08,3.42549296981871e-07,"Joma","Hypoprepia miniata"
136,4.116327266542e-10,9.44838597847298e-09,"Joma","Hypoprepia miniata"
137,6.54945097234687e-12,1.78848699099202e-10,"Joma","Hypoprepia miniata"
138,7.23037358370101e-14,2.31713299721817e-12,"Joma","Hypoprepia miniata"
139,5.50862263026508e-16,2.04797638686278e-14,"Joma","Hypoprepia miniata"
140,2.22044604925031e-16,9.48213730236061e-15,"Joma","Hypoprepia miniata"
141,2.22044604925031e-16,1.07970956449789e-14,"Joma","Hypoprepia miniata"
142,2.22044604925031e-16,1.21986511810124e-14,"Joma","Hypoprepia miniata"
143,2.22044604925031e-16,1.36854060773403e-14,"Joma","Hypoprepia miniata"
144,2.22044604925031e-16,1.52559790053744e-14,"Joma","Hypoprepia miniata"
145,2.22044604925031e-16,1.69090066551469e-14,"Joma","Hypoprepia miniata"
146,2.22044604925031e-16,1.86431456652626e-14,"Joma","Hypoprepia miniata"
147,2.22044604925031e-16,2.04570746250577e-14,"Joma","Hypoprepia miniata"
148,2.22044604925031e-16,2.23494960019021e-14,"Joma","Hypoprepia miniata"
149,2.22044604925031e-16,2.43191379405305e-14,"Joma","Hypoprepia miniata"
150,2.22044604925031e-16,2.63647559251519e-14,"Joma","Hypoprepia miniata"
151,2.22044604925031e-16,2.84851343140849e-14,"Joma","Hypoprepia miniata"
152,2.22044604925031e-16,3.06790877635064e-14,"Joma","Hypoprepia miniata"
153,2.22044604925031e-16,3.29454625582312e-14,"Joma","Hypoprepia miniata"
154,2.22044604925031e-16,3.52831378662319e-14,"Joma","Hypoprepia miniata"
155,2.22044604925031e-16,3.7691026931424e-14,"Joma","Hypoprepia miniata"
156,2.22044604925031e-16,4.01680782169529e-14,"Joma","Hypoprepia miniata"
157,2.22044604925031e-16,4.27132765089598e-14,"Joma","Hypoprepia miniata"
158,2.22044604925031e-16,4.53256439889136e-14,"Joma","Hypoprepia miniata"
159,2.22044604925031e-16,4.80042412808957e-14,"Joma","Hypoprepia miniata"
160,2.22044604925031e-16,5.07481684788651e-14,"Joma","Hypoprepia miniata"
161,2.22044604925031e-16,5.355656615774e-14,"Joma","Hypoprepia miniata"
162,2.22044604925031e-16,5.64286163712425e-14,"Joma","Hypoprepia miniata"
163,2.22044604925031e-16,5.93635436385944e-14,"Joma","Hypoprepia miniata"
164,2.22044604925031e-16,6.23606159215561e-14,"Joma","Hypoprepia miniata"
165,2.22044604925031e-16,6.54191455927301e-14,"Joma","Hypoprepia miniata"
166,2.22044604925031e-16,6.85384903956125e-14,"Joma","Hypoprepia miniata"
167,2.22044604925031e-16,7.17180543964613e-14,"Joma","Hypoprepia miniata"
168,2.22044604925031e-16,7.49572889277694e-14,"Joma","Hypoprepia miniata"
169,2.22044604925031e-16,7.82556935228009e-14,"Joma","Hypoprepia miniata"
170,2.22044604925031e-16,8.16128168404374e-14,"Joma","Hypoprepia miniata"
171,2.22044604925031e-16,8.50282575793525e-14,"Joma","Hypoprepia miniata"
172,2.22044604925031e-16,8.85016653803485e-14,"Joma","Hypoprepia miniata"
