"doy","fit","se","Site","validName"
69,2.22044604925031e-16,4.3371673262009e-14,"Joma","Pilocrocis ramentalis"
70,2.22044604925031e-16,4.30369542093586e-14,"Joma","Pilocrocis ramentalis"
71,2.22044604925031e-16,4.27030953070205e-14,"Joma","Pilocrocis ramentalis"
72,2.22044604925031e-16,4.2370134839147e-14,"Joma","Pilocrocis ramentalis"
73,2.22044604925031e-16,4.20381107597158e-14,"Joma","Pilocrocis ramentalis"
74,2.22044604925031e-16,4.17070606732755e-14,"Joma","Pilocrocis ramentalis"
75,2.22044604925031e-16,4.13770218154515e-14,"Joma","Pilocrocis ramentalis"
76,2.22044604925031e-16,4.10480310332226e-14,"Joma","Pilocrocis ramentalis"
77,2.22044604925031e-16,4.0720124764973e-14,"Joma","Pilocrocis ramentalis"
78,2.22044604925031e-16,4.03933390203357e-14,"Joma","Pilocrocis ramentalis"
79,2.22044604925031e-16,4.00677093598349e-14,"Joma","Pilocrocis ramentalis"
80,2.22044604925031e-16,3.9743270874345e-14,"Joma","Pilocrocis ramentalis"
81,2.22044604925031e-16,3.94200581643806e-14,"Joma","Pilocrocis ramentalis"
82,2.22044604925031e-16,3.90981053192367e-14,"Joma","Pilocrocis ramentalis"
83,2.22044604925031e-16,3.87774458959998e-14,"Joma","Pilocrocis ramentalis"
84,2.22044604925031e-16,3.84581128984512e-14,"Joma","Pilocrocis ramentalis"
85,2.22044604925031e-16,3.81401387558895e-14,"Joma","Pilocrocis ramentalis"
86,2.22044604925031e-16,3.78235553018998e-14,"Joma","Pilocrocis ramentalis"
87,2.22044604925031e-16,3.75083937530983e-14,"Joma","Pilocrocis ramentalis"
88,2.22044604925031e-16,3.71946846878879e-14,"Joma","Pilocrocis ramentalis"
89,2.22044604925031e-16,3.68824580252599e-14,"Joma","Pilocrocis ramentalis"
90,2.22044604925031e-16,3.65717430036806e-14,"Joma","Pilocrocis ramentalis"
91,2.22044604925031e-16,3.62625681601063e-14,"Joma","Pilocrocis ramentalis"
92,2.22044604925031e-16,3.59549613091714e-14,"Joma","Pilocrocis ramentalis"
93,2.22044604925031e-16,3.56489495225999e-14,"Joma","Pilocrocis ramentalis"
94,2.22044604925031e-16,3.53445591088924e-14,"Joma","Pilocrocis ramentalis"
95,2.22044604925031e-16,3.50418155933452e-14,"Joma","Pilocrocis ramentalis"
