"doy","fit","se","Site","validName"
69,2.22044604925031e-16,2.52150382368552e-14,"Joma","Renia fraternalis"
70,2.22044604925031e-16,2.44394456053647e-14,"Joma","Renia fraternalis"
71,2.22044604925031e-16,2.36668822858391e-14,"Joma","Renia fraternalis"
72,2.22044604925031e-16,2.2898211462895e-14,"Joma","Renia fraternalis"
73,2.22044604925031e-16,2.21343001679709e-14,"Joma","Renia fraternalis"
74,2.22044604925031e-16,2.13760190607773e-14,"Joma","Renia fraternalis"
75,2.22044604925031e-16,2.06242421338829e-14,"Joma","Renia fraternalis"
76,2.22044604925031e-16,1.98798463161054e-14,"Joma","Renia fraternalis"
77,2.22044604925031e-16,1.91437109444552e-14,"Joma","Renia fraternalis"
78,2.22044604925031e-16,1.84167170667429e-14,"Joma","Renia fraternalis"
79,2.22044604925031e-16,1.76997465281524e-14,"Joma","Renia fraternalis"
80,2.22044604925031e-16,1.69936807837839e-14,"Joma","Renia fraternalis"
81,2.22044604925031e-16,1.62993993663302e-14,"Joma","Renia fraternalis"
82,2.22044604925031e-16,1.56177779219961e-14,"Joma","Renia fraternalis"
83,2.22044604925031e-16,1.49496857096248e-14,"Joma","Renia fraternalis"
84,2.22044604925031e-16,1.42959824368187e-14,"Joma","Renia fraternalis"
85,2.22044604925031e-16,1.36575142835709e-14,"Joma","Renia fraternalis"
86,2.22044604925031e-16,1.30351089384221e-14,"Joma","Renia fraternalis"
87,3.3932128841977e-15,1.89944606880073e-13,"Joma","Renia fraternalis"
88,5.33356725810437e-14,2.84439811262594e-12,"Joma","Renia fraternalis"
89,7.81448631381425e-13,3.96703650232464e-11,"Joma","Renia fraternalis"
90,1.06329202616263e-11,5.13420730784798e-10,"Joma","Renia fraternalis"
91,1.33865176712136e-10,6.1437781274923e-09,"Joma","Renia fraternalis"
92,1.55359953962545e-09,6.77299143573421e-08,"Joma","Renia fraternalis"
93,1.65600039068319e-08,6.85394133868478e-07,"Joma","Renia fraternalis"
94,1.61519567083259e-07,6.34381117672037e-06,"Joma","Renia fraternalis"
95,1.43623887613513e-06,5.35114963846897e-05,"Joma","Renia fraternalis"
96,1.16000140825514e-05,0.00040989037280637,"Joma","Renia fraternalis"
97,8.47840445460978e-05,0.00284083471356437,"Joma","Renia fraternalis"
98,0.000558710705334943,0.0177504417132716,"Joma","Renia fraternalis"
99,0.00330727704966584,0.0996262212910469,"Joma","Renia fraternalis"
100,0.0175209784887335,0.500425589960989,"Joma","Renia fraternalis"
101,0.082764444367729,2.24121969656293,"Joma","Renia fraternalis"
102,0.347312482672078,8.91573316821897,"Joma","Renia fraternalis"
103,1.28997589678175,31.3812139245719,"Joma","Renia fraternalis"
104,4.2249433130763,97.3398765785755,"Joma","Renia fraternalis"
105,12.1571489525676,264.994152179225,"Joma","Renia fraternalis"
106,30.6201718156496,630.464829532195,"Joma","Renia fraternalis"
107,67.2577006365833,1305.10892459311,"Joma","Renia fraternalis"
108,128.359609942545,2339.85899245635,"Joma","Renia fraternalis"
109,212.060711881461,3615.58886432992,"Joma","Renia fraternalis"
110,302.155822796567,4790.36456333923,"Joma","Renia fraternalis"
111,369.942409231717,5411.66619130059,"Joma","Renia fraternalis"
112,387.760124505834,5180.66611613956,"Joma","Renia fraternalis"
113,346.66621430548,4173.2902867161,"Joma","Renia fraternalis"
114,263.3738842895,2805.2940739454,"Joma","Renia fraternalis"
115,169.410448518487,1557.0743464032,"Joma","Renia fraternalis"
116,91.9194551193208,703.503742994445,"Joma","Renia fraternalis"
117,41.914851230909,253.345540192478,"Joma","Renia fraternalis"
118,16.0035056957148,70.4079771619355,"Joma","Renia fraternalis"
119,5.0973272174165,14.6706846649195,"Joma","Renia fraternalis"
120,1.34940885773086,2.95809808722609,"Joma","Renia fraternalis"
121,0.295809236894332,0.966449666343467,"Joma","Renia fraternalis"
122,0.0534983650865022,0.282682579338307,"Joma","Renia fraternalis"
123,0.00795286054321956,0.0610181245063538,"Joma","Renia fraternalis"
124,0.00096817480055095,0.0099748642193957,"Joma","Renia fraternalis"
125,9.61668092213719e-05,0.00126383811494081,"Joma","Renia fraternalis"
126,7.76481540585185e-06,0.000125653657116275,"Joma","Renia fraternalis"
127,5.07767657858892e-07,9.86254177237146e-06,"Joma","Renia fraternalis"
128,2.67929404121801e-08,6.12689584383834e-07,"Joma","Renia fraternalis"
129,1.13655547407318e-09,3.01405320897637e-08,"Joma","Renia fraternalis"
