"doy","fit","se","Site","validName"
69,1.31592390218458e-11,3.64470918369972e-10,"Prcr","Acrolophus arcanella"
70,1.55803927028144e-11,4.27302060994664e-10,"Prcr","Acrolophus arcanella"
71,1.84467211450965e-11,5.00933774248862e-10,"Prcr","Acrolophus arcanella"
72,2.1839680588711e-11,5.87209869730769e-10,"Prcr","Acrolophus arcanella"
73,2.58554950443172e-11,6.88285507901085e-10,"Prcr","Acrolophus arcanella"
74,3.06077965710254e-11,8.06678989257457e-10,"Prcr","Acrolophus arcanella"
75,3.6230728553296e-11,9.45331995010323e-10,"Prcr","Acrolophus arcanella"
76,4.28825910943206e-11,1.10767962253483e-09,"Prcr","Acrolophus arcanella"
77,5.07501207077851e-11,1.29773176862909e-09,"Prcr","Acrolophus arcanella"
78,6.00535116153686e-11,1.52016765223079e-09,"Prcr","Acrolophus arcanella"
79,7.10523034489373e-11,1.78044554208567e-09,"Prcr","Acrolophus arcanella"
80,8.40522803606284e-11,2.08493006884645e-09,"Prcr","Acrolophus arcanella"
81,9.94135498534597e-11,2.44103986077162e-09,"Prcr","Acrolophus arcanella"
82,1.17559996503303e-10,2.85741865385206e-09,"Prcr","Acrolophus arcanella"
83,1.38990336650639e-10,3.34413349787477e-09,"Prcr","Acrolophus arcanella"
84,1.64291035660414e-10,3.91290421754548e-09,"Prcr","Acrolophus arcanella"
85,1.94151390112988e-10,4.5773689012087e-09,"Prcr","Acrolophus arcanella"
86,2.29381124006325e-10,5.35339088883516e-09,"Prcr","Acrolophus arcanella"
87,2.70930901509956e-10,6.25941352684575e-09,"Prcr","Acrolophus arcanella"
88,3.19916219895091e-10,7.31686986230402e-09,"Prcr","Acrolophus arcanella"
89,3.77645215950024e-10,8.55065547666557e-09,"Prcr","Acrolophus arcanella"
90,4.45650998557525e-10,9.98967382470006e-09,"Prcr","Acrolophus arcanella"
91,5.25729210353832e-10,1.16674647639935e-08,"Prcr","Acrolophus arcanella"
92,6.19981623818856e-10,1.36229284528375e-08,"Prcr","Acrolophus arcanella"
93,7.30866693198681e-10,1.59011584792278e-08,"Prcr","Acrolophus arcanella"
94,8.61258114899094e-10,1.85543999828183e-08,"Prcr","Acrolophus arcanella"
95,1.01451259710957e-09,2.16431506684862e-08,"Prcr","Acrolophus arcanella"
96,1.19454820625335e-09,2.52374250099425e-08,"Prcr","Acrolophus arcanella"
97,1.40593484537815e-09,2.94182046316239e-08,"Prcr","Acrolophus arcanella"
98,1.65399862990194e-09,3.42791008656599e-08,"Prcr","Acrolophus arcanella"
99,1.94494216143626e-09,3.9928258838354e-08,"Prcr","Acrolophus arcanella"
100,2.28598296306304e-09,4.64905361789269e-08,"Prcr","Acrolophus arcanella"
101,2.68551263188086e-09,5.41099935949313e-08,"Prcr","Acrolophus arcanella"
102,3.15327958938197e-09,6.29527391570517e-08,"Prcr","Acrolophus arcanella"
103,3.70059866983563e-09,7.32101732142405e-08,"Prcr","Acrolophus arcanella"
104,4.34059118391880e-09,8.5102686451114e-08,"Prcr","Acrolophus arcanella"
105,5.08845953189777e-09,9.88838697345606e-08,"Prcr","Acrolophus arcanella"
106,5.96180092017460e-09,1.14845301104306e-07,"Prcr","Acrolophus arcanella"
107,6.98096525927e-09,1.33321982567949e-07,"Prcr","Acrolophus arcanella"
108,8.16946289236906e-09,1.54698507284497e-07,"Prcr","Acrolophus arcanella"
109,9.55442842311515e-09,1.79416046274576e-07,"Prcr","Acrolophus arcanella"
110,1.11671475806633e-08,2.07980252984212e-07,"Prcr","Acrolophus arcanella"
111,1.30436547797531e-08,2.40970193844907e-07,"Prcr","Acrolophus arcanella"
112,1.52254098036685e-08,2.79048423394298e-07,"Prcr","Acrolophus arcanella"
113,1.77600628574231e-08,3.22972333510652e-07,"Prcr","Acrolophus arcanella"
114,2.070231810525e-08,3.73606917812322e-07,"Prcr","Acrolophus arcanella"
115,2.41149067170668e-08,4.3193910419765e-07,"Prcr","Acrolophus arcanella"
116,2.80696813980443e-08,4.99093820741591e-07,"Prcr","Acrolophus arcanella"
117,3.26488453569189e-08,5.76351972580322e-07,"Prcr","Acrolophus arcanella"
118,3.79463296733337e-08,6.65170519825945e-07,"Prcr","Acrolophus arcanella"
119,4.40693340409765e-08,7.67204858740989e-07,"Prcr","Acrolophus arcanella"
120,5.11400468774854e-08,8.84333720100932e-07,"Prcr","Acrolophus arcanella"
121,5.92975617869854e-08,1.01868680956854e-06,"Prcr","Acrolophus arcanella"
122,6.87000083161083e-08,1.17267542462548e-06,"Prcr","Acrolophus arcanella"
123,7.95269158352481e-08,1.34902629072712e-06,"Prcr","Acrolophus arcanella"
124,9.1981830175265e-08,1.5508188653756e-06,"Prcr","Acrolophus arcanella"
125,1.06295203323115e-07,1.78152636218718e-06,"Prcr","Acrolophus arcanella"
126,1.22727576990666e-07,2.04506074714564e-06,"Prcr","Acrolophus arcanella"
127,1.4157308117682e-07,2.34582195539247e-06,"Prcr","Acrolophus arcanella"
128,1.6316326889665e-07,2.68875156835887e-06,"Prcr","Acrolophus arcanella"
129,1.87871307999874e-07,3.07939117697985e-06,"Prcr","Acrolophus arcanella"
130,2.16116550386779e-07,3.52394563628268e-06,"Prcr","Acrolophus arcanella"
131,2.48369497889486e-07,4.02935138889675e-06,"Prcr","Acrolophus arcanella"
132,2.85157182552573e-07,4.60334999905359e-06,"Prcr","Acrolophus arcanella"
133,3.27068976946697e-07,5.25456699346811e-06,"Prcr","Acrolophus arcanella"
134,3.74762847406067e-07,5.99259605017414e-06,"Prcr","Acrolophus arcanella"
135,4.28972059615802e-07,6.82808851000226e-06,"Prcr","Acrolophus arcanella"
136,4.90512341707164e-07,7.77284810708767e-06,"Prcr","Acrolophus arcanella"
137,5.60289504865271e-07,8.83993072381751e-06,"Prcr","Acrolophus arcanella"
138,6.39307515334264e-07,1.00437488713578e-05,"Prcr","Acrolophus arcanella"
139,7.28677004541298e-07,1.14001804789158e-05,"Prcr","Acrolophus arcanella"
140,8.29623959698996e-07,1.29266778686956e-05,"Prcr","Acrolophus arcanella"
141,9.43488705175983e-07,1.46422282128093e-05,"Prcr","Acrolophus arcanella"
142,1.07172487764342e-06,1.65673175016673e-05,"Prcr","Acrolophus arcanella"
143,1.21591349365664e-06,1.87241211489233e-05,"Prcr","Acrolophus arcanella"
144,1.37776889638401e-06,2.11365682536397e-05,"Prcr","Acrolophus arcanella"
145,1.5591431056224e-06,2.38303806725715e-05,"Prcr","Acrolophus arcanella"
146,1.76202902443971e-06,2.68330942010556e-05,"Prcr","Acrolophus arcanella"
147,1.98856223015952e-06,3.01740581913045e-05,"Prcr","Acrolophus arcanella"
148,2.24102105274572e-06,3.38844096677706e-05,"Prcr","Acrolophus arcanella"
149,2.52182462105518e-06,3.79970177694354e-05,"Prcr","Acrolophus arcanella"
150,2.83352853795628e-06,4.2546394172619e-05,"Prcr","Acrolophus arcanella"
151,3.17881783016016e-06,4.75685650409299e-05,"Prcr","Acrolophus arcanella"
152,3.56049680908971e-06,5.31009000280351e-05,"Prcr","Acrolophus arcanella"
153,3.98147547664441e-06,5.91818939417435e-05,"Prcr","Acrolophus arcanella"
154,4.44475211580325e-06,6.58508968824587e-05,"Prcr","Acrolophus arcanella"
155,4.95339172218741e-06,7.31477890133508e-05,"Prcr","Acrolophus arcanella"
156,5.5104999605166e-06,8.11125966207134e-05,"Prcr","Acrolophus arcanella"
157,6.11919237081658e-06,8.97850467965126e-05,"Prcr","Acrolophus arcanella"
158,6.78255860462854e-06,9.9204058934311e-05,"Prcr","Acrolophus arcanella"
159,7.50362154248652e-06,0.000109407172284357,"Prcr","Acrolophus arcanella"
160,8.28529123144485e-06,0.000120429910069227,"Prcr","Acrolophus arcanella"
161,9.13031368595119e-06,0.00013230508211797,"Prcr","Acrolophus arcanella"
162,1.00412147169193e-05,0.000145062029628026,"Prcr","Acrolophus arcanella"
163,1.10202390919331e-05,0.000158725817496345,"Prcr","Acrolophus arcanella"
164,1.20692854829545e-05,0.000173316381652147,"Prcr","Acrolophus arcanella"
165,1.31898378248178e-05,0.000188847640942426,"Prcr","Acrolophus arcanella"
166,1.43828938854893e-05,0.000205326585326878,"Prcr","Acrolophus arcanella"
167,1.56488920340391e-05,0.000222752354381127,"Prcr","Acrolophus arcanella"
168,1.69876373801161e-05,0.000241115322325534,"Prcr","Acrolophus arcanella"
169,1.83982286442189e-05,0.000260396207922616,"Prcr","Acrolophus arcanella"
170,1.98789872951668e-05,0.000280565229541589,"Prcr","Acrolophus arcanella"
171,2.14273906531766e-05,0.000301581327390281,"Prcr","Acrolophus arcanella"
172,2.30400107964924e-05,0.000323391476273818,"Prcr","Acrolophus arcanella"
173,2.4712461218943e-05,0.00034593011316633,"Prcr","Acrolophus arcanella"
174,2.643935325722e-05,0.000369118704286769,"Prcr","Acrolophus arcanella"
175,2.82142643323855e-05,0.000392865476168537,"Prcr","Acrolophus arcanella"
176,3.00297200228528e-05,0.000417065334329053,"Prcr","Acrolophus arcanella"
177,3.18771918993771e-05,0.000441599991516341,"Prcr","Acrolophus arcanella"
178,3.37471129011595e-05,0.0004663383250888,"Prcr","Acrolophus arcanella"
179,3.5628911812299e-05,0.000491136979846489,"Prcr","Acrolophus arcanella"
180,3.75110681077584e-05,0.000515841228577314,"Prcr","Acrolophus arcanella"
181,3.93811880782448e-05,0.000540286097737559,"Prcr","Acrolophus arcanella"
182,4.12261027170432e-05,0.000564297760112381,"Prcr","Acrolophus arcanella"
183,4.30319873647844e-05,0.00058769519009041,"Prcr","Acrolophus arcanella"
184,4.4784502569199e-05,0.000610292070462274,"Prcr","Acrolophus arcanella"
185,4.64689550378898e-05,0.000631898932573468,"Prcr","Acrolophus arcanella"
186,4.80704769576246e-05,0.000652325504414618,"Prcr","Acrolophus arcanella"
187,4.9574221340867e-05,0.000671383234031501,"Prcr","Acrolophus arcanella"
188,5.09655704584574e-05,0.000688887948715604,"Prcr","Acrolophus arcanella"
189,5.22303538476431e-05,0.000704662604043194,"Prcr","Acrolophus arcanella"
190,5.33550718688394e-05,0.000718540071217846,"Prcr","Acrolophus arcanella"
191,5.43271203446637e-05,0.000730365906587124,"Prcr","Acrolophus arcanella"
192,5.51350114721653e-05,0.00074000104388133,"Prcr","Acrolophus arcanella"
193,5.57685859732899e-05,0.000747324347868594,"Prcr","Acrolophus arcanella"
194,5.6219211356237e-05,0.000752234967906408,"Prcr","Acrolophus arcanella"
195,5.64799612146174e-05,0.000754654431419495,"Prcr","Acrolophus arcanella"
196,5.65457707007944e-05,0.000754528420716852,"Prcr","Acrolophus arcanella"
197,5.64135636777227e-05,0.000751828181781881,"Prcr","Acrolophus arcanella"
