"doy","fit","se","Site","validName"
69,0.102237913887609,0.113182230702282,"Prcr","Apantesis nais"
70,0.108046700279411,0.117363596144701,"Prcr","Apantesis nais"
71,0.114183360193474,0.121662623504854,"Prcr","Apantesis nais"
72,0.120663993607124,0.126078644488941,"Prcr","Apantesis nais"
73,0.127505206124238,0.130610668447967,"Prcr","Apantesis nais"
74,0.134724093321494,0.135257376263391,"Prcr","Apantesis nais"
75,0.142338220787351,0.140017117740731,"Prcr","Apantesis nais"
76,0.150365599477959,0.144887913085969,"Prcr","Apantesis nais"
77,0.15882465600458,0.14986745907275,"Prcr","Apantesis nais"
78,0.167734197459879,0.154953140536231,"Prcr","Apantesis nais"
79,0.177113370386034,0.160142047850073,"Prcr","Apantesis nais"
80,0.186981613486372,0.16543100105417,"Prcr","Apantesis nais"
81,0.197358603684787,0.170816581299627,"Prcr","Apantesis nais"
82,0.208264195143822,0.176295170261096,"Prcr","Apantesis nais"
83,0.219718350863665,0.181862998131275,"Prcr","Apantesis nais"
84,0.231741066500833,0.18751620075419,"Prcr","Apantesis nais"
85,0.244352286067519,0.193250886368208,"Prcr","Apantesis nais"
86,0.257571809201039,0.199063212311624,"Prcr","Apantesis nais"
87,0.271419189727914,0.204949471887767,"Prcr","Apantesis nais"
88,0.285913625289498,0.210906191387161,"Prcr","Apantesis nais"
89,0.301073837846035,0.216930237015687,"Prcr","Apantesis nais"
90,0.316917944934111,0.223018931174315,"Prcr","Apantesis nais"
91,0.333463321618967,0.229170177172931,"Prcr","Apantesis nais"
92,0.350726453158444,0.235382591034276,"Prcr","Apantesis nais"
93,0.368722778479539,0.241655638552231,"Prcr","Apantesis nais"
94,0.387466524661962,0.247989775212558,"Prcr","Apantesis nais"
95,0.406970532725585,0.254386585968718,"Prcr","Apantesis nais"
96,0.427246075130262,0.260848921200599,"Prcr","Apantesis nais"
97,0.44830266551692,0.267381024486816,"Prcr","Apantesis nais"
98,0.470147861347689,0.273988647116399,"Prcr","Apantesis nais"
99,0.492787060239598,0.280679143587334,"Prcr","Apantesis nais"
100,0.516223290930306,0.287461541731768,"Prcr","Apantesis nais"
101,0.540456999964538,0.294346580624914,"Prcr","Apantesis nais"
102,0.565485835345143,0.301346709140384,"Prcr","Apantesis nais"
103,0.591304428551787,0.308476037978437,"Prcr","Apantesis nais"
104,0.617904176491495,0.31575023828746,"Prcr","Apantesis nais"
105,0.645273025106879,0.323186380690077,"Prcr","Apantesis nais"
