"doy","fit","se","Site","validName"
69,0.477215997854127,0.344836183873802,"Prcr","Apantesis phalerata"
70,0.484018542726116,0.343971067232506,"Prcr","Apantesis phalerata"
71,0.490914421752483,0.343072778646374,"Prcr","Apantesis phalerata"
72,0.49790117643919,0.342143507385935,"Prcr","Apantesis phalerata"
73,0.504976154013345,0.34118582040788,"Prcr","Apantesis phalerata"
74,0.512136500853252,0.340202674691407,"Prcr","Apantesis phalerata"
75,0.519379156052817,0.339197427953901,"Prcr","Apantesis phalerata"
76,0.526700845146033,0.338173847388251,"Prcr","Apantesis phalerata"
77,0.534098074018604,0.337136116030486,"Prcr","Apantesis phalerata"
78,0.541567123035075,0.33608883633383,"Prcr","Apantesis phalerata"
79,0.549104041411067,0.335037030495081,"Prcr","Apantesis phalerata"
80,0.556704641861488,0.333986137053012,"Prcr","Apantesis phalerata"
81,0.564364495556733,0.332942003258145,"Prcr","Apantesis phalerata"
82,0.572078927420016,0.331910872700954,"Prcr","Apantesis phalerata"
83,0.579843011800013,0.330899367683845,"Prcr","Apantesis phalerata"
84,0.587651568553974,0.329914465833844,"Prcr","Apantesis phalerata"
85,0.595499159577292,0.328963470480694,"Prcr","Apantesis phalerata"
86,0.603380085816335,0.328053974371871,"Prcr","Apantesis phalerata"
87,0.611288384801951,0.327193816364737,"Prcr","Apantesis phalerata"
88,0.619217828741597,0.326391030828867,"Prcr","Apantesis phalerata"
89,0.627161923208407,0.325653789610354,"Prcr","Apantesis phalerata"
90,0.635113906465776,0.324990336555335,"Prcr","Apantesis phalerata"
91,0.643066749466043,0.324408914761492,"Prcr","Apantesis phalerata"
92,0.651013156561788,0.323917686921919,"Prcr","Apantesis phalerata"
93,0.65894556696791,0.323524649341423,"Prcr","Apantesis phalerata"
94,0.666856157012179,0.323237540435149,"Prcr","Apantesis phalerata"
95,0.674736843211195,0.323063744755437,"Prcr","Apantesis phalerata"
96,0.682579286207745,0.323010193825025,"Prcr","Apantesis phalerata"
97,0.690374895604363,0.323083265271865,"Prcr","Apantesis phalerata"
98,0.698114835726463,0.323288681950387,"Prcr","Apantesis phalerata"
99,0.705790032346692,0.323631412883669,"Prcr","Apantesis phalerata"
100,0.713391180400212,0.324115577958821,"Prcr","Apantesis phalerata"
101,0.720908752718374,0.324744358344244,"Prcr","Apantesis phalerata"
102,0.728333009805718,0.325519914565186,"Prcr","Apantesis phalerata"
103,0.735654010682446,0.326443314069945,"Prcr","Apantesis phalerata"
104,0.742861624811402,0.327514469944352,"Prcr","Apantesis phalerata"
105,0.74994554512521,0.32873209219232,"Prcr","Apantesis phalerata"
106,0.756895302165551,0.330093652705448,"Prcr","Apantesis phalerata"
107,0.763700279342587,0.331595364708628,"Prcr","Apantesis phalerata"
108,0.770349729318253,0.333232177107936,"Prcr","Apantesis phalerata"
109,0.776832791512655,0.334997783799678,"Prcr","Apantesis phalerata"
110,0.783138510727937,0.336884647643333,"Prcr","Apantesis phalerata"
111,0.789255856878944,0.338884038472843,"Prcr","Apantesis phalerata"
112,0.795173745814665,0.340986084234107,"Prcr","Apantesis phalerata"
113,0.800881061208868,0.343179834102219,"Prcr","Apantesis phalerata"
114,0.80636667749257,0.345453332256064,"Prcr","Apantesis phalerata"
115,0.811619483795009,0.347793700872943,"Prcr","Apantesis phalerata"
116,0.816628408853608,0.350187230849889,"Prcr","Apantesis phalerata"
117,0.821382446847149,0.352619478756792,"Prcr","Apantesis phalerata"
118,0.825870684099958,0.355075368571612,"Prcr","Apantesis phalerata"
119,0.830082326598351,0.357539296831094,"Prcr","Apantesis phalerata"
120,0.834006728254108,0.359995239941573,"Prcr","Apantesis phalerata"
121,0.837633419843095,0.362426862524131,"Prcr","Apantesis phalerata"
122,0.840952138540669,0.364817625807369,"Prcr","Apantesis phalerata"
123,0.843952857968941,0.367150895221564,"Prcr","Apantesis phalerata"
124,0.846625818664686,0.36941004648353,"Prcr","Apantesis phalerata"
125,0.848961558870392,0.371578569586988,"Prcr","Apantesis phalerata"
126,0.850950945544955,0.373640170225365,"Prcr","Apantesis phalerata"
127,0.852585205484753,0.375578868270456,"Prcr","Apantesis phalerata"
128,0.853855956440364,0.377379093010437,"Prcr","Apantesis phalerata"
129,0.854755238109081,0.379025774914453,"Prcr","Apantesis phalerata"
130,0.855275542878641,0.380504433739017,"Prcr","Apantesis phalerata"
