"doy","fit","se","Site","validName"
69,2.22044604925031e-16,7.17017933741609e-12,"Prcr","Catocala micronympha"
70,2.22044604925031e-16,6.98219133606248e-12,"Prcr","Catocala micronympha"
71,2.22044604925031e-16,6.79440275443989e-12,"Prcr","Catocala micronympha"
72,2.22044604925031e-16,6.60693597643219e-12,"Prcr","Catocala micronympha"
73,2.22044604925031e-16,6.41991344841532e-12,"Prcr","Catocala micronympha"
74,2.22044604925031e-16,6.2334576750992e-12,"Prcr","Catocala micronympha"
75,2.22044604925031e-16,6.04769121516603e-12,"Prcr","Catocala micronympha"
76,2.22044604925031e-16,5.8627366766251e-12,"Prcr","Catocala micronympha"
77,2.22044604925031e-16,5.67871671179086e-12,"Prcr","Catocala micronympha"
78,2.22044604925031e-16,5.49575401177321e-12,"Prcr","Catocala micronympha"
79,2.22044604925031e-16,5.31397130034582e-12,"Prcr","Catocala micronympha"
80,2.22044604925031e-16,5.13349132703447e-12,"Prcr","Catocala micronympha"
81,2.22044604925031e-16,4.95443685922781e-12,"Prcr","Catocala micronympha"
82,2.22044604925031e-16,4.77693067307702e-12,"Prcr","Catocala micronympha"
83,2.22044604925031e-16,4.60109554289413e-12,"Prcr","Catocala micronympha"
84,2.22044604925031e-16,4.42705422869854e-12,"Prcr","Catocala micronympha"
85,2.22044604925031e-16,4.25492946147546e-12,"Prcr","Catocala micronympha"
86,2.22044604925031e-16,4.08484392561562e-12,"Prcr","Catocala micronympha"
87,2.22044604925031e-16,3.91692023787347e-12,"Prcr","Catocala micronympha"
88,2.22044604925031e-16,3.75128092202822e-12,"Prcr","Catocala micronympha"
89,2.22044604925031e-16,3.58804837822916e-12,"Prcr","Catocala micronympha"
90,2.22044604925031e-16,3.42734484576069e-12,"Prcr","Catocala micronympha"
91,2.22044604925031e-16,3.26929235764062e-12,"Prcr","Catocala micronympha"
92,2.22044604925031e-16,3.11401268507018e-12,"Prcr","Catocala micronympha"
93,2.22044604925031e-16,2.96162726924382e-12,"Prcr","Catocala micronympha"
94,2.22044604925031e-16,2.81225713738115e-12,"Prcr","Catocala micronympha"
95,2.22044604925031e-16,2.66602279902897e-12,"Prcr","Catocala micronympha"
96,2.22044604925031e-16,2.52304411763079e-12,"Prcr","Catocala micronympha"
97,2.22044604925031e-16,2.38344015104886e-12,"Prcr","Catocala micronympha"
98,2.22044604925031e-16,2.24732895302821e-12,"Prcr","Catocala micronympha"
99,2.22044604925031e-16,2.11482732546867e-12,"Prcr","Catocala micronympha"
100,2.22044604925031e-16,1.9860505086796e-12,"Prcr","Catocala micronympha"
101,2.22044604925031e-16,1.86111179341485e-12,"Prcr","Catocala micronympha"
102,2.22044604925031e-16,1.74012203429606e-12,"Prcr","Catocala micronympha"
103,2.22044604925031e-16,1.62318903910255e-12,"Prcr","Catocala micronympha"
104,2.22044604925031e-16,1.51041680224596e-12,"Prcr","Catocala micronympha"
105,2.22044604925031e-16,1.40190454360721e-12,"Prcr","Catocala micronympha"
106,2.22044604925031e-16,1.29774550605239e-12,"Prcr","Catocala micronympha"
107,2.22044604925031e-16,1.19802545706221e-12,"Prcr","Catocala micronympha"
108,2.22044604925031e-16,1.10282083356496e-12,"Prcr","Catocala micronympha"
109,2.22044604925031e-16,1.0121964670569e-12,"Prcr","Catocala micronympha"
110,2.22044604925031e-16,9.26202833629379e-13,"Prcr","Catocala micronympha"
111,1.96759247728278e-15,7.48662803346647e-12,"Prcr","Catocala micronympha"
112,2.35377026368366e-14,8.14344676981491e-11,"Prcr","Catocala micronympha"
113,2.60174882221615e-13,8.15782276045105e-10,"Prcr","Catocala micronympha"
114,2.65241039226836e-12,7.51184247824187e-09,"Prcr","Catocala micronympha"
115,2.48938356304887e-11,6.34569217762921e-08,"Prcr","Catocala micronympha"
116,2.14694213950608e-10,4.90807770626185e-07,"Prcr","Catocala micronympha"
117,1.6983530357832e-09,3.46866522387843e-06,"Prcr","Catocala micronympha"
118,1.23003195916224e-08,2.23526131297392e-05,"Prcr","Catocala micronympha"
119,8.14117883034121e-08,0.000131069067907162,"Prcr","Catocala micronympha"
120,4.91521310720542e-07,0.000697956301683936,"Prcr","Catocala micronympha"
121,2.70198697576998e-06,0.00337053136274012,"Prcr","Catocala micronympha"
122,1.34993132513532e-05,0.0147622557998948,"Prcr","Catocala micronympha"
123,6.11827942010192e-05,0.0588534550118331,"Prcr","Catocala micronympha"
124,0.00025109486443586,0.21585512814795,"Prcr","Catocala micronympha"
125,0.000931405777965243,0.743358949624293,"Prcr","Catocala micronympha"
126,0.00311698191643243,2.46403617328875,"Prcr","Catocala micronympha"
127,0.00939345973812328,7.94102802720909,"Prcr","Catocala micronympha"
128,0.0254457055690353,24.4653539107351,"Prcr","Catocala micronympha"
129,0.061844733739775,69.9484023308366,"Prcr","Catocala micronympha"
130,0.134614530453022,181.167670922469,"Prcr","Catocala micronympha"
131,0.261929148204833,419.09943224994,"Prcr","Catocala micronympha"
132,0.454757716483596,859.66713635352,"Prcr","Catocala micronympha"
133,0.703205668941388,1557.77398160622,"Prcr","Catocala micronympha"
134,0.966701454747619,2488.38641422761,"Prcr","Catocala micronympha"
135,1.17926602653179,3498.90365487477,"Prcr","Catocala micronympha"
136,1.27421376197001,4325.20448984624,"Prcr","Catocala micronympha"
137,1.21726621338043,4694.83674428518,"Prcr","Catocala micronympha"
138,1.02622667665088,4469.29923367539,"Prcr","Catocala micronympha"
139,0.762109140869935,3726.53824974964,"Prcr","Catocala micronympha"
140,0.497653023838597,2718.01650275323,"Prcr","Catocala micronympha"
141,0.28568178411031,1734.40044550231,"Prcr","Catocala micronympha"
142,0.144442098073468,970.328428865892,"Prcr","Catocala micronympha"
143,0.0644509458609713,477.022930925945,"Prcr","Catocala micronympha"
144,0.0254306817538485,206.532253205186,"Prcr","Catocala micronympha"
145,0.00889096382631076,78.9292236544971,"Prcr","Catocala micronympha"
146,0.00275975639274543,26.6843986981219,"Prcr","Catocala micronympha"
147,0.000762066111384217,7.99851792039402,"Prcr","Catocala micronympha"
148,0.000187578681533684,2.13035173325745,"Prcr","Catocala micronympha"
149,4.12393839574433e-05,0.505282515341457,"Prcr","Catocala micronympha"
150,8.11423631373476e-06,0.106955788762748,"Prcr","Catocala micronympha"
151,1.43172252827517e-06,0.0202489238534243,"Prcr","Catocala micronympha"
152,2.2699417990737e-07,0.00343607571782339,"Prcr","Catocala micronympha"
153,3.24029218921366e-08,0.000523741968610224,"Prcr","Catocala micronympha"
154,4.17288240499178e-09,7.18608277926309e-05,"Prcr","Catocala micronympha"
155,4.85779933084313e-10,8.89425235453289e-06,"Prcr","Catocala micronympha"
156,5.12228076632617e-11,9.95147535189707e-07,"Prcr","Catocala micronympha"
157,4.9020360972322e-12,1.00865159436279e-07,"Prcr","Catocala micronympha"
158,4.26626549435391e-13,9.28073193881515e-09,"Prcr","Catocala micronympha"
159,3.38334614846683e-14,7.76818043095651e-10,"Prcr","Catocala micronympha"
160,2.44985905192688e-15,5.927319737202e-11,"Prcr","Catocala micronympha"
161,2.22044604925031e-16,5.65252161800907e-12,"Prcr","Catocala micronympha"
162,2.22044604925031e-16,5.93881148455435e-12,"Prcr","Catocala micronympha"
163,2.22044604925031e-16,6.23102467625312e-12,"Prcr","Catocala micronympha"
164,2.22044604925031e-16,6.5290521493507e-12,"Prcr","Catocala micronympha"
165,2.22044604925031e-16,6.8327864889209e-12,"Prcr","Catocala micronympha"
166,2.22044604925031e-16,7.14212197866234e-12,"Prcr","Catocala micronympha"
167,2.22044604925031e-16,7.45695466718725e-12,"Prcr","Catocala micronympha"
168,2.22044604925031e-16,7.77718243157102e-12,"Prcr","Catocala micronympha"
169,2.22044604925031e-16,8.10270503878774e-12,"Prcr","Catocala micronympha"
170,2.22044604925031e-16,8.43342420553771e-12,"Prcr","Catocala micronympha"
171,2.22044604925031e-16,8.76924365687927e-12,"Prcr","Catocala micronympha"
172,2.22044604925031e-16,9.11006918400239e-12,"Prcr","Catocala micronympha"
173,2.22044604925031e-16,9.4558087014188e-12,"Prcr","Catocala micronympha"
174,2.22044604925031e-16,9.80637230379338e-12,"Prcr","Catocala micronympha"
175,2.22044604925031e-16,1.01616723226009e-11,"Prcr","Catocala micronympha"
176,2.22044604925031e-16,1.05216233827577e-11,"Prcr","Catocala micronympha"
177,2.22044604925031e-16,1.08861424593497e-11,"Prcr","Catocala micronympha"
178,2.22044604925031e-16,1.12551489345551e-11,"Prcr","Catocala micronympha"
179,2.22044604925031e-16,1.16285646548396e-11,"Prcr","Catocala micronympha"
180,2.22044604925031e-16,1.20063139884852e-11,"Prcr","Catocala micronympha"
181,2.22044604925031e-16,1.23883238834999e-11,"Prcr","Catocala micronympha"
182,2.22044604925031e-16,1.27745239259418e-11,"Prcr","Catocala micronympha"
183,2.22044604925031e-16,1.31648463986823e-11,"Prcr","Catocala micronympha"
184,2.22044604925031e-16,1.35592263406196e-11,"Prcr","Catocala micronympha"
185,2.22044604925031e-16,1.39576016063501e-11,"Prcr","Catocala micronympha"
186,2.22044604925031e-16,1.43599129262922e-11,"Prcr","Catocala micronympha"
187,2.22044604925031e-16,1.47661039672551e-11,"Prcr","Catocala micronympha"
188,2.22044604925031e-16,1.51761213934323e-11,"Prcr","Catocala micronympha"
189,2.22044604925031e-16,1.55899149277998e-11,"Prcr","Catocala micronympha"
190,2.22044604925031e-16,1.60074374138878e-11,"Prcr","Catocala micronympha"
191,2.22044604925031e-16,1.64286448778918e-11,"Prcr","Catocala micronympha"
192,2.22044604925031e-16,1.68534965910824e-11,"Prcr","Catocala micronympha"
193,2.22044604925031e-16,1.72819551324685e-11,"Prcr","Catocala micronympha"
194,2.22044604925031e-16,1.77139864516625e-11,"Prcr","Catocala micronympha"
195,2.22044604925031e-16,1.8149559931891e-11,"Prcr","Catocala micronympha"
196,2.22044604925031e-16,1.85886484530908e-11,"Prcr","Catocala micronympha"
